Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.02,10.26,9.99,10.24,9.35,6121300
2010-01-05,10.23,10.39,10.0,10.37,9.47,7035400
2010-01-06,10.34,10.49,10.19,10.37,9.47,5368800
2010-01-07,10.62,11.33,10.58,11.21,10.23,19444100
2010-01-08,11.13,11.27,10.91,11.03,10.07,8828900
2010-01-11,11.03,11.2,10.89,10.97,10.02,5883300
2010-01-12,10.87,10.92,10.58,10.9,9.95,5851900
2010-01-13,10.84,11.36,10.82,11.32,10.34,10455800
2010-01-14,11.31,11.41,11.15,11.23,10.25,6357200
2010-01-15,11.25,11.31,10.93,11.0,10.04,5089600
2010-01-19,10.97,11.13,10.88,10.99,10.03,6264600
2010-01-20,10.91,11.01,10.75,10.9,9.95,6675900
2010-01-21,10.9,10.97,10.49,10.52,9.6,11734200
2010-01-22,10.49,10.78,10.19,10.22,9.33,8865600
2010-01-25,10.33,10.4,10.03,10.23,9.34,9852400
2010-01-26,10.18,10.44,10.14,10.35,9.45,7834100
2010-01-27,10.31,10.37,10.05,10.33,9.43,11140800
2010-01-28,10.4,10.65,10.17,10.56,9.64,10250500
2010-01-29,10.61,10.83,10.5,10.52,9.6,10002400
2010-02-01,10.52,10.57,10.34,10.56,9.64,6952800
2010-02-02,10.82,11.41,10.81,11.35,10.36,11006400
2010-02-03,11.71,11.79,11.23,11.37,10.38,8513500
2010-02-04,11.22,11.25,10.89,10.92,9.97,7729300
2010-02-05,10.9,10.96,10.52,10.88,9.93,11050900
2010-02-08,10.92,11.46,10.7,11.13,10.16,10090800
2010-02-09,11.07,11.25,10.63,11.08,10.12,17560400
2010-02-10,11.03,11.37,10.84,11.23,10.25,13911100
2010-02-11,11.2,11.75,11.14,11.71,10.69,8790800
2010-02-12,11.54,11.8,11.48,11.74,10.72,6547900
2010-02-16,11.46,11.66,11.27,11.66,10.65,7849000
2010-02-17,11.73,11.82,11.41,11.61,10.6,6581800
2010-02-18,11.62,11.62,11.37,11.49,10.49,4326600
2010-02-19,11.43,11.58,11.35,11.43,10.44,5365400
2010-02-22,11.44,11.59,11.26,11.38,10.39,4399600
2010-02-23,11.4,11.48,10.85,10.97,10.02,6741400
2010-02-24,11.04,11.1,10.5,10.81,9.87,9054000
2010-02-25,10.57,10.75,10.5,10.7,9.77,6269100
2010-02-26,10.69,10.88,10.45,10.83,9.89,6144700
2010-03-01,10.88,11.02,10.83,10.92,9.97,4018200
2010-03-02,10.85,11.08,10.76,10.77,9.83,4129200
2010-03-03,10.77,11.02,10.77,10.93,9.98,4012900
2010-03-04,10.9,11.06,10.79,10.87,9.92,3459200
2010-03-05,10.99,11.27,10.88,11.23,10.25,5411200
2010-03-08,11.23,11.49,11.15,11.42,10.43,6539600
2010-03-09,11.34,11.63,11.32,11.49,10.49,4854300
2010-03-10,11.5,11.61,11.27,11.36,10.37,5922200
2010-03-11,11.33,11.42,11.09,11.41,10.42,4894700
2010-03-12,11.49,11.49,11.15,11.23,10.25,4908300
2010-03-15,11.2,11.27,10.97,11.1,10.13,3597400
2010-03-16,11.11,11.5,11.05,11.39,10.4,5718500
2010-03-17,11.44,11.57,11.39,11.47,10.47,5311000
2010-03-18,11.48,11.6,11.39,11.5,10.5,4417800
2010-03-19,11.2,11.65,11.19,11.2,10.23,8910900
2010-03-22,11.15,11.52,11.06,11.47,10.47,6815300
2010-03-23,11.52,11.53,11.2,11.47,10.47,8048700
2010-03-24,11.56,11.81,11.5,11.65,10.64,9363500
2010-03-25,11.78,11.91,11.59,11.61,10.6,6656900
2010-03-26,11.65,11.9,11.6,11.72,10.7,6266900
2010-03-29,11.76,11.79,11.5,11.62,10.61,4149200
2010-03-30,11.6,11.78,11.39,11.43,10.44,4421400
2010-03-31,11.4,11.46,11.22,11.25,10.27,5344800
2010-04-01,11.37,11.46,11.07,11.12,10.15,5473000
2010-04-05,11.33,11.6,11.2,11.44,10.44,6420000
2010-04-06,11.09,11.25,10.91,11.16,10.19,6669200
2010-04-07,11.15,11.17,10.77,10.88,9.93,8614300
2010-04-08,10.86,10.97,10.7,10.89,9.94,6862400
2010-04-09,10.93,11.18,10.91,11.17,10.2,5967300
2010-04-12,11.25,11.3,11.05,11.23,10.25,5535200
2010-04-13,11.2,11.3,10.99,11.03,10.07,6181500
2010-04-14,11.08,11.45,11.04,11.38,10.39,6921300
2010-04-15,11.35,11.42,11.23,11.27,10.29,4892800
2010-04-16,11.26,11.28,10.99,11.1,10.13,6522400
2010-04-19,10.99,11.2,10.94,11.11,10.14,5129100
2010-04-20,11.19,11.48,11.12,11.46,10.46,7064100
2010-04-21,11.49,11.82,11.42,11.77,10.75,7916800
2010-04-22,11.73,12.58,11.59,12.48,11.39,15952000
2010-04-23,12.53,13.68,12.52,13.19,12.04,19440600
