Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.76,26.03,25.25,25.37,18.42,1169700
2010-01-05,25.35,25.76,25.11,25.74,18.69,1048200
2010-01-06,25.75,26.0,25.34,25.51,18.53,1163400
2010-01-07,25.38,25.84,25.15,25.72,18.68,950500
2010-01-08,25.53,25.89,25.41,25.65,18.63,1072700
2010-01-11,25.73,26.0,25.37,25.68,18.65,876600
2010-01-12,25.35,25.64,24.87,25.11,18.24,962200
2010-01-13,25.27,25.85,25.2,25.79,18.73,989200
2010-01-14,25.58,25.79,25.38,25.69,18.66,766700
2010-01-15,25.52,25.75,25.45,25.57,18.57,739900
2010-01-19,25.57,26.13,25.57,26.07,18.93,956200
2010-01-20,25.57,25.63,24.98,25.46,18.49,1192600
2010-01-21,25.44,25.59,24.21,24.25,17.61,2000900
2010-01-22,24.28,24.54,23.57,23.68,17.2,2069300
2010-01-25,24.04,24.13,23.14,23.7,17.21,1571600
2010-01-26,23.57,24.74,23.5,24.25,17.61,1891300
2010-01-27,24.17,24.65,23.76,24.65,17.9,1801300
2010-01-28,24.79,24.87,23.78,24.02,17.44,1328300
2010-01-29,24.1,24.66,23.8,24.0,17.43,2014700
2010-02-01,24.37,24.63,24.14,24.59,17.86,2266300
2010-02-02,24.73,25.02,24.33,24.69,17.93,3403700
2010-02-03,24.49,24.49,23.48,23.86,17.33,1532900
2010-02-04,23.57,23.68,22.66,22.8,16.56,2093300
2010-02-05,22.84,23.29,22.5,23.15,16.81,2099100
2010-02-08,22.82,23.22,22.45,22.52,16.35,1721000
2010-02-09,22.95,23.0,22.18,22.49,16.33,2011700
2010-02-10,22.38,22.76,21.96,22.42,16.28,1431600
2010-02-11,22.45,22.45,21.92,22.14,16.08,2218600
2010-02-12,21.95,22.69,21.8,22.63,16.43,1838300
2010-02-16,22.96,23.39,22.8,23.3,16.92,2016500
2010-02-17,23.49,23.58,23.27,23.46,17.04,739100
2010-02-18,23.38,24.03,23.29,23.91,17.36,1435400
2010-02-19,23.78,23.94,23.58,23.76,17.25,1272700
2010-02-22,23.86,24.09,23.71,23.97,17.41,969800
2010-02-23,23.78,24.05,23.63,23.68,17.2,1082900
2010-02-24,23.73,23.92,23.61,23.92,17.37,950100
2010-02-25,23.55,24.33,23.41,24.28,17.63,1146200
2010-02-26,24.29,24.66,24.11,24.34,17.68,1332000
2010-03-01,24.46,24.65,24.3,24.46,17.76,1014600
2010-03-02,24.52,24.78,24.36,24.64,17.89,761900
2010-03-03,24.67,24.78,24.35,24.45,17.76,858800
2010-03-04,24.57,24.65,24.3,24.55,17.83,910800
2010-03-05,24.8,25.47,24.55,25.41,18.45,1198900
2010-03-08,25.36,25.93,25.27,25.81,18.74,825200
2010-03-09,25.66,26.17,25.55,26.01,18.89,1460900
2010-03-10,26.06,26.62,25.85,26.6,19.32,1518100
2010-03-11,26.32,26.99,26.3,26.92,19.55,1760700
2010-03-12,27.0,27.32,26.87,27.27,19.8,1503300
2010-03-15,27.12,27.59,26.85,27.37,19.88,1491000
2010-03-16,27.42,28.07,27.13,27.98,20.32,1975600
2010-03-17,28.12,28.84,27.86,28.58,20.76,1299900
2010-03-18,28.51,28.69,28.28,28.6,20.77,1366400
2010-03-19,28.06,28.8,27.98,28.06,20.38,1943100
2010-03-22,27.72,28.3,27.52,28.09,20.4,1490500
2010-03-23,28.18,28.59,27.92,28.47,20.68,1373500
2010-03-24,28.24,28.91,28.23,28.78,20.9,1744600
2010-03-25,28.88,29.6,28.86,28.89,20.98,1629400
2010-03-26,29.06,29.22,28.73,28.86,20.96,1393500
2010-03-29,29.06,29.12,28.44,28.5,20.7,1513500
2010-03-30,28.47,28.71,27.66,27.77,20.17,1641800
2010-03-31,27.46,27.94,27.2,27.24,19.98,2417800
2010-04-01,27.48,27.55,27.05,27.24,19.98,1880100
2010-04-05,27.38,27.94,27.31,27.75,20.36,1696300
2010-04-06,27.53,28.94,27.48,28.64,21.01,1719300
2010-04-07,28.26,28.26,27.28,27.53,20.2,14614100
2010-04-08,27.5,27.65,27.28,27.53,20.2,2879300
2010-04-09,27.6,27.91,27.29,27.9,20.47,3068100
2010-04-12,27.93,27.99,27.75,27.78,20.38,1706900
2010-04-13,27.76,28.45,27.63,28.28,20.75,2098700
2010-04-14,28.59,28.59,27.92,28.36,20.81,2997900
2010-04-15,28.19,28.32,27.29,27.42,20.12,2603000
2010-04-16,27.33,27.64,26.83,26.86,19.7,3120700
2010-04-19,26.64,27.2,26.51,27.17,19.93,1929500
2010-04-20,27.4,27.86,26.93,27.73,20.34,2161100
2010-04-21,27.63,28.24,27.37,27.7,20.32,2459900
2010-04-22,27.32,27.94,27.11,27.88,20.45,1752900
2010-04-23,28.01,28.36,27.53,28.31,20.77,2023800
2010-04-26,28.3,28.77,28.05,28.36,20.81,1820600
2010-04-27,28.16,28.38,27.5,27.54,20.2,1992100
2010-04-28,27.78,28.09,27.52,27.85,20.43,1427800
2010-04-29,28.17,29.03,28.08,28.89,21.19,2044500
2010-04-30,28.89,29.17,27.8,27.86,20.44,2417800
2010-05-03,28.13,29.0,28.13,28.88,21.19,1620300
2010-05-04,28.29,28.44,27.63,28.03,20.56,2133800
2010-05-05,27.7,28.62,27.3,27.94,20.5,2499400
2010-05-06,27.76,28.0,23.89,26.58,19.5,3697400
2010-05-07,26.52,27.82,25.33,25.47,18.69,4178000
2010-05-10,26.93,28.08,26.88,27.57,20.23,4120900
2010-05-11,27.01,28.11,26.97,27.63,20.27,2515300
2010-05-12,27.83,28.99,27.67,28.88,21.19,2435300
2010-05-13,28.84,28.85,28.13,28.31,20.77,1423800
2010-05-14,28.09,28.12,26.36,26.61,19.52,2232800
2010-05-17,26.79,27.4,25.79,26.54,19.47,1896300
2010-05-18,27.04,27.28,26.0,26.2,19.22,2444300
2010-05-19,26.13,27.08,25.19,26.22,19.24,2434700
2010-05-20,25.26,25.61,24.82,24.86,18.24,3543400
2010-05-21,24.32,25.9,24.04,25.57,18.76,3566000
2010-05-24,24.8,25.08,24.33,24.53,18.0,2654100
2010-05-25,23.86,24.52,23.14,24.49,17.97,2369700
2010-05-26,24.84,25.78,24.39,24.66,18.09,2503600
2010-05-27,25.4,26.19,25.02,26.14,19.18,2237700
2010-05-28,26.13,26.5,25.83,25.93,19.02,1910600
2010-06-01,25.74,25.87,25.04,25.11,18.42,1572000
2010-06-02,25.4,25.67,24.69,25.65,18.82,2614900
2010-06-03,25.84,25.91,25.26,25.58,18.77,1426400
2010-06-04,24.9,25.44,24.05,24.15,17.72,2760700
2010-06-07,24.45,24.83,24.0,24.06,17.65,1685100
2010-06-08,24.21,24.8,23.49,24.72,18.13,2652900
2010-06-09,25.0,26.01,25.0,25.17,18.47,1913500
2010-06-10,25.8,26.6,25.51,26.45,19.4,2256500
2010-06-11,26.12,26.83,25.98,26.82,19.68,1174700
2010-06-14,27.17,27.59,26.79,27.11,19.89,2428500
2010-06-15,27.24,27.78,27.07,27.69,20.31,1764000
2010-06-16,27.48,27.75,26.96,27.11,19.89,1389500
2010-06-17,27.23,27.33,26.74,26.94,19.76,1468700
2010-06-18,26.8,26.95,26.45,26.7,19.59,3121100
2010-06-21,27.2,27.25,26.43,26.53,19.46,1666000
2010-06-22,26.63,26.84,25.22,25.3,18.56,2359800
2010-06-23,25.23,25.63,24.9,25.4,18.63,2736000
2010-06-24,25.22,25.45,24.69,24.74,18.15,1724300
2010-06-25,24.88,25.72,24.67,25.43,18.66,2622500
2010-06-28,25.54,25.55,24.92,25.08,18.4,1161900
2010-06-29,24.52,24.78,24.0,24.2,17.75,2527500
2010-06-30,24.19,24.6,23.7,23.71,17.39,2126800
