Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,53.74,54.1,53.2,53.51,43.5,4890300
2010-01-05,53.27,54.07,53.03,54.05,43.94,6379300
2010-01-06,54.03,54.85,53.67,54.05,43.94,3013600
2010-01-07,53.85,57.21,53.75,56.98,46.32,5700800
2010-01-08,56.81,57.52,56.1,57.13,46.45,3770800
2010-01-11,57.18,58.0,56.93,57.29,46.58,2840700
2010-01-12,56.84,57.76,55.92,56.7,46.1,2778300
2010-01-13,56.58,57.49,56.29,57.04,46.46,2945800
2010-01-14,56.93,57.98,56.44,57.84,47.11,3064100
2010-01-15,57.51,58.0,56.43,56.68,46.16,3955300
2010-01-19,56.54,58.2,55.72,57.83,47.1,3770800
2010-01-20,57.71,58.94,57.3,58.79,47.88,6107900
2010-01-21,57.64,58.05,55.01,55.7,45.36,9860900
2010-01-22,56.18,56.64,53.31,53.62,43.67,7256500
2010-01-25,54.37,54.91,53.07,54.01,43.99,3369800
2010-01-26,53.87,54.81,52.6,52.66,42.89,4635100
2010-01-27,52.48,54.66,52.44,54.36,44.27,4513800
2010-01-28,54.87,55.0,53.2,54.14,44.09,4652600
2010-01-29,55.37,56.89,55.2,55.43,45.14,8374700
2010-02-01,55.82,56.22,55.01,55.86,45.49,5043100
2010-02-02,55.89,56.25,53.8,54.65,44.51,9538100
2010-02-03,54.17,54.6,53.67,53.71,43.74,74680900
2010-02-04,53.57,53.65,51.0,51.03,41.56,20035300
2010-02-05,51.72,51.89,50.46,51.79,42.18,12992600
2010-02-08,51.66,52.2,50.61,50.75,41.33,6601800
2010-02-09,51.49,52.08,50.46,51.06,41.59,9227900
2010-02-10,51.18,52.03,50.91,51.28,41.76,5768000
2010-02-11,51.31,51.7,50.74,51.4,41.86,4962000
2010-02-12,51.41,51.61,50.6,51.52,41.96,7488900
2010-02-16,51.74,52.5,51.27,52.44,42.71,6835200
2010-02-17,52.8,52.8,51.4,51.85,42.23,6298200
2010-02-18,51.47,52.22,51.44,51.87,42.25,3664900
2010-02-19,51.65,52.14,51.31,51.7,42.11,5378500
