Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.75,22.65,21.75,22.42,18.5,1060900
2010-01-05,22.3,22.4,21.79,21.99,18.15,1031700
2010-01-06,21.93,22.08,21.81,22.06,18.21,720500
2010-01-07,22.01,22.69,21.95,22.66,18.7,846000
2010-01-08,22.56,22.97,22.47,22.83,18.84,722300
2010-01-11,22.93,22.93,22.6,22.75,18.78,535100
2010-01-12,22.54,22.6,22.18,22.33,18.43,1008600
2010-01-13,22.43,22.45,22.12,22.44,18.52,531800
2010-01-14,22.33,22.54,22.28,22.51,18.57,779700
2010-01-15,22.4,22.52,21.95,21.98,18.14,686700
2010-01-19,22.0,22.6,22.0,22.36,18.45,974600
2010-01-20,22.12,22.23,21.77,21.91,18.08,1001500
2010-01-21,21.95,21.99,21.47,21.73,17.94,787000
2010-01-22,21.63,21.73,21.24,21.28,17.57,616700
2010-01-25,21.42,21.5,20.97,21.09,17.4,659700
2010-01-26,21.08,21.21,20.91,20.95,17.29,300900
2010-01-27,20.74,20.85,20.5,20.79,17.26,620100
2010-01-28,20.79,20.87,20.4,20.68,17.17,560000
2010-01-29,20.81,21.1,20.48,20.51,17.03,881700
2010-02-01,20.63,21.1,20.52,21.05,17.48,882500
2010-02-02,21.14,21.8,20.71,20.83,17.3,1811200
2010-02-03,20.81,21.01,20.66,20.98,17.42,867600
2010-02-04,20.85,21.03,20.48,20.48,17.0,909400
2010-02-05,20.44,20.44,19.85,20.36,16.91,679800
2010-02-08,20.43,20.77,20.07,20.35,16.9,894200
2010-02-09,20.6,20.9,20.46,20.68,17.17,849000
2010-02-10,20.56,20.75,20.25,20.39,16.93,704800
2010-02-11,20.28,20.67,20.1,20.62,17.12,757300
2010-02-12,20.46,20.92,20.23,20.91,17.36,1243700
2010-02-16,21.12,21.26,20.94,21.26,17.65,452600
2010-02-17,21.32,21.34,21.18,21.32,17.71,762500
2010-02-18,21.34,21.5,21.18,21.44,17.81,496200
2010-02-19,21.35,21.82,21.35,21.75,18.06,821000
2010-02-22,21.75,21.93,21.56,21.91,18.2,566200
2010-02-23,21.88,22.03,21.58,21.62,17.95,861800
2010-02-24,21.64,21.8,21.52,21.76,18.07,442800
2010-02-25,21.39,21.8,21.18,21.78,18.09,541500
2010-02-26,21.79,21.92,21.57,21.87,18.16,584400
2010-03-01,22.66,23.43,22.44,23.05,19.14,2384000
2010-03-02,23.0,23.21,22.91,22.99,19.09,969100
2010-03-03,23.1,23.18,22.75,22.88,19.0,1001300
2010-03-04,23.0,23.23,22.78,22.94,19.05,1382900
2010-03-05,23.13,23.18,22.89,23.06,19.15,766300
2010-03-08,23.01,23.11,22.83,22.86,18.98,836500
2010-03-09,22.8,23.14,22.73,23.0,19.1,489100
2010-03-10,22.98,23.12,22.88,23.06,19.15,452800
2010-03-11,22.88,23.06,22.69,23.04,19.13,448600
2010-03-12,23.06,23.06,22.69,22.94,19.05,488900
2010-03-15,22.88,23.24,22.69,23.24,19.3,908100
2010-03-16,23.24,23.67,23.15,23.65,19.64,962900
2010-03-17,23.68,23.94,23.65,23.72,19.7,521800
2010-03-18,23.69,23.94,23.62,23.73,19.71,531400
