Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,50.43,51.9,50.19,51.77,39.01,3001500
2010-01-05,51.84,52.89,51.61,52.79,39.78,3238500
2010-01-06,53.01,53.49,52.11,53.41,40.25,2848700
2010-01-07,53.4,54.47,52.78,54.27,40.9,3068100
2010-01-08,53.91,54.18,52.9,53.56,40.36,2406500
2010-01-11,54.15,54.38,52.99,53.49,40.31,2452900
2010-01-12,54.65,54.98,52.61,53.05,39.98,4279000
2010-01-13,53.19,53.89,52.3,53.8,40.54,3145300
2010-01-14,53.53,54.29,52.98,54.08,40.76,2394600
2010-01-15,53.78,53.88,52.99,53.46,40.29,3701200
2010-01-19,53.22,54.44,52.88,54.18,40.83,3343500
2010-01-20,53.98,53.98,53.04,53.62,40.41,2742400
2010-01-21,53.09,53.48,51.55,51.59,38.88,5922000
2010-01-22,51.58,51.86,49.78,50.05,37.72,4867700
2010-01-25,51.07,51.44,50.21,50.71,38.22,2779500
2010-01-26,50.26,51.35,49.26,49.47,37.28,2804500
2010-01-27,49.6,51.67,49.19,51.63,38.91,4747700
2010-01-28,51.8,52.1,49.9,50.59,38.12,3262800
2010-01-29,51.04,51.46,49.58,49.99,37.67,3453900
2010-02-01,50.47,51.58,50.33,51.22,38.6,2694000
2010-02-02,51.38,51.99,50.85,51.94,39.14,2524100
2010-02-03,51.53,51.76,50.16,50.36,37.95,3103700
2010-02-04,50.02,50.12,48.16,48.21,36.33,4758300
2010-02-05,48.35,49.17,46.33,48.53,36.57,4757900
2010-02-08,48.55,48.88,47.01,47.02,35.43,3007500
2010-02-09,47.81,49.28,47.26,48.36,36.44,4967100
2010-02-10,48.45,49.28,47.97,48.88,36.84,3037400
2010-02-11,47.97,48.98,47.78,48.59,36.62,5745200
2010-02-12,48.34,48.48,47.12,48.14,36.28,4265900
2010-02-16,48.49,49.95,48.15,49.93,37.63,3373400
2010-02-17,51.01,51.31,50.22,50.57,38.11,4228400
2010-02-18,50.18,51.24,50.18,51.08,38.49,2723400
2010-02-19,50.63,51.74,50.12,51.5,38.81,3498200
2010-02-22,51.63,51.92,50.75,51.7,38.96,3299900
2010-02-23,51.38,51.99,50.02,50.51,38.06,3093500
2010-02-24,50.79,51.95,50.54,51.9,39.11,3760200
