Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,86.27,86.58,85.2,85.45,69.65,444800
2010-01-05,85.12,85.42,83.84,84.21,68.64,327200
2010-01-06,84.41,84.59,83.95,84.18,68.61,266400
2010-01-07,84.33,84.67,84.17,84.35,68.75,354600
2010-01-08,84.33,84.44,83.82,84.2,68.63,276900
2010-01-11,84.66,84.87,84.16,84.76,69.08,394000
2010-01-12,84.56,85.52,84.41,84.86,69.17,280600
2010-01-13,84.85,85.99,84.79,85.84,69.96,192200
2010-01-14,85.39,86.05,85.32,86.03,70.12,204600
2010-01-15,85.76,85.91,84.75,84.81,69.12,208000
2010-01-19,84.8,86.31,84.8,86.29,70.33,254200
2010-01-20,85.59,86.81,85.59,86.6,70.58,344000
2010-01-21,86.49,86.88,85.49,85.75,69.89,352900
2010-01-22,85.78,85.78,84.21,84.48,68.86,289800
2010-01-25,85.02,85.31,84.1,84.57,68.93,195800
2010-01-26,84.23,85.85,84.2,84.51,68.88,321400
2010-01-27,84.27,85.89,84.27,85.89,70.0,278900
2010-01-28,85.94,85.94,84.62,84.91,69.21,209600
2010-01-29,85.28,86.91,84.95,85.74,69.88,348000
2010-02-01,86.15,86.17,85.17,85.57,69.74,179100
2010-02-02,85.46,86.15,85.37,86.02,70.11,202600
2010-02-03,85.76,85.78,85.02,85.26,69.49,287300
2010-02-04,85.0,85.47,83.54,83.54,68.09,484500
2010-02-05,83.58,83.83,82.18,83.28,67.88,413000
2010-02-08,83.4,83.45,82.45,82.8,67.49,306300
2010-02-09,83.42,83.91,82.82,83.74,68.25,175600
2010-02-10,83.33,84.99,82.88,84.37,68.77,376800
2010-02-11,84.46,84.46,79.55,80.01,65.21,1755900
2010-02-12,79.39,81.19,79.0,80.97,65.99,892500
2010-02-16,81.36,82.45,80.85,82.36,67.13,667300
2010-02-17,82.46,82.7,82.16,82.5,67.24,642800
2010-02-18,82.63,83.61,82.43,83.46,68.02,504500
2010-02-19,83.4,84.11,83.3,83.86,68.35,338200
2010-02-22,83.81,84.53,83.6,84.43,68.81,306200
2010-02-23,84.04,84.63,83.72,84.2,68.63,421800
2010-02-24,84.39,85.3,83.96,85.22,69.46,382900
2010-02-25,84.66,86.01,84.46,85.81,69.94,430700
2010-02-26,86.11,86.24,85.22,85.42,69.62,332900
2010-03-01,85.69,85.71,84.7,85.48,69.67,412700
2010-03-02,85.5,85.53,84.01,84.45,68.83,948100
2010-03-03,84.7,84.7,82.9,83.01,67.66,938800
2010-03-04,82.99,83.13,82.46,82.7,67.4,635700
2010-03-05,83.02,83.08,81.6,81.76,66.64,1054500
2010-03-08,81.5,83.39,81.08,83.26,68.26,886400
2010-03-09,83.28,83.38,82.03,82.54,67.67,555700
2010-03-10,82.27,82.84,81.87,82.64,67.75,536200
2010-03-11,82.25,83.2,82.0,83.12,68.15,636100
2010-03-12,83.12,83.19,82.27,82.53,67.66,293500
2010-03-15,82.38,82.52,81.58,82.12,67.33,239100
2010-03-16,81.99,81.99,81.45,81.76,67.03,439700
2010-03-17,82.1,82.72,81.64,82.38,67.54,405200
2010-03-18,82.6,82.6,82.07,82.27,67.45,213400
2010-03-19,80.83,82.5,80.79,80.83,66.27,688900
2010-03-22,80.57,80.84,79.86,80.1,65.67,611400
2010-03-23,80.13,80.13,79.32,79.53,65.2,967700
2010-03-24,79.53,80.02,79.16,79.55,65.22,899800
2010-03-25,80.04,80.77,79.38,79.97,65.56,769200
2010-03-26,79.86,80.47,79.61,79.77,65.4,522400
2010-03-29,80.15,81.0,79.93,80.86,66.29,599000
2010-03-30,81.08,81.12,79.96,80.88,66.31,779200
2010-03-31,80.5,81.45,79.78,80.93,66.35,752700
2010-04-01,81.23,81.55,80.41,80.81,66.25,433700
2010-04-05,80.81,80.85,80.2,80.51,66.01,393000
2010-04-06,80.37,80.72,80.23,80.56,66.05,511800
2010-04-07,80.31,81.95,80.3,81.86,67.11,739800
2010-04-08,81.57,81.59,81.01,81.51,66.83,393700
2010-04-09,81.62,81.79,80.88,81.77,67.04,258900
2010-04-12,81.98,82.01,81.12,81.96,67.2,476100
2010-04-13,81.85,82.27,81.71,82.04,67.26,253300
