Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,51.92,52.25,51.7,52.21,40.79,1897000
2010-01-05,52.22,52.29,51.22,51.45,40.2,3721400
2010-01-06,51.37,51.6,50.59,50.73,39.63,3688100
2010-01-07,50.78,51.62,50.53,51.35,40.12,4251400
2010-01-08,51.13,52.48,51.13,52.45,40.98,2502000
2010-01-11,52.5,53.03,52.44,53.0,41.41,2417300
2010-01-12,52.73,53.01,52.25,53.0,41.41,2525500
2010-01-13,53.11,53.89,52.93,53.74,41.99,2072300
2010-01-14,53.8,54.42,53.52,54.39,42.49,2846100
2010-01-15,54.18,54.26,53.66,53.98,42.17,2657600
2010-01-19,53.85,54.72,53.15,54.71,42.74,2828200
2010-01-20,54.32,54.53,53.73,54.48,42.56,2881900
2010-01-21,54.45,54.87,53.43,53.64,41.91,3066800
2010-01-22,53.48,53.99,52.95,53.01,41.42,1876400
2010-01-25,53.37,53.7,52.88,53.21,41.57,1659000
2010-01-26,53.2,53.94,52.97,53.47,41.78,2576700
2010-01-27,53.52,53.63,52.65,53.46,41.77,3198000
2010-01-28,53.41,53.6,51.72,52.7,41.17,5129200
2010-01-29,52.97,52.97,52.25,52.43,40.96,3637600
2010-02-01,52.46,52.96,52.14,52.96,41.38,2723300
2010-02-02,53.14,54.82,52.68,54.69,42.73,4119100
2010-02-03,54.4,55.0,54.4,54.82,42.83,2847400
2010-02-04,54.65,54.73,53.86,53.89,42.1,3581400
2010-02-05,53.81,54.33,52.56,53.41,41.73,3117700
2010-02-08,53.5,53.73,52.79,52.79,41.24,2253300
2010-02-09,53.24,53.97,52.95,53.41,41.73,2635500
2010-02-10,53.35,53.83,53.27,53.51,41.81,2240400
2010-02-11,53.36,53.8,53.1,53.66,41.92,2152400
2010-02-12,53.24,53.61,52.92,53.4,41.72,2807100
2010-02-16,53.36,54.57,53.14,54.5,42.58,3270100
2010-02-17,54.63,54.81,53.92,54.52,42.6,2557600
2010-02-18,54.49,55.63,54.22,55.36,43.25,4478600
2010-02-19,55.28,55.65,54.96,55.54,43.39,3963400
2010-02-22,55.75,56.2,55.54,55.85,43.63,2540300
2010-02-23,55.86,56.3,55.49,55.51,43.37,2028700
2010-02-24,56.61,56.61,55.72,56.17,43.88,2145900
2010-02-25,55.51,55.9,55.07,55.85,43.63,2123200
2010-02-26,56.02,56.86,55.99,56.24,43.94,3053200
2010-03-01,56.54,57.05,56.35,56.79,44.37,1719100
2010-03-02,57.06,57.22,56.58,56.86,44.42,1889700
2010-03-03,56.94,57.0,56.43,56.48,44.13,1516100
2010-03-04,56.56,56.94,56.48,56.73,44.32,1600200
2010-03-05,56.89,57.32,56.75,57.11,44.62,2189200
2010-03-08,57.13,57.32,56.94,57.07,44.59,1615400
2010-03-09,57.09,57.2,56.93,57.1,44.61,1901700
2010-03-10,56.99,57.21,56.84,57.1,44.61,1562000
2010-03-11,56.82,57.02,56.09,56.99,44.53,1859400
2010-03-12,56.95,57.05,56.28,56.68,44.28,2099400
2010-03-15,56.52,56.74,56.0,56.56,44.19,2360400
2010-03-16,56.79,56.97,56.62,56.81,44.38,3890500
2010-03-17,56.79,56.92,56.51,56.84,44.41,1539400
2010-03-18,56.73,57.07,56.69,56.84,44.41,2706700
2010-03-19,56.87,57.08,56.48,56.87,44.43,3843000
2010-03-22,56.7,57.09,56.5,57.09,44.6,2538900
2010-03-23,57.08,57.32,56.97,57.25,44.73,2445300
2010-03-24,57.19,57.44,56.99,57.11,44.62,2236000
2010-03-25,58.03,58.3,57.03,57.26,44.74,4935400
2010-03-26,57.45,57.57,57.1,57.29,44.76,3136100
2010-03-29,57.58,57.74,57.16,57.67,45.06,2173200
2010-03-30,57.81,57.82,57.11,57.45,44.88,1485200
2010-03-31,57.24,57.46,56.86,57.12,44.63,1736300
2010-04-01,57.13,57.42,56.56,56.92,44.76,1928600
2010-04-05,57.18,57.67,57.11,57.55,45.26,1739000
2010-04-06,57.4,57.42,56.88,57.07,44.88,1531700
2010-04-07,56.94,57.34,56.75,56.81,44.68,2277000
2010-04-08,56.78,57.06,56.67,56.77,44.65,1901200
2010-04-09,56.88,57.58,56.79,57.53,45.24,1629900
