Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.01,22.1,21.92,22.02,18.46,920400
2010-01-05,21.99,22.08,21.63,21.79,18.26,831400
2010-01-06,21.78,21.84,21.27,21.37,17.91,1334400
2010-01-07,21.34,21.62,21.25,21.59,18.1,1394900
2010-01-08,21.55,21.7,21.46,21.68,18.17,702900
2010-01-11,21.81,21.94,21.55,21.67,18.16,639000
2010-01-12,21.44,21.53,21.23,21.5,18.02,724700
2010-01-13,21.46,21.61,21.25,21.5,18.02,590000
2010-01-14,21.51,21.53,21.17,21.32,17.87,913300
2010-01-15,21.26,21.32,21.08,21.12,17.7,876500
2010-01-19,21.15,21.68,21.04,21.66,18.15,1575000
2010-01-20,21.56,21.59,21.2,21.35,17.89,1026500
2010-01-21,21.32,21.55,20.91,20.94,17.55,1299600
2010-01-22,20.8,21.03,20.41,20.44,17.13,1320600
2010-01-25,20.72,20.89,19.67,20.07,16.82,2980000
2010-01-26,19.91,20.36,19.79,20.07,16.82,1952100
2010-01-27,19.95,20.29,19.61,20.19,16.92,2257900
2010-01-28,20.32,20.32,19.68,19.77,16.57,1742100
2010-01-29,19.86,20.25,19.74,19.84,16.63,2020900
2010-02-01,19.97,20.19,19.69,19.9,16.68,2014400
2010-02-02,19.95,20.21,19.79,20.12,16.86,1559000
2010-02-03,19.92,20.06,19.42,19.68,16.49,1311000
2010-02-04,19.51,19.52,18.84,18.84,15.79,1182200
2010-02-05,18.86,19.07,18.43,19.05,15.97,1465200
2010-02-08,19.03,19.24,18.76,19.12,16.03,2929500
2010-02-09,19.41,19.67,19.12,19.44,16.29,1735600
2010-02-10,19.38,19.48,19.05,19.33,16.2,1371200
2010-02-11,19.3,19.63,19.18,19.62,16.44,1949300
2010-02-12,19.34,19.61,19.13,19.57,16.4,1154800
2010-02-16,19.71,19.79,19.6,19.74,16.54,1036700
2010-02-17,19.81,20.21,19.64,19.86,16.65,1096900
2010-02-18,19.8,20.19,19.76,20.12,16.86,787500
2010-02-19,20.1,20.28,19.88,20.17,16.91,813000
2010-02-22,20.24,20.31,20.04,20.27,16.99,832100
2010-02-23,20.18,20.38,19.98,20.1,16.85,971300
2010-02-24,20.11,20.33,20.04,20.31,17.02,774800
2010-02-25,20.11,20.48,19.73,20.45,17.14,1137400
2010-02-26,20.52,20.53,20.16,20.43,17.12,1584400
2010-03-01,20.49,20.65,20.39,20.65,17.31,1178800
2010-03-02,20.75,20.85,20.62,20.78,17.42,1054900
2010-03-03,20.82,20.9,20.73,20.85,17.58,938700
2010-03-04,20.81,20.9,20.31,20.53,17.31,1469200
2010-03-05,20.73,20.94,20.62,20.91,17.63,1207800
2010-03-08,20.93,21.14,20.74,20.88,17.6,1309700
2010-03-09,20.77,20.82,20.57,20.7,17.45,1663200
2010-03-10,20.69,20.98,20.46,20.84,17.57,1746600
2010-03-11,20.76,20.89,20.61,20.86,17.58,565700
2010-03-12,21.01,21.16,20.9,21.1,17.79,936400
2010-03-15,21.11,21.19,20.96,21.18,17.85,862700
2010-03-16,21.19,21.5,21.18,21.48,18.11,1147900
2010-03-17,21.48,21.76,21.39,21.71,18.3,1124200
2010-03-18,21.75,21.81,21.64,21.74,18.33,1079200
2010-03-19,21.6,22.1,21.5,21.6,18.21,1304500
2010-03-22,21.53,21.83,21.44,21.75,18.34,1085300
2010-03-23,21.73,21.77,21.52,21.74,18.33,1104200
2010-03-24,21.68,21.69,21.46,21.47,18.1,885300
2010-03-25,21.63,21.75,21.28,21.28,17.94,1527100
2010-03-26,21.33,21.56,21.14,21.31,17.96,925400
2010-03-29,21.32,21.56,21.16,21.28,17.94,1288300
2010-03-30,21.27,21.39,21.15,21.38,18.02,1272700
2010-03-31,21.28,21.38,21.06,21.08,17.77,1079300
2010-04-01,21.26,21.53,21.18,21.33,17.98,1074600
2010-04-05,21.45,21.71,21.34,21.7,18.29,635400
2010-04-06,21.67,21.79,21.55,21.76,18.34,1214600
2010-04-07,21.68,21.87,21.45,21.51,18.13,1514600
2010-04-08,21.29,21.69,21.29,21.67,18.27,1018400
2010-04-09,21.7,21.75,21.55,21.7,18.29,842600
2010-04-12,21.73,21.8,21.39,21.49,18.12,944000
2010-04-13,21.43,21.51,21.19,21.48,18.11,1044300
2010-04-14,21.5,22.13,21.5,22.13,18.66,1594100
2010-04-15,22.16,22.7,22.02,22.7,19.14,1987200
2010-04-16,22.71,22.86,22.35,22.45,18.93,2397300
2010-04-19,22.32,22.59,22.27,22.56,19.02,1315000
2010-04-20,22.64,22.99,22.59,22.94,19.34,1351900
2010-04-21,23.02,23.41,22.96,23.08,19.46,1517100
2010-04-22,22.97,23.21,22.76,23.2,19.56,984000
2010-04-23,23.17,23.36,23.02,23.26,19.61,933300
2010-04-26,23.32,23.43,23.0,23.13,19.5,1242000
2010-04-27,23.03,23.18,22.72,22.76,19.19,2343900
2010-04-28,22.96,23.18,21.95,22.3,18.8,2804700
2010-04-29,22.38,22.47,22.04,22.29,18.79,1132700
2010-04-30,22.37,22.49,21.45,21.5,18.12,1868600
2010-05-03,21.64,21.71,21.35,21.68,18.28,1674000
2010-05-04,21.41,21.65,21.28,21.51,18.13,2041300
2010-05-05,21.36,21.75,21.18,21.44,18.07,1553500
2010-05-06,21.31,21.49,19.32,20.68,17.43,1912400
2010-05-07,20.64,20.95,20.16,20.58,17.35,2594000
2010-05-10,21.49,21.61,21.22,21.46,18.09,1135600
2010-05-11,21.27,21.41,21.02,21.05,17.75,1352100
2010-05-12,21.06,21.42,21.02,21.37,18.01,764200
2010-05-13,21.37,21.75,21.12,21.54,18.16,1404500
2010-05-14,21.44,21.5,21.0,21.14,17.82,1399000
2010-05-17,21.3,22.82,21.3,22.32,18.82,3094600
2010-05-18,22.41,22.53,21.55,21.55,18.17,1927900
2010-05-19,21.47,21.79,21.32,21.72,18.31,1730500
2010-05-20,21.17,21.29,20.63,20.63,17.39,1556200
2010-05-21,20.47,20.98,20.04,20.96,17.67,2113000
2010-05-24,20.78,20.89,20.51,20.58,17.35,1439300
2010-05-25,20.07,20.62,19.83,20.62,17.38,1402900
2010-05-26,20.77,20.91,20.4,20.47,17.26,1440600
2010-05-27,20.89,21.08,20.53,21.07,17.76,1366000
2010-05-28,21.07,21.12,20.72,20.84,17.57,944200
2010-06-01,20.6,20.88,20.24,20.27,17.09,1084600
2010-06-02,20.27,20.65,20.14,20.64,17.5,816700
2010-06-03,20.71,20.87,20.59,20.83,17.66,936300
2010-06-04,20.44,20.72,20.02,20.11,17.05,1430300
2010-06-07,20.11,20.18,19.87,19.96,16.93,1592900
2010-06-08,19.93,20.15,19.71,20.07,17.02,2248400
2010-06-09,20.18,20.41,19.99,20.22,17.15,1835000
2010-06-10,20.52,20.75,20.3,20.6,17.47,1101200
2010-06-11,20.39,20.91,20.33,20.85,17.68,1127400
2010-06-14,21.05,21.31,20.87,20.93,17.75,821500
2010-06-15,21.03,21.34,21.03,21.34,18.1,1006400
2010-06-16,21.13,21.32,21.01,21.18,17.96,852100
2010-06-17,21.27,21.38,21.09,21.37,18.12,907300
2010-06-18,21.45,21.54,21.36,21.52,18.25,1015200
2010-06-21,21.83,21.86,21.22,21.4,18.15,880400
2010-06-22,21.41,21.5,20.9,20.93,17.75,614200
2010-06-23,20.92,21.09,20.65,20.89,17.72,846100
2010-06-24,20.87,21.14,20.6,20.65,17.51,764700
2010-06-25,20.69,20.81,20.42,20.69,17.55,872700
2010-06-28,20.7,20.79,20.39,20.43,17.33,762600
2010-06-29,20.16,20.39,19.9,20.0,16.96,1332700
2010-06-30,19.94,20.09,19.62,19.72,16.72,1733800
2010-07-01,19.74,19.83,19.28,19.59,16.61,1078900
2010-07-02,19.65,19.66,19.34,19.49,16.53,832000
2010-07-06,19.7,19.86,19.48,19.77,16.77,2096600
2010-07-07,19.84,20.32,19.73,20.32,17.23,1259700
2010-07-08,20.44,20.69,20.31,20.68,17.54,937500
2010-07-09,20.8,20.93,20.68,20.85,17.68,628800
2010-07-12,20.85,21.2,20.81,20.86,17.69,732700
2010-07-13,21.02,21.63,21.02,21.57,18.29,907400
2010-07-14,21.49,21.64,21.29,21.58,18.3,821300
2010-07-15,21.6,21.87,21.47,21.81,18.5,1073500
2010-07-16,21.74,21.74,21.06,21.12,17.91,751900
2010-07-19,21.19,21.29,21.03,21.27,18.04,552600
2010-07-20,21.07,21.88,21.01,21.87,18.55,1129800
2010-07-21,22.0,22.04,21.43,21.65,18.36,1093500
2010-07-22,21.9,22.3,21.86,22.2,18.83,762200
2010-07-23,22.18,22.74,22.15,22.68,19.23,755800
2010-07-26,22.74,23.05,22.74,22.86,19.39,1378300
2010-07-27,23.0,23.06,22.78,22.96,19.47,988400
2010-07-28,22.67,22.96,21.75,22.33,18.94,1933700
2010-07-29,22.49,22.71,21.65,21.86,18.54,1835400
2010-07-30,21.62,21.86,21.49,21.63,18.34,1603800
2010-08-02,21.88,22.39,21.88,22.32,18.93,1160600
2010-08-03,22.25,22.35,22.09,22.25,18.87,810300
2010-08-04,22.33,22.52,22.26,22.49,19.07,770500
2010-08-05,22.4,22.52,22.19,22.4,19.0,1142200
2010-08-06,22.24,22.36,21.9,22.36,18.96,1085200
2010-08-09,22.5,22.71,22.4,22.63,19.19,482800
2010-08-10,22.42,22.57,22.18,22.47,19.05,846100
2010-08-11,22.17,22.17,21.78,21.79,18.48,956800
2010-08-12,21.5,21.86,21.39,21.69,18.39,721600
2010-08-13,21.59,21.79,21.56,21.64,18.35,985400
2010-08-16,21.53,21.74,21.43,21.65,18.36,537900
2010-08-17,22.02,22.62,22.0,22.53,19.11,1307100
