Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,42.01,43.41,41.74,42.98,42.98,463200
2010-01-05,42.98,43.12,42.37,42.58,42.58,510900
2010-01-06,42.58,43.35,42.45,42.93,42.93,575000
2010-01-07,42.82,44.93,42.82,44.69,44.69,685600
2010-01-08,45.26,47.85,44.92,47.59,47.59,1309200
2010-01-11,47.78,47.94,46.86,47.21,47.21,381200
2010-01-12,47.0,47.97,45.73,46.38,46.38,799400
2010-01-13,46.72,46.78,45.62,46.47,46.47,572600
2010-01-14,46.42,47.33,46.35,46.77,46.77,595500
2010-01-15,46.83,46.83,44.84,45.99,45.99,559200
2010-01-19,45.95,46.63,45.55,46.41,46.41,485600
2010-01-20,46.16,47.2,45.9,47.04,47.04,790700
2010-01-21,47.08,47.96,46.66,47.39,47.39,1153200
2010-01-22,47.43,47.79,44.3,45.19,45.19,1267900
2010-01-25,45.74,46.24,44.3,44.87,44.87,471900
2010-01-26,44.87,45.8,43.98,44.17,44.17,436500
2010-01-27,43.87,44.89,43.34,44.71,44.71,492900
2010-01-28,44.94,45.37,43.45,44.07,44.07,644100
2010-01-29,44.12,44.49,42.93,43.39,43.39,559900
2010-02-01,43.59,44.2,43.1,43.62,43.62,325700
2010-02-02,43.48,43.59,42.62,43.07,43.07,522400
2010-02-03,43.94,44.65,42.66,43.59,43.59,610000
2010-02-04,43.09,43.1,41.36,41.74,41.74,488400
2010-02-05,41.74,42.62,40.43,41.28,41.28,575600
2010-02-08,41.28,41.91,40.48,41.48,41.48,649100
2010-02-09,42.02,42.33,40.78,40.92,40.92,863500
2010-02-10,40.78,40.93,39.8,40.24,40.24,1334200
2010-02-11,40.01,40.49,39.5,40.23,40.23,701800
2010-02-12,40.01,40.77,39.75,40.6,40.6,549200
2010-02-16,40.77,41.88,40.44,41.87,41.87,376300
2010-02-17,41.98,42.2,41.53,41.95,41.95,331500
2010-02-18,41.98,42.32,41.67,41.82,41.82,614900
2010-02-19,41.85,43.17,41.77,43.09,43.09,536400
2010-02-22,43.11,44.0,43.11,43.75,43.75,478400
2010-02-23,43.52,43.92,43.27,43.31,43.31,619400
2010-02-24,43.51,44.85,43.14,44.72,44.72,658900
2010-02-25,43.74,44.63,43.74,44.56,44.56,543700
2010-02-26,44.47,44.75,44.13,44.56,44.56,414800
2010-03-01,44.71,45.24,44.46,45.02,45.02,457300
2010-03-02,45.0,46.11,44.77,45.71,45.71,478500
2010-03-03,45.64,46.49,45.56,46.28,46.28,492500
2010-03-04,45.99,46.49,45.76,45.88,45.88,551700
2010-03-05,46.27,47.5,45.97,47.1,47.1,568300
2010-03-08,46.93,47.16,46.55,46.89,46.89,390000
2010-03-09,46.55,46.56,45.34,45.43,45.43,628000
2010-03-10,45.54,46.12,45.39,46.1,46.1,425200
2010-03-11,45.84,46.44,45.65,46.42,46.42,351500
2010-03-12,46.75,46.75,45.72,46.03,46.03,296400
2010-03-15,46.06,46.41,45.79,46.2,46.2,352800
2010-03-16,46.23,46.77,46.08,46.77,46.77,307200
2010-03-17,46.85,47.47,46.85,47.45,47.45,348800
2010-03-18,47.44,47.49,46.57,46.76,46.76,258200
2010-03-19,46.98,47.35,45.93,46.59,46.59,465500
2010-03-22,46.39,47.5,46.27,47.11,47.11,387600
2010-03-23,47.21,48.43,46.68,48.38,48.38,439600
2010-03-24,48.23,48.25,47.67,48.02,48.02,241300
2010-03-25,48.16,48.71,47.0,47.02,47.02,428700
2010-03-26,47.35,47.62,46.23,46.44,46.44,290500
2010-03-29,46.78,47.24,46.36,46.51,46.51,306900
2010-03-30,46.6,47.43,46.6,47.18,47.18,328500
2010-03-31,46.85,47.74,46.62,46.66,46.66,303000
2010-04-01,47.01,47.89,46.25,47.0,47.0,165500
2010-04-05,47.11,47.6,46.91,47.27,47.27,405300
2010-04-06,47.24,49.78,46.85,49.2,49.2,772600
2010-04-07,49.2,49.68,48.6,48.92,48.92,487800
2010-04-08,48.72,49.46,47.79,49.29,49.29,262700
2010-04-09,49.43,49.43,48.44,48.98,48.98,428500
2010-04-12,48.72,49.2,48.13,48.92,48.92,373700
2010-04-13,48.67,49.28,47.96,49.06,49.06,285500
2010-04-14,49.41,49.47,48.93,49.23,49.23,537100
2010-04-15,49.38,49.74,49.13,49.42,49.42,339700
2010-04-16,49.36,49.36,48.07,48.6,48.6,458600
2010-04-19,48.25,48.56,47.31,48.0,48.0,511600
2010-04-20,48.24,49.14,47.92,49.04,49.04,277500
2010-04-21,49.07,50.71,49.07,50.45,50.45,793000
2010-04-22,49.86,51.14,49.62,50.82,50.82,557200
2010-04-23,50.74,52.16,48.99,51.66,51.66,738300
2010-04-26,51.63,52.28,51.26,51.3,51.3,393800
2010-04-27,50.83,52.0,49.53,49.83,49.83,441300
2010-04-28,50.2,50.69,49.37,49.6,49.6,263100
2010-04-29,50.0,51.0,49.24,50.76,50.76,368700
2010-04-30,50.7,51.0,49.18,49.18,49.18,338200
2010-05-03,49.41,49.72,48.55,48.83,48.83,488800
2010-05-04,48.31,48.31,46.79,47.14,47.14,468300
2010-05-05,46.41,47.7,45.76,47.67,47.67,485300
2010-05-06,47.46,48.1,44.26,46.52,46.52,817200
2010-05-07,46.22,46.76,44.71,45.79,45.79,769700
2010-05-10,47.67,49.52,47.49,49.48,49.48,991500
2010-05-11,48.69,50.74,48.42,50.09,50.09,811900
2010-05-12,48.97,50.57,48.59,50.06,50.06,589400
2010-05-13,49.78,50.5,49.51,50.02,50.02,407200
2010-05-14,49.57,49.72,47.0,47.53,47.53,923600
2010-05-17,47.7,48.24,46.05,46.92,46.92,803900
2010-05-18,47.65,47.87,45.82,46.27,46.27,724900
2010-05-19,46.5,47.39,45.91,46.73,46.73,799900
2010-05-20,45.78,46.43,43.16,43.28,43.28,1186900
2010-05-21,43.12,44.7,42.56,44.39,44.39,1034000
2010-05-24,44.26,44.9,43.6,44.11,44.11,621600
2010-05-25,43.16,43.38,41.81,43.29,43.29,1251100
2010-05-26,43.44,44.79,43.34,43.86,43.86,874500
2010-05-27,44.67,45.9,44.23,45.87,45.87,485500
2010-05-28,46.84,46.84,44.49,44.86,44.86,723900
2010-06-01,44.5,44.71,43.17,43.18,43.18,465800
2010-06-02,43.39,45.29,43.27,45.25,45.25,359200
2010-06-03,45.08,45.53,44.57,44.78,44.78,425000
2010-06-04,44.22,44.22,41.87,41.92,41.92,921300
2010-06-07,41.97,42.53,41.55,41.68,41.68,574100
2010-06-08,41.75,42.33,40.78,42.24,42.24,586800
2010-06-09,42.48,42.8,41.17,41.44,41.44,519000
2010-06-10,42.18,42.83,42.01,42.73,42.73,283400
2010-06-11,42.07,43.09,42.07,43.06,43.06,291800
2010-06-14,43.44,44.69,43.23,43.81,43.81,414200
2010-06-15,44.23,45.29,43.73,45.15,45.15,405600
2010-06-16,44.66,45.14,44.5,44.6,44.6,246000
2010-06-17,44.7,44.98,44.1,44.67,44.67,295600
2010-06-18,44.88,44.94,44.24,44.87,44.87,411900
2010-06-21,45.25,45.37,44.19,44.39,44.39,249500
2010-06-22,44.59,45.74,44.07,44.23,44.23,461900
2010-06-23,44.1,44.53,43.22,43.8,43.8,394500
2010-06-24,43.49,43.98,42.64,43.04,43.04,337600
2010-06-25,43.23,44.28,42.79,44.22,44.22,700100
2010-06-28,44.07,44.52,43.55,44.23,44.23,311200
2010-06-29,43.46,43.58,41.15,41.42,41.42,820700
2010-06-30,41.27,42.05,41.12,41.23,41.23,638400
2010-07-01,41.1,41.24,38.26,40.31,40.31,1101400
2010-07-02,40.45,40.45,39.14,39.36,39.36,718500
2010-07-06,39.86,40.56,39.58,39.89,39.89,550300
2010-07-07,40.0,41.54,39.65,41.46,41.46,403300
2010-07-08,41.71,42.06,40.83,41.48,41.48,344500
2010-07-09,41.5,42.16,41.22,42.1,42.1,420200
2010-07-12,41.85,42.33,41.42,41.89,41.89,327200
2010-07-13,42.34,43.2,41.96,42.99,42.99,529100
2010-07-14,42.74,42.98,42.27,42.67,42.67,530500
2010-07-15,42.76,42.83,41.21,41.83,41.83,468100
2010-07-16,41.42,41.49,39.97,40.21,40.21,524100
2010-07-19,40.47,40.7,39.39,39.9,39.9,352300
2010-07-20,39.2,40.13,38.77,40.1,40.1,405600
2010-07-21,40.25,40.71,38.55,38.57,38.57,531800
2010-07-22,39.26,40.46,38.64,40.09,40.09,797400
2010-07-23,40.23,45.16,40.12,44.99,44.99,2115900
2010-07-26,45.22,45.89,44.64,45.11,45.11,776200
2010-07-27,45.47,46.17,45.04,45.19,45.19,570500
2010-07-28,44.97,45.34,44.27,44.62,44.62,359100
2010-07-29,44.92,45.21,43.52,43.93,43.93,609000
2010-07-30,43.16,43.84,42.7,43.19,43.19,733300
2010-08-02,43.95,44.24,43.35,43.44,43.44,483700
2010-08-03,43.1,44.3,43.03,43.39,43.39,399100
2010-08-04,43.51,44.15,43.41,43.77,43.77,464600
2010-08-05,43.47,43.47,42.35,42.85,42.85,350900
2010-08-06,42.3,42.52,41.71,42.48,42.48,339500
2010-08-09,42.91,43.29,41.99,43.23,43.23,318800
2010-08-10,42.54,43.31,42.27,42.43,42.43,483400
2010-08-11,41.55,41.81,40.47,40.53,40.53,535500
2010-08-12,39.94,40.99,39.92,40.48,40.48,483100
2010-08-13,40.21,40.72,39.52,39.58,39.58,343900
2010-08-16,39.32,40.14,39.31,39.97,39.97,228200
2010-08-17,40.34,41.05,39.98,40.93,40.93,435300
2010-08-18,40.97,40.97,40.23,40.38,40.38,317000
2010-08-19,40.03,40.28,38.99,39.34,39.34,601400
2010-08-20,39.05,39.59,38.75,39.42,39.42,412500
2010-08-23,39.79,39.86,38.11,38.12,38.12,454800
2010-08-24,37.88,37.95,37.09,37.29,37.29,692500
2010-08-25,37.01,37.44,36.72,37.15,37.15,511300
2010-08-26,37.21,38.62,37.2,38.02,38.02,653100
2010-08-27,38.46,38.77,37.33,38.71,38.71,512200
2010-08-30,38.59,38.59,36.88,36.95,36.95,352500
2010-08-31,36.82,37.76,36.76,37.17,37.17,338400
2010-09-01,37.87,39.66,37.66,39.59,39.59,739300
2010-09-02,39.56,39.58,39.11,39.47,39.47,251000
2010-09-03,39.99,41.0,39.87,40.7,40.7,437500
2010-09-07,40.39,40.4,39.17,39.71,39.71,402400
2010-09-08,39.83,40.38,39.7,39.82,39.82,272600
2010-09-09,40.49,40.62,39.37,39.63,39.63,252900
2010-09-10,39.66,40.34,39.62,40.13,40.13,456300
2010-09-13,40.77,42.2,40.65,42.05,42.05,423200
2010-09-14,42.04,42.04,40.71,41.02,41.02,264700
2010-09-15,40.8,41.41,40.4,41.24,41.24,199200
2010-09-16,41.09,41.09,40.03,40.49,40.49,214800
2010-09-17,40.85,40.85,39.78,40.23,40.23,321500
2010-09-20,40.35,41.74,39.9,41.7,41.7,394600
2010-09-21,41.74,42.15,41.06,41.12,41.12,298300
2010-09-22,40.85,41.39,39.68,39.84,39.84,579700
2010-09-23,39.47,40.26,38.99,39.02,39.02,610400
2010-09-24,39.69,40.56,39.14,40.54,40.54,492500
2010-09-27,40.53,40.88,39.98,40.16,40.16,438400
2010-09-28,40.42,40.99,39.47,40.85,40.85,276600
2010-09-29,40.55,41.58,40.13,41.41,41.41,426300
2010-09-30,41.75,42.94,41.6,42.32,42.32,898100
2010-10-01,42.62,42.68,41.48,42.19,42.19,524800
2010-10-04,42.04,42.6,41.88,42.37,42.37,691600
2010-10-05,42.78,43.58,42.27,43.5,43.5,579300
2010-10-06,43.56,43.8,43.27,43.55,43.55,489500
2010-10-07,43.91,44.18,43.14,43.78,43.78,521600
2010-10-08,43.73,44.79,43.56,44.55,44.55,542600
2010-10-11,44.46,44.71,44.16,44.46,44.46,375600
2010-10-12,44.37,44.73,43.84,44.57,44.57,458300
2010-10-13,44.81,46.58,44.4,45.54,45.54,878900
2010-10-14,45.33,45.61,44.47,44.84,44.84,742000
2010-10-15,45.47,45.96,43.9,43.93,43.93,540400
2010-10-18,43.95,45.54,43.85,45.48,45.48,485100
2010-10-19,44.77,45.56,44.11,44.27,44.27,593000
2010-10-20,44.41,44.64,43.74,44.39,44.39,412400
2010-10-21,44.47,45.1,43.49,43.84,43.84,532300
2010-10-22,43.9,45.27,43.79,44.29,44.29,721900
2010-10-25,44.49,44.9,43.26,43.31,43.31,422400
2010-10-26,43.11,44.13,42.89,43.53,43.53,534900
2010-10-27,43.13,43.96,42.99,43.33,43.33,376600
2010-10-28,43.66,43.92,43.11,43.28,43.28,298600
2010-10-29,43.21,43.6,42.41,43.34,43.34,205400
2010-11-01,43.49,43.76,42.48,42.78,42.78,437500
2010-11-02,43.26,43.92,42.99,43.58,43.58,247100
2010-11-03,43.52,44.42,43.52,44.41,44.41,326900
2010-11-04,45.0,46.0,44.8,45.86,45.86,476100
2010-11-05,45.99,47.19,45.52,47.17,47.17,639600
2010-11-08,46.99,47.21,45.96,47.06,47.06,493100
2010-11-09,47.25,47.38,46.0,46.33,46.33,427500
2010-11-10,46.49,47.55,46.23,47.42,47.42,343400
2010-11-11,46.77,47.75,46.65,47.63,47.63,336800
2010-11-12,47.04,47.49,46.2,46.22,46.22,444400
2010-11-15,46.35,47.56,46.16,47.07,47.07,515500
2010-11-16,46.52,46.64,45.49,45.74,45.74,587100
2010-11-17,45.83,46.12,45.39,45.65,45.65,243500
2010-11-18,46.18,46.8,46.15,46.44,46.44,245800
2010-11-19,46.41,46.98,46.1,46.95,46.95,432500
2010-11-22,46.55,46.93,45.77,45.9,45.9,428200
2010-11-23,45.32,45.89,44.99,45.13,45.13,396900
2010-11-24,45.6,46.7,45.6,46.64,46.64,356500
2010-11-26,46.17,46.69,45.45,45.48,45.48,120400
2010-11-29,45.16,46.31,45.11,46.11,46.11,182500
2010-11-30,45.5,45.74,44.9,44.93,44.93,381800
2010-12-01,45.79,47.52,45.79,47.39,47.39,583300
2010-12-02,47.49,49.07,47.05,49.05,49.05,541500
2010-12-03,48.64,49.48,47.81,49.34,49.34,401000
2010-12-06,49.11,49.88,48.74,49.75,49.75,306300
2010-12-07,50.19,50.19,49.17,49.27,49.27,454000
2010-12-08,49.56,50.42,49.56,50.17,50.17,347000
2010-12-09,50.61,51.13,50.03,50.7,50.7,739900
2010-12-10,50.9,51.3,50.67,51.2,51.2,569800
2010-12-13,51.42,51.43,50.57,50.91,50.91,452100
2010-12-14,51.13,51.44,50.41,50.73,50.73,526600
2010-12-15,50.77,51.95,50.35,50.49,50.49,409500
2010-12-16,50.46,51.4,50.31,51.02,51.02,318800
2010-12-17,51.13,53.19,50.99,51.53,51.53,930800
2010-12-20,51.9,52.41,51.47,51.78,51.78,334500
2010-12-21,51.93,53.2,51.64,52.84,52.84,484400
2010-12-22,53.1,55.7,52.87,54.24,54.24,717100
2010-12-23,53.52,53.78,53.0,53.12,53.12,448000
2010-12-27,52.76,53.81,52.5,53.64,53.64,204800
2010-12-28,53.65,54.03,53.01,53.94,53.94,367600
2010-12-29,53.94,54.17,53.7,54.04,54.04,325200
2010-12-30,54.13,54.16,53.22,53.7,53.7,179800
2010-12-31,53.74,54.14,52.95,53.05,53.05,279600
2011-01-03,53.43,55.25,53.3,54.88,54.88,542500
2011-01-04,54.62,55.0,52.42,52.92,52.92,659500
2011-01-05,52.8,53.91,52.8,53.59,53.59,639000
2011-01-06,53.12,53.49,52.16,52.44,52.44,550300
2011-01-07,52.47,53.14,51.98,52.26,52.26,549600
2011-01-10,51.92,52.77,51.47,52.6,52.6,408900
2011-01-11,52.86,54.36,52.67,54.25,54.25,674000
2011-01-12,54.88,55.38,54.4,55.38,55.38,655700
2011-01-13,55.21,55.5,54.36,54.69,54.69,523300
2011-01-14,54.83,55.87,54.36,55.63,55.63,683400
2011-01-18,55.08,56.68,55.08,56.63,56.63,886200
2011-01-19,56.34,56.38,55.35,55.49,55.49,796300
2011-01-20,55.0,55.52,53.95,54.32,54.32,754500
2011-01-21,53.4,54.31,52.54,52.71,52.71,1528500
2011-01-24,52.29,53.03,52.26,52.72,52.72,846000
2011-01-25,52.53,53.1,52.0,53.1,53.1,715700
2011-01-26,52.69,53.52,52.28,52.7,52.7,719900
2011-01-27,52.68,53.21,52.38,52.95,52.95,539100
2011-01-28,53.06,53.37,52.17,52.42,52.42,460300
2011-01-31,52.6,53.17,52.31,52.47,52.47,563300
2011-02-01,53.12,53.73,52.14,53.18,53.18,335100
2011-02-02,52.8,53.56,52.8,53.39,53.39,314300
2011-02-03,53.1,53.66,52.79,53.58,53.58,331500
2011-02-04,53.63,54.1,53.05,53.98,53.98,293200
2011-02-07,53.21,54.44,52.84,53.36,53.36,376600
2011-02-08,53.24,53.93,52.89,53.71,53.71,268700
2011-02-09,53.46,53.59,52.8,53.31,53.31,309500
2011-02-10,52.88,53.97,52.76,53.65,53.65,249900
2011-02-11,53.47,55.1,53.26,54.88,54.88,612000
2011-02-14,54.98,55.62,54.37,55.55,55.55,484300
2011-02-15,55.38,55.76,54.93,55.11,55.11,293800
2011-02-16,55.39,56.18,55.05,55.69,55.69,506800
2011-02-17,55.53,55.53,55.09,55.36,55.36,227500
2011-02-18,55.46,55.78,54.93,55.5,55.5,288100
2011-02-22,54.7,55.65,54.17,54.56,54.56,440300
2011-02-23,54.55,54.97,53.17,53.34,53.34,533500
2011-02-24,53.53,53.65,52.26,52.78,52.78,689200
2011-02-25,52.97,54.46,52.82,54.3,54.3,616100
2011-02-28,54.62,54.7,53.93,54.18,54.18,312300
2011-03-01,54.0,54.0,52.89,53.24,53.24,623200
2011-03-02,53.13,53.24,52.29,52.53,52.53,618200
2011-03-03,52.87,53.87,52.84,53.86,53.86,619700
2011-03-04,53.84,54.18,53.61,54.09,54.09,509700
2011-03-07,54.42,54.56,53.26,53.3,53.3,368300
2011-03-08,53.27,55.1,53.21,54.71,54.71,742800
2011-03-09,54.68,55.05,54.22,54.88,54.88,801000
2011-03-10,53.93,54.35,53.42,53.55,53.55,745000
2011-03-11,53.16,53.95,53.05,53.32,53.32,463000
2011-03-14,52.52,53.5,52.47,53.39,53.39,677300
2011-03-15,51.75,53.28,51.75,52.68,52.68,844500
2011-03-16,52.7,53.06,52.19,52.43,52.43,743100
2011-03-17,53.36,53.36,52.1,52.35,52.35,534200
2011-03-18,53.25,53.43,52.85,53.31,53.31,745800
2011-03-21,54.06,54.73,53.67,54.5,54.5,1018000
2011-03-22,54.65,54.85,54.12,54.53,54.53,738300
2011-03-23,54.25,54.27,53.74,54.17,54.17,512300
2011-03-24,54.4,54.53,53.75,54.22,54.22,643500
2011-03-25,54.3,55.58,54.18,54.82,54.82,418900
2011-03-28,56.11,57.05,55.65,56.52,56.52,1212400
2011-03-29,56.32,57.99,56.21,57.17,57.17,918200
2011-03-30,57.32,57.78,57.07,57.35,57.35,606700
2011-03-31,57.18,57.76,56.84,56.93,56.93,832400
2011-04-01,57.21,57.93,57.16,57.4,57.4,1008500
2011-04-04,57.43,58.08,57.25,57.74,57.74,535800
2011-04-05,57.48,58.32,57.43,57.87,57.87,444200
2011-04-06,58.24,58.41,57.91,58.36,58.36,586200
2011-04-07,58.25,59.05,58.15,58.38,58.38,710800
