Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,43.81,44.78,43.55,44.46,37.53,3440300
2010-01-05,44.52,45.0,44.02,44.55,37.61,3992500
2010-01-06,44.4,44.67,43.65,43.81,36.99,4062100
2010-01-07,44.35,44.86,43.98,44.6,37.65,5273100
2010-01-08,44.76,45.88,44.39,45.51,38.42,6038000
2010-01-11,45.89,46.1,44.21,44.36,37.45,4260000
2010-01-12,43.91,44.85,43.91,44.2,37.32,3432600
2010-01-13,44.5,44.77,43.65,44.61,37.66,2741000
2010-01-14,44.33,44.42,43.19,43.79,36.97,4268500
2010-01-15,43.52,44.1,42.52,42.67,36.02,6887100
2010-01-19,42.51,43.33,42.45,43.2,36.47,6995200
2010-01-20,43.89,46.82,43.88,46.28,39.07,12516300
2010-01-21,46.21,46.9,45.35,45.47,38.39,8060100
2010-01-22,45.4,45.85,43.05,43.36,36.61,6370300
2010-01-25,43.85,44.42,43.17,43.94,37.1,3559200
2010-01-26,43.89,44.34,42.48,43.08,36.37,5314700
2010-01-27,42.88,44.61,42.7,44.51,37.58,5125200
2010-01-28,44.76,44.76,43.14,43.83,37.0,4129400
2010-01-29,44.15,44.52,42.61,42.88,36.2,5285700
2010-02-01,43.27,44.22,43.09,44.16,37.28,4831700
2010-02-02,44.16,44.76,43.85,44.57,37.63,5885200
2010-02-03,44.4,44.61,44.1,44.4,37.48,4762400
2010-02-04,44.02,44.35,43.0,43.07,36.36,7108400
2010-02-05,43.29,43.63,42.02,43.35,36.6,8363900
2010-02-08,43.32,44.31,42.9,43.0,36.3,5983200
2010-02-09,43.5,44.36,43.32,44.22,37.33,8471100
2010-02-10,44.22,45.33,43.99,44.64,37.69,5670300
2010-02-11,44.65,45.3,44.13,45.05,38.03,4879600
2010-02-12,44.58,44.91,44.11,44.62,37.67,5845700
2010-02-16,44.81,45.57,44.46,45.47,38.39,5037100
2010-02-17,45.38,45.45,44.52,44.84,37.86,4456800
2010-02-18,44.54,45.32,44.48,45.23,38.18,5354600
2010-02-19,45.28,47.55,45.21,46.64,39.38,9715600
2010-02-22,46.74,47.15,46.39,46.78,39.49,5888600
2010-02-23,46.61,46.96,45.64,45.86,38.72,5167200
2010-02-24,44.6,45.8,44.45,45.38,38.31,8404500
2010-02-25,44.41,45.05,44.13,44.99,37.98,7236500
2010-02-26,44.89,45.17,44.43,44.91,37.91,4911700
2010-03-01,45.04,45.22,44.72,44.97,37.97,3332500
2010-03-02,45.12,45.54,44.96,45.03,38.02,3427000
2010-03-03,45.06,45.6,44.85,44.92,37.92,2751200
2010-03-04,45.06,45.26,44.73,45.1,38.08,3835700
2010-03-05,45.48,45.92,45.07,45.64,38.53,3927800
2010-03-08,45.77,46.1,45.25,45.49,38.4,4222400
2010-03-09,45.42,46.25,45.26,45.78,38.65,3886100
2010-03-10,46.0,46.0,45.09,45.31,38.25,5213500
2010-03-11,45.3,45.33,44.56,45.03,38.02,3873100
2010-03-12,45.25,45.39,44.5,44.65,37.7,3986900
2010-03-15,44.33,44.78,43.84,44.53,37.59,2945400
2010-03-16,44.66,45.22,44.2,45.09,38.07,5488200
2010-03-17,45.73,46.72,45.22,46.27,39.06,5726000
2010-03-18,46.4,46.41,45.77,46.24,39.04,3736200
2010-03-19,45.95,46.59,45.77,45.95,38.79,4840900
2010-03-22,45.78,45.95,45.35,45.69,38.57,4227700
2010-03-23,45.74,46.18,45.56,46.16,38.97,3665500
2010-03-24,45.86,46.2,45.37,45.37,38.3,3975300
2010-03-25,45.68,47.41,45.57,46.06,38.89,5512000
2010-03-26,46.16,46.97,45.9,46.16,38.97,3392700
2010-03-29,46.51,47.11,46.07,46.27,39.06,3042300
2010-03-30,46.2,46.32,45.65,45.78,38.66,3781100
2010-03-31,45.51,45.69,44.93,45.14,38.12,5739200
2010-04-01,45.58,46.2,45.5,45.97,38.82,5157700
2010-04-05,46.23,46.43,45.86,46.35,39.14,4020300
2010-04-06,46.33,46.84,45.96,46.61,39.36,4923600
2010-04-07,46.61,46.72,46.3,46.41,39.19,4159100
2010-04-08,46.17,46.48,45.79,46.38,39.16,3751900
2010-04-09,46.6,47.32,46.26,46.96,39.65,4853000
2010-04-12,47.3,48.5,47.2,48.07,40.59,6115100
2010-04-13,48.18,48.8,47.71,47.85,40.41,5413400
2010-04-14,48.41,48.41,47.02,47.85,40.41,8091000
2010-04-15,47.88,48.33,47.75,47.95,40.49,3816400
2010-04-16,47.8,48.0,45.81,46.5,39.27,8205600
2010-04-19,46.54,47.66,46.24,47.25,39.9,6393300
2010-04-20,45.5,45.97,44.45,45.28,38.24,15816700
2010-04-21,45.04,45.05,43.14,43.67,36.88,9492600
2010-04-22,43.2,44.51,43.06,44.39,37.48,7571600
2010-04-23,44.33,44.73,43.96,44.48,37.56,5775700
2010-04-26,44.28,44.39,43.68,43.75,36.94,5513500
2010-04-27,43.38,44.11,42.7,42.78,36.12,7172200
2010-04-28,43.24,43.92,43.05,43.54,36.77,5406500
2010-04-29,43.94,44.45,43.65,44.32,37.42,4620100
2010-04-30,44.05,44.27,43.44,43.5,36.73,6039400
2010-05-03,43.51,43.85,43.44,43.79,36.98,4462200
2010-05-04,43.08,43.54,42.27,42.61,35.98,6004200
2010-05-05,41.87,43.91,41.79,43.41,36.66,7915300
2010-05-06,43.28,44.65,40.22,42.12,35.57,11345000
2010-05-07,42.01,42.95,41.1,41.34,34.91,9491400
2010-05-10,42.82,43.34,42.47,43.28,36.55,5958100
2010-05-11,42.55,43.49,42.55,42.81,36.15,5106800
2010-05-12,42.93,43.05,42.55,42.8,36.14,6078400
2010-05-13,42.66,42.9,41.9,41.91,35.39,5896600
2010-05-14,41.37,41.92,40.95,41.63,35.15,6285000
2010-05-17,41.65,41.94,40.63,41.54,35.08,4534800
2010-05-18,41.85,41.93,40.35,40.58,34.27,5664700
2010-05-19,40.48,41.18,39.72,40.6,34.28,5385600
2010-05-20,39.72,40.13,38.97,39.01,32.94,7045500
2010-05-21,38.42,39.92,38.25,39.65,33.48,8708900
2010-05-24,39.67,39.67,38.57,38.59,32.59,4244000
2010-05-25,37.83,38.94,37.48,38.88,32.83,7755200
2010-05-26,39.39,39.39,38.17,38.29,32.33,5447600
2010-05-27,39.05,39.32,38.55,39.14,33.05,6861800
2010-05-28,38.99,39.21,37.98,38.17,32.23,5511400
2010-06-01,37.89,38.19,37.02,37.02,31.26,4500100
2010-06-02,37.2,38.41,37.15,38.38,32.41,5427400
2010-06-03,38.77,39.09,38.49,38.91,32.86,5731100
2010-06-04,37.94,37.94,36.32,36.48,30.8,7684700
2010-06-07,36.76,37.02,36.21,36.28,30.64,6838700
2010-06-08,36.47,36.92,35.92,36.86,31.13,5767100
2010-06-09,37.16,37.6,36.39,36.5,30.82,4613100
2010-06-10,37.09,37.57,36.54,37.55,31.71,5543600
2010-06-11,37.02,37.7,37.02,37.68,31.82,2894600
2010-06-14,37.91,38.14,37.01,37.03,31.27,4692200
2010-06-15,37.19,38.54,37.16,38.49,32.5,6124100
2010-06-16,38.26,38.53,37.81,38.15,32.21,3894500
2010-06-17,38.23,38.32,37.19,37.57,31.72,4142300
2010-06-18,37.75,37.8,36.93,37.2,31.41,7297600
2010-06-21,37.72,37.82,37.0,37.17,31.39,5040900
2010-06-22,37.26,37.48,36.34,36.41,30.75,4624400
2010-06-23,36.37,36.57,35.6,35.81,30.24,7182500
2010-06-24,35.63,35.74,34.78,34.86,29.44,8866600
2010-06-25,35.6,36.34,35.06,35.83,30.26,11301000
2010-06-28,36.06,36.06,35.14,35.31,29.82,5215300
2010-06-29,34.58,34.89,33.76,33.95,28.68,8298300
2010-06-30,33.75,34.43,33.73,33.82,28.57,6132600
2010-07-01,33.73,33.99,32.47,33.28,28.11,8025400
2010-07-02,33.56,33.56,32.47,32.81,27.71,5083000
