Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16.02,16.17,15.89,16.12,15.36,1418700
2010-01-05,16.08,16.13,15.86,15.92,15.17,2431600
2010-01-06,15.94,16.17,15.72,16.13,15.37,2836900
2010-01-07,15.6,16.2,15.1,15.97,15.21,3870700
2010-01-08,15.88,15.88,15.55,15.66,14.92,2100300
2010-01-11,15.66,15.8,15.53,15.69,14.95,1536000
2010-01-12,15.63,15.75,15.52,15.65,14.91,1762900
2010-01-13,15.64,16.0,15.61,15.91,15.16,1518800
2010-01-14,15.98,16.48,15.98,16.33,15.56,2467000
2010-01-15,16.37,16.55,16.29,16.41,15.63,2384700
2010-01-19,16.38,16.84,16.38,16.82,16.02,2334600
2010-01-20,16.66,16.84,16.54,16.83,16.03,2655400
2010-01-21,16.72,17.04,16.72,16.79,15.99,2402300
2010-01-22,16.82,16.85,16.5,16.61,15.82,2110100
2010-01-25,16.8,16.8,16.46,16.61,15.82,1274300
2010-01-26,16.47,16.62,16.41,16.42,15.64,1001200
2010-01-27,16.4,16.48,16.06,16.34,15.57,1120600
2010-01-28,16.41,16.45,16.1,16.17,15.4,734700
2010-01-29,16.23,16.27,16.03,16.08,15.32,1461400
2010-02-01,16.18,16.29,16.07,16.23,15.46,991900
2010-02-02,16.28,16.42,16.12,16.39,15.61,829100
2010-02-03,16.36,16.42,16.19,16.31,15.54,685200
2010-02-04,16.16,16.2,15.41,15.45,14.72,1993900
2010-02-05,15.4,15.51,14.95,15.33,14.6,3211500
2010-02-08,15.37,15.37,14.87,14.93,14.22,2205700
2010-02-09,15.17,15.33,14.96,15.2,14.48,1509800
2010-02-10,15.17,15.24,14.91,15.13,14.41,1615800
2010-02-11,15.18,15.53,15.08,15.49,14.76,1351500
2010-02-12,15.38,15.59,15.28,15.36,14.63,1974200
2010-02-16,15.43,15.61,15.37,15.61,14.87,839500
2010-02-17,15.65,15.84,15.55,15.68,14.94,1360400
2010-02-18,15.61,15.8,15.56,15.59,14.85,1448000
2010-02-19,15.48,15.63,15.33,15.6,14.86,1589900
