Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.18,10.6,10.08,10.4,10.4,3666400
2010-01-05,10.38,10.49,10.11,10.47,10.47,4442300
2010-01-06,10.46,10.66,10.33,10.44,10.44,2829400
2010-01-07,10.39,10.43,9.99,10.39,10.39,2655500
2010-01-08,10.33,10.49,10.27,10.42,10.42,2143400
2010-01-11,10.5,10.82,10.41,10.68,10.68,3858200
2010-01-12,10.56,10.56,10.14,10.19,10.19,2808300
2010-01-13,10.25,10.37,10.05,10.36,10.36,1691100
2010-01-14,10.3,10.38,10.12,10.15,10.15,1403500
2010-01-15,10.2,10.29,9.92,10.08,10.08,2084500
2010-01-19,10.06,10.25,9.83,9.95,9.95,3223100
2010-01-20,9.9,9.98,9.53,9.73,9.73,3587600
2010-01-21,9.81,9.89,9.36,9.37,9.37,2600600
2010-01-22,9.88,9.88,9.25,9.29,9.29,2730300
2010-01-25,9.3,9.35,8.97,9.12,9.12,3342700
2010-01-26,9.06,9.29,9.06,9.2,9.2,2461700
2010-01-27,9.15,9.37,9.13,9.33,9.33,1938400
2010-01-28,9.34,9.42,9.08,9.28,9.28,1946700
2010-01-29,9.75,9.75,9.25,9.28,9.28,4289600
2010-02-01,9.29,9.41,9.28,9.34,9.34,1705400
2010-02-02,9.32,9.4,9.2,9.34,9.34,1847300
2010-02-03,9.33,9.82,9.33,9.6,9.6,4273300
2010-02-04,9.55,9.76,9.15,9.25,9.25,2636800
2010-02-05,9.27,9.35,9.09,9.29,9.29,2604200
2010-02-08,9.33,9.54,9.18,9.45,9.45,1760700
2010-02-09,9.56,9.66,9.35,9.52,9.52,1960200
2010-02-10,9.5,9.74,9.48,9.71,9.71,1729500
2010-02-11,9.64,9.96,9.57,9.86,9.86,1771000
2010-02-12,9.74,9.75,9.5,9.65,9.65,1384900
2010-02-16,9.7,9.83,9.57,9.75,9.75,1072200
2010-02-17,9.79,9.93,9.63,9.66,9.66,2178500
2010-02-18,9.68,9.69,9.5,9.64,9.64,1523000
2010-02-19,9.59,9.68,9.41,9.5,9.5,1641600
2010-02-22,9.52,9.57,9.19,9.24,9.24,2405200
2010-02-23,9.24,9.33,9.14,9.32,9.32,1630300
2010-02-24,9.32,9.34,9.16,9.22,9.22,1390300
2010-02-25,9.12,9.28,9.03,9.28,9.28,1538400
2010-02-26,9.31,9.64,9.21,9.62,9.62,2811100
2010-03-01,9.62,9.75,9.39,9.44,9.44,2125100
2010-03-02,9.49,9.55,9.24,9.28,9.28,2160100
2010-03-03,9.26,9.32,8.94,9.03,9.03,5512400
2010-03-04,9.5,10.02,9.31,10.02,10.02,7570800
2010-03-05,10.03,10.22,9.91,9.99,9.99,3041400
2010-03-08,10.04,10.25,9.93,10.18,10.18,1674200
2010-03-09,10.23,10.45,10.19,10.39,10.39,1741100
2010-03-10,10.42,10.54,10.32,10.5,10.5,1526000
2010-03-11,10.42,10.42,10.11,10.22,10.22,1725500
2010-03-12,10.2,10.28,10.04,10.13,10.13,1044600
2010-03-15,9.96,10.13,9.85,10.12,10.12,1304400
2010-03-16,10.13,10.14,9.85,9.96,9.96,1801300
2010-03-17,9.97,10.0,9.76,9.83,9.83,1509000
