Date,Open,High,Low,Close,Adj Close,Volume
2013-11-07,45.1,50.09,44.0,44.9,44.9,117701600
2013-11-08,45.93,46.94,40.69,41.65,41.65,27925300
2013-11-11,40.5,43.0,39.4,42.9,42.9,16113900
2013-11-12,43.66,43.78,41.83,41.9,41.9,6316700
2013-11-13,41.03,42.87,40.76,42.6,42.6,8688300
2013-11-14,42.34,45.67,42.24,44.69,44.69,11099400
2013-11-15,45.25,45.27,43.43,43.98,43.98,8010600
2013-11-18,43.5,43.95,40.85,41.14,41.14,12810600
2013-11-19,41.39,41.9,40.0,41.75,41.75,7436600
2013-11-20,41.4,41.75,40.51,41.05,41.05,5767300
2013-11-21,41.25,42.49,40.37,42.06,42.06,8324700
2013-11-22,41.81,42.28,40.97,41.0,41.0,6185200
2013-11-25,41.08,41.14,38.8,39.06,39.06,14333300
2013-11-26,39.16,40.55,38.92,40.18,40.18,9828400
2013-11-27,40.47,41.4,40.35,40.9,40.9,5536300
2013-11-29,41.4,41.58,40.9,41.57,41.57,4107000
2013-12-02,41.79,42.0,40.4,40.78,40.78,6424300
2013-12-03,40.69,41.6,40.54,41.37,41.37,5771000
2013-12-04,41.27,43.92,41.27,43.69,43.69,11014900
2013-12-05,43.45,46.35,42.83,45.62,45.62,11729400
2013-12-06,45.75,45.8,44.54,44.95,44.95,6230000
2013-12-09,45.59,49.84,45.02,49.14,49.14,17366600
2013-12-10,48.9,52.58,48.7,51.99,51.99,25792000
2013-12-11,52.4,53.87,51.0,52.34,52.34,26631500
2013-12-12,52.2,55.87,50.69,55.33,55.33,23446900
2013-12-13,56.2,59.41,55.45,59.0,59.0,38979600
2013-12-16,57.86,60.24,55.76,56.61,56.61,39310800
2013-12-17,56.97,57.38,54.62,56.45,56.45,22115200
2013-12-18,57.0,57.0,54.23,55.51,55.51,16659800
2013-12-19,55.08,57.75,55.0,57.49,57.49,13152500
2013-12-20,58.51,60.25,58.01,60.01,60.01,26207400
2013-12-23,59.85,64.99,59.7,64.54,64.54,22163800
2013-12-24,66.34,70.87,65.56,69.96,69.96,35802700
2013-12-26,72.88,74.73,69.13,73.31,73.31,82761100
2013-12-27,70.1,71.25,63.69,63.75,63.75,60418700
2013-12-30,60.27,63.71,58.57,60.51,60.51,55538300
2013-12-31,62.36,65.22,61.65,63.65,63.65,27814600
2014-01-02,65.0,67.5,64.4,67.5,67.5,29246400
2014-01-03,69.0,70.43,68.43,69.0,69.0,33207200
2014-01-06,64.83,66.87,63.5,66.29,66.29,27243700
2014-01-07,67.67,67.73,61.39,61.46,61.46,31748400
2014-01-08,58.71,61.26,57.92,59.29,59.29,27263200
2014-01-09,59.54,60.81,55.59,57.05,57.05,31092100
2014-01-10,57.5,58.76,55.87,57.0,57.0,22375900
2014-01-13,59.98,60.38,57.29,57.82,57.82,20978100
2014-01-14,58.88,59.02,57.36,58.21,58.21,14778000
2014-01-15,59.11,61.75,58.32,61.57,61.57,21537300
2014-01-16,61.45,62.4,60.46,60.57,60.57,16589400
2014-01-17,63.6,64.69,61.59,62.2,62.2,28391100
2014-01-21,63.33,63.44,61.5,62.53,62.53,13733200
2014-01-22,63.11,63.8,61.76,62.44,62.44,12039000
2014-01-23,61.45,62.81,60.88,62.8,62.8,10183700
2014-01-24,62.17,63.62,61.3,61.74,61.74,12942200
2014-01-27,61.77,61.77,56.1,57.91,57.91,18982700
2014-01-28,57.44,60.85,57.35,60.44,60.44,9346800
2014-01-29,59.62,60.95,58.6,59.45,59.45,9140000
2014-01-30,63.98,65.24,62.8,63.47,63.47,17424300
2014-01-31,63.39,65.37,62.65,64.5,64.5,15498800
2014-02-03,65.92,66.48,64.21,65.25,65.25,17890300
2014-02-04,66.25,66.37,64.5,66.32,66.32,13017400
2014-02-05,67.16,67.24,64.8,65.97,65.97,31504900
2014-02-06,50.61,53.9,49.99,50.03,50.03,64856500
2014-02-07,51.23,54.92,50.75,54.35,54.35,32204400
2014-02-10,54.5,54.59,52.34,52.92,52.92,15857400
2014-02-11,53.2,54.4,53.1,54.0,54.0,13162900
2014-02-12,55.05,57.0,54.76,56.85,56.85,20040400
2014-02-13,56.07,58.98,55.46,56.47,56.47,26009500
