Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,26.2,26.61,25.89,26.01,20.46,10369300.0
2010-01-05,25.95,26.3,25.7,25.86,20.34,10943800.0
2010-01-06,25.9,26.03,25.56,25.67,20.19,8933800.0
2010-01-07,25.6,25.84,25.36,25.75,20.25,10775400.0
2010-01-08,25.6,26.34,25.52,26.34,20.72,12875600.0
2010-01-11,26.34,26.49,25.72,26.0,20.45,11677000.0
2010-01-12,26.02,26.03,24.67,24.91,19.59,21165300.0
2010-01-13,25.01,25.16,24.67,25.02,19.68,18809200.0
2010-01-14,24.89,25.0,24.48,24.71,19.44,22908400.0
2010-01-15,24.68,24.77,24.2,24.5,19.27,20359100.0
2010-01-19,24.45,24.78,24.35,24.72,19.44,11783800.0
2010-01-20,24.52,24.61,24.2,24.55,19.31,13253500.0
2010-01-21,24.55,24.88,24.01,24.18,19.02,18407800.0
2010-01-22,24.1,24.17,23.0,23.11,18.18,21806400.0
2010-01-25,23.41,23.82,23.2,23.69,18.63,20192100.0
2010-01-26,23.39,23.9,23.29,23.35,18.37,19646700.0
2010-01-27,23.37,23.66,23.08,23.53,18.51,19535100.0
2010-01-28,23.46,23.51,22.69,23.05,18.22,20198600.0
2010-01-29,23.11,23.37,22.28,22.5,17.79,23137300.0
2010-02-01,22.56,23.08,22.56,23.05,18.22,13199000.0
2010-02-02,22.97,23.37,22.94,23.31,18.43,11891100.0
2010-02-03,23.26,23.32,22.93,23.2,18.34,12877300.0
2010-02-04,23.01,23.01,22.4,22.59,17.86,14643500.0
2010-02-05,22.55,23.13,22.5,22.97,18.16,23094000.0
2010-02-08,23.0,23.37,22.7,23.1,18.26,16138900.0
2010-02-09,23.33,23.66,23.27,23.38,18.48,17494900.0
2010-02-10,23.39,23.58,23.14,23.44,18.53,12401200.0
2010-02-11,23.43,24.0,23.3,23.77,18.79,16194800.0
2010-02-12,23.54,24.27,23.4,24.03,19.0,21796600.0
2010-02-16,24.13,24.88,24.13,24.79,19.6,22856400.0
