Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.99,13.11,12.53,12.8,12.8,8785900
2010-01-05,12.87,14.1,12.87,13.91,13.91,23646300
2010-01-06,13.74,13.99,13.13,13.27,13.27,15398700
2010-01-07,13.2,13.95,13.2,13.55,13.55,10177000
2010-01-08,13.56,13.86,13.13,13.33,13.33,5896400
2010-01-11,13.36,13.42,12.66,13.11,13.11,10168600
2010-01-12,13.0,13.16,12.59,12.69,12.69,7203300
2010-01-13,12.75,14.05,12.53,13.95,13.95,25097400
2010-01-14,13.84,14.11,13.65,13.93,13.93,8794300
2010-01-15,13.93,14.07,13.22,13.25,13.25,10210700
2010-01-19,13.24,13.76,13.12,13.26,13.26,8853400
2010-01-20,13.17,13.59,13.01,13.55,13.55,9582000
2010-01-21,13.75,14.15,13.03,13.13,13.13,13819700
2010-01-22,13.07,13.79,12.81,13.21,13.21,15336800
2010-01-25,13.54,13.7,12.58,12.88,12.88,10304600
2010-01-26,12.78,13.23,12.47,12.79,12.79,9175300
2010-01-27,13.11,13.25,12.13,12.83,12.83,16569200
2010-01-28,12.93,13.1,12.19,12.63,12.63,12183800
2010-01-29,12.73,13.0,12.18,12.23,12.23,10198200
2010-02-01,12.35,12.75,12.14,12.75,12.75,5866000
2010-02-02,12.88,13.76,12.79,13.72,13.72,16131700
2010-02-03,13.6,13.79,13.24,13.36,13.36,9889200
2010-02-04,13.1,13.1,12.21,12.36,12.36,13254700
2010-02-05,12.34,12.9,12.24,12.78,12.78,12748200
2010-02-08,12.85,13.33,12.62,13.07,13.07,10813100
2010-02-09,13.63,15.45,13.61,15.36,15.36,31243200
2010-02-10,15.25,15.76,14.9,15.36,15.36,14233800
2010-02-11,15.3,15.87,15.14,15.66,15.66,9203400
2010-02-12,15.13,15.98,15.03,15.95,15.95,11612100
2010-02-16,16.05,16.34,15.5,15.68,15.68,12249300
2010-02-17,15.73,15.73,15.36,15.49,15.49,6328100
2010-02-18,15.37,15.41,14.91,14.98,14.98,8801900
2010-02-19,14.86,15.38,14.81,15.33,15.33,5187900
2010-02-22,15.44,15.69,15.33,15.53,15.53,5174700
2010-02-23,15.54,15.74,15.13,15.58,15.58,8987500
2010-02-24,15.68,15.79,15.4,15.67,15.67,4648600
2010-02-25,15.41,15.73,15.16,15.66,15.66,4535300
2010-02-26,15.66,17.28,15.64,17.15,17.15,14314800
2010-03-01,17.25,18.49,17.23,18.03,18.03,13438700
2010-03-02,18.1,18.44,17.64,17.87,17.87,13317000
2010-03-03,17.97,18.62,17.72,18.25,18.25,9107600
2010-03-04,18.39,18.41,17.94,18.06,18.06,6289600
2010-03-05,18.26,18.35,17.96,18.23,18.23,4602000
2010-03-08,18.25,18.3,17.49,17.52,17.52,8109300
2010-03-09,18.02,19.29,18.01,18.16,18.16,21499500
2010-03-10,18.35,19.28,18.33,18.98,18.98,11737600
2010-03-11,18.89,19.21,18.62,19.17,19.17,8722900
2010-03-12,19.36,19.69,18.93,19.68,19.68,8762800
2010-03-15,19.53,19.94,19.25,19.88,19.88,7747700
2010-03-16,20.13,20.45,19.83,20.18,20.18,8962900
2010-03-17,20.19,20.38,19.35,19.49,19.49,11232200
2010-03-18,19.56,20.05,19.47,19.53,19.53,5776600
2010-03-19,18.53,19.69,18.45,18.53,18.53,11689200
2010-03-22,18.48,19.54,18.16,19.43,19.43,8082900
2010-03-23,19.64,19.68,18.94,19.53,19.53,5583200
2010-03-24,19.36,19.98,19.33,19.6,19.6,4990600
2010-03-25,19.87,20.59,19.6,19.66,19.66,7739000
2010-03-26,19.82,20.55,19.7,19.91,19.91,8910300
2010-03-29,19.98,20.31,19.65,19.99,19.99,5095300
2010-03-30,20.15,20.17,19.53,19.71,19.71,4740400
2010-03-31,19.51,19.73,19.16,19.55,19.55,6026900
2010-04-01,19.53,19.9,19.32,19.51,19.51,9057800
2010-04-05,19.63,19.78,19.08,19.35,19.35,7234800
2010-04-06,19.28,19.76,19.24,19.47,19.47,6541000
2010-04-07,19.43,19.58,18.5,18.95,18.95,12724900
2010-04-08,19.94,20.81,19.92,20.23,20.23,30718000
2010-04-09,20.32,20.55,19.76,20.5,20.5,8816400
2010-04-12,20.73,21.64,20.69,21.47,21.47,10257600
2010-04-13,21.47,22.32,21.29,21.48,21.48,10271300
2010-04-14,21.75,22.83,21.7,22.36,22.36,10705600
2010-04-15,22.2,23.83,22.03,23.54,23.54,18839100
2010-04-16,23.4,23.62,22.14,22.83,22.83,11274900
2010-04-19,22.41,22.95,21.4,21.66,21.66,12029800
2010-04-20,21.96,22.5,21.35,21.78,21.78,8354300
2010-04-21,22.0,22.17,20.78,21.43,21.43,8265800
2010-04-22,20.97,22.73,20.16,21.71,21.71,18032400
2010-04-23,21.84,23.0,21.47,22.99,22.99,14226200
2010-04-26,22.68,22.75,21.68,22.36,22.36,12219300
2010-04-27,22.36,22.71,20.35,20.51,20.51,11821100
