Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.66,31.15,30.66,31.15,29.79,1553600
2010-01-05,31.14,31.42,30.71,30.9,29.55,1210900
2010-01-06,30.93,31.23,30.65,30.75,29.41,1039700
2010-01-07,30.85,31.3,30.64,31.21,29.85,1186300
2010-01-08,31.25,32.68,31.21,32.62,31.2,1906000
2010-01-11,32.87,33.12,32.24,32.28,30.87,803500
2010-01-12,32.07,32.19,31.18,31.31,29.95,882200
2010-01-13,31.51,32.79,31.51,32.76,31.33,1360200
2010-01-14,32.53,33.42,32.42,33.36,31.91,1185600
2010-01-15,33.34,33.36,32.22,32.36,30.95,934000
2010-01-19,31.99,32.18,30.78,32.17,30.77,1775900
2010-01-20,31.94,31.94,29.6,30.32,29.0,4784300
2010-01-21,30.29,30.55,29.06,29.23,27.96,1792000
2010-01-22,29.21,29.9,28.67,28.75,27.5,1566600
2010-01-25,29.0,29.77,28.72,29.54,28.25,1579000
2010-01-26,29.42,30.96,29.3,30.85,29.51,1844100
2010-01-27,30.86,30.86,29.71,30.23,28.91,1858300
2010-01-28,30.28,30.39,29.13,29.39,28.11,1066900
2010-01-29,29.43,29.87,29.02,29.16,27.89,937600
2010-02-01,29.22,29.36,28.8,29.36,28.08,1136800
2010-02-02,29.41,30.42,29.18,30.34,29.02,1098700
2010-02-03,30.3,30.3,29.73,29.88,28.58,431200
2010-02-04,29.75,29.75,29.02,29.17,27.9,945300
2010-02-05,29.2,29.25,28.4,28.83,27.57,902800
2010-02-08,28.77,29.13,28.4,28.94,27.68,1375000
2010-02-09,29.27,30.35,29.05,30.24,28.92,1585500
2010-02-10,30.05,31.21,30.05,30.87,29.53,2193500
2010-02-11,30.73,31.45,30.45,31.38,30.01,942400
2010-02-12,31.05,32.02,30.88,32.02,30.63,1024000
2010-02-16,32.21,32.29,31.7,32.01,30.62,1031100
2010-02-17,32.0,32.3,31.73,31.84,30.45,1578100
2010-02-18,31.74,31.95,31.16,31.91,30.52,1804500
2010-02-19,31.78,32.29,31.78,32.28,30.87,926000
2010-02-22,32.27,32.5,31.37,31.45,30.08,1185600
2010-02-23,31.25,31.39,30.51,30.56,29.23,1275200
2010-02-24,30.57,30.7,30.19,30.4,29.08,1285100
2010-02-25,30.02,31.17,29.52,31.01,29.71,1725600
2010-02-26,30.52,31.83,29.65,31.02,29.72,2416700
2010-03-01,31.18,31.75,31.12,31.69,30.36,1207000
2010-03-02,31.85,32.22,31.67,32.04,30.7,686600
2010-03-03,32.2,32.38,31.57,31.65,30.32,882500
2010-03-04,31.6,33.09,31.57,33.03,31.64,1720700
2010-03-05,33.23,33.3,32.81,33.1,31.71,960200
2010-03-08,33.16,33.2,32.97,33.06,31.67,608700
2010-03-09,32.92,33.11,32.54,32.54,31.17,1498100
2010-03-10,32.63,33.64,31.87,33.51,32.1,3239800
