Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,41.38,41.59,41.21,41.36,41.36,890100
2010-01-05,41.8,41.96,41.57,41.95,41.95,964800
2010-01-06,42.05,42.52,41.87,42.21,42.21,923800
2010-01-07,42.15,42.15,41.31,41.51,41.51,1112700
2010-01-08,41.5,41.63,41.21,41.56,41.56,770200
2010-01-11,41.69,42.31,41.67,41.78,41.78,1359900
2010-01-12,41.67,42.22,41.64,42.18,42.18,1322600
2010-01-13,42.28,42.98,42.19,42.93,42.93,1056900
2010-01-14,42.98,43.4,42.71,42.96,42.96,890900
2010-01-15,42.99,42.99,42.09,42.4,42.4,895100
2010-01-19,42.46,43.3,42.31,43.24,43.24,858900
2010-01-20,43.28,43.75,42.75,42.85,42.85,975000
2010-01-21,42.96,43.14,42.03,42.08,42.08,1345800
2010-01-22,42.05,43.39,41.9,42.53,42.53,2307200
2010-01-25,42.77,42.82,42.2,42.54,42.54,2145000
2010-01-26,42.56,43.89,42.34,43.65,43.65,1967100
2010-01-27,43.68,43.68,42.49,42.94,42.94,1948500
2010-01-28,44.23,44.23,43.06,43.64,43.64,1779900
2010-01-29,43.66,44.49,43.47,44.1,44.1,1820600
2010-02-01,44.6,44.6,43.35,43.95,43.95,1600400
2010-02-02,44.09,44.46,43.46,44.37,44.37,1028000
2010-02-03,44.28,44.33,43.67,43.74,43.74,979900
2010-02-04,43.32,43.35,42.38,42.45,42.45,1466900
2010-02-05,42.35,42.36,41.18,41.89,41.89,1954000
2010-02-08,41.89,41.99,41.32,41.65,41.65,1469600
2010-02-09,41.9,42.47,41.7,41.99,41.99,1106000
2010-02-10,41.92,41.94,41.26,41.5,41.5,815700
2010-02-11,41.46,41.97,41.21,41.78,41.78,702900
2010-02-12,41.67,41.89,41.22,41.72,41.72,629900
2010-02-16,41.74,42.2,41.7,42.1,42.1,1175500
2010-02-17,42.12,42.74,42.11,42.68,42.68,654500
2010-02-18,42.7,42.97,42.53,42.69,42.69,834400
2010-02-19,42.6,42.7,42.18,42.41,42.41,1142200
2010-02-22,42.56,42.97,42.41,42.73,42.73,1085600
2010-02-23,42.62,42.93,42.35,42.39,42.39,1153100
2010-02-24,42.62,42.92,42.45,42.83,42.83,786800
2010-02-25,42.49,42.79,42.27,42.64,42.64,1331200
2010-02-26,42.76,43.38,42.71,42.94,42.94,1834900
2010-03-01,43.02,44.26,42.97,44.09,44.09,1223200
2010-03-02,44.07,44.59,44.07,44.38,44.38,911600
2010-03-03,44.4,44.54,44.13,44.18,44.18,1092500
