Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,50.47,50.95,49.17,49.5,32.76,1048100
2010-01-05,49.39,49.85,48.8,49.74,32.92,1265000
2010-01-06,49.74,50.05,48.91,49.18,32.55,1734300
2010-01-07,49.04,49.9,48.6,49.73,32.91,2428100
2010-01-08,49.4,49.62,48.66,49.18,32.55,1450200
2010-01-11,49.27,50.33,49.27,50.18,33.21,1232500
2010-01-12,49.9,50.21,49.38,49.86,32.99,1431300
2010-01-13,50.22,51.41,50.01,51.28,33.94,1618100
2010-01-14,51.15,51.8,50.65,51.11,33.82,1120900
2010-01-15,51.03,51.28,50.77,51.01,33.76,1102400
2010-01-19,51.19,51.9,50.96,51.76,34.26,1362400
2010-01-20,51.43,51.55,50.46,50.89,33.67,1386400
2010-01-21,51.01,51.22,49.65,49.74,32.92,1602100
2010-01-22,49.59,50.27,48.68,48.82,32.31,1754400
2010-01-25,49.05,49.22,48.02,48.69,32.22,1874900
2010-01-26,48.32,49.27,47.96,48.48,32.08,1367700
2010-01-27,48.3,49.23,47.8,49.19,32.56,1552200
2010-01-28,49.37,49.55,48.16,48.76,32.27,1313300
2010-01-29,49.14,49.46,47.82,48.19,31.89,1729500
2010-02-01,48.44,48.85,48.13,48.83,32.31,1075700
2010-02-02,48.78,49.65,48.2,49.56,32.8,1340100
2010-02-03,49.25,49.32,48.68,48.78,32.28,1061200
2010-02-04,48.41,48.48,46.67,46.76,30.95,2275900
2010-02-05,46.83,48.06,46.32,48.04,31.79,2258300
2010-02-08,47.96,48.33,46.99,47.06,31.14,1332200
2010-02-09,47.5,47.62,46.58,46.91,31.04,1211400
2010-02-10,46.87,47.62,46.09,47.27,31.28,1084600
2010-02-11,47.13,47.85,46.74,47.81,31.64,1031700
2010-02-12,47.21,47.92,46.91,47.82,31.65,916300
2010-02-16,48.17,49.49,48.17,49.45,32.72,1243400
2010-02-17,49.61,50.58,49.54,50.44,33.38,1463600
2010-02-18,49.99,51.47,49.99,51.34,33.98,1650200
2010-02-19,51.97,51.97,51.12,51.49,34.07,1481100
2010-02-22,51.6,51.82,51.28,51.42,34.03,1199900
2010-02-23,51.38,51.5,50.9,51.07,33.79,1440600
2010-02-24,51.46,51.57,51.01,51.27,33.93,1459200
2010-02-25,50.66,50.9,50.27,50.76,33.59,1874400
2010-02-26,50.75,51.04,50.37,50.46,33.39,1456900
2010-03-01,50.73,50.95,50.38,50.81,33.62,1303700
2010-03-02,51.07,51.2,50.68,50.76,33.59,958400
2010-03-03,50.91,50.93,50.59,50.6,33.48,1005800
2010-03-04,50.82,50.95,50.43,50.67,33.53,1205400
2010-03-05,50.87,51.63,50.62,51.52,34.1,1325000
2010-03-08,51.5,51.97,51.25,51.83,34.3,763300
2010-03-09,51.72,52.47,51.42,52.18,34.53,1311400
2010-03-10,51.44,52.12,51.04,51.86,34.67,1408000
2010-03-11,51.5,52.45,51.48,52.43,35.05,1041000
2010-03-12,52.64,53.34,52.48,53.09,35.5,1286400
2010-03-15,52.68,53.37,52.21,53.27,35.62,1766700
2010-03-16,53.21,54.24,53.12,54.15,36.21,1896100
2010-03-17,54.37,54.9,54.07,54.72,36.59,1201700
2010-03-18,54.19,54.55,54.0,54.29,36.3,1236700
2010-03-19,54.14,54.61,53.56,54.14,36.2,1585500
2010-03-22,54.0,55.77,53.56,55.52,37.12,1376000
2010-03-23,54.84,55.44,54.69,55.36,37.02,1435400
2010-03-24,55.29,55.91,55.14,55.56,37.15,1219600
2010-03-25,54.44,56.23,54.44,55.41,37.05,1436300
2010-03-26,55.53,55.99,54.85,54.93,36.73,1819900
2010-03-29,55.51,55.7,54.71,54.97,36.76,1251900
2010-03-30,55.03,55.4,54.74,54.97,36.76,1163100
2010-03-31,54.71,54.95,54.14,54.22,36.25,1480000
2010-04-01,54.53,54.64,53.71,54.12,36.18,1296700
2010-04-05,54.45,55.09,54.22,54.98,36.76,1245400
2010-04-06,54.78,56.04,54.47,55.8,37.31,1171000
2010-04-07,55.5,55.73,54.47,54.68,36.56,1172300
2010-04-08,54.52,54.9,53.92,54.03,36.12,1650100
2010-04-09,54.24,54.39,53.47,53.67,35.89,2207900
2010-04-12,53.76,53.97,52.99,53.34,35.66,1606200
2010-04-13,53.53,54.16,53.27,54.04,36.13,2261600
2010-04-14,54.39,54.45,53.16,53.33,35.66,1776300
2010-04-15,53.33,53.33,52.04,52.12,34.85,2072200
2010-04-16,52.04,52.23,50.55,50.59,33.82,3229800
2010-04-19,50.36,51.2,50.17,50.93,34.05,2359000
2010-04-20,51.36,52.18,50.84,52.13,34.85,1587700
2010-04-21,52.0,53.18,51.95,52.62,35.18,1746700
