Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,68.72,69.26,68.19,69.15,51.28,27809100
2010-01-05,69.19,69.45,68.8,69.42,51.48,30174700
2010-01-06,69.45,70.6,69.34,70.02,51.93,35044700
2010-01-07,69.9,70.06,69.42,69.8,51.77,27192100
2010-01-08,69.69,69.75,69.22,69.52,51.56,24891800
2010-01-11,69.94,70.52,69.65,70.3,52.14,30685000
2010-01-12,69.72,69.99,69.52,69.95,51.88,31496700
2010-01-13,69.96,70.04,69.26,69.67,51.67,24884400
2010-01-14,69.54,69.74,69.35,69.68,51.68,18630800
2010-01-15,69.65,69.69,68.65,69.11,51.25,29411900
2010-01-19,68.74,69.35,68.42,69.27,51.37,26081900
2010-01-20,68.56,68.66,67.93,68.03,50.45,34629500
2010-01-21,68.12,68.15,66.5,66.7,49.47,39114000
2010-01-22,66.52,67.14,66.0,66.1,49.02,39085500
2010-01-25,66.55,66.76,65.69,65.85,48.84,29305100
2010-01-26,65.64,66.74,65.5,65.92,48.89,34083300
2010-01-27,65.66,66.06,65.0,65.54,48.61,35723500
2010-01-28,65.85,65.85,64.57,64.96,48.18,37349800
2010-01-29,65.15,65.82,64.02,64.43,47.78,40880500
2010-02-01,65.77,66.41,65.35,66.18,49.08,37703000
2010-02-02,66.73,67.12,66.47,66.96,49.66,34057900
2010-02-03,66.88,67.23,66.56,66.6,49.39,24024700
2010-02-04,66.27,66.35,64.68,64.72,48.0,33858200
2010-02-05,64.7,64.9,63.56,64.8,48.06,42297500
2010-02-08,64.91,65.49,64.34,64.35,48.04,30519400
2010-02-09,65.11,65.71,64.56,65.2,48.67,36243300
2010-02-10,65.08,65.22,64.16,64.85,48.41,21699100
2010-02-11,64.69,65.48,64.41,65.24,48.7,23555200
2010-02-12,64.62,65.14,64.28,64.8,48.37,30636200
2010-02-16,65.44,66.38,65.08,66.28,49.48,30514900
2010-02-17,66.34,66.45,65.57,65.76,49.09,21821800
2010-02-18,65.8,66.09,65.35,65.96,49.24,22536700
2010-02-19,65.59,66.24,65.43,65.87,49.17,24264600
2010-02-22,66.1,66.12,65.25,65.4,48.82,20469700
2010-02-23,65.26,65.56,64.15,64.94,48.48,33372900
2010-02-24,65.01,65.87,64.77,65.55,48.93,21469600
2010-02-25,64.61,65.17,64.37,65.14,48.63,25668800
2010-02-26,65.26,65.4,64.92,65.0,48.52,20129700
2010-03-01,65.36,65.54,65.09,65.4,48.82,18798600
2010-03-02,65.66,65.79,65.15,65.49,48.89,24823900
2010-03-03,65.77,65.97,65.38,65.43,48.84,22279800
2010-03-04,65.35,65.63,65.08,65.4,48.82,21961100
2010-03-05,65.96,66.52,65.78,66.47,49.62,26837900
2010-03-08,66.77,66.79,66.23,66.48,49.63,20297200
2010-03-09,66.32,67.19,66.22,66.78,49.85,29003100
2010-03-10,67.16,67.42,66.78,67.22,50.18,24810300
2010-03-11,67.39,67.56,66.98,67.22,50.18,19357400
2010-03-12,67.58,67.58,66.5,66.8,49.86,23361800
2010-03-15,66.67,66.69,65.9,66.3,49.49,22070000
2010-03-16,66.55,66.68,66.0,66.57,49.69,35103700
2010-03-17,66.91,67.79,66.8,67.36,50.28,38770000
