Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,31.48,31.84,31.33,31.47,24.72,3472500
2010-01-05,31.55,31.77,31.4,31.64,24.86,3458700
2010-01-06,31.6,31.89,31.43,31.56,24.79,3745800
2010-01-07,31.55,31.7,31.05,31.23,24.54,7232100
2010-01-08,31.12,31.19,30.52,30.84,24.23,6264700
2010-01-11,30.97,31.32,30.6,30.86,24.24,5019600
2010-01-12,30.68,30.86,30.32,30.53,23.99,4278400
2010-01-13,30.64,30.83,30.38,30.66,24.09,3335100
2010-01-14,30.58,30.97,30.5,30.74,24.15,3234000
2010-01-15,30.77,30.97,30.3,30.54,23.99,3693700
2010-01-19,30.5,30.88,30.43,30.54,23.99,4336000
2010-01-20,31.03,31.19,30.65,30.9,24.28,7735400
2010-01-21,30.94,30.98,30.41,30.44,23.91,8686100
2010-01-22,30.33,30.9,30.07,30.47,23.94,6270800
2010-01-25,30.71,30.71,29.7,29.77,23.39,6367700
2010-01-26,29.65,29.77,29.53,29.63,23.28,5009300
2010-01-27,29.61,29.89,29.52,29.75,23.37,5128500
2010-01-28,29.79,30.19,29.75,29.95,23.53,7374100
2010-01-29,30.12,30.31,29.65,29.97,23.55,6580200
2010-02-01,30.07,30.18,29.65,30.16,23.69,5922200
2010-02-02,30.42,31.8,30.37,31.63,24.85,10066300
2010-02-03,31.55,31.76,30.91,31.18,24.5,5960500
2010-02-04,30.9,30.97,30.03,30.06,23.62,6939900
2010-02-05,30.3,30.83,30.08,30.61,24.05,7456500
2010-02-08,30.61,30.74,29.85,29.89,23.48,6611200
2010-02-09,30.16,30.28,29.57,29.91,23.5,8241300
2010-02-10,29.96,30.11,29.75,29.99,23.56,4799300
2010-02-11,29.88,30.37,29.5,30.03,23.59,5744000
2010-02-12,29.68,29.93,29.46,29.77,23.39,5090900
2010-02-16,29.89,30.0,29.25,29.48,23.28,7384300
2010-02-17,29.62,29.89,29.56,29.88,23.59,4611900
2010-02-18,29.72,30.04,29.69,29.97,23.66,3679600
2010-02-19,29.86,30.05,29.58,29.95,23.65,3897500
2010-02-22,29.83,30.05,29.65,29.81,23.54,3619800
2010-02-23,29.81,29.83,29.46,29.62,23.39,5819300
2010-02-24,29.62,29.86,29.43,29.57,23.35,4607500
2010-02-25,29.2,29.47,29.08,29.47,23.27,4701500
2010-02-26,29.5,29.57,29.15,29.36,23.18,3487500
2010-03-01,29.49,29.75,29.44,29.66,23.42,2732700
2010-03-02,29.73,30.25,29.66,29.85,23.57,4422200
2010-03-03,29.99,30.06,29.66,29.78,23.51,3891600
2010-03-04,29.84,30.01,29.67,30.0,23.69,3504000
2010-03-05,30.0,30.7,29.96,30.62,24.18,5047800
2010-03-08,30.67,30.8,30.34,30.57,24.14,2761700
2010-03-09,30.47,30.68,30.39,30.51,24.09,4476400
2010-03-10,30.56,30.63,30.06,30.24,23.88,4428800
2010-03-11,30.07,30.17,29.33,29.44,23.25,8551000
2010-03-12,29.74,29.76,28.56,28.66,22.63,7700400
2010-03-15,28.78,28.83,28.45,28.61,22.59,4943900
2010-03-16,28.99,28.99,28.31,28.59,22.57,4822400
2010-03-17,28.6,29.1,28.54,29.1,22.98,5398200
2010-03-18,29.18,29.25,28.81,29.24,23.09,5884200
2010-03-19,29.09,29.4,28.63,29.09,22.97,6960800
2010-03-22,28.88,29.33,28.76,29.33,23.16,4084700
2010-03-23,29.28,29.36,28.97,29.32,23.15,4818300
2010-03-24,29.19,29.19,28.12,28.5,22.5,8886100
2010-03-25,28.66,28.74,28.24,28.26,22.31,6065500
2010-03-26,28.45,28.56,28.06,28.42,22.44,6438700
2010-03-29,29.08,29.13,28.69,29.03,22.92,7454400
2010-03-30,29.0,29.09,28.64,28.93,22.84,5522800
2010-03-31,28.91,29.02,28.52,28.9,22.82,4664700
2010-04-01,28.97,29.2,28.89,29.11,22.99,3744300
2010-04-05,29.26,29.26,28.32,28.46,22.47,7385200
2010-04-06,28.46,28.48,28.12,28.23,22.29,7659800
2010-04-07,28.11,28.34,28.03,28.25,22.31,6621300
