Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,38.23,38.23,37.49,37.6,29.55,3930100
2010-01-05,37.45,37.67,37.2,37.4,29.39,3252400
2010-01-06,37.58,37.66,36.92,37.31,29.32,3111400
2010-01-07,36.99,37.31,36.95,37.3,29.3,2513300
2010-01-08,37.24,37.28,36.91,37.24,29.26,2310400
2010-01-11,37.24,37.41,36.99,37.41,29.39,2446200
2010-01-12,37.19,37.44,36.87,37.15,29.19,2571200
2010-01-13,37.08,37.52,36.93,37.42,29.4,2546000
2010-01-14,37.13,37.56,37.09,37.31,29.32,2402700
2010-01-15,37.51,37.68,36.74,37.11,29.16,3384800
2010-01-19,37.02,37.69,36.87,37.67,29.6,2931700
2010-01-20,37.26,37.49,36.55,37.17,29.21,4057200
2010-01-21,37.27,37.66,36.89,37.01,29.08,4356100
2010-01-22,37.01,37.18,36.08,36.15,28.4,4463500
2010-01-25,36.46,36.49,36.05,36.23,28.47,2400600
2010-01-26,36.07,36.23,35.97,36.05,28.32,2786900
2010-01-27,35.79,36.19,35.76,36.01,28.3,4096900
2010-01-28,35.79,36.15,35.46,35.72,28.06,4972700
2010-01-29,35.71,36.15,35.69,35.81,28.14,4173800
2010-02-01,36.02,36.14,35.74,36.06,28.33,3638600
2010-02-02,36.37,36.37,35.72,36.15,28.41,4142900
2010-02-03,35.87,36.01,35.57,35.82,28.15,3141700
2010-02-04,35.61,35.9,35.45,35.45,27.86,4410700
2010-02-05,35.4,35.56,34.87,35.36,27.79,4745500
2010-02-08,35.34,35.62,35.14,35.47,27.87,3460700
2010-02-09,35.86,36.08,35.51,35.73,28.08,3357900
2010-02-10,35.63,35.82,35.38,35.72,28.06,2091700
2010-02-11,35.61,36.09,35.29,35.91,28.21,2630400
2010-02-12,35.37,35.75,35.37,35.64,28.0,3429800
2010-02-16,35.9,36.3,35.7,36.26,28.49,2762000
2010-02-17,36.3,36.44,36.22,36.4,28.6,2425800
2010-02-18,36.63,36.65,36.09,36.16,28.41,4233800
2010-02-19,36.22,36.65,35.98,36.49,28.67,4293800
2010-02-22,36.5,36.81,36.38,36.52,28.7,3410900
2010-02-23,36.52,36.66,36.01,36.17,28.42,3778500
2010-02-24,36.17,37.09,36.15,37.09,29.14,4643100
2010-02-25,36.72,36.79,36.01,36.62,28.77,4149600
2010-02-26,36.71,36.81,36.29,36.53,28.7,3740200
2010-03-01,36.59,36.87,36.51,36.85,28.95,3315900
2010-03-02,36.8,36.96,36.68,36.74,28.87,3260200
2010-03-03,36.87,37.13,36.79,36.8,28.91,3735600
2010-03-04,36.89,37.04,36.48,36.62,28.77,5117400
2010-03-05,36.87,37.97,36.78,37.91,29.79,5564800
2010-03-08,37.9,37.96,37.63,37.88,29.77,3948700
2010-03-09,37.88,38.7,37.84,38.34,30.13,5927900
2010-03-10,38.09,38.56,37.96,38.53,30.51,5221400
2010-03-11,38.47,38.6,38.24,38.57,30.54,4325400
2010-03-12,38.5,38.58,38.33,38.46,30.46,3051200
2010-03-15,38.79,38.94,38.52,38.84,30.76,3343900
2010-03-16,39.03,39.03,38.59,38.85,30.76,2639800
2010-03-17,38.86,39.43,38.85,39.24,31.07,3099200
2010-03-18,39.14,39.39,39.06,39.26,31.09,1961100
2010-03-19,39.53,39.7,38.72,39.16,31.01,4858200
2010-03-22,39.1,39.41,38.75,39.36,31.17,4801700
2010-03-23,39.5,39.51,39.13,39.43,31.22,3250300
2010-03-24,39.24,39.41,38.88,38.93,30.83,4508300
2010-03-25,39.03,39.03,38.58,38.61,30.58,4693300
2010-03-26,38.65,39.02,38.65,38.84,30.76,2178700
2010-03-29,38.95,39.21,38.79,39.1,30.97,3528200
2010-03-30,38.97,39.24,38.87,39.15,31.0,2358200
2010-03-31,39.07,39.17,38.87,39.04,30.92,3141200
2010-04-01,39.21,39.21,38.54,38.79,30.72,3068300
2010-04-05,38.96,39.24,38.74,38.97,30.86,3700300
2010-04-06,38.95,39.01,38.72,38.88,30.79,4426000
2010-04-07,38.85,38.89,38.44,38.57,30.54,3085000
2010-04-08,38.6,38.65,38.31,38.53,30.51,2925500
2010-04-09,38.64,38.86,38.39,38.86,30.77,2444400
2010-04-12,38.89,38.89,38.66,38.81,30.74,2219100
2010-04-13,38.79,38.88,38.52,38.59,30.56,3100300
2010-04-14,38.51,38.8,38.4,38.79,30.72,3641800
2010-04-15,38.85,39.27,38.72,39.23,31.06,2900400
2010-04-16,39.06,39.4,38.81,38.88,30.79,5138700
2010-04-19,38.89,39.29,38.89,39.26,31.09,2975200
2010-04-20,39.41,39.54,39.29,39.53,31.31,2873300
2010-04-21,39.48,39.57,39.29,39.56,31.33,2786200
2010-04-22,39.38,39.6,39.1,39.57,31.34,2598600
2010-04-23,39.61,39.96,39.31,39.93,31.62,3341800
2010-04-26,39.9,40.16,39.73,39.8,31.52,2764300
2010-04-27,39.5,39.74,38.88,39.0,30.88,5438900
2010-04-28,39.13,39.14,38.6,38.75,30.69,5075200
2010-04-29,38.81,39.19,38.45,38.97,30.86,5104900
2010-04-30,39.15,39.15,38.04,38.08,30.15,4806600
2010-05-03,38.39,38.42,37.98,38.34,30.36,3576600
2010-05-04,38.24,38.24,37.14,37.63,29.8,4911100
2010-05-05,37.63,38.21,37.24,37.45,29.66,4094300
