Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.61,25.83,25.61,25.67,25.67,2228600
2010-01-05,25.62,25.71,25.06,25.28,25.28,3008800
2010-01-06,25.15,25.52,24.83,25.34,25.34,6638400
2010-01-07,25.22,25.58,25.11,25.48,25.48,4161100
2010-01-08,25.4,26.4,25.22,26.26,26.26,4648300
2010-01-11,26.34,26.49,26.07,26.25,26.25,2151300
2010-01-12,26.17,26.23,25.63,25.89,25.89,3993300
2010-01-13,26.05,26.43,25.87,26.25,26.25,2680200
2010-01-14,26.28,26.8,26.27,26.6,26.6,2659500
2010-01-15,26.22,26.75,25.85,26.08,26.08,3405900
2010-01-19,26.11,26.43,25.88,26.17,26.17,2395100
2010-01-20,26.08,26.19,25.29,26.12,26.12,3806700
2010-01-21,26.07,26.39,25.56,25.69,25.69,3318900
2010-01-22,25.63,25.78,24.95,25.1,25.1,4554000
2010-01-25,25.28,25.42,24.7,24.75,24.75,3712900
2010-01-26,24.63,24.81,24.32,24.38,24.38,3478400
2010-01-27,24.38,24.58,24.09,24.47,24.47,2305800
2010-01-28,24.49,24.65,23.71,23.79,23.79,4570300
2010-01-29,23.78,24.1,23.59,23.79,23.79,5132000
2010-02-01,23.73,24.08,23.55,23.81,23.81,3697900
2010-02-02,23.77,24.05,23.67,23.95,23.95,2610600
2010-02-03,23.74,24.07,23.6,24.02,24.02,2190300
2010-02-04,23.8,23.89,22.95,22.95,22.95,4882300
2010-02-05,23.07,23.39,22.5,23.07,23.07,5224800
2010-02-08,22.98,23.45,22.93,23.1,23.1,3665200
2010-02-09,23.37,23.9,23.24,23.55,23.55,5002400
2010-02-10,23.51,23.88,23.32,23.59,23.59,2689700
2010-02-11,23.53,24.28,23.41,24.18,24.18,3197300
2010-02-12,23.94,24.3,23.8,24.22,24.22,4323000
2010-02-16,25.06,25.45,24.85,25.24,25.24,6152000
2010-02-17,25.4,26.04,25.39,25.88,25.88,4878700
2010-02-18,25.95,26.04,25.73,25.92,25.92,2334100
2010-02-19,25.81,26.22,25.81,25.99,25.99,2929500
2010-02-22,26.04,26.55,25.95,26.08,26.08,4149500
2010-02-23,26.0,26.16,25.57,25.66,25.66,5913100
2010-02-24,27.66,28.49,27.5,27.89,27.89,14246800
2010-02-25,27.24,28.0,27.13,27.93,27.93,6061300
2010-02-26,27.87,28.12,27.58,27.88,27.88,3554600
2010-03-01,27.97,28.41,27.97,28.15,28.15,3607100
2010-03-02,28.41,28.94,28.19,28.49,28.49,4580600
2010-03-03,28.68,28.94,28.44,28.61,28.61,3129100
2010-03-04,28.59,28.77,28.23,28.47,28.47,3184600
2010-03-05,28.6,28.99,28.53,28.85,28.85,2954800
2010-03-08,28.8,29.15,28.7,28.91,28.91,2094100
2010-03-09,28.77,29.22,28.68,29.06,29.06,1644600
2010-03-10,29.15,29.43,28.75,29.18,29.18,3818300
2010-03-11,28.93,29.16,28.87,29.03,29.03,2811200
2010-03-12,29.03,29.34,28.98,29.16,29.16,2589800
2010-03-15,29.08,29.3,28.97,29.26,29.26,1316600
2010-03-16,29.25,29.35,29.09,29.31,29.31,1337800
2010-03-17,29.91,29.96,29.49,29.52,29.52,2864300
2010-03-18,29.69,29.73,29.35,29.42,29.42,2597500
2010-03-19,29.64,29.64,28.93,29.11,29.11,3888500
2010-03-22,29.03,29.7,28.95,29.5,29.5,1859200
2010-03-23,29.58,29.82,29.5,29.71,29.71,2278300
2010-03-24,29.72,29.79,29.39,29.43,29.43,2421200
2010-03-25,29.79,29.96,29.48,29.49,29.49,2625000
2010-03-26,29.37,29.76,29.23,29.5,29.5,2764500
2010-03-29,29.54,29.75,29.44,29.56,29.56,1995400
2010-03-30,29.53,29.58,29.08,29.4,29.4,2309200
2010-03-31,29.2,29.6,29.13,29.38,29.38,1887100
2010-04-01,28.79,29.59,28.7,29.16,29.16,4580800
2010-04-05,29.2,30.36,29.2,30.18,30.18,3582900
2010-04-06,30.3,31.0,29.94,30.91,30.91,5373800
2010-04-07,30.66,30.84,30.43,30.65,30.65,3387100
2010-04-08,30.44,31.22,30.38,31.09,31.09,4469700
2010-04-09,31.02,31.23,30.93,31.13,31.13,2571700
2010-04-12,31.15,31.5,31.03,31.43,31.43,2311300
2010-04-13,31.46,31.72,31.28,31.7,31.7,3640100
2010-04-14,31.59,31.75,31.48,31.7,31.7,1819700
2010-04-15,31.62,31.89,31.46,31.88,31.88,2087300
2010-04-16,31.86,32.01,31.44,31.55,31.55,3229800
2010-04-19,31.5,31.59,30.83,31.26,31.26,5261000
2010-04-20,31.45,32.2,31.36,32.16,32.16,2860900
2010-04-21,32.06,32.5,31.88,32.45,32.45,2634100
2010-04-22,32.3,33.72,32.08,33.64,33.64,5091800
2010-04-23,33.67,34.23,33.34,34.22,34.22,3931800
2010-04-26,34.38,35.18,34.08,34.72,34.72,7339000
2010-04-27,34.56,34.97,33.76,33.85,33.85,5425200
2010-04-28,33.91,34.21,33.82,34.13,34.13,5299700
2010-04-29,34.22,34.67,34.1,34.67,34.67,4136600
2010-04-30,34.68,34.82,33.88,33.99,33.99,3963100
2010-05-03,34.07,34.95,33.88,34.89,34.89,2795500
2010-05-04,34.27,34.28,32.92,33.25,33.25,6151500
2010-05-05,33.06,33.2,31.71,31.71,31.71,7704000
2010-05-06,31.66,31.98,28.65,30.56,30.56,7015300
2010-05-07,30.68,30.83,29.16,30.06,30.06,7068500
2010-05-10,31.27,32.47,31.27,32.4,32.4,5719500
2010-05-11,32.17,32.32,31.53,31.62,31.62,4818900
2010-05-12,31.53,32.82,31.41,32.77,32.77,3550000
2010-05-13,32.83,33.49,32.3,32.36,32.36,3090600
2010-05-14,32.12,32.21,30.43,30.77,30.77,6027500
2010-05-17,30.87,31.13,30.12,30.72,30.72,4559900
2010-05-18,30.99,31.19,29.95,30.15,30.15,4794900
2010-05-19,30.21,30.5,29.63,30.35,30.35,7446200
2010-05-20,30.76,30.76,28.22,28.28,28.28,12172600
2010-05-21,27.58,29.45,27.31,29.37,29.37,10653700
2010-05-24,29.21,29.82,28.84,29.42,29.42,5360500
2010-05-25,28.6,29.0,27.77,28.97,28.97,4678600
2010-05-26,29.31,29.57,28.49,28.66,28.66,3938800
2010-05-27,29.22,29.61,29.06,29.59,29.59,3488900
2010-05-28,29.68,29.7,28.84,29.26,29.26,4341100
2010-06-01,29.01,29.58,28.5,28.56,28.56,4269600
2010-06-02,28.83,29.28,28.41,29.24,29.24,2958100
2010-06-03,29.17,30.02,29.08,29.98,29.98,3791900
2010-06-04,29.36,29.51,27.79,27.92,27.92,5716200
2010-06-07,27.51,27.73,26.55,26.69,26.69,6599600
2010-06-08,26.69,26.89,25.79,26.3,26.3,7458600
2010-06-09,26.42,27.45,26.32,26.44,26.44,5901500
2010-06-10,26.89,27.45,26.62,27.4,27.4,3901400
2010-06-11,27.01,27.66,26.9,27.58,27.58,2187100
2010-06-14,27.78,27.95,27.43,27.49,27.49,3172200
2010-06-15,27.58,28.69,27.45,28.54,28.54,5789900
2010-06-16,28.28,28.69,28.18,28.5,28.5,3370000
2010-06-17,28.58,28.69,28.26,28.51,28.51,3274800
2010-06-18,28.57,29.36,28.44,29.24,29.24,4351600
2010-06-21,29.58,29.88,28.77,29.0,29.0,3293200
2010-06-22,29.08,29.46,28.39,28.43,28.43,2637600
2010-06-23,28.3,28.32,27.51,27.83,27.83,7103700
2010-06-24,27.6,27.6,26.13,26.26,26.26,8276400
2010-06-25,26.43,26.91,26.18,26.58,26.58,7650700
2010-06-28,26.58,26.62,25.97,26.0,26.0,4611400
2010-06-29,25.66,25.71,24.3,24.58,24.58,6242700
2010-06-30,24.49,24.77,24.32,24.36,24.36,5140000
2010-07-01,24.32,24.65,23.64,24.57,24.57,6845900
2010-07-02,24.63,24.66,24.13,24.31,24.31,4152500
2010-07-06,24.69,24.96,23.85,24.05,24.05,3920600
2010-07-07,25.03,25.13,23.81,24.73,24.73,5101100
2010-07-08,24.95,25.02,24.21,24.61,24.61,4163200
2010-07-09,24.58,25.02,24.4,24.93,24.93,3552400
2010-07-12,24.78,25.15,24.67,25.08,25.08,2399300
2010-07-13,25.3,26.36,25.3,26.19,26.19,4754500
