Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.91,38.24,36.9,38.09,32.98,712900
2010-01-05,38.7,38.7,37.6,38.02,32.92,398900
2010-01-06,37.96,38.48,37.89,38.09,32.98,717200
2010-01-07,38.03,38.17,37.8,37.82,32.75,603700
2010-01-08,37.66,38.57,37.66,38.39,33.24,759000
2010-01-11,38.64,38.79,37.86,38.22,33.1,763000
2010-01-12,37.89,38.04,37.4,37.69,32.64,323400
2010-01-13,37.9,38.11,37.49,38.07,32.97,330500
2010-01-14,38.01,38.29,37.71,37.92,32.84,221100
2010-01-15,38.8,38.89,37.64,37.89,32.81,450400
2010-01-19,37.97,38.37,37.89,38.37,33.23,474100
2010-01-20,37.91,38.08,37.59,37.96,32.87,360900
2010-01-21,37.89,38.29,37.12,37.12,32.14,624700
2010-01-22,37.0,37.29,35.97,36.09,31.25,607800
2010-01-25,36.63,37.1,36.4,36.5,31.61,831500
2010-01-26,37.11,38.78,37.08,37.37,32.36,1156200
2010-01-27,37.26,37.62,36.55,36.86,31.92,669000
2010-01-28,36.95,37.04,36.01,36.44,31.55,545300
2010-01-29,36.56,36.87,35.72,35.72,30.93,852200
2010-02-01,35.95,36.35,35.8,36.25,31.39,1012700
2010-02-02,36.38,37.12,35.99,36.9,31.95,951800
2010-02-03,36.78,37.3,36.55,36.63,31.72,704100
2010-02-04,36.22,36.48,35.39,35.39,30.64,486000
2010-02-05,35.48,35.68,34.49,35.16,30.45,759400
2010-02-08,35.2,35.3,34.56,34.86,30.19,682600
2010-02-09,35.58,35.65,34.93,35.32,30.58,440500
2010-02-10,35.11,35.53,34.59,35.38,30.64,417500
2010-02-11,35.3,35.96,34.96,35.87,31.06,407100
2010-02-12,35.41,36.65,35.32,36.6,31.69,788700
2010-02-16,36.92,37.71,36.77,37.71,32.65,633600
2010-02-17,37.88,38.04,37.52,37.77,32.71,946500
2010-02-18,37.77,38.11,37.76,37.87,32.79,708300
2010-02-19,37.84,38.29,37.7,38.13,33.02,462500
2010-02-22,38.34,38.34,37.82,38.14,33.03,285400
2010-02-23,37.92,38.2,36.74,36.97,32.01,710900
2010-02-24,37.04,37.36,36.66,36.88,31.94,734400
2010-02-25,36.43,37.08,36.11,36.91,31.96,648700
2010-02-26,37.05,37.53,36.67,37.49,32.46,632600
2010-03-01,37.56,39.46,37.56,39.44,34.15,1212000
2010-03-02,39.86,40.86,39.85,40.33,34.92,1359800
2010-03-03,40.29,40.63,40.09,40.35,34.94,597800
2010-03-04,40.32,40.74,40.08,40.29,34.89,338200
2010-03-05,40.52,41.44,40.34,41.17,35.65,565400
2010-03-08,41.08,41.77,41.08,41.25,35.72,466500
2010-03-09,41.0,41.29,40.6,41.0,35.5,360000
2010-03-10,40.91,41.49,40.7,41.33,35.79,358300
2010-03-11,40.91,41.4,40.46,41.4,35.97,359300
2010-03-12,41.66,42.09,41.66,41.94,36.44,863300
2010-03-15,41.85,42.42,41.75,42.2,36.67,760200
2010-03-16,42.41,42.72,42.3,42.6,37.01,924800
