Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,24.5,24.78,23.93,24.12,24.12,1128200
2010-01-05,24.25,24.25,23.62,23.78,23.78,927600
2010-01-06,23.86,24.05,23.75,23.84,23.84,1174000
2010-01-07,23.94,23.95,23.65,23.93,23.93,710600
2010-01-08,23.83,24.02,23.76,23.98,23.98,734800
2010-01-11,23.92,24.0,23.67,23.83,23.83,675800
2010-01-12,23.7,23.7,23.45,23.5,23.5,1194600
2010-01-13,23.48,23.64,23.47,23.57,23.57,939800
2010-01-14,23.64,24.01,23.46,23.83,23.83,935600
2010-01-15,23.97,24.12,23.51,23.7,23.7,1421000
2010-01-19,23.82,23.99,23.58,23.82,23.82,1174600
2010-01-20,23.71,23.98,23.31,23.47,23.47,1186800
2010-01-21,23.35,23.62,23.25,23.42,23.42,1524600
2010-01-22,23.64,23.64,23.05,23.1,23.1,1183200
2010-01-25,23.28,23.35,22.91,23.09,23.09,870000
2010-01-26,23.13,23.13,22.73,22.75,22.75,952000
2010-01-27,22.73,22.9,22.43,22.87,22.87,2101600
2010-01-28,22.9,23.02,22.6,22.9,22.9,1564000
2010-01-29,23.08,23.42,22.99,23.18,23.18,918600
2010-02-01,23.15,23.71,23.15,23.67,23.67,1055400
2010-02-02,23.64,24.39,23.56,24.33,24.33,1817000
2010-02-03,24.19,24.62,24.19,24.56,24.56,1632000
2010-02-04,24.53,24.6,23.83,24.01,24.01,1346200
2010-02-05,23.93,23.93,23.0,23.39,23.39,1472200
2010-02-08,23.33,23.33,22.91,22.99,22.99,815400
2010-02-09,23.05,23.51,23.05,23.45,23.45,893400
2010-02-10,23.55,23.97,23.41,23.74,23.74,1081600
2010-02-11,23.34,23.55,22.85,23.18,23.18,3931600
2010-02-12,23.0,23.36,22.86,23.33,23.33,1551400
2010-02-16,23.43,24.02,23.12,23.96,23.96,1161800
2010-02-17,23.92,24.48,23.92,24.36,24.36,1554400
2010-02-18,24.35,24.96,24.3,24.75,24.75,1816800
2010-02-19,24.73,25.0,24.55,24.88,24.88,784600
2010-02-22,24.98,25.16,24.83,24.99,24.99,1460000
2010-02-23,24.88,24.99,24.29,24.36,24.36,1160800
2010-02-24,24.35,24.7,24.27,24.58,24.58,942800
2010-02-25,24.44,24.61,24.16,24.47,24.47,853000
2010-02-26,24.58,24.88,24.21,24.76,24.76,936800
2010-03-01,24.74,25.61,24.67,25.53,25.53,1193000
2010-03-02,25.46,26.05,25.45,25.89,25.89,1609400
2010-03-03,25.97,25.99,25.83,25.97,25.97,1065200
2010-03-04,26.06,26.48,25.8,26.24,26.24,3742200
2010-03-05,26.35,26.89,26.27,26.86,26.86,1501000
2010-03-08,26.88,26.89,26.66,26.84,26.84,841600
2010-03-09,26.72,26.94,26.68,26.74,26.74,737400
2010-03-10,26.89,27.04,26.75,26.88,26.88,1354800
2010-03-11,26.88,26.88,26.53,26.77,26.77,560800
2010-03-12,26.81,26.85,26.27,26.42,26.42,965600
2010-03-15,26.28,26.55,26.22,26.42,26.42,834800
2010-03-16,27.01,27.07,26.63,26.92,26.92,2096200
2010-03-17,27.06,27.08,26.54,26.73,26.73,692400
2010-03-18,26.69,26.76,26.44,26.62,26.62,622000
2010-03-19,26.54,27.23,26.5,27.13,27.13,1676400
2010-03-22,26.9,27.24,26.79,27.0,27.0,1171800
2010-03-23,27.1,27.49,26.97,27.3,27.3,865000
2010-03-24,27.25,27.41,26.53,26.88,26.88,1193800
2010-03-25,27.39,28.15,26.86,27.69,27.69,3112800
2010-03-26,27.82,28.0,27.17,27.47,27.47,885600
2010-03-29,27.56,27.85,27.49,27.6,27.6,624800
2010-03-30,27.51,27.76,27.38,27.45,27.45,766600
2010-03-31,27.47,27.57,27.14,27.18,27.18,849800
2010-04-01,27.26,27.58,27.0,27.28,27.28,458200
2010-04-05,27.29,27.45,27.1,27.25,27.25,881200
2010-04-06,27.33,27.52,27.22,27.26,27.26,783400
2010-04-07,27.33,27.41,27.11,27.29,27.29,694200
2010-04-08,27.19,27.25,26.93,27.0,27.0,578800
2010-04-09,27.15,27.49,26.89,27.48,27.48,952600
2010-04-12,27.65,27.72,27.15,27.55,27.55,736200
2010-04-13,27.48,27.65,27.05,27.15,27.15,697000
2010-04-14,27.22,27.77,27.05,27.74,27.74,900400
2010-04-15,27.74,27.98,27.45,27.47,27.47,684200
2010-04-16,27.55,27.72,27.22,27.43,27.43,1131800
2010-04-19,27.48,27.69,27.08,27.34,27.34,654200
2010-04-20,27.58,28.42,27.58,28.34,28.34,1363800
2010-04-21,28.34,28.6,27.67,27.92,27.92,1934600
2010-04-22,27.93,28.35,27.1,28.14,28.14,2896000
2010-04-23,28.09,28.29,27.51,28.14,28.14,1349800
2010-04-26,28.14,28.54,27.75,27.83,27.83,1118000
2010-04-27,27.59,28.0,27.18,27.26,27.26,1010800
2010-04-28,27.19,27.5,26.82,27.2,27.2,1142000
2010-04-29,27.43,27.69,27.12,27.42,27.42,949600
2010-04-30,27.37,27.67,27.35,27.44,27.44,914600
2010-05-03,27.49,27.9,27.36,27.48,27.48,796600
2010-05-04,27.32,27.36,26.89,27.21,27.21,1164200
2010-05-05,26.78,27.16,25.93,27.06,27.06,1995200
2010-05-06,26.92,27.25,22.59,26.07,26.07,2915200
2010-05-07,25.87,26.17,24.9,25.12,25.12,3452400
2010-05-10,26.0,26.89,26.0,26.16,26.16,2661200
2010-05-11,26.0,26.59,25.7,26.46,26.46,1966600
2010-05-12,26.58,26.78,26.26,26.64,26.64,1283400
2010-05-13,26.63,26.85,26.45,26.57,26.57,929800
2010-05-14,26.42,26.58,25.51,26.06,26.06,1869800
2010-05-17,25.99,26.3,25.5,25.72,25.72,1025200
2010-05-18,25.84,26.0,25.06,25.23,25.23,1682200
2010-05-19,25.08,25.68,25.0,25.22,25.22,1506400
2010-05-20,24.74,25.03,24.42,24.7,24.7,1703600
