Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.3,7.48,7.26,7.43,6.48,1104400.0
2010-01-05,7.43,7.43,7.31,7.34,6.39,1207200.0
2010-01-06,7.34,7.41,7.3,7.34,6.4,662800.0
2010-01-07,7.36,7.43,7.31,7.36,6.41,564000.0
2010-01-08,7.33,7.49,7.31,7.47,6.51,504400.0
2010-01-11,7.49,7.5,7.41,7.44,6.48,564400.0
2010-01-12,7.39,7.45,7.29,7.39,6.43,486400.0
2010-01-13,7.41,7.43,7.28,7.34,6.4,675600.0
2010-01-14,7.34,7.47,7.34,7.38,6.43,520000.0
2010-01-15,7.41,7.41,7.18,7.32,6.38,694000.0
2010-01-19,7.35,7.49,7.35,7.45,6.49,740800.0
2010-01-20,7.41,7.51,7.3,7.49,6.53,1063600.0
2010-01-21,7.49,7.52,7.15,7.24,6.3,1091200.0
2010-01-22,7.23,7.29,7.12,7.16,6.23,1195200.0
2010-01-25,7.2,7.28,7.09,7.14,6.22,1794000.0
2010-01-26,7.42,7.42,7.01,7.07,6.15,1850400.0
2010-01-27,7.2,7.34,7.02,7.3,6.39,2554800.0
2010-01-28,7.34,7.35,7.14,7.19,6.29,1046400.0
2010-01-29,7.21,7.29,7.09,7.1,6.21,986800.0
2010-02-01,7.09,7.17,7.06,7.08,6.2,1291600.0
2010-02-02,7.08,7.17,7.04,7.09,6.21,1066000.0
2010-02-03,7.05,7.17,7.05,7.11,6.22,427200.0
2010-02-04,7.06,7.08,6.88,6.91,6.05,798000.0
2010-02-05,6.91,7.07,6.85,6.95,6.08,1509600.0
2010-02-08,6.99,7.09,6.87,6.99,6.12,953200.0
2010-02-09,7.08,7.22,7.05,7.16,6.27,1026400.0
2010-02-10,7.12,7.2,7.08,7.14,6.25,1363200.0
2010-02-11,7.11,7.33,7.05,7.27,6.36,948000.0
2010-02-12,7.22,7.41,7.18,7.32,6.4,1018000.0
2010-02-16,7.36,7.41,7.3,7.33,6.41,972000.0
2010-02-17,7.33,7.36,7.26,7.28,6.37,925600.0
2010-02-18,7.29,7.42,7.29,7.41,6.49,749200.0
2010-02-19,7.42,7.55,7.4,7.45,6.52,1224000.0
2010-02-22,7.48,7.5,7.4,7.49,6.55,668400.0
2010-02-23,7.5,7.5,7.41,7.43,6.5,1189200.0
2010-02-24,7.47,7.54,7.45,7.54,6.6,1102800.0
2010-02-25,7.44,7.54,7.38,7.54,6.6,730000.0
2010-02-26,7.54,7.59,7.49,7.55,6.61,2046000.0
2010-03-01,7.59,7.8,7.59,7.65,6.69,2423200.0
2010-03-02,7.8,7.94,7.78,7.86,6.87,3206800.0
2010-03-03,7.89,7.97,7.86,7.9,6.91,1667200.0
2010-03-04,7.86,7.92,7.86,7.9,6.91,1356400.0
2010-03-05,7.93,7.97,7.89,7.96,6.97,1378000.0
2010-03-08,7.95,7.99,7.85,7.9,6.91,636000.0
2010-03-09,7.87,7.96,7.83,7.93,6.94,727600.0
2010-03-10,7.91,7.97,7.88,7.94,6.95,598000.0
2010-03-11,7.91,8.07,7.89,8.06,7.05,1338400.0
2010-03-12,8.06,8.09,7.96,8.09,7.08,478000.0
2010-03-15,8.1,8.24,8.07,8.22,7.19,1840000.0
2010-03-16,8.26,8.4,8.23,8.26,7.23,1503600.0
2010-03-17,8.3,8.4,8.26,8.3,7.26,993600.0
2010-03-18,8.27,8.32,8.21,8.27,7.24,601600.0
2010-03-19,8.19,8.32,8.16,8.19,7.17,1117200.0
2010-03-22,8.15,8.32,8.11,8.31,7.27,1345600.0
2010-03-23,8.63,8.89,8.6,8.75,7.66,4684000.0
2010-03-24,8.81,8.81,8.65,8.71,7.62,1651600.0
2010-03-25,8.75,8.92,8.57,8.57,7.5,1921200.0
2010-03-26,8.62,8.7,8.52,8.57,7.5,1320000.0
2010-03-29,8.73,8.9,8.64,8.67,7.58,2083600.0
2010-03-30,8.68,8.83,8.68,8.78,7.69,1376800.0
2010-03-31,8.79,8.87,8.75,8.76,7.67,1830400.0
2010-04-01,8.79,8.84,8.7,8.75,7.66,1438000.0
2010-04-05,8.81,8.96,8.77,8.96,7.84,1413600.0
2010-04-06,8.89,9.04,8.86,8.99,7.87,1264800.0
2010-04-07,8.95,9.02,8.89,8.93,7.81,1710400.0
2010-04-08,8.87,9.05,8.86,9.03,7.9,1125600.0
2010-04-09,9.03,9.14,9.01,9.11,7.98,1201200.0
2010-04-12,9.15,9.15,9.03,9.05,7.92,1021200.0
2010-04-13,9.05,9.3,9.0,9.29,8.13,1671600.0
2010-04-14,9.36,9.44,9.3,9.43,8.25,1394400.0
2010-04-15,9.3,9.38,9.25,9.34,8.17,1565200.0
2010-04-16,9.32,9.34,9.2,9.33,8.17,2661600.0
2010-04-19,9.28,9.33,9.14,9.31,8.14,2622400.0
2010-04-20,8.9,8.96,8.53,8.66,7.58,4859200.0
2010-04-21,8.66,8.74,8.59,8.68,7.59,3232800.0
2010-04-22,8.67,8.83,8.56,8.81,7.71,1490400.0
2010-04-23,8.86,8.88,8.8,8.87,7.76,1396000.0
2010-04-26,8.89,9.03,8.83,8.84,7.73,1042800.0
2010-04-27,8.81,8.95,8.73,8.76,7.66,1837600.0
2010-04-28,8.79,8.84,8.61,8.66,7.61,1072800.0
2010-04-29,8.72,8.92,8.7,8.91,7.83,1013200.0
2010-04-30,8.91,8.99,8.6,8.6,7.56,1380400.0
2010-05-03,8.62,8.87,8.62,8.78,7.71,1489600.0
2010-05-04,8.65,8.83,8.51,8.57,7.53,1744000.0
2010-05-05,8.51,8.58,8.29,8.31,7.3,1753600.0
2010-05-06,8.25,8.35,7.75,8.27,7.26,3381600.0
2010-05-07,8.27,8.29,7.86,7.96,6.99,3860400.0
2010-05-10,8.27,8.4,8.16,8.39,7.37,2365600.0
2010-05-11,8.24,8.41,8.2,8.32,7.31,1268800.0
2010-05-12,8.31,8.67,8.31,8.65,7.59,1344400.0
2010-05-13,8.62,8.72,8.52,8.59,7.54,1128400.0
2010-05-14,8.54,8.54,8.25,8.36,7.34,1652400.0
2010-05-17,8.42,8.51,8.04,8.2,7.2,1710000.0
2010-05-18,8.28,8.33,8.03,8.05,7.07,1556400.0
2010-05-19,8.0,8.12,7.9,7.99,7.02,2288400.0
2010-05-20,7.81,7.88,7.57,7.71,6.77,2750400.0
2010-05-21,7.57,7.74,7.51,7.72,6.78,3215200.0
2010-05-24,7.65,7.68,7.39,7.55,6.63,3235600.0
2010-05-25,7.39,7.63,7.31,7.62,6.69,2243200.0
2010-05-26,7.7,7.94,7.66,7.68,6.75,2771200.0
2010-05-27,7.81,7.97,7.74,7.97,7.0,1602000.0
2010-05-28,7.92,7.93,7.7,7.77,6.82,932800.0
2010-06-01,7.75,7.9,7.54,7.54,6.63,1452000.0
2010-06-02,7.57,7.65,7.43,7.64,6.71,2291200.0
2010-06-03,7.72,7.92,7.62,7.89,6.93,1843200.0
2010-06-04,7.72,7.78,7.61,7.64,6.71,2938000.0
2010-06-07,7.7,7.73,7.51,7.52,6.61,2072400.0
2010-06-08,7.58,7.79,7.58,7.68,6.75,2412000.0
2010-06-09,7.76,7.91,7.66,7.7,6.77,1444800.0
2010-06-10,7.83,8.05,7.82,8.04,7.06,1457200.0
2010-06-11,8.02,8.23,7.99,8.2,7.21,1240000.0
2010-06-14,8.25,8.26,7.97,8.01,7.03,1446400.0
2010-06-15,8.02,8.23,7.96,8.21,7.21,1090800.0
2010-06-16,8.2,8.35,8.15,8.27,7.26,1382400.0
2010-06-17,8.27,8.34,8.14,8.26,7.25,1938000.0
2010-06-18,8.31,8.35,8.07,8.21,7.21,12921600.0
2010-06-21,8.29,8.34,7.89,7.96,6.99,3051600.0
2010-06-22,8.01,8.19,7.85,7.87,6.91,1966800.0
2010-06-23,7.87,8.06,7.72,7.91,6.95,1519200.0
2010-06-24,7.84,8.08,7.78,7.9,6.94,2223600.0
2010-06-25,8.19,8.36,8.06,8.1,7.11,6925200.0
2010-06-28,8.14,8.36,8.09,8.23,7.23,2286400.0
2010-06-29,8.14,8.15,7.96,8.13,7.14,2568400.0
2010-06-30,8.13,8.28,8.01,8.03,7.05,2712000.0
2010-07-01,8.0,8.08,7.79,8.03,7.05,1552800.0
2010-07-02,8.06,8.16,8.0,8.07,7.09,897600.0
2010-07-06,8.23,8.35,7.99,8.03,7.05,1723200.0
2010-07-07,8.06,8.46,8.06,8.44,7.42,2230000.0
2010-07-08,8.5,8.64,8.38,8.57,7.52,1704000.0
2010-07-09,8.53,8.72,8.51,8.71,7.65,993600.0
2010-07-12,8.7,8.79,8.57,8.63,7.58,2002000.0
2010-07-13,8.76,9.06,8.74,9.01,7.91,2044000.0
2010-07-14,8.97,8.97,8.81,8.91,7.82,1497600.0
2010-07-15,8.92,8.92,8.73,8.87,7.79,1057200.0
2010-07-16,8.82,8.82,8.5,8.53,7.49,3027600.0
2010-07-19,8.58,8.67,8.41,8.65,7.6,1448400.0
2010-07-20,8.48,8.64,8.27,8.58,7.54,3158800.0
2010-07-21,8.73,8.79,8.6,8.76,7.69,2543200.0
2010-07-22,8.91,9.11,8.9,8.97,7.88,2194000.0
2010-07-23,8.98,9.28,8.9,9.16,8.05,1866000.0
2010-07-26,9.16,9.36,9.12,9.35,8.22,1506000.0
2010-07-27,9.38,9.39,9.08,9.14,8.02,1326400.0
2010-07-28,9.09,9.18,9.06,9.15,8.07,1604400.0
2010-07-29,9.18,9.3,9.06,9.19,8.1,1276000.0
2010-07-30,9.08,9.22,9.0,9.11,8.03,1039600.0
2010-08-02,9.32,9.39,9.18,9.27,8.18,1630000.0
2010-08-03,9.23,9.31,9.07,9.13,8.05,1526400.0
2010-08-04,9.14,9.24,9.01,9.16,8.07,1310800.0
2010-08-05,9.11,9.17,9.05,9.12,8.05,943600.0
2010-08-06,9.02,9.16,8.86,9.07,8.0,1087200.0
2010-08-09,9.12,9.24,9.06,9.23,8.13,1025200.0
2010-08-10,9.1,9.12,8.87,8.91,7.85,1105200.0
2010-08-11,8.82,8.82,8.52,8.54,7.53,1442400.0
2010-08-12,8.38,8.53,8.38,8.47,7.47,1016800.0
2010-08-13,8.44,8.58,8.42,8.48,7.48,972400.0
2010-08-16,8.42,8.57,8.33,8.56,7.55,930000.0
2010-08-17,8.62,8.9,8.6,8.82,7.78,1509600.0
2010-08-18,8.81,8.96,8.65,8.86,7.82,1248400.0
2010-08-19,8.81,8.82,8.43,8.54,7.53,1330800.0
2010-08-20,8.48,8.52,8.35,8.5,7.5,597600.0
2010-08-23,8.53,8.62,8.34,8.4,7.4,1462000.0
2010-08-24,8.3,8.51,8.21,8.41,7.42,1043200.0
2010-08-25,8.38,8.56,8.33,8.55,7.54,1132000.0
2010-08-26,8.61,8.68,8.46,8.5,7.49,816400.0
2010-08-27,8.58,8.75,8.42,8.73,7.7,641200.0
2010-08-30,8.72,8.72,8.56,8.56,7.55,896400.0
2010-08-31,8.54,8.67,8.48,8.56,7.55,1292400.0
2010-09-01,8.71,9.02,8.68,8.98,7.91,1165200.0
2010-09-02,8.92,8.95,8.73,8.85,7.8,2263200.0
2010-09-03,8.98,9.04,8.81,9.03,7.96,1155600.0
2010-09-07,9.01,9.05,8.94,8.98,7.91,1021600.0
2010-09-08,9.02,9.19,8.96,8.99,7.93,1096000.0
2010-09-09,9.12,9.12,8.9,8.97,7.91,503200.0
2010-09-10,8.98,9.08,8.93,8.99,7.93,1003200.0
2010-09-13,9.1,9.33,9.07,9.3,8.2,1056400.0
2010-09-14,9.26,9.33,9.23,9.26,8.16,1402000.0
2010-09-15,9.24,9.41,9.24,9.37,8.26,1244800.0
2010-09-16,9.38,9.4,9.28,9.38,8.27,1291600.0
2010-09-17,9.42,9.44,9.24,9.35,8.25,2206800.0
2010-09-20,9.37,9.59,9.32,9.58,8.44,1492000.0
2010-09-21,9.61,9.77,9.56,9.64,8.5,1286800.0
2010-09-22,9.63,9.71,9.45,9.48,8.35,1389600.0
2010-09-23,9.42,9.51,9.27,9.28,8.18,1136400.0
2010-09-24,9.41,9.6,9.28,9.6,8.46,1394800.0
