Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,23.5,23.5,22.95,22.97,21.44,2457200
2010-01-05,22.93,23.05,22.42,22.49,20.99,2705400
2010-01-06,22.52,22.76,22.44,22.58,21.07,1664400
2010-01-07,22.5,22.62,22.35,22.42,20.93,1377600
2010-01-08,22.33,22.59,22.25,22.59,21.08,1346800
2010-01-11,22.72,22.77,22.3,22.65,21.14,1635200
2010-01-12,22.39,22.47,21.86,22.15,20.67,3822400
2010-01-13,22.19,22.55,22.02,22.5,21.0,1200000
2010-01-14,22.49,22.75,22.42,22.65,21.14,1983800
2010-01-15,22.51,22.56,21.84,21.92,20.46,2166000
2010-01-19,21.92,22.06,21.72,22.04,20.57,2071000
2010-01-20,21.91,22.14,21.67,22.05,20.58,2366400
2010-01-21,22.28,22.74,21.22,21.25,19.83,6785400
2010-01-22,21.11,21.25,20.25,20.27,18.92,3938800
2010-01-25,20.49,20.57,20.15,20.42,19.06,2572800
2010-01-26,20.25,20.8,20.13,20.6,19.23,3938000
2010-01-27,20.5,20.62,20.01,20.4,19.04,3627000
2010-01-28,20.41,20.53,19.81,20.01,18.68,2168200
2010-01-29,20.2,20.34,19.89,19.92,18.59,3747200
2010-02-01,20.08,20.35,20.01,20.28,18.93,2225000
2010-02-02,20.36,20.38,20.03,20.28,18.93,1866200
2010-02-03,20.23,20.48,20.15,20.22,18.87,997600
2010-02-04,20.01,20.01,19.25,19.26,17.98,2197800
2010-02-05,19.25,19.45,18.89,19.43,18.14,3104200
2010-02-08,19.39,19.84,19.26,19.48,18.18,2270000
2010-02-09,19.73,19.95,19.49,19.81,18.49,1745800
2010-02-10,19.75,19.86,19.39,19.77,18.46,1571600
2010-02-11,19.76,20.03,19.4,20.03,18.7,2128600
2010-02-12,19.85,20.02,19.53,19.94,18.61,1399800
2010-02-16,20.18,20.68,20.0,20.65,19.27,2322800
2010-02-17,20.75,20.94,20.59,20.84,19.46,1552800
2010-02-18,20.8,21.05,20.73,20.98,19.58,2145200
2010-02-19,21.55,21.81,21.16,21.4,19.97,3459400
2010-02-22,21.45,21.45,20.84,20.88,19.49,2312400
2010-02-23,20.87,21.05,20.55,20.61,19.24,1628800
2010-02-24,20.66,20.86,20.53,20.82,19.43,1810600
2010-02-25,20.41,20.78,20.16,20.74,19.35,1925600
2010-02-26,20.67,20.87,20.5,20.83,19.44,1382400
2010-03-01,21.01,21.28,21.01,21.25,19.83,1363400
2010-03-02,21.33,21.48,21.11,21.22,19.81,2178800
2010-03-03,21.25,21.85,21.23,21.77,20.32,2917400
2010-03-04,21.75,21.79,21.47,21.62,20.18,1935800
2010-03-05,21.72,22.01,21.72,21.95,20.49,2980200
2010-03-08,21.99,22.07,21.85,21.88,20.42,2404200
2010-03-09,21.84,22.24,21.75,22.15,20.67,2002000
2010-03-10,22.19,22.6,22.19,22.57,21.07,2428800
2010-03-11,22.44,22.54,22.09,22.17,20.69,7145400
2010-03-12,22.19,22.23,22.0,22.08,20.6,4472200
2010-03-15,22.0,22.19,21.9,21.94,20.49,2167000
2010-03-16,21.97,22.19,21.97,22.19,20.72,2481200
2010-03-17,22.21,22.45,22.18,22.28,20.81,4379200
2010-03-18,22.18,22.2,21.95,22.13,20.66,1789200
2010-03-19,21.75,22.28,21.72,21.75,20.3,4152400
2010-03-22,21.55,21.58,21.44,21.48,20.06,5416600
2010-03-23,21.53,21.54,21.03,21.12,19.72,9125600
2010-03-24,21.06,21.12,20.92,20.99,19.6,4536400
2010-03-25,21.16,21.44,20.94,20.98,19.58,5277600
2010-03-26,21.01,21.07,20.5,20.73,19.36,4743200
2010-03-29,20.82,21.24,20.78,21.21,19.8,2688400
2010-03-30,21.2,21.3,20.97,21.11,19.71,4061400
2010-03-31,21.01,21.22,20.98,21.09,19.7,2890600
2010-04-01,21.24,21.39,21.05,21.19,19.79,1915600
2010-04-05,21.26,21.54,21.26,21.49,20.06,2155600
2010-04-06,21.31,21.51,21.15,21.49,20.06,2009600
2010-04-07,21.55,21.55,21.29,21.4,19.98,2416400
2010-04-08,21.35,21.43,21.16,21.4,19.98,1448800
2010-04-09,21.42,21.67,21.24,21.65,20.21,1917800
2010-04-12,21.65,21.83,21.6,21.74,20.3,2595200
2010-04-13,21.75,21.81,21.59,21.76,20.32,2683800
2010-04-14,21.82,22.39,21.76,22.35,20.87,3754200
2010-04-15,22.24,22.43,22.15,22.22,20.74,1963200
2010-04-16,22.11,22.3,21.85,21.91,20.46,2300400
2010-04-19,21.91,22.01,21.5,22.01,20.55,2403600
2010-04-20,23.06,23.75,22.8,23.72,22.15,7749200
2010-04-21,23.6,23.92,23.2,23.37,21.82,4842800
2010-04-22,23.03,23.38,22.74,23.36,21.82,2617000
2010-04-23,23.4,23.72,23.27,23.49,21.93,1777600
2010-04-26,23.5,23.79,23.43,23.69,22.12,2441800
2010-04-27,23.49,23.59,22.88,22.95,21.43,2406200
2010-04-28,23.17,23.32,22.83,23.18,21.64,3070200
2010-04-29,23.41,23.5,23.24,23.36,21.82,1687200
2010-04-30,23.33,23.5,23.02,23.1,21.57,2693400
2010-05-03,23.25,23.56,23.19,23.56,21.99,2080600
2010-05-04,23.26,23.26,22.19,22.39,20.9,2795200
2010-05-05,22.06,22.16,21.26,22.06,20.59,4839000
2010-05-06,21.89,22.34,20.5,21.68,20.24,6074600
2010-05-07,21.68,21.77,20.8,21.24,19.83,3749200
2010-05-10,22.25,22.73,22.03,22.62,21.12,4232600
2010-05-11,22.36,22.93,22.17,22.5,21.0,3220000
2010-05-12,22.63,22.77,22.5,22.72,21.21,2795800
2010-05-13,22.69,22.91,22.48,22.51,21.02,2305800
2010-05-14,22.35,22.45,21.73,22.0,20.54,2317400
2010-05-17,22.02,22.49,21.94,22.41,20.92,2658000
2010-05-18,22.62,22.76,22.0,22.08,20.62,2734400
2010-05-19,21.93,22.05,21.21,21.5,20.07,2913000
2010-05-20,20.92,21.15,20.49,20.59,19.23,2927400
2010-05-21,20.25,21.2,20.08,20.96,19.57,3557600
2010-05-24,20.89,21.16,20.76,20.78,19.41,3268600
2010-05-25,20.16,20.8,19.9,20.77,19.39,2566000
2010-05-26,20.92,21.15,20.5,20.61,19.24,2171600
2010-05-27,21.07,21.51,20.96,21.5,20.07,1870800
2010-05-28,21.41,21.49,21.11,21.2,19.79,2555400
2010-06-01,21.02,21.17,20.5,20.52,19.16,2131800
2010-06-02,20.58,20.98,20.25,20.98,19.58,3579800
2010-06-03,21.02,21.24,20.92,21.12,19.72,2172000
2010-06-04,20.71,20.92,20.25,20.4,19.04,3867600
2010-06-07,20.43,20.48,19.86,19.9,18.58,2969200
2010-06-08,19.91,20.06,19.2,19.58,18.28,4598400
2010-06-09,19.73,20.18,19.61,19.69,18.39,3093600
2010-06-10,19.9,20.33,19.9,20.33,18.98,1834400
2010-06-11,20.0,20.51,20.0,20.5,19.15,2015000
2010-06-14,20.7,20.92,20.5,20.53,19.18,2374000
2010-06-15,20.75,21.51,20.67,21.5,20.08,3058800
2010-06-16,21.33,21.49,21.22,21.33,19.92,1323200
2010-06-17,21.46,21.5,21.06,21.33,19.93,1155400
2010-06-18,21.38,21.52,21.18,21.32,19.91,1611000
2010-06-21,21.62,21.79,21.12,21.28,19.88,1748600
2010-06-22,21.3,21.46,20.9,20.93,19.55,1582600
2010-06-23,20.97,21.07,20.5,20.86,19.49,1619400
2010-06-24,20.71,20.94,20.42,20.47,19.12,1683800
2010-06-25,20.62,20.83,20.17,20.7,19.34,2508200
2010-06-28,20.7,20.92,20.58,20.74,19.37,1539800
2010-06-29,20.36,20.45,19.85,20.02,18.7,1952800
2010-06-30,19.95,20.2,19.54,19.64,18.34,2142000
2010-07-01,19.55,19.95,19.18,19.76,18.46,3253200
2010-07-02,19.85,20.0,19.33,19.48,18.19,3047600
2010-07-06,19.91,19.91,19.22,19.44,18.16,3017200
2010-07-07,19.53,20.18,19.41,20.14,18.81,2875600
2010-07-08,20.42,20.62,20.02,20.37,19.03,2872200
2010-07-09,20.37,20.43,20.18,20.32,18.98,1216400
2010-07-12,20.18,20.4,20.01,20.27,18.94,1175000
2010-07-13,20.5,21.08,20.44,20.99,19.61,1827000
2010-07-14,21.04,21.38,20.96,21.17,19.77,2274800
2010-07-15,21.15,21.35,20.93,21.3,19.89,1421400
2010-07-16,21.16,21.16,20.49,20.58,19.22,2148600
2010-07-19,20.66,20.86,20.44,20.8,19.43,1872000
2010-07-20,20.42,21.25,20.38,21.23,19.83,2362000
2010-07-21,22.06,22.29,21.17,21.25,19.85,5135800
2010-07-22,21.55,21.98,21.49,21.95,20.51,2877400
2010-07-23,21.94,22.64,21.94,22.55,21.06,3439400
2010-07-26,22.53,22.94,22.33,22.92,21.41,2748800
2010-07-27,23.08,23.16,22.5,22.52,21.04,2299400
2010-07-28,22.45,22.63,22.31,22.44,20.96,1866600
2010-07-29,22.56,22.65,22.11,22.39,20.91,2312200
2010-07-30,22.11,22.52,21.85,22.4,20.92,2392200
2010-08-02,22.78,23.0,22.65,22.85,21.35,2352800
2010-08-03,22.81,22.92,22.48,22.61,21.12,2742600
2010-08-04,22.67,22.95,22.59,22.83,21.32,2412400
2010-08-05,22.58,22.74,22.45,22.62,21.13,2453000
2010-08-06,22.33,22.64,22.17,22.5,21.02,1682800
2010-08-09,22.59,22.86,22.51,22.85,21.35,1900400
2010-08-10,22.51,22.65,22.24,22.5,21.01,1630600
2010-08-11,22.11,22.11,21.29,21.32,19.91,2738400
2010-08-12,20.84,20.99,20.74,20.82,19.45,3265200
2010-08-13,20.79,20.8,20.41,20.42,19.07,2863400
2010-08-16,20.26,20.69,20.17,20.65,19.29,2103400
2010-08-17,20.82,21.38,20.75,21.17,19.77,2882200
2010-08-18,21.11,21.34,20.91,21.17,19.77,2085800
2010-08-19,21.05,21.16,20.68,20.74,19.37,2593000
2010-08-20,20.61,20.86,20.41,20.83,19.46,2277600
2010-08-23,20.8,20.96,20.38,20.38,19.04,1809800
2010-08-24,20.06,20.33,19.81,20.18,18.85,2547000
2010-08-25,19.99,20.34,19.86,20.27,18.94,1978000
2010-08-26,20.39,20.69,20.33,20.52,19.17,4062400
2010-08-27,20.68,20.99,20.23,20.97,19.58,2783400
2010-08-30,20.85,21.08,20.6,20.61,19.25,2834600
2010-08-31,20.53,20.74,20.22,20.36,19.02,3624400
