Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,40.81,41.1,40.39,40.92,35.38,6894300
2010-01-05,40.83,41.23,40.37,40.83,35.31,10641200
2010-01-06,41.23,41.67,41.17,41.49,35.88,8399400
2010-01-07,41.26,42.24,41.11,41.98,36.46,8981700
2010-01-08,41.76,42.48,41.4,41.95,36.43,7907700
2010-01-11,41.74,41.96,41.25,41.47,36.01,7396000
2010-01-12,41.27,42.35,41.25,42.02,36.49,12657300
2010-01-13,41.85,42.24,41.57,42.15,36.61,10137200
2010-01-14,42.04,42.74,42.02,42.68,37.07,8238400
2010-01-15,42.52,42.84,42.02,42.39,36.81,13629000
2010-01-19,42.24,43.05,42.11,42.96,37.31,9533800
2010-01-20,42.93,43.25,42.26,42.98,37.33,11643000
2010-01-21,42.99,43.1,41.53,42.16,36.61,16974300
2010-01-22,41.36,41.49,38.19,38.59,33.51,26170800
2010-01-25,39.1,39.29,37.5,37.79,32.82,17587600
2010-01-26,37.54,39.23,37.52,38.1,33.09,15709900
2010-01-27,37.96,38.84,37.83,38.67,33.58,12908300
2010-01-28,38.67,38.67,36.83,37.43,32.51,14148600
2010-01-29,37.6,38.77,37.36,37.66,32.71,14219900
2010-02-01,37.84,38.31,37.82,38.21,33.18,9357100
2010-02-02,38.68,39.17,38.45,39.02,33.89,11273000
2010-02-03,38.91,38.91,38.19,38.33,33.29,10657500
2010-02-04,38.03,38.58,37.47,37.53,32.59,12948000
2010-02-05,37.66,37.97,36.6,37.85,32.87,13024000
2010-02-08,37.76,37.87,36.78,36.79,31.95,9370300
2010-02-09,37.27,37.84,37.02,37.54,32.6,10677400
2010-02-10,37.58,38.04,37.0,37.75,32.78,8880300
2010-02-11,37.81,38.48,37.48,38.29,33.25,9907800
2010-02-12,37.79,38.54,37.47,38.42,33.37,10692600
2010-02-16,38.81,39.63,38.65,39.62,34.41,10961400
2010-02-17,39.53,39.58,38.82,39.05,33.91,9850000
2010-02-18,39.07,39.27,38.74,39.15,34.0,6853400
2010-02-19,38.89,39.18,38.59,39.06,33.92,9412300
2010-02-22,39.1,39.24,38.78,38.93,33.81,7413000
2010-02-23,38.74,38.74,37.82,37.93,32.94,9693800
2010-02-24,38.1,38.7,38.02,38.41,33.36,6412300
2010-02-25,37.67,38.13,37.05,38.04,33.04,8456500
2010-02-26,38.15,38.32,37.76,38.19,33.17,6475500
2010-03-01,38.2,38.28,37.86,38.13,33.11,9137700
2010-03-02,38.12,38.94,38.1,38.39,33.34,9938400
2010-03-03,38.46,38.95,38.18,38.28,33.24,8222000
2010-03-04,38.25,39.0,38.2,38.89,33.77,8899100
2010-03-05,39.1,40.25,39.1,40.2,34.91,10137000
2010-03-08,40.22,40.34,39.61,39.71,34.49,7811600
2010-03-09,39.54,39.94,39.35,39.7,34.48,6764600
2010-03-10,39.94,39.94,39.32,39.72,34.5,7749400
2010-03-11,39.57,40.15,39.43,40.11,34.83,7634600
2010-03-12,40.48,41.0,40.43,40.76,35.4,9464400
2010-03-15,40.62,40.97,40.07,40.7,35.35,7125300
2010-03-16,40.87,41.03,40.45,40.92,35.54,5796900
2010-03-17,41.18,41.31,40.7,41.01,35.62,8941900
