Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.72,22.89,22.59,22.69,18.25,617900
2010-01-05,22.73,22.77,22.45,22.6,18.18,498300
2010-01-06,22.49,22.64,22.33,22.45,18.06,370100
2010-01-07,22.5,22.61,22.25,22.54,18.13,417400
2010-01-08,22.4,22.8,22.4,22.71,18.26,356800
2010-01-11,22.8,22.95,22.53,22.78,18.32,561200
2010-01-12,22.73,22.73,22.4,22.56,18.14,480100
2010-01-13,22.56,22.83,22.5,22.78,18.32,306500
2010-01-14,22.66,23.08,22.59,22.97,18.47,531300
2010-01-15,23.0,23.0,22.37,22.4,18.02,575900
2010-01-19,22.48,22.76,22.35,22.7,18.26,702400
2010-01-20,22.53,22.66,22.15,22.57,18.15,629800
2010-01-21,22.53,22.66,22.15,22.23,17.88,529000
2010-01-22,22.23,22.54,22.14,22.14,17.81,489800
2010-01-25,22.19,22.19,21.98,22.07,17.75,336500
2010-01-26,21.99,22.12,21.89,21.93,17.64,395000
2010-01-27,21.93,22.08,21.72,22.08,17.76,540000
2010-01-28,22.04,22.1,21.61,22.0,17.69,502800
2010-01-29,22.02,22.14,21.69,21.72,17.47,672100
2010-02-01,21.78,21.97,21.61,21.86,17.58,523600
2010-02-02,21.84,22.07,21.73,21.99,17.69,568100
2010-02-03,21.97,22.26,21.81,21.97,17.67,840000
2010-02-04,22.54,23.27,21.99,22.04,17.73,2524400
2010-02-05,21.96,21.98,21.23,21.5,17.29,1738200
2010-02-08,21.48,21.64,21.3,21.39,17.2,1620900
2010-02-09,21.55,21.65,20.98,21.05,16.93,1510300
2010-02-10,21.05,21.19,20.99,21.04,16.92,954600
2010-02-11,21.06,21.17,20.88,20.93,16.83,732800
2010-02-12,20.82,21.42,20.73,21.42,17.23,1051700
2010-02-16,21.41,21.66,21.3,21.64,17.4,512200
2010-02-17,21.61,21.84,21.5,21.83,17.56,677800
2010-02-18,21.77,21.81,21.62,21.78,17.52,932700
