Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.24,32.66,31.9,32.53,25.52,3824400.0
2010-01-05,32.42,32.6,32.15,32.24,25.29,3023700.0
2010-01-06,32.38,32.38,31.58,31.71,24.88,3856700.0
2010-01-07,31.7,32.05,31.42,31.7,24.87,4737900.0
2010-01-08,31.71,31.86,31.48,31.6,24.79,3845300.0
2010-01-11,31.6,32.32,31.6,32.02,25.12,7568300.0
2010-01-12,32.06,32.06,31.67,31.83,24.97,3763900.0
2010-01-13,31.95,32.14,31.91,32.01,25.11,4807100.0
2010-01-14,32.11,32.67,31.89,32.62,25.59,5296300.0
2010-01-15,32.62,32.62,32.21,32.34,25.37,2658200.0
2010-01-19,32.45,33.16,32.44,33.08,25.95,2339500.0
2010-01-20,33.0,33.28,32.52,32.82,25.75,3379900.0
2010-01-21,32.74,32.8,31.61,32.03,25.13,4779800.0
2010-01-22,31.72,32.31,31.72,31.97,25.08,6572600.0
2010-01-25,32.28,32.58,32.13,32.21,25.27,4386700.0
2010-01-26,32.2,32.59,31.92,32.39,25.41,3512800.0
2010-01-27,32.41,32.41,31.3,31.31,24.56,7319900.0
2010-01-28,33.0,33.52,32.5,32.91,25.82,10174100.0
2010-01-29,33.71,33.8,33.03,33.07,25.94,5745500.0
2010-02-01,33.18,33.66,32.79,33.66,26.41,4374000.0
2010-02-02,33.77,34.42,33.67,34.25,26.87,5154800.0
2010-02-03,34.17,34.19,33.5,33.71,26.45,3034400.0
2010-02-04,33.69,33.69,32.55,32.6,25.57,5343600.0
2010-02-05,32.28,32.49,31.89,32.47,25.47,4211400.0
2010-02-08,32.37,32.64,32.21,32.26,25.31,2807400.0
2010-02-09,32.49,32.93,32.36,32.64,25.61,2386500.0
2010-02-10,32.54,32.59,32.02,32.16,25.23,2786500.0
2010-02-11,33.08,33.36,32.55,33.25,26.08,4564100.0
2010-02-12,33.06,33.46,32.7,33.38,26.19,3679300.0
2010-02-16,33.61,33.67,33.19,33.54,26.31,3826700.0
2010-02-17,33.69,33.8,33.21,33.75,26.48,3148300.0
2010-02-18,33.74,33.97,33.65,33.77,26.49,2594800.0
2010-02-19,33.65,33.87,33.4,33.83,26.54,3120100.0
2010-02-22,33.95,33.95,33.42,33.67,26.41,2610100.0
2010-02-23,33.53,33.62,32.92,32.99,25.88,3072900.0
2010-02-24,33.21,33.43,33.0,33.26,26.09,3648300.0
2010-02-25,33.03,33.68,32.77,33.61,26.37,4928100.0
2010-02-26,33.69,34.2,33.65,33.97,26.65,4734400.0
2010-03-01,34.05,35.08,33.97,35.07,27.51,5589000.0
2010-03-02,35.15,35.72,35.15,35.55,27.89,5199600.0
2010-03-03,35.58,35.69,35.0,35.16,27.58,4602600.0
2010-03-04,35.23,35.45,35.04,35.24,27.65,2886000.0
2010-03-05,35.39,35.64,35.3,35.5,27.85,3365000.0
2010-03-08,35.54,35.61,35.24,35.3,27.69,2136600.0
2010-03-09,35.41,35.41,35.07,35.2,27.61,2150700.0
2010-03-10,35.16,35.26,34.85,35.02,27.47,3478900.0
2010-03-11,35.01,35.11,34.65,34.99,27.45,4465700.0
2010-03-12,35.14,35.28,34.75,34.91,27.39,2339300.0
2010-03-15,34.76,35.46,34.76,35.43,27.79,2743600.0
2010-03-16,35.43,35.55,35.26,35.32,27.71,2983100.0
2010-03-17,35.5,35.61,35.32,35.49,27.84,2664300.0
2010-03-18,35.77,36.0,35.32,35.55,27.89,4137800.0
2010-03-19,35.85,36.0,35.58,35.85,28.12,5030700.0
2010-03-22,35.55,36.35,35.53,36.19,28.39,2730400.0
2010-03-23,36.3,36.33,35.96,36.26,28.45,2451600.0
2010-03-24,36.2,36.34,35.77,35.79,28.08,2840400.0
2010-03-25,36.13,36.24,35.75,35.75,28.05,2736000.0
2010-03-26,35.8,36.0,35.29,35.42,27.79,2577400.0
2010-03-29,35.55,36.16,35.48,36.07,28.3,1988900.0
2010-03-30,36.02,36.55,35.95,36.45,28.73,2668600.0
2010-03-31,36.42,36.45,35.95,36.03,28.4,3133500.0
2010-04-01,36.13,36.29,35.97,36.28,28.6,2865600.0
2010-04-05,36.48,36.59,36.27,36.33,28.64,1981400.0
2010-04-06,36.24,36.31,35.82,36.1,28.46,2251400.0
2010-04-07,35.97,35.99,35.49,35.68,28.13,2388700.0
2010-04-08,35.57,36.03,35.51,35.92,28.32,2840800.0
2010-04-09,35.98,36.47,35.93,36.45,28.73,2240700.0
2010-04-12,36.58,36.58,35.77,35.96,28.35,2856500.0
2010-04-13,35.81,35.94,35.63,35.93,28.32,2814000.0
2010-04-14,35.87,35.87,35.42,35.57,28.04,2354100.0
