Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.18,9.23,9.09,9.1,9.1,1172000
2010-01-05,9.1,9.14,9.06,9.1,9.1,658000
2010-01-06,9.07,9.11,9.05,9.06,9.06,617600
2010-01-07,9.02,9.06,8.94,9.01,9.01,913600
2010-01-08,8.98,9.04,8.93,9.04,9.04,1271200
2010-01-11,9.03,9.1,8.94,9.0,9.0,607200
2010-01-12,8.94,8.96,8.9,8.94,8.94,738400
2010-01-13,8.93,8.94,8.84,8.87,8.87,1682800
2010-01-14,8.82,8.94,8.76,8.94,8.94,1241200
2010-01-15,8.95,8.95,8.74,8.79,8.79,524800
2010-01-19,8.77,8.89,8.73,8.89,8.89,772000
2010-01-20,8.81,8.85,8.69,8.82,8.82,728000
2010-01-21,8.8,8.99,8.69,8.7,8.7,902800
2010-01-22,8.72,8.74,8.56,8.57,8.57,698000
2010-01-25,8.65,8.7,8.62,8.68,8.68,906000
2010-01-26,8.65,8.69,8.6,8.66,8.66,804400
2010-01-27,8.62,8.7,8.59,8.66,8.66,817200
2010-01-28,8.65,8.65,8.5,8.54,8.54,866800
2010-01-29,8.56,8.58,8.43,8.44,8.44,1114000
2010-02-01,8.45,8.51,8.33,8.51,8.51,1674400
2010-02-02,8.49,8.63,8.46,8.6,8.6,1186800
2010-02-03,8.56,8.66,8.49,8.55,8.55,910400
2010-02-04,8.51,8.52,8.26,8.29,8.29,1630400
2010-02-05,8.26,8.31,8.19,8.3,8.3,1667200
2010-02-08,8.33,8.36,8.26,8.27,8.27,514000
2010-02-09,8.36,8.48,8.27,8.3,8.3,662800
2010-02-10,8.27,8.32,8.22,8.27,8.27,818000
2010-02-11,8.25,8.35,8.23,8.35,8.35,1136400
2010-02-12,8.31,8.46,8.27,8.43,8.43,1282800
2010-02-16,8.71,8.9,8.67,8.81,8.81,3252800
2010-02-17,8.85,9.0,8.79,8.86,8.86,1759200
2010-02-18,8.89,9.0,8.85,8.98,8.98,1108400
2010-02-19,8.95,9.06,8.95,9.02,9.02,829200
2010-02-22,9.06,9.16,9.03,9.05,9.05,608000
2010-02-23,9.01,9.08,8.86,8.88,8.88,874000
2010-02-24,8.88,8.99,8.88,8.94,8.94,483200
2010-02-25,8.85,8.96,8.83,8.95,8.95,920400
2010-02-26,8.98,8.98,8.85,8.92,8.92,1178000
2010-03-01,8.91,9.1,8.91,9.07,9.07,2194400
2010-03-02,9.06,9.25,9.01,9.25,9.25,3417600
2010-03-03,8.98,9.17,8.73,8.76,8.76,4786800
2010-03-04,8.75,8.83,8.61,8.66,8.66,1305600
