Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.65,18.88,18.55,18.7,18.7,7906000
2010-01-05,18.61,18.75,18.2,18.62,18.62,7942400
2010-01-06,18.69,18.75,18.5,18.59,18.59,5122400
2010-01-07,18.63,18.74,18.39,18.51,18.51,4840000
2010-01-08,18.52,18.59,18.32,18.54,18.54,5510400
2010-01-11,18.65,18.67,18.2,18.41,18.41,6399200
2010-01-12,17.61,17.62,17.07,17.07,17.07,21053200
2010-01-13,17.07,17.2,16.74,17.12,17.12,20649600
2010-01-14,17.12,17.43,17.12,17.3,17.3,10400400
2010-01-15,17.26,17.39,17.02,17.16,17.16,8564800
2010-01-19,17.15,17.47,17.04,17.38,17.38,6252800
2010-01-20,17.2,17.29,16.88,17.14,17.14,7260000
2010-01-21,17.16,17.38,16.65,16.72,16.72,8946000
2010-01-22,16.68,16.74,16.09,16.14,16.14,8788800
2010-01-25,16.37,16.4,15.87,16.03,16.03,9866800
2010-01-26,16.04,16.55,15.84,16.35,16.35,10367200
2010-01-27,16.35,16.42,16.1,16.35,16.35,5947600
2010-01-28,16.31,16.33,15.86,16.04,16.04,5684400
2010-01-29,16.2,16.29,15.8,15.89,15.89,6281200
2010-02-01,16.0,16.32,15.91,16.3,16.3,5632000
2010-02-02,16.31,16.39,16.02,16.26,16.26,4664400
2010-02-03,16.2,16.56,16.1,16.41,16.41,4725600
2010-02-04,16.21,16.27,15.46,15.61,15.61,11797200
2010-02-05,15.62,15.62,15.07,15.52,15.52,12440800
2010-02-08,15.52,15.76,15.31,15.53,15.53,5062400
2010-02-09,15.67,16.23,15.67,16.17,16.17,9099200
2010-02-10,16.19,16.23,16.01,16.18,16.18,6855200
2010-02-11,16.19,16.53,15.95,16.49,16.49,6448800
2010-02-12,16.36,16.42,16.05,16.27,16.27,8150000
2010-02-16,16.37,16.61,16.33,16.55,16.55,5511200
2010-02-17,16.56,16.83,16.56,16.69,16.69,6672400
2010-02-18,16.92,17.24,16.86,17.11,17.11,8361600
2010-02-19,17.03,17.37,17.0,17.23,17.23,7196800
2010-02-22,17.33,17.38,17.17,17.26,17.26,5123600
2010-02-23,17.18,17.35,16.98,17.06,17.06,5597200
2010-02-24,17.08,17.5,17.02,17.36,17.36,10460400
2010-02-25,17.21,17.21,16.19,17.0,17.0,19942400
2010-02-26,16.82,17.02,16.62,16.99,16.99,10079600
2010-03-01,16.93,17.85,16.88,17.73,17.73,10422000
2010-03-02,17.7,18.09,17.66,17.96,17.96,8080800
