Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.54,37.0,36.37,36.66,17.05,2068100
2010-01-05,36.76,36.99,36.69,36.72,17.08,3450100
2010-01-06,36.54,36.54,35.22,35.28,16.41,5333000
2010-01-07,35.42,35.49,34.83,34.94,16.25,3994000
2010-01-08,34.99,34.99,34.51,34.84,16.21,2286100
2010-01-11,35.1,35.24,34.93,35.2,16.37,1976800
2010-01-12,35.1,35.43,34.98,35.11,16.33,2251500
2010-01-13,35.24,35.44,35.11,35.4,16.47,1780100
2010-01-14,35.45,35.6,35.29,35.43,16.48,1730100
2010-01-15,35.45,35.49,34.85,35.07,16.31,2595900
2010-01-19,35.16,35.48,35.02,35.44,16.49,2699800
2010-01-20,35.2,35.58,35.05,35.25,16.4,3936000
2010-01-21,35.24,35.42,34.37,34.43,16.02,3156800
2010-01-22,34.41,34.63,33.96,33.99,15.81,2841800
2010-01-25,34.18,34.96,34.02,34.77,16.17,2935900
2010-01-26,34.84,34.94,34.25,34.77,16.17,2813500
2010-01-27,34.8,34.97,34.12,34.5,16.05,3770700
2010-01-28,34.45,34.55,33.84,34.11,15.87,2295100
2010-01-29,34.29,34.44,33.91,34.01,15.82,2008400
2010-02-01,34.19,34.39,34.06,34.27,15.94,1977900
2010-02-02,34.36,34.36,34.0,34.16,15.89,2975900
2010-02-03,34.05,34.63,34.05,34.47,16.03,4931400
2010-02-04,34.25,34.49,33.63,33.63,15.64,2236900
2010-02-05,33.63,33.81,33.17,33.81,15.73,3541600
2010-02-08,34.31,35.14,34.0,34.35,15.98,3081200
2010-02-09,34.72,35.14,34.51,34.74,16.16,2589300
2010-02-10,34.84,35.21,34.68,35.01,16.29,1954500
2010-02-11,35.06,35.39,34.74,35.26,16.4,2277200
2010-02-12,34.88,34.99,34.28,34.57,16.08,3915600
2010-02-16,34.93,35.24,34.82,35.14,16.35,2161200
2010-02-17,35.27,35.34,34.92,35.1,16.33,2972000
2010-02-18,35.1,35.83,35.1,35.81,16.66,2033500
2010-02-19,35.79,35.79,35.0,35.1,16.33,3357500
2010-02-22,35.29,35.38,35.04,35.12,16.34,2128600
2010-02-23,35.14,35.4,34.9,35.07,16.31,2324500
2010-02-24,35.11,35.33,34.9,35.28,16.41,2139500
2010-02-25,34.48,34.74,34.1,34.65,16.12,4296400
2010-02-26,34.73,34.92,34.2,34.27,15.94,4155800
2010-03-01,34.29,34.69,34.25,34.68,16.13,2969700
2010-03-02,34.86,35.0,34.54,34.77,16.17,3059300
2010-03-03,34.9,34.99,34.42,34.58,16.09,4042500
2010-03-04,34.63,34.67,34.13,34.15,15.89,4697600
2010-03-05,33.68,33.7,32.98,33.38,15.86,5217100
2010-03-08,33.31,33.71,33.25,33.57,15.95,3756700
2010-03-09,33.59,34.16,33.56,34.02,16.17,3297100
2010-03-10,34.01,34.32,33.98,34.18,16.24,3680000
2010-03-11,34.23,34.75,34.23,34.73,16.51,3762400
2010-03-12,34.74,34.8,34.42,34.62,16.45,2407500
2010-03-15,34.54,34.79,34.54,34.79,16.53,2721200
2010-03-16,34.76,34.86,34.56,34.85,16.56,2891100
2010-03-17,34.9,35.21,34.87,35.07,16.67,2781100
2010-03-18,35.08,35.25,34.77,35.03,16.65,2733700
2010-03-19,34.86,35.24,34.72,34.86,16.57,2699200
2010-03-22,34.78,35.3,34.75,35.18,16.72,2022200
2010-03-23,35.28,35.4,35.04,35.34,16.8,1658700
2010-03-24,35.24,35.32,35.0,35.12,16.69,2228700
2010-03-25,35.36,35.39,34.9,34.91,16.59,2452400
2010-03-26,35.05,35.46,34.93,35.4,16.82,6541200
2010-03-29,35.49,35.53,35.19,35.52,16.88,2854400
2010-03-30,35.63,35.84,35.39,35.41,16.83,2598400
2010-03-31,35.41,35.68,35.3,35.46,16.85,2405700
2010-04-01,35.67,35.97,35.65,35.88,17.05,2284000
2010-04-05,36.0,36.24,35.94,36.2,17.2,2233700
2010-04-06,36.05,36.05,35.61,35.96,17.09,2439700
2010-04-07,36.11,36.13,35.65,35.83,17.03,2821300
2010-04-08,35.76,35.84,35.29,35.75,16.99,2377600
2010-04-09,35.69,36.04,35.5,36.02,17.12,2362300
2010-04-12,36.1,36.29,36.01,36.11,17.16,1490500
2010-04-13,36.17,36.29,35.85,36.1,17.16,1829700
2010-04-14,36.23,36.27,35.95,36.21,17.21,1831400
2010-04-15,36.22,36.47,36.07,36.34,17.27,1907900
2010-04-16,36.32,36.44,35.67,36.06,17.14,2647900
2010-04-19,36.01,36.22,35.91,36.2,17.2,1550800
2010-04-20,36.4,36.73,36.31,36.51,17.35,2382600
2010-04-21,36.37,36.47,36.0,36.2,17.2,2308500
2010-04-22,35.54,35.75,34.85,35.01,16.64,22061700
2010-04-23,35.01,35.01,33.5,34.33,16.32,14540000
2010-04-26,34.2,34.36,33.75,33.96,16.14,6669200
2010-04-27,33.8,33.91,33.55,33.67,16.0,5854900
2010-04-28,33.85,33.93,33.51,33.76,16.04,5479900
2010-04-29,33.83,34.21,33.8,34.1,16.21,4883400
2010-04-30,34.2,34.49,34.11,34.11,16.21,5949000
2010-05-03,34.3,34.62,34.25,34.5,16.4,4992900
2010-05-04,34.33,34.39,33.86,34.07,16.19,5109200
2010-05-05,34.25,34.75,34.0,34.67,16.48,5458000
2010-05-06,34.48,34.52,14.16,33.52,15.93,6808000
2010-05-07,32.14,33.64,32.11,33.03,15.7,7412700
2010-05-10,33.72,33.97,33.29,33.66,16.0,5767700
2010-05-11,33.5,33.97,33.41,33.7,16.02,4904900
2010-05-12,33.79,34.35,33.54,34.27,16.29,3085300
2010-05-13,34.27,34.57,34.0,34.25,16.28,3153700
2010-05-14,34.24,34.28,33.76,34.13,16.22,4161200
2010-05-17,34.29,34.32,33.73,34.17,16.24,3396000
2010-05-18,34.37,34.52,33.9,34.03,16.17,3177300
2010-05-19,33.75,34.01,33.62,33.85,16.09,3234000
2010-05-20,33.66,33.66,32.91,32.93,15.65,4427900
2010-05-21,32.63,33.25,32.46,33.25,15.8,3935700
2010-05-24,33.55,34.2,33.25,33.66,16.0,5376600
2010-05-25,33.3,33.61,32.95,33.58,15.96,5578400
2010-05-26,33.82,34.09,33.59,33.74,16.04,3934800
2010-05-27,34.22,34.5,34.11,34.5,16.4,2497200
2010-05-28,34.63,34.73,34.25,34.33,16.32,3289600
2010-06-01,34.25,34.78,34.16,34.16,16.23,2989400
2010-06-02,34.43,34.98,34.28,34.97,16.62,4592000
2010-06-03,35.04,35.12,34.72,34.93,16.6,5506800
2010-06-04,34.02,34.29,33.66,33.76,16.38,4657700
2010-06-07,33.79,34.06,33.42,33.42,16.22,3260800
2010-06-08,33.38,33.82,33.25,33.76,16.38,2782500
2010-06-09,33.83,34.23,33.71,33.86,16.43,3533900
2010-06-10,34.19,34.43,33.98,34.29,16.64,2711200
2010-06-11,33.98,34.46,33.98,34.41,16.7,2215000
2010-06-14,34.65,34.68,34.23,34.24,16.62,2637600
2010-06-15,34.56,34.74,34.38,34.71,16.85,2658100
2010-06-16,34.52,34.9,34.49,34.82,16.9,2417700
2010-06-17,34.92,35.02,34.55,35.02,17.0,2362200
2010-06-18,35.07,35.15,34.9,34.97,16.97,2884800
2010-06-21,35.12,35.24,34.79,34.95,16.96,2044700
2010-06-22,35.07,35.09,34.59,34.6,16.79,2176200
2010-06-23,34.75,34.82,34.37,34.47,16.73,2388600
2010-06-24,34.43,34.55,34.24,34.29,16.64,3276200
2010-06-25,34.45,34.45,33.82,33.94,16.47,5739000
2010-06-28,33.91,34.37,33.9,34.15,16.57,3103600
2010-06-29,33.91,33.96,33.6,33.73,16.37,3641100
2010-06-30,33.68,33.84,33.28,33.31,16.17,3675400
2010-07-01,33.32,33.47,32.98,33.25,16.14,5249000
2010-07-02,33.38,33.38,32.92,33.15,16.09,2655100
2010-07-06,33.42,33.59,33.14,33.4,16.21,3567100
2010-07-07,33.52,34.24,33.37,34.22,16.61,5985500
2010-07-08,34.44,34.44,34.05,34.34,16.67,3813400
2010-07-09,34.25,34.55,34.03,34.45,16.72,3007100
2010-07-12,34.32,34.54,34.24,34.43,16.71,2635500
2010-07-13,34.72,35.09,34.6,34.86,16.92,4027100
2010-07-14,34.82,35.02,34.62,35.02,17.0,2694900
2010-07-15,35.02,35.04,34.64,34.83,16.9,2578500
2010-07-16,34.74,35.01,34.48,34.58,16.78,4321600
2010-07-19,34.6,34.99,34.6,34.95,16.96,2437400
2010-07-20,34.54,35.08,34.52,35.05,17.01,3161700
2010-07-21,35.14,35.47,35.01,35.18,17.07,3500100
2010-07-22,35.38,35.76,35.37,35.54,17.25,2865800
2010-07-23,35.45,35.65,35.37,35.56,17.26,3537900
2010-07-26,35.65,35.88,35.44,35.87,17.41,2995500
2010-07-27,35.87,35.95,35.7,35.73,17.34,3247000
2010-07-28,35.61,35.78,35.52,35.6,17.28,2391000
2010-07-29,35.66,35.73,35.22,35.4,17.18,3125900
2010-07-30,35.23,35.8,35.1,35.62,17.29,2290300
2010-08-02,35.85,36.12,35.72,35.98,17.46,4400200
2010-08-03,35.93,36.09,35.81,35.87,17.41,1898900
2010-08-04,35.9,36.36,35.85,36.33,17.63,3640700
2010-08-05,36.1,36.3,35.99,36.26,17.6,3735100
2010-08-06,36.07,36.39,36.0,36.39,17.66,3333800
2010-08-09,36.5,36.5,36.28,36.35,17.64,2781000
2010-08-10,36.18,36.55,36.09,36.49,17.71,4055700
2010-08-11,36.08,36.31,36.04,36.24,17.59,4475500
2010-08-12,36.03,36.19,35.8,35.92,17.43,3829700
2010-08-13,35.93,36.24,35.93,36.05,17.5,2714100
2010-08-16,35.98,36.3,35.9,36.26,17.6,2876900
2010-08-17,36.49,36.49,36.04,36.19,17.56,3988100
2010-08-18,36.2,36.32,36.0,36.23,17.58,3654500
2010-08-19,36.18,36.19,35.86,36.05,17.5,3274000
2010-08-20,35.81,36.03,35.75,35.99,17.47,2465200
2010-08-23,36.12,36.19,35.86,35.91,17.43,2717900
2010-08-24,35.75,36.14,35.7,36.01,17.48,3464900
2010-08-25,35.87,36.05,35.79,35.97,17.46,6456000
2010-08-26,36.09,36.22,35.95,36.0,17.47,3450900
2010-08-27,36.11,36.15,35.54,36.12,17.53,4245700
2010-08-30,36.05,36.2,35.92,35.98,17.46,2713800
2010-08-31,36.01,36.21,35.91,36.16,17.55,4128000
2010-09-01,36.38,36.75,36.21,36.73,17.83,4805200
2010-09-02,36.19,36.3,35.93,36.17,17.91,3555000
2010-09-03,36.27,36.37,36.01,36.21,17.93,3050300
2010-09-07,36.19,36.33,35.97,36.0,17.82,2610500
2010-09-08,36.04,36.43,35.95,36.3,17.97,3231800
2010-09-09,36.49,36.6,36.42,36.47,18.06,2007600
2010-09-10,36.46,36.73,36.41,36.66,18.15,2032600
2010-09-13,36.8,37.02,36.68,36.92,18.28,3053100
2010-09-14,36.85,37.74,36.84,37.54,18.59,4828400
2010-09-15,37.54,38.0,37.42,37.93,18.78,3438500
2010-09-16,37.79,38.08,37.66,38.08,18.85,3302200
2010-09-17,38.42,39.03,38.21,38.79,19.2,6203900
2010-09-20,38.99,39.42,38.83,39.28,19.45,4770300
2010-09-21,39.37,39.49,38.96,39.33,19.47,3156900
2010-09-22,39.3,39.49,39.18,39.42,19.52,3186300
2010-09-23,39.18,39.26,38.65,38.75,19.19,5179800
2010-09-24,39.04,39.25,38.95,39.25,19.43,4309600
2010-09-27,39.35,39.48,38.9,39.3,19.46,3149500
2010-09-28,39.42,39.94,39.32,39.9,19.75,3812400
2010-09-29,39.89,39.93,39.54,39.62,19.62,2310300
2010-09-30,39.89,40.0,39.45,39.46,19.54,3562000
2010-10-01,39.62,39.89,39.39,39.77,19.69,2350200
2010-10-04,39.71,39.9,39.36,39.52,19.57,2692500
2010-10-05,39.78,40.29,39.62,40.09,19.85,3998300
2010-10-06,40.04,40.32,39.87,40.26,19.93,2785700
2010-10-07,40.2,40.34,39.71,40.06,19.83,3650700
2010-10-08,40.02,40.07,39.18,39.76,19.69,3265700
2010-10-11,39.79,39.79,39.59,39.76,19.69,1690700
2010-10-12,39.93,39.94,39.34,39.79,19.7,3515000
2010-10-13,40.03,40.18,39.81,39.89,19.75,3033700
2010-10-14,40.01,40.13,39.83,40.02,19.81,2473800
2010-10-15,40.06,40.42,39.74,39.88,19.74,6181100
2010-10-18,39.96,40.16,39.81,39.91,19.76,2591200
2010-10-19,39.7,39.79,39.31,39.52,19.57,5844400
2010-10-20,39.78,40.28,39.75,40.21,19.91,3754500
2010-10-21,40.39,40.78,40.3,40.47,20.04,2861100
2010-10-22,40.45,40.69,40.4,40.59,20.1,1708900
2010-10-25,40.8,41.15,40.76,40.92,20.26,3095100
2010-10-26,40.84,41.18,40.72,41.04,20.32,2180100
2010-10-27,40.93,40.99,40.54,40.88,20.24,3325000
2010-10-28,41.16,41.36,41.09,41.2,20.4,2902700
2010-10-29,41.13,41.54,41.1,41.38,20.49,4984300
2010-11-01,41.57,41.71,41.25,41.44,20.52,4332700
2010-11-02,41.61,41.83,41.46,41.83,20.71,3296300
2010-11-03,42.14,42.38,41.67,42.24,20.91,5147400
2010-11-04,42.1,43.09,41.95,43.05,21.31,5366900
2010-11-05,42.76,43.28,42.3,42.57,21.08,3048200
2010-11-08,42.44,42.45,41.95,42.43,21.01,1936700
2010-11-09,42.57,42.65,42.18,42.28,20.93,2985300
2010-11-10,42.29,43.0,42.18,42.93,21.25,2723500
2010-11-11,42.51,42.84,42.25,42.37,20.98,2410600
2010-11-12,42.19,42.34,41.88,42.08,20.83,1849100
2010-11-15,42.49,42.68,42.0,42.33,20.96,2289800
2010-11-16,42.08,42.21,41.4,41.69,20.64,3135200
2010-11-17,41.64,42.17,41.48,41.9,20.74,2322100
2010-11-18,42.26,42.64,42.22,42.57,21.08,2787100
2010-11-19,42.62,42.98,42.39,42.97,21.27,2167700
2010-11-22,42.74,42.77,42.35,42.53,21.06,2899200
2010-11-23,42.24,42.3,41.81,42.08,20.83,3440700
2010-11-24,42.29,42.73,42.24,42.66,21.12,3182300
2010-11-26,42.52,43.04,42.35,43.04,21.31,2220200
2010-11-29,42.92,42.92,42.22,42.9,21.24,3468900
2010-11-30,42.66,43.04,42.51,42.99,21.28,9805500
2010-12-01,43.49,43.91,43.14,43.91,21.74,10393300
2010-12-02,44.05,44.05,43.55,43.98,21.77,4130100
2010-12-03,43.02,43.51,42.93,43.43,21.86,5370300
2010-12-06,43.24,44.06,43.22,43.81,22.05,4473000
2010-12-07,43.95,44.18,43.53,43.74,22.02,3809000
2010-12-08,43.74,43.74,43.11,43.46,21.88,4017700
2010-12-09,43.59,44.16,43.34,44.15,22.23,3117100
2010-12-10,44.17,44.69,43.95,44.63,22.47,3452300
2010-12-13,44.81,45.35,44.65,45.22,22.76,4345600
2010-12-14,45.22,45.92,45.22,45.92,23.12,4446800
2010-12-15,45.91,46.26,45.6,45.79,23.05,5501300
2010-12-16,45.63,45.75,45.12,45.44,22.87,3954500
2010-12-17,45.43,45.52,45.12,45.13,22.72,6321100
2010-12-20,45.41,46.0,45.29,45.96,23.14,4127400
2010-12-21,46.22,46.87,46.05,46.8,23.56,4678700
2010-12-22,46.73,46.78,46.08,46.46,23.39,3680900
2010-12-23,46.51,46.65,46.0,46.28,23.3,4024500
2010-12-27,46.29,46.63,46.21,46.4,23.36,3262300
2010-12-28,46.55,46.6,46.09,46.09,23.2,2853500
2010-12-29,46.25,46.46,46.06,46.25,23.28,1855900
2010-12-30,46.23,46.44,46.1,46.36,23.34,1616800
2010-12-31,46.27,46.44,46.15,46.17,23.24,1103000
2011-01-03,46.36,46.66,46.31,46.58,23.45,3266200
2011-01-04,46.75,46.78,46.32,46.73,23.52,3727200
2011-01-05,46.45,46.7,46.29,46.39,23.35,4091400
2011-01-06,46.36,46.42,44.7,45.44,22.87,5315700
2011-01-07,45.2,45.43,44.76,44.81,22.56,3973000
2011-01-10,44.86,45.16,44.72,44.96,22.63,3106600
2011-01-11,44.86,45.17,44.31,44.41,22.36,3519400
2011-01-12,44.67,44.87,44.51,44.63,22.47,3286600
2011-01-13,44.62,44.95,44.58,44.86,22.58,2860500
2011-01-14,44.72,44.99,44.22,44.27,22.29,4360300
2011-01-18,44.44,44.5,43.55,43.94,22.12,5070800
2011-01-19,43.83,43.99,43.09,43.35,21.82,4978000
2011-01-20,43.15,43.3,42.33,42.44,21.36,4857700
2011-01-21,42.6,42.83,41.71,42.16,21.22,4661900
2011-01-24,41.9,42.3,41.89,41.99,21.14,3688500
2011-01-25,42.07,42.24,41.65,42.2,21.24,3593200
2011-01-26,42.71,43.85,42.57,43.83,22.06,6735100
2011-01-27,43.86,43.91,43.06,43.54,21.92,3997000
2011-01-28,43.68,43.78,42.99,43.02,21.66,5735200
2011-01-31,43.16,43.61,43.13,43.24,21.77,3347000
2011-02-01,43.51,43.55,43.04,43.44,21.87,2758700
2011-02-02,43.39,43.72,43.24,43.58,21.94,2633000
2011-02-03,43.45,43.95,43.28,43.84,22.07,4849000
2011-02-04,43.88,43.98,43.45,43.64,21.97,6029300
2011-02-07,43.93,44.2,43.83,44.17,22.24,6634700
2011-02-08,44.24,44.56,44.17,44.5,22.4,2323300
2011-02-09,44.45,44.76,44.31,44.5,22.4,2050300
2011-02-10,44.42,44.79,44.35,44.7,22.5,2326300
2011-02-11,44.5,45.14,44.5,45.1,22.7,1910700
2011-02-14,45.08,45.34,45.0,45.14,22.72,3469400
2011-02-15,44.82,45.05,43.43,43.83,22.06,7070400
2011-02-16,43.27,43.33,41.94,42.66,21.84,8628400
2011-02-17,42.26,42.65,42.14,42.17,21.59,4629700
2011-02-18,42.09,42.18,40.88,41.23,21.1,7692200
2011-02-22,39.89,40.81,39.45,40.7,20.83,6231600
2011-02-23,40.55,40.72,39.85,40.05,20.5,4327200
2011-02-24,39.9,40.16,39.6,40.07,20.51,3947600
2011-02-25,40.37,40.62,40.15,40.44,20.7,3019200
2011-02-28,40.6,41.22,40.53,41.18,21.08,4553900
2011-03-01,41.27,41.5,40.5,40.5,20.73,4950700
2011-03-02,40.82,41.2,40.54,40.93,20.95,3717400
2011-03-03,41.09,41.34,40.39,40.81,20.89,4223800
2011-03-04,40.78,40.99,40.32,40.4,20.68,3517000
2011-03-07,40.56,40.59,39.84,40.09,20.52,4633800
2011-03-08,40.41,40.77,40.1,40.52,20.74,4289300
2011-03-09,40.45,40.76,40.02,40.68,20.82,3478600
2011-03-10,40.4,40.56,40.1,40.35,20.65,3759100
2011-03-11,40.17,40.54,40.08,40.45,20.7,2854800
2011-03-14,40.38,40.49,40.11,40.43,20.69,4177400
2011-03-15,39.76,40.27,39.45,40.07,20.51,4691400
2011-03-16,40.17,40.5,39.53,39.67,20.31,7749500
2011-03-17,40.3,40.97,40.02,40.81,20.89,4981200
2011-03-18,41.33,41.83,41.21,41.83,21.41,5936600
2011-03-21,42.13,42.19,40.42,40.48,20.72,6104300
2011-03-22,40.46,41.03,40.46,40.89,20.93,3909800
2011-03-23,40.88,40.97,40.54,40.9,20.94,2715100
2011-03-24,41.04,41.18,40.57,40.69,20.83,3334800
2011-03-25,41.22,41.22,40.81,40.97,20.97,4332600
2011-03-28,40.82,41.07,40.71,40.95,20.96,3201400
2011-03-29,40.93,41.51,40.75,41.45,21.22,3613000
2011-03-30,41.66,41.84,41.32,41.73,21.36,6161700
2011-03-31,41.67,41.86,41.37,41.55,21.27,13717100
2011-04-01,41.63,41.82,40.88,41.03,21.0,5949600
2011-04-04,41.14,41.14,40.0,40.23,20.59,9414000
2011-04-05,40.09,40.34,40.0,40.14,20.55,7272000
2011-04-06,40.18,40.85,39.94,40.64,20.8,7316800
2011-04-07,40.5,40.64,40.14,40.6,20.78,4385200
2011-04-08,40.65,41.0,40.36,40.46,20.71,4169600
2011-04-11,40.76,40.76,40.16,40.28,20.62,5007300
2011-04-12,40.19,40.35,39.7,39.83,20.39,5166800
2011-04-13,39.9,40.35,39.83,40.22,20.59,4006800
2011-04-14,39.98,40.34,39.88,40.0,20.47,3873300
2011-04-15,40.05,40.18,39.67,40.03,20.49,4256600
2011-04-18,39.79,39.86,39.32,39.51,20.22,4590800
