Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,54.74,56.2,54.34,56.06,45.22,3974600
2010-01-05,56.19,56.56,55.6,55.85,45.05,3007400
2010-01-06,55.57,56.04,55.22,55.7,44.93,2854500
2010-01-07,55.38,56.13,55.17,56.1,45.25,2694000
2010-01-08,55.78,57.75,55.3,57.63,46.48,4165500
2010-01-11,58.26,60.16,58.16,59.95,48.36,8119900
2010-01-12,58.89,58.97,56.46,57.39,46.29,8129400
2010-01-13,57.75,58.54,55.89,58.29,47.02,6647000
2010-01-14,58.7,58.87,57.78,58.35,47.07,4170800
2010-01-15,58.36,58.59,55.96,56.33,45.44,6654200
2010-01-19,56.37,57.69,56.14,57.66,46.51,3618800
2010-01-20,57.07,57.1,55.61,56.11,45.26,3804200
2010-01-21,55.93,56.47,54.66,55.45,44.73,5413200
2010-01-22,55.2,55.2,52.87,53.02,42.77,6205900
2010-01-25,53.73,58.0,53.06,53.69,43.31,4313400
2010-01-26,53.48,54.33,52.78,53.41,43.08,3479300
2010-01-27,52.53,53.41,50.62,52.39,42.26,6772900
2010-01-28,52.32,52.52,50.18,51.11,41.23,4456300
2010-01-29,51.4,52.33,49.69,49.95,40.29,5507600
2010-02-01,50.37,51.86,50.24,51.35,41.42,3836700
2010-02-02,51.8,52.86,51.61,52.45,42.31,3678000
2010-02-03,52.17,53.17,51.75,51.84,41.81,2497200
2010-02-04,51.35,51.45,49.68,49.87,40.23,4636500
2010-02-05,49.76,50.17,48.33,49.82,40.18,5771500
2010-02-08,49.84,50.59,48.84,48.96,39.49,3775400
2010-02-09,49.9,51.36,49.73,50.32,40.59,5841600
2010-02-10,50.44,50.65,49.43,50.05,40.37,3155300
2010-02-11,49.91,52.51,49.85,52.32,42.2,5045200
2010-02-12,51.47,53.16,51.11,53.11,42.84,5683500
2010-02-16,53.76,54.55,53.54,53.78,43.38,6325800
2010-02-17,57.69,58.05,56.05,56.48,45.56,17375400
2010-02-18,56.92,57.52,56.45,57.26,46.19,6090000
2010-02-19,57.11,57.72,56.6,57.28,46.2,4262100
2010-02-22,57.6,57.75,56.49,56.7,45.73,4127600
2010-02-23,56.58,57.44,55.45,56.09,45.24,4890200
2010-02-24,56.3,56.99,55.74,56.18,45.31,3982800
2010-02-25,55.27,57.12,54.6,56.96,45.94,5749000
2010-02-26,57.34,57.49,56.24,57.3,46.22,4068600
2010-03-01,57.45,58.46,57.45,58.29,47.02,3529600
2010-03-02,58.58,58.99,57.66,58.21,46.95,3547700
2010-03-03,58.35,59.7,58.33,58.66,47.32,3921600
2010-03-04,58.78,59.33,58.07,58.5,47.19,3374900
2010-03-05,59.29,59.85,59.01,59.54,48.02,3086000
2010-03-08,59.59,59.78,58.78,59.2,47.75,2429700
2010-03-09,58.85,59.73,58.76,59.28,47.82,3370400
2010-03-10,59.28,59.35,58.11,58.49,47.18,4794100
2010-03-11,58.16,58.29,56.71,57.73,46.56,7502500
2010-03-12,58.31,58.94,57.96,58.64,47.3,4650900
2010-03-15,58.43,58.6,57.6,58.13,46.89,3531100
2010-03-16,58.39,59.0,57.75,58.92,47.52,3566600
2010-03-17,59.02,59.96,58.96,59.59,48.07,3866700
2010-03-18,59.32,59.91,58.96,59.25,47.79,3415000
2010-03-19,58.99,59.64,58.64,58.99,47.58,5244000
2010-03-22,58.33,60.04,58.28,60.02,48.41,5205800
2010-03-23,60.2,62.08,60.1,61.96,49.98,8971600
2010-03-24,61.64,61.65,60.31,60.49,48.79,6149600
2010-03-25,61.06,61.83,60.07,60.2,48.56,5452100
2010-03-26,60.52,61.2,60.11,60.56,48.85,4195800
2010-03-29,60.83,61.42,60.73,61.35,49.71,3364400
2010-03-30,61.56,62.0,60.99,61.11,49.52,3932400
