Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,60.73,61.18,60.23,61.16,51.53,1046000.0
2010-01-05,60.94,61.04,59.26,59.79,50.46,1535200.0
2010-01-06,59.54,59.78,57.71,58.87,49.68,3184300.0
2010-01-07,58.77,59.63,58.68,59.44,50.16,1116000.0
2010-01-08,59.48,60.03,59.12,59.44,50.16,1110200.0
2010-01-11,59.54,59.99,59.45,59.59,50.29,646400.0
2010-01-12,59.5,59.82,58.94,59.21,49.97,667100.0
2010-01-13,59.5,60.19,59.07,59.94,50.59,1023800.0
2010-01-14,60.09,60.97,59.74,60.9,51.4,773100.0
2010-01-15,60.73,60.73,59.84,60.25,50.85,1186600.0
2010-01-19,60.41,61.66,60.26,61.61,51.99,1072300.0
2010-01-20,61.61,61.72,59.99,60.64,51.18,1179700.0
2010-01-21,60.56,60.89,59.41,59.77,50.44,1246700.0
2010-01-22,59.37,59.64,58.61,58.8,49.62,1764300.0
2010-01-25,57.23,58.25,55.56,57.44,48.48,3785200.0
2010-01-26,57.19,57.75,56.88,57.52,48.54,1405100.0
2010-01-27,57.56,57.69,56.16,56.63,47.79,1925000.0
2010-01-28,56.61,57.17,55.99,56.05,47.3,840800.0
2010-01-29,54.93,56.33,54.93,55.67,46.98,1656200.0
2010-02-01,55.87,56.91,55.77,56.44,47.63,2008800.0
2010-02-02,56.53,57.28,56.18,57.0,48.1,1373700.0
2010-02-03,56.95,56.95,56.2,56.48,47.67,1176500.0
2010-02-04,56.24,56.32,55.41,55.43,46.78,1752400.0
2010-02-05,55.52,55.69,54.7,55.6,46.92,1174400.0
2010-02-08,55.4,55.42,54.63,55.0,46.42,1301300.0
2010-02-09,54.99,56.11,54.99,55.68,46.99,1148400.0
2010-02-10,55.42,56.14,55.16,55.76,47.06,961600.0
2010-02-11,55.57,56.23,55.16,55.9,47.18,1073500.0
2010-02-12,55.4,56.16,55.16,56.07,47.32,1026500.0
2010-02-16,56.29,56.7,55.79,56.69,47.84,1390800.0
2010-02-17,56.86,57.72,56.84,57.39,48.43,1037300.0
2010-02-18,57.33,57.96,57.16,57.7,48.69,859500.0
2010-02-19,57.51,57.6,56.99,57.5,48.53,1426000.0
2010-02-22,57.49,57.93,57.26,57.37,48.42,1157000.0
2010-02-23,57.11,57.26,56.56,56.7,47.85,1260200.0
2010-02-24,56.73,57.04,56.46,56.82,47.95,898800.0
2010-02-25,56.5,56.76,56.18,56.69,47.84,1264900.0
2010-02-26,56.83,57.08,56.45,56.75,47.89,1005400.0
2010-03-01,56.78,57.47,56.7,56.84,47.97,1246700.0
2010-03-02,56.95,57.2,56.59,56.65,47.81,1524500.0
2010-03-03,56.67,56.82,55.77,55.83,47.12,3129100.0
2010-03-04,56.12,56.23,55.54,55.95,47.22,1422700.0
2010-03-05,56.03,56.32,55.82,56.19,47.42,1103900.0
2010-03-08,55.99,56.19,55.83,55.93,47.2,1092700.0
2010-03-09,55.67,55.91,55.62,55.72,47.02,776400.0
2010-03-10,55.47,56.0,55.47,55.75,47.05,1522600.0
2010-03-11,55.59,55.98,55.48,55.93,47.2,1191500.0
2010-03-12,56.07,56.29,55.86,55.97,47.23,1041300.0
2010-03-15,55.94,56.32,55.69,56.32,47.53,1433300.0
2010-03-16,56.43,57.04,56.37,56.95,48.06,1368500.0
2010-03-17,56.88,57.74,56.88,57.49,48.52,1294700.0
2010-03-18,57.6,57.96,57.29,57.69,48.69,924000.0
2010-03-19,57.3,57.64,56.95,57.3,48.36,2574400.0
2010-03-22,57.27,58.28,56.11,57.95,48.91,1419800.0
2010-03-23,57.75,57.75,56.84,57.28,48.34,1492800.0
2010-03-24,57.26,57.65,57.17,57.45,48.48,1508000.0
2010-03-25,57.83,58.15,57.54,57.95,48.91,1482600.0
2010-03-26,57.98,58.2,57.89,57.89,48.86,1279000.0
2010-03-29,57.99,58.63,57.99,58.49,49.36,698800.0
2010-03-30,58.62,58.8,58.3,58.64,49.49,624200.0
