Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.31,13.46,13.25,13.4,13.4,535400
2010-01-05,13.34,14.02,13.34,13.98,13.98,857400
2010-01-06,14.07,14.2,13.92,14.12,14.12,1016000
2010-01-07,14.16,14.3,14.06,14.26,14.26,744800
2010-01-08,14.19,14.45,14.15,14.45,14.45,1252200
2010-01-11,14.46,14.52,14.32,14.36,14.36,1086200
2010-01-12,14.28,14.36,13.97,13.98,13.98,1762200
2010-01-13,13.98,14.08,13.73,13.95,13.95,1196000
2010-01-14,13.9,14.13,13.86,13.9,13.9,531200
2010-01-15,14.19,14.52,13.99,14.22,14.22,661200
2010-01-19,14.15,14.27,14.07,14.27,14.27,666000
2010-01-20,14.19,14.23,14.07,14.1,14.1,385600
2010-01-21,14.26,14.32,13.66,13.94,13.94,1457000
2010-01-22,13.99,13.99,13.41,13.42,13.42,638000
2010-01-25,13.64,13.64,13.28,13.39,13.39,872600
2010-01-26,13.41,13.51,13.27,13.44,13.44,514400
2010-01-27,13.36,13.45,12.94,13.2,13.2,403400
2010-01-28,13.2,13.39,13.05,13.31,13.31,668400
2010-01-29,13.32,13.41,13.12,13.13,13.13,986600
2010-02-01,13.28,13.34,13.16,13.26,13.26,482800
2010-02-02,13.34,13.34,13.12,13.25,13.25,741600
2010-02-03,13.25,13.32,13.18,13.2,13.2,503400
2010-02-04,13.12,13.13,12.85,12.89,12.89,827200
2010-02-05,12.84,12.85,12.48,12.82,12.82,921400
2010-02-08,12.86,13.02,12.83,12.86,12.86,3177600
2010-02-09,12.98,13.18,12.9,13.11,13.11,1101000
2010-02-10,12.94,12.94,12.5,12.66,12.66,1078200
2010-02-11,12.71,12.77,12.6,12.7,12.7,581800
2010-02-12,12.62,12.9,12.6,12.85,12.85,1006400
2010-02-16,12.9,13.02,12.86,12.91,12.91,910600
2010-02-17,13.65,13.92,13.5,13.74,13.74,2467800
2010-02-18,13.64,13.89,13.64,13.76,13.76,1354800
2010-02-19,13.67,14.09,13.65,14.01,14.01,980600
2010-02-22,13.99,14.26,13.99,14.11,14.11,1477600
2010-02-23,13.8,14.23,13.77,14.1,14.1,1776200
2010-02-24,14.21,14.21,13.95,14.06,14.06,1154800
2010-02-25,13.93,13.94,13.52,13.65,13.65,1542000
2010-02-26,13.65,13.81,13.26,13.27,13.27,15486000
2010-03-01,13.32,13.55,13.32,13.46,13.46,5921800
2010-03-02,13.44,13.5,13.38,13.42,13.42,2754400
2010-03-03,13.4,13.51,13.38,13.38,13.38,1195600
2010-03-04,13.43,13.7,13.3,13.61,13.61,910400
2010-03-05,13.63,13.9,13.62,13.85,13.85,894000
2010-03-08,13.83,14.05,13.81,13.98,13.98,1449600
2010-03-09,13.84,14.15,13.84,14.1,14.1,870000
2010-03-10,14.06,14.2,13.89,14.09,14.09,762600
2010-03-11,14.1,14.24,13.98,14.21,14.21,429400
2010-03-12,14.19,14.38,14.1,14.37,14.37,602600
2010-03-15,14.31,14.38,14.19,14.32,14.32,587200
2010-03-16,14.29,14.45,14.22,14.39,14.39,721600
2010-03-17,14.4,14.52,14.35,14.43,14.43,273400
2010-03-18,14.4,14.48,14.33,14.38,14.38,806400
2010-03-19,14.35,14.6,14.26,14.35,14.35,830600
2010-03-22,14.32,14.73,14.22,14.65,14.65,809600
2010-03-23,14.56,14.75,14.52,14.69,14.69,1207000
2010-03-24,14.7,14.82,14.56,14.81,14.81,723400
2010-03-25,14.82,14.99,14.7,14.73,14.73,905200
2010-03-26,14.78,14.9,14.69,14.77,14.77,1561400
2010-03-29,14.81,15.07,14.69,14.72,14.72,578600
2010-03-30,14.75,14.97,14.64,14.9,14.9,2053600
2010-03-31,14.81,14.84,14.64,14.7,14.7,1157000
2010-04-01,14.72,14.73,14.53,14.66,14.66,1026600
2010-04-05,14.73,14.81,14.6,14.79,14.79,563200
2010-04-06,14.7,14.98,14.69,14.97,14.97,854400
2010-04-07,14.89,14.9,14.7,14.8,14.8,1403200
2010-04-08,14.82,14.85,14.69,14.81,14.81,2410800
2010-04-09,14.82,15.14,14.8,15.05,15.05,1514600
2010-04-12,15.05,15.09,14.9,14.95,14.95,1107800
2010-04-13,14.9,15.02,14.84,15.02,15.02,728000
2010-04-14,15.02,15.1,14.89,15.09,15.09,1183400
2010-04-15,15.11,15.18,15.04,15.09,15.09,967000
2010-04-16,15.06,15.27,14.85,15.01,15.01,737800
2010-04-19,14.92,15.15,14.82,14.99,14.99,1171200
2010-04-20,15.06,15.33,15.0,15.23,15.23,1663600
2010-04-21,15.22,15.49,15.22,15.38,15.38,2841800
2010-04-22,15.24,15.4,15.2,15.39,15.39,2264800
2010-04-23,15.41,15.77,15.28,15.69,15.69,1075600
2010-04-26,15.63,15.72,15.48,15.56,15.56,913600
2010-04-27,15.43,15.55,15.24,15.3,15.3,1548600
2010-04-28,15.27,15.53,15.24,15.5,15.5,1268400
2010-04-29,15.61,16.1,15.57,16.09,16.09,2159000
2010-04-30,16.07,16.85,16.07,16.69,16.69,2818000
2010-05-03,16.83,16.9,16.6,16.79,16.79,1743200
2010-05-04,16.68,16.68,16.4,16.59,16.59,947600
2010-05-05,16.55,16.55,15.72,15.86,15.86,1270600
2010-05-06,15.82,16.07,14.23,15.38,15.38,2304800
2010-05-07,15.48,15.69,14.73,14.94,14.94,1685600
2010-05-10,15.57,16.27,15.57,15.85,15.85,1974200
2010-05-11,15.64,16.23,15.64,16.23,16.23,1612400
2010-05-12,16.38,16.53,16.17,16.45,16.45,929200
2010-05-13,16.51,16.57,16.17,16.23,16.23,760000
2010-05-14,16.14,16.2,15.72,15.88,15.88,814000
2010-05-17,15.86,16.04,15.46,15.73,15.73,695000
2010-05-18,15.87,16.0,15.48,15.59,15.59,999800
2010-05-19,15.55,15.8,15.26,15.52,15.52,1518600
2010-05-20,15.23,15.44,15.05,15.11,15.11,1562600
2010-05-21,14.94,15.4,14.77,15.35,15.35,930400
2010-05-24,15.32,15.59,15.15,15.45,15.45,951200
2010-05-25,15.2,15.52,14.77,15.47,15.47,1235400
2010-05-26,15.59,16.17,15.48,15.71,15.71,1291400
2010-05-27,15.99,16.35,15.98,16.35,16.35,1040200
2010-05-28,16.32,16.32,15.65,15.87,15.87,2639200
2010-06-01,15.71,16.09,15.58,15.61,15.61,1630800
2010-06-02,15.72,16.38,15.6,16.34,16.34,1874400
2010-06-03,16.39,16.61,16.23,16.42,16.42,1794400
2010-06-04,16.2,16.2,15.47,15.55,15.55,1611400
2010-06-07,15.52,15.65,15.0,15.06,15.06,2031800
2010-06-08,15.1,15.1,14.47,14.95,14.95,1555600
2010-06-09,15.02,15.31,14.79,14.85,14.85,1699200
2010-06-10,15.06,15.67,15.06,15.64,15.64,1721400
2010-06-11,15.59,16.08,15.38,16.04,16.04,2057200
2010-06-14,16.19,16.28,15.94,15.98,15.98,1580600
2010-06-15,16.05,16.43,15.99,16.39,16.39,1878200
2010-06-16,16.25,16.5,15.94,16.28,16.28,1738800
2010-06-17,16.28,16.51,16.24,16.49,16.49,1544800
2010-06-18,16.43,16.73,16.42,16.52,16.52,2356600
2010-06-21,16.69,17.29,16.67,16.82,16.82,3894600
2010-06-22,16.92,17.08,16.54,16.61,16.61,6902200
2010-06-23,16.66,16.75,16.32,16.52,16.52,4718600
2010-06-24,16.32,16.45,15.7,16.1,16.1,5319000
2010-06-25,16.07,16.45,15.98,16.17,16.17,40189800
2010-06-28,16.34,16.59,16.24,16.37,16.37,4381600
2010-06-29,16.15,16.17,15.22,15.3,15.3,3587400
2010-06-30,15.31,15.73,15.25,15.47,15.47,2980400
2010-07-01,15.35,15.7,15.23,15.7,15.7,2440800
2010-07-02,15.79,15.81,15.12,15.42,15.42,2391600
2010-07-06,15.78,15.78,15.4,15.57,15.57,2424600
2010-07-07,15.57,15.76,15.5,15.75,15.75,2048600
2010-07-08,15.85,15.96,15.55,15.76,15.76,2430400
2010-07-09,15.73,15.8,15.58,15.74,15.74,2835600
2010-07-12,15.65,15.75,15.38,15.58,15.58,1868400
2010-07-13,15.73,16.02,15.67,15.94,15.94,1752800
2010-07-14,15.9,16.22,15.81,16.05,16.05,2354400
2010-07-15,16.07,16.09,15.72,15.94,15.94,2629800
