Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,50.38,51.01,49.43,50.15,32.91,1306900
2010-01-05,50.03,50.55,49.52,50.48,33.12,841500
2010-01-06,50.66,50.76,49.55,49.8,32.68,988300
2010-01-07,49.68,50.48,49.52,50.24,32.97,881100
2010-01-08,50.12,50.94,49.91,50.8,33.33,971700
2010-01-11,51.19,51.39,50.36,50.55,33.17,607900
2010-01-12,50.14,50.5,49.42,49.96,32.78,817100
2010-01-13,50.0,50.47,49.75,50.2,32.94,814100
2010-01-14,49.99,50.84,49.73,50.5,33.14,884800
2010-01-15,50.43,50.66,49.63,50.0,32.81,1392900
2010-01-19,50.09,51.4,50.09,51.05,33.5,1200500
2010-01-20,50.77,50.77,49.76,50.45,33.1,795100
2010-01-21,50.76,51.35,50.31,50.47,33.12,2243100
2010-01-22,50.4,50.95,49.01,49.1,32.22,1314600
2010-01-25,49.71,49.77,48.26,48.79,32.02,681700
2010-01-26,48.66,49.27,48.29,48.5,31.83,728800
2010-01-27,48.35,48.82,47.79,48.63,31.91,871900
2010-01-28,48.7,48.89,47.7,47.98,31.48,660400
2010-01-29,48.14,48.43,47.45,48.0,31.5,1132200
2010-02-01,48.18,48.54,47.25,48.3,31.69,1233000
2010-02-02,48.56,49.75,48.32,49.57,32.53,1493000
2010-02-03,49.4,49.44,48.65,49.3,32.35,990200
2010-02-04,49.04,49.04,47.75,47.89,31.43,1323300
2010-02-05,47.88,48.89,47.69,48.85,32.06,1405300
2010-02-08,48.78,49.04,46.95,47.02,30.85,800800
2010-02-09,47.73,47.73,46.51,46.76,30.68,666900
2010-02-10,46.82,47.18,46.21,46.69,30.64,720800
2010-02-11,46.68,47.23,46.5,47.2,30.97,852300
2010-02-12,46.59,47.67,46.5,47.66,31.27,529900
2010-02-16,47.98,48.54,47.77,48.43,31.78,775500
2010-02-17,48.64,49.11,48.43,48.85,32.06,625000
2010-02-18,48.59,49.99,48.59,49.84,32.7,595700
2010-02-19,49.47,50.34,49.39,50.07,32.86,735900
2010-02-22,50.38,51.03,49.82,50.78,33.32,674700
2010-02-23,50.76,51.15,50.53,50.64,33.23,757500
2010-02-24,50.67,51.14,50.44,51.12,33.54,934600
2010-02-25,50.16,51.44,50.0,51.24,33.62,946000
2010-02-26,51.27,52.14,51.27,51.58,33.85,959600
2010-03-01,51.65,52.49,51.44,52.42,34.4,1128300
2010-03-02,52.42,52.84,52.07,52.82,34.66,1111700
2010-03-03,52.73,52.93,52.33,52.67,34.56,703600
2010-03-04,52.94,53.07,52.54,52.99,34.77,1041500
2010-03-05,53.23,54.4,53.04,54.28,35.62,1134600
2010-03-08,54.04,55.1,54.04,54.98,36.08,831600
2010-03-09,54.58,55.83,54.58,55.03,36.11,517400
2010-03-10,54.95,55.08,54.07,54.4,35.7,922100
2010-03-11,53.89,55.48,53.66,55.33,36.63,2795600
2010-03-12,55.97,56.09,55.15,55.53,36.76,1192800
2010-03-15,55.54,55.86,54.8,55.48,36.73,632000
