Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.1,28.4,27.91,28.4,23.13,1859700
2010-01-05,28.33,28.36,28.12,28.26,23.02,1272100
2010-01-06,28.25,28.64,28.09,28.6,23.29,1852500
2010-01-07,28.71,29.57,28.71,29.23,23.81,1959200
2010-01-08,29.2,30.08,28.97,30.06,24.49,2190700
2010-01-11,30.11,30.53,30.06,30.43,24.78,2006300
2010-01-12,30.14,30.54,30.05,30.53,24.87,3228400
2010-01-13,30.43,30.88,30.35,30.82,25.1,4637900
2010-01-14,30.8,31.16,30.53,31.12,25.35,2707300
2010-01-15,30.98,31.06,30.45,30.56,24.89,2848000
2010-01-19,30.39,30.84,30.35,30.77,25.06,2328400
2010-01-20,30.5,30.51,30.14,30.47,24.82,2740500
2010-01-21,30.39,30.65,29.96,30.06,24.49,2806700
2010-01-22,30.02,30.02,29.3,29.34,23.9,1998600
2010-01-25,29.44,29.78,28.87,28.99,23.62,2614900
2010-01-26,28.82,29.12,28.64,28.8,23.46,1639100
2010-01-27,28.7,28.8,28.13,28.7,23.38,2713800
2010-01-28,28.78,28.89,28.35,28.5,23.22,2890200
2010-01-29,28.89,30.2,28.72,28.74,23.41,4529700
2010-02-01,28.95,29.42,28.84,29.14,23.74,2268200
2010-02-02,29.27,29.79,29.21,29.71,24.2,2707500
2010-02-03,29.41,29.92,29.41,29.58,24.1,2062800
2010-02-04,29.31,29.51,28.54,28.66,23.35,3115500
2010-02-05,28.61,28.8,27.15,27.81,22.66,4967100
2010-02-08,27.77,27.93,27.38,27.52,22.42,3166600
2010-02-09,27.85,28.4,27.81,28.19,22.97,4190600
2010-02-10,28.16,28.46,27.9,28.21,22.98,2066200
2010-02-11,28.17,28.77,27.97,28.74,23.41,3208600
2010-02-12,28.48,28.74,28.13,28.64,23.33,2069300
2010-02-16,28.86,29.27,28.78,29.26,23.83,1958000
2010-02-17,29.4,29.81,29.28,29.8,24.27,3182500
2010-02-18,30.0,30.58,29.76,30.46,24.81,3363000
2010-02-19,30.43,30.91,30.23,30.89,25.16,3661500
2010-02-22,30.93,30.98,30.66,30.85,25.13,2914700
2010-02-23,30.43,30.78,29.84,30.12,24.54,3578900
2010-02-24,30.15,30.23,29.83,29.96,24.55,3989700
2010-02-25,29.28,29.95,29.12,29.9,24.5,2997000
2010-02-26,29.98,30.41,29.86,30.34,24.86,2398700
2010-03-01,30.51,30.9,30.38,30.67,25.13,2048500
2010-03-02,30.9,31.09,30.73,30.94,25.35,2258200
2010-03-03,30.88,31.14,30.68,30.78,25.22,2371700
2010-03-04,30.88,31.16,30.69,30.88,25.3,1865600
2010-03-05,31.09,31.55,31.09,31.52,25.82,2077200
2010-03-08,31.51,31.55,31.24,31.28,25.63,781100
2010-03-09,31.17,31.42,31.05,31.18,25.55,1406800
2010-03-10,31.14,31.14,30.86,31.06,25.45,1620200
2010-03-11,30.69,31.12,30.47,31.11,25.49,1167000
2010-03-12,31.26,31.35,30.92,31.12,25.5,1007700
2010-03-15,31.02,31.07,30.72,31.0,25.4,1515500
2010-03-16,31.12,31.37,31.0,31.08,25.46,2181300
2010-03-17,31.13,31.71,31.05,31.46,25.77,1301100
