Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.1,32.57,31.94,32.16,23.89,2347600
2010-01-05,32.22,32.22,31.61,31.97,23.75,2946600
2010-01-06,31.77,32.01,31.54,31.83,23.64,4188000
2010-01-07,31.68,32.32,31.61,32.3,23.99,2993000
2010-01-08,32.1,33.04,31.97,33.03,24.53,2767800
2010-01-11,33.06,34.65,33.06,34.53,25.65,5802400
2010-01-12,34.23,34.78,33.99,34.1,25.33,3668000
2010-01-13,34.13,34.5,33.87,34.44,25.59,3168800
2010-01-14,34.32,34.69,34.25,34.51,25.63,2061600
2010-01-15,34.51,34.56,33.85,33.88,25.16,3069600
2010-01-19,34.03,35.08,34.03,34.9,25.92,4371000
2010-01-20,34.38,34.53,33.87,34.19,25.4,2905400
2010-01-21,34.07,34.4,33.24,33.37,24.79,3435400
2010-01-22,33.31,33.56,32.84,32.94,24.47,3770800
2010-01-25,33.97,34.0,32.24,32.29,23.98,8600000
2010-01-26,32.43,32.62,31.79,32.06,23.82,4987800
2010-01-27,32.06,32.23,30.95,31.66,23.52,6130600
2010-01-28,31.85,31.85,31.0,31.26,23.22,3246200
2010-01-29,31.4,31.59,30.55,30.62,22.74,4108200
2010-02-01,30.82,32.22,30.74,32.19,23.91,5801000
2010-02-02,32.1,32.61,32.04,32.58,24.2,3712200
2010-02-03,32.48,32.87,32.31,32.38,24.06,2241000
2010-02-04,31.84,31.84,30.91,30.96,23.18,3923600
2010-02-05,30.9,31.23,30.42,31.0,23.21,4306800
2010-02-08,31.1,31.6,30.83,30.99,23.2,4362000
2010-02-09,31.38,32.21,31.07,31.93,23.9,5204800
2010-02-10,31.97,32.12,31.45,31.76,23.78,2352800
2010-02-11,31.74,32.46,31.5,32.42,24.27,2612800
2010-02-12,31.98,32.61,31.64,32.51,24.34,3581800
2010-02-16,32.91,33.38,32.47,33.32,24.94,3749800
2010-02-17,33.43,33.71,33.06,33.52,25.09,3524400
2010-02-18,33.49,33.91,33.44,33.81,25.31,2185400
2010-02-19,33.74,34.01,33.57,33.86,25.35,3417800
2010-02-22,34.03,34.03,33.6,33.72,25.24,2425000
2010-02-23,33.65,33.86,33.06,33.19,24.84,2576600
2010-02-24,33.22,33.52,33.11,33.4,25.01,2153800
2010-02-25,32.72,33.52,32.29,33.47,25.06,4099600
2010-02-26,33.9,34.65,33.56,34.06,25.5,4776200
2010-03-01,34.07,35.0,34.04,35.0,26.2,3980800
2010-03-02,35.22,35.35,34.9,35.01,26.21,2890000
2010-03-03,35.92,36.29,35.5,35.77,26.78,4761000
2010-03-04,35.83,36.12,35.48,35.77,26.78,4145400
2010-03-05,36.32,36.67,36.06,36.57,27.38,3531800
2010-03-08,36.65,36.69,36.21,36.3,27.17,1560200
2010-03-09,36.21,36.39,36.01,36.21,27.11,2566200
2010-03-10,36.39,36.4,35.96,36.23,27.12,3627000
2010-03-11,36.17,36.27,35.65,36.27,27.15,3032400
2010-03-12,36.51,37.21,36.51,37.21,27.85,4880600
2010-03-15,37.22,37.31,36.62,36.98,27.68,2474200
2010-03-16,37.06,37.36,36.94,37.28,27.91,1813600
2010-03-17,37.35,37.87,37.19,37.45,28.03,2647400
2010-03-18,37.42,37.72,37.29,37.55,28.11,1321600
2010-03-19,37.08,37.99,36.97,37.08,27.75,4379800
2010-03-22,36.78,37.92,36.72,37.83,28.32,3088200
2010-03-23,37.97,38.21,37.62,38.16,28.57,2794000
2010-03-24,38.14,38.14,37.37,37.41,28.0,2633200
2010-03-25,37.76,37.87,37.17,37.23,27.87,3442000
2010-03-26,37.32,37.65,37.03,37.28,27.91,2515800
2010-03-29,37.42,38.1,37.42,38.04,28.48,2686200
2010-03-30,38.17,38.47,38.01,38.21,28.6,2243200
2010-03-31,38.17,38.25,37.76,37.88,28.36,2522400
2010-04-01,38.1,38.44,37.84,38.03,28.46,2888600
2010-04-05,38.06,38.65,38.06,38.44,28.78,2395800
2010-04-06,38.4,38.87,38.15,38.83,29.07,2558400
2010-04-07,38.64,39.44,38.64,39.22,29.36,6605000
2010-04-08,39.07,39.48,38.73,39.24,29.38,5373400
2010-04-09,39.35,40.33,39.35,40.1,30.02,5263000
2010-04-12,40.1,40.46,39.88,39.97,29.92,4460800
2010-04-13,39.78,39.9,39.35,39.69,29.71,4362200
2010-04-14,39.9,40.02,39.56,39.96,29.91,3438000
2010-04-15,39.95,40.6,39.83,40.16,30.06,3450600
2010-04-16,40.14,40.33,39.26,39.69,29.71,2930000
2010-04-19,39.42,39.82,38.56,39.58,29.62,5345200
2010-04-20,40.56,40.89,38.96,39.15,29.31,9405800
2010-04-21,39.33,39.6,38.66,39.04,29.23,4731600
2010-04-22,38.79,39.47,38.2,39.36,29.46,5609200
2010-04-23,39.46,39.69,39.21,39.6,29.65,3185600
2010-04-26,39.78,39.94,39.37,39.42,29.51,3644600
2010-04-27,39.28,39.78,38.38,38.52,28.83,3830600
2010-04-28,38.83,38.85,38.31,38.56,28.86,3523000
2010-04-29,38.92,39.51,38.76,39.51,29.57,5681600
2010-04-30,39.48,39.57,38.56,38.58,28.88,7803400
2010-05-03,38.94,39.54,38.58,39.23,29.37,4200000
2010-05-04,38.63,38.63,37.22,37.45,28.03,5786000
2010-05-05,36.97,37.71,36.29,37.51,28.08,6049600
2010-05-06,37.33,37.47,33.13,35.62,26.84,6323600
2010-05-07,35.44,35.71,34.15,35.12,26.47,7921000
2010-05-10,37.23,37.56,36.84,37.41,28.19,4815200
2010-05-11,36.9,37.88,36.87,37.51,28.27,4191000
2010-05-12,37.67,38.63,37.67,38.5,29.01,3307000
2010-05-13,38.31,38.76,37.95,38.08,28.7,2428600
2010-05-14,37.65,37.81,36.57,36.96,27.85,3256800
2010-05-17,37.22,37.46,36.06,36.92,27.83,3441000
2010-05-18,37.31,37.88,36.09,36.31,27.36,3739400
2010-05-19,35.89,36.0,34.47,35.19,26.52,5288800
2010-05-20,34.12,34.75,33.62,33.79,25.47,5303600
2010-05-21,33.01,34.7,33.0,34.66,26.12,7544800
2010-05-24,34.51,34.81,34.31,34.53,26.03,5071600
2010-05-25,33.63,34.47,33.08,34.44,25.96,6558200
2010-05-26,34.84,35.35,34.01,34.13,25.72,5098400
2010-05-27,34.92,35.26,34.54,35.24,26.56,4410000
2010-05-28,35.85,35.85,34.69,34.97,26.36,4009800
2010-06-01,34.65,35.35,34.01,34.06,25.67,2962200
2010-06-02,34.21,35.36,34.04,35.32,26.62,3372400
2010-06-03,35.26,35.89,35.26,35.82,26.99,3143400
2010-06-04,34.85,35.09,33.43,33.59,25.31,3341800
2010-06-07,33.59,33.83,33.08,33.21,25.03,5194400
2010-06-08,33.3,33.81,33.17,33.74,25.42,5563400
2010-06-09,33.92,34.76,33.45,33.6,25.32,3108200
2010-06-10,34.31,35.49,34.31,35.43,26.7,3838800
2010-06-11,34.94,35.65,34.76,35.26,26.58,2554400
2010-06-14,35.65,36.29,35.58,35.7,26.9,3060000
2010-06-15,35.94,37.28,35.94,37.22,28.05,3815200
2010-06-16,36.97,37.38,36.55,36.78,27.72,2947600
2010-06-17,37.15,37.15,36.35,37.1,27.96,2952800
2010-06-18,37.08,37.35,36.84,37.16,28.0,2874200
2010-06-21,37.58,38.15,36.9,37.16,28.0,2770000
2010-06-22,37.16,37.42,35.69,35.79,26.97,3006200
2010-06-23,35.76,35.85,34.9,35.53,26.78,3034400
2010-06-24,35.38,35.54,34.62,34.71,26.16,2085600
2010-06-25,34.77,35.19,34.31,35.1,26.45,4234800
2010-06-28,35.36,35.36,34.56,34.62,26.09,2996400
2010-06-29,33.81,34.06,32.69,32.99,24.86,4434000
2010-06-30,32.9,33.58,32.65,32.72,24.66,6160200
2010-07-01,32.65,32.78,31.86,32.28,24.33,4869600
2010-07-02,32.43,32.74,31.68,31.85,24.0,4042200
2010-07-06,32.6,32.72,31.48,31.79,23.96,3380000
2010-07-07,31.95,32.89,31.76,32.88,24.78,3589200
2010-07-08,33.14,33.4,32.72,33.28,25.08,2571000
2010-07-09,33.37,33.77,33.19,33.75,25.43,1697600
2010-07-12,33.55,33.66,33.12,33.3,25.09,3168000
2010-07-13,33.79,34.44,33.74,34.26,25.82,3032600
2010-07-14,34.06,34.48,33.83,34.35,25.89,2870800
2010-07-15,34.4,34.54,33.85,34.47,25.98,3340600
2010-07-16,34.12,34.41,33.48,33.6,25.32,3232800
2010-07-19,33.7,33.92,33.13,33.76,25.44,2183600
2010-07-20,33.15,34.62,33.05,34.53,26.02,3304200
2010-07-21,36.13,36.99,35.75,36.57,27.56,9396800
2010-07-22,37.22,37.81,36.85,37.38,28.17,6797000
2010-07-23,37.3,38.74,37.15,38.62,29.1,5592800
2010-07-26,38.88,39.12,38.23,38.71,29.17,5382600
2010-07-27,39.06,39.12,38.56,38.79,29.24,4448400
2010-07-28,38.79,39.28,38.28,38.53,29.04,4298800
2010-07-29,38.92,39.1,38.06,38.72,29.18,3270600
2010-07-30,38.08,39.45,37.92,39.23,29.56,4328800
2010-08-02,39.97,39.99,39.38,39.83,30.01,3974800
2010-08-03,39.87,39.94,39.3,39.7,29.92,3667000
2010-08-04,39.74,40.38,39.7,40.33,30.39,2983800
2010-08-05,39.9,39.94,39.53,39.88,30.27,3534000
2010-08-06,39.58,39.82,38.94,39.58,30.04,2627400
2010-08-09,39.99,39.99,39.38,39.56,30.03,1789000
2010-08-10,39.16,39.8,38.98,39.53,30.01,3928600
2010-08-11,38.97,38.97,38.17,38.22,29.01,4338000
2010-08-12,37.45,38.08,37.26,37.84,28.72,3080400
2010-08-13,37.6,37.99,37.5,37.63,28.57,1835000
2010-08-16,37.42,38.01,36.97,37.71,28.62,1752800
2010-08-17,38.13,38.92,38.13,38.38,29.13,2687600
2010-08-18,38.4,38.47,37.72,37.73,28.64,4129600
