Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.92,22.01,21.71,21.84,14.99,597100
2010-01-05,21.9,21.92,21.44,21.55,14.79,558600
2010-01-06,21.51,21.67,21.45,21.67,14.88,491200
2010-01-07,21.74,21.74,21.49,21.53,14.78,266800
2010-01-08,21.53,21.74,21.41,21.72,14.91,397500
2010-01-11,21.8,22.11,21.74,22.05,15.14,640600
2010-01-12,21.95,22.05,21.78,21.94,15.06,602000
2010-01-13,22.04,22.2,21.92,22.15,15.2,289800
2010-01-14,22.17,22.19,22.05,22.18,15.23,362600
2010-01-15,22.78,22.78,21.91,22.24,15.27,1115100
2010-01-19,22.31,22.53,22.23,22.53,15.47,556900
2010-01-20,22.43,22.53,22.16,22.43,15.4,572400
2010-01-21,22.45,22.55,21.94,22.05,15.14,739400
2010-01-22,22.05,22.07,21.54,21.56,14.8,802100
2010-01-25,21.76,21.83,21.5,21.6,14.83,640600
2010-01-26,21.59,21.66,21.41,21.59,14.82,848800
2010-01-27,21.54,21.63,21.23,21.4,14.69,765400
2010-01-28,21.4,21.42,21.06,21.28,14.61,1154400
2010-01-29,21.31,21.58,21.19,21.33,14.64,1967900
2010-02-01,21.44,21.52,21.29,21.5,14.76,686000
2010-02-02,21.46,21.66,21.35,21.62,14.84,610200
2010-02-03,21.59,21.75,21.38,21.43,14.71,541500
2010-02-04,21.36,21.37,21.0,21.0,14.42,550500
2010-02-05,21.05,21.07,20.56,20.94,14.37,889100
2010-02-08,21.01,21.09,20.8,20.8,14.28,474700
2010-02-09,21.0,21.24,20.81,21.05,14.45,817200
2010-02-10,20.97,21.09,20.76,21.02,14.43,586200
2010-02-11,20.96,21.18,20.83,21.12,14.5,473400
2010-02-12,21.0,21.22,20.93,21.22,14.57,698200
2010-02-16,21.3,21.63,21.3,21.6,14.83,582800
2010-02-17,21.73,21.78,21.58,21.66,14.87,567000
2010-02-18,21.69,21.94,21.68,21.76,14.94,802100
2010-02-19,21.75,22.3,21.67,22.18,15.23,517600
2010-02-22,22.25,22.33,22.14,22.16,15.21,330000
2010-02-23,22.16,22.3,21.93,22.03,15.12,608800
2010-02-24,22.06,22.15,21.88,22.15,15.2,469000
2010-02-25,21.89,22.24,21.81,22.04,15.13,1102700
2010-02-26,22.17,22.18,21.27,21.4,14.69,1900800
2010-03-01,21.49,21.62,21.39,21.44,14.72,754100
2010-03-02,22.04,22.25,21.72,21.86,15.01,1765200
2010-03-03,21.92,22.27,21.86,22.08,15.16,948000
2010-03-04,22.06,22.24,22.0,22.15,15.2,1022000
2010-03-05,21.98,21.98,21.69,21.83,15.2,949500
2010-03-08,21.88,21.95,21.74,21.93,15.27,788800
2010-03-09,21.91,21.97,21.74,21.76,15.15,724600
2010-03-10,21.8,21.97,21.73,21.96,15.29,841300
2010-03-11,21.87,22.04,21.78,22.04,15.34,595300
2010-03-12,22.1,22.1,21.93,22.07,15.36,651000
2010-03-15,22.1,22.19,22.01,22.16,15.43,1063000
2010-03-16,22.23,22.44,22.14,22.44,15.62,770800
2010-03-17,22.45,22.66,22.4,22.47,15.64,515900
2010-03-18,22.51,22.61,22.38,22.43,15.62,487900
2010-03-19,22.37,22.7,22.22,22.37,15.57,1077600
2010-03-22,22.24,22.36,22.14,22.31,15.53,517600
2010-03-23,22.35,22.48,22.26,22.38,15.58,671600
2010-03-24,22.38,22.4,22.0,22.0,15.32,670200
2010-03-25,22.13,22.15,21.82,21.83,15.2,756600
2010-03-26,21.94,22.03,21.85,21.96,15.29,472500
2010-03-29,22.06,22.19,21.94,22.19,15.45,717700
2010-03-30,22.25,22.45,22.1,22.39,15.59,639100
2010-03-31,22.38,22.49,22.25,22.3,15.52,548300
2010-04-01,22.43,22.63,22.38,22.59,15.73,471200
2010-04-05,22.6,22.76,22.54,22.72,15.82,552000
2010-04-06,22.67,23.09,22.66,23.07,16.06,619100
2010-04-07,22.92,22.99,22.78,22.91,15.95,748100
2010-04-08,22.9,22.9,22.6,22.65,15.77,599600
2010-04-09,22.7,22.7,22.4,22.59,15.73,856300
2010-04-12,22.76,22.88,22.66,22.79,15.87,756100
2010-04-13,22.81,22.86,22.61,22.85,15.91,804400
2010-04-14,22.88,22.9,22.61,22.75,15.84,582300
2010-04-15,22.8,22.84,22.62,22.68,15.79,660500
2010-04-16,22.68,22.77,22.51,22.59,15.73,851100
2010-04-19,22.56,22.66,22.46,22.64,15.76,576800
2010-04-20,22.82,22.97,22.72,22.97,15.99,988400
2010-04-21,22.97,22.99,22.83,22.92,15.96,678700
2010-04-22,22.83,23.02,22.7,23.01,16.02,645100
2010-04-23,23.05,23.3,22.95,23.3,16.22,761500
2010-04-26,23.26,23.32,23.11,23.16,16.12,667800
2010-04-27,23.1,23.34,22.9,22.9,15.94,1207100
2010-04-28,22.95,23.16,22.91,23.07,16.06,609500
2010-04-29,23.15,23.5,23.05,23.48,16.35,823000
2010-04-30,23.57,23.83,23.53,23.69,16.49,1025000
2010-05-03,23.71,23.93,23.61,23.92,16.65,612600
