Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.92,22.1,21.78,21.87,21.87,1030800
2010-01-05,21.8,22.02,21.79,22.02,22.02,929200
2010-01-06,22.07,22.37,21.93,22.27,22.27,1003200
2010-01-07,22.39,22.52,22.15,22.47,22.47,900800
2010-01-08,22.66,22.71,22.33,22.37,22.37,1191600
2010-01-11,22.5,22.86,22.46,22.86,22.86,1479200
2010-01-12,22.75,22.95,22.62,22.94,22.94,1735200
2010-01-13,23.0,23.17,22.85,23.03,23.03,934000
2010-01-14,23.08,23.14,23.01,23.1,23.1,1047600
2010-01-15,23.15,23.15,22.67,22.9,22.9,1620800
2010-01-19,22.93,23.26,22.92,23.26,23.26,1153200
2010-01-20,23.23,23.52,23.08,23.49,23.49,1568400
2010-01-21,23.6,23.64,23.32,23.52,23.52,1676400
2010-01-22,23.46,23.46,22.67,22.73,22.73,2318800
2010-01-25,22.73,23.1,22.5,22.95,22.95,1688000
2010-01-26,22.8,23.06,22.79,22.92,22.92,722000
2010-01-27,22.84,22.99,22.75,22.89,22.89,771600
2010-01-28,22.86,23.18,22.6,22.64,22.64,1388800
2010-01-29,22.79,22.8,22.41,22.41,22.41,1447600
2010-02-01,22.4,22.63,22.25,22.56,22.56,870400
2010-02-02,22.64,23.29,22.52,23.26,23.26,1145600
2010-02-03,23.25,23.48,23.06,23.11,23.11,1590000
2010-02-04,23.05,23.12,22.34,22.42,22.42,2504800
2010-02-05,22.11,22.47,21.31,22.43,22.43,5664400
2010-02-08,22.4,22.4,21.74,21.76,21.76,3235200
2010-02-09,22.0,22.06,21.4,21.66,21.66,2900400
2010-02-10,21.53,21.61,21.15,21.45,21.45,2036400
2010-02-11,21.38,21.62,21.27,21.59,21.59,2306000
2010-02-12,21.54,21.83,21.49,21.83,21.83,1397200
2010-02-16,21.86,22.03,21.57,22.03,22.03,1773600
2010-02-17,22.14,22.48,22.03,22.45,22.45,1539600
2010-02-18,22.49,22.68,22.35,22.67,22.67,1852000
2010-02-19,22.7,22.81,22.5,22.62,22.62,1790000
2010-02-22,22.76,22.87,22.54,22.84,22.84,2008000
2010-02-23,22.87,22.87,22.48,22.54,22.54,2539600
2010-02-24,22.72,22.77,22.6,22.75,22.75,2406800
2010-02-25,22.55,22.82,22.42,22.82,22.82,2725200
2010-02-26,22.88,22.99,22.7,22.96,22.96,3396400
2010-03-01,22.97,23.44,22.51,23.41,23.41,2104800
2010-03-02,23.5,23.78,23.49,23.78,23.78,1834400
2010-03-03,23.83,23.87,23.64,23.86,23.86,1814000
2010-03-04,23.94,23.98,23.85,23.95,23.95,1507600
2010-03-05,23.99,24.24,23.92,24.23,24.23,1243600
2010-03-08,24.24,24.31,24.16,24.19,24.19,925200
2010-03-09,24.21,24.29,24.0,24.09,24.09,784400
2010-03-10,24.04,24.32,24.04,24.3,24.3,989200
2010-03-11,24.27,24.31,23.81,24.3,24.3,965200
2010-03-12,24.4,24.47,24.14,24.46,24.46,838800
2010-03-15,24.39,24.9,23.97,24.69,24.69,1690800
2010-03-16,24.87,24.88,24.49,24.68,24.68,887600
2010-03-17,24.75,24.75,24.54,24.61,24.61,802800
2010-03-18,24.74,24.81,24.61,24.78,24.78,810400
2010-03-19,24.98,25.0,24.82,24.98,24.98,1833600
2010-03-22,24.92,25.36,24.53,25.32,25.32,1613600
2010-03-23,25.36,25.5,24.97,25.14,25.14,1768000
2010-03-24,25.13,25.19,24.92,25.0,25.0,912800
2010-03-25,25.06,25.06,24.73,24.74,24.74,2076400
2010-03-26,24.74,24.84,24.48,24.55,24.55,1892400
2010-03-29,24.65,24.9,24.6,24.88,24.88,715600
2010-03-30,24.88,25.05,24.75,25.03,25.03,680400
2010-03-31,24.92,24.95,24.71,24.72,24.72,952400
2010-04-01,24.81,25.14,24.81,25.1,25.1,896400
2010-04-05,25.19,25.8,25.19,25.8,25.8,1485600
2010-04-06,25.77,25.81,24.91,25.61,25.61,3591600
2010-04-07,25.7,25.92,25.48,25.75,25.75,1077600
2010-04-08,25.64,25.74,25.42,25.7,25.7,770400
2010-04-09,25.94,26.0,25.62,26.0,26.0,1300800
2010-04-12,25.74,25.74,25.38,25.61,25.61,1474400
2010-04-13,25.65,26.14,25.42,26.13,26.13,1486000
2010-04-14,26.31,26.39,25.91,26.08,26.08,1472400
2010-04-15,26.13,26.37,26.0,26.34,26.34,977200
2010-04-16,26.32,26.46,26.04,26.09,26.09,1224400
2010-04-19,25.99,26.27,25.83,25.9,25.9,1657600
2010-04-20,25.9,26.2,25.87,26.16,26.16,2549600
2010-04-21,25.44,25.97,25.01,25.08,25.08,3980400
2010-04-22,25.08,25.44,24.76,25.4,25.4,1619200
2010-04-23,25.33,25.71,25.0,25.68,25.68,1376800
2010-04-26,25.46,25.79,25.12,25.54,25.54,1082400
2010-04-27,25.52,26.07,25.41,25.7,25.7,1564400
2010-04-28,25.69,26.32,25.65,26.13,26.13,1745600
2010-04-29,26.16,26.38,25.94,26.38,26.38,1474800
2010-04-30,26.45,26.48,25.74,25.77,25.77,1774000
2010-05-03,25.84,26.48,25.84,26.45,26.45,1429600
2010-05-04,26.22,26.42,25.76,25.86,25.86,1628800
2010-05-05,25.8,25.91,25.5,25.73,25.73,2226400
2010-05-06,25.73,25.96,24.0,24.96,24.96,2298800
2010-05-07,25.03,25.03,24.08,24.37,24.37,4160000
2010-05-10,25.15,25.62,24.5,25.23,25.23,1969200
2010-05-11,25.13,25.2,24.8,24.95,24.95,2229600
2010-05-12,25.07,25.42,24.9,25.37,25.37,1788800
2010-05-13,25.29,25.75,25.28,25.48,25.48,986800
2010-05-14,25.33,25.43,25.01,25.15,25.15,1096000
2010-05-17,25.29,25.47,24.9,25.42,25.42,1498800
2010-05-18,25.66,25.8,25.26,25.31,25.31,1320400
2010-05-19,25.19,25.39,24.8,24.91,24.91,1614800
2010-05-20,24.49,24.57,24.04,24.04,24.04,2298000
2010-05-21,23.75,24.63,23.29,24.6,24.6,2508800
2010-05-24,24.44,25.28,24.44,25.06,25.06,2287600
2010-05-25,24.63,25.14,24.17,24.77,24.77,4032800
2010-05-26,24.9,25.9,24.79,25.45,25.45,3271600
2010-05-27,25.61,26.0,25.45,25.96,25.96,3826800
2010-05-28,25.87,26.0,25.2,25.26,25.26,3086000
2010-06-01,25.11,26.38,25.11,26.05,26.05,3588200
2010-06-02,26.2,26.61,25.75,26.61,26.61,2776800
2010-06-03,26.67,27.04,26.52,26.9,26.9,1999600
2010-06-04,26.36,26.59,25.99,26.23,26.23,2637600
2010-06-07,26.34,26.78,25.66,25.72,25.72,2443200
2010-06-08,25.79,26.35,25.61,26.18,26.18,2048000
2010-06-09,26.22,26.5,26.11,26.27,26.27,1513400
2010-06-10,26.57,26.85,26.37,26.47,26.47,1284600
2010-06-11,26.36,26.97,26.28,26.9,26.9,1120800
2010-06-14,27.11,27.34,26.84,26.92,26.92,970200
2010-06-15,26.94,27.29,26.94,27.25,27.25,803800
2010-06-16,27.08,27.78,27.08,27.56,27.56,1103000
2010-06-17,27.49,27.67,27.27,27.44,27.44,1074800
2010-06-18,27.48,27.81,27.37,27.52,27.52,951600
2010-06-21,27.82,28.0,27.39,27.52,27.52,789400
2010-06-22,27.59,27.89,27.38,27.41,27.41,1212000
2010-06-23,26.7,26.88,25.67,26.08,26.08,3937000
2010-06-24,26.05,26.75,25.94,26.5,26.5,2288400
2010-06-25,26.72,26.72,26.24,26.66,26.66,2864000
2010-06-28,26.96,27.16,26.5,27.04,27.04,1806400
2010-06-29,26.73,27.15,26.55,26.92,26.92,2087200
2010-06-30,26.92,28.22,26.83,28.01,28.01,4317800
2010-07-01,28.09,28.09,27.3,27.79,27.79,3060000
2010-07-02,27.9,28.02,27.68,27.7,27.7,2439800
2010-07-06,28.09,28.61,28.0,28.3,28.3,2320600
2010-07-07,27.81,27.82,27.34,27.62,27.62,4983400
2010-07-08,27.84,28.08,27.5,27.8,27.8,2682600
2010-07-09,27.84,28.22,27.73,28.07,28.07,782800
2010-07-12,28.0,28.2,27.85,28.0,28.0,884200
2010-07-13,28.25,28.4,27.83,27.83,27.83,1718600
2010-07-14,27.81,28.01,27.52,28.0,28.0,1651200
2010-07-15,28.08,28.19,27.7,27.98,27.98,1068400
2010-07-16,27.85,27.96,27.32,27.38,27.38,1369800
