Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.63,15.04,14.57,14.86,10.91,69763000
2010-01-05,14.87,15.07,14.86,14.93,10.96,67132600
2010-01-06,14.93,15.02,14.85,14.86,10.91,57683400
2010-01-07,14.88,15.85,14.84,15.62,11.47,192891100
2010-01-08,15.68,16.05,15.64,15.96,11.72,119717100
2010-01-11,16.18,16.23,15.9,16.12,11.83,79742400
2010-01-12,15.94,16.19,15.93,16.12,11.84,67207700
2010-01-13,16.12,16.27,15.93,16.18,11.88,67956000
2010-01-14,16.14,16.22,16.04,16.06,11.79,59655900
2010-01-15,16.04,16.11,15.72,15.81,11.61,77072400
2010-01-19,15.72,16.11,15.71,15.9,11.68,63125200
2010-01-20,15.87,16.04,15.7,15.87,11.65,67075400
2010-01-21,15.84,15.85,15.34,15.4,11.31,103117200
2010-01-22,15.91,16.12,15.47,15.49,11.37,169184800
2010-01-25,15.83,15.89,15.6,15.74,11.56,78166800
2010-01-26,15.7,16.06,15.63,15.72,11.54,81137600
2010-01-27,15.66,15.76,15.41,15.67,11.51,79924600
2010-01-28,15.8,15.82,15.39,15.54,11.41,82301400
2010-01-29,15.6,15.87,15.45,15.46,11.35,84404900
2010-02-01,15.58,15.71,15.48,15.62,11.47,59218100
2010-02-02,15.64,16.3,15.62,16.2,11.9,120379300
2010-02-03,16.14,16.38,15.98,16.04,11.78,73609300
2010-02-04,15.85,15.87,15.39,15.42,11.32,114503100
2010-02-05,15.42,15.57,14.66,15.18,11.15,149243300
2010-02-08,15.22,15.23,14.88,15.0,11.01,73306400
2010-02-09,15.15,15.28,14.84,15.0,11.01,101483500
2010-02-10,14.97,15.26,14.9,15.09,11.08,71112100
2010-02-11,15.02,15.18,14.88,15.16,11.13,69572500
2010-02-12,14.99,15.14,14.76,14.95,10.98,79563200
2010-02-16,15.1,15.5,15.08,15.42,11.32,72222500
2010-02-17,15.57,15.6,15.44,15.53,11.4,62976000
2010-02-18,15.48,15.66,15.46,15.62,11.46,49226800
2010-02-19,15.52,15.62,15.38,15.55,11.42,67809600
2010-02-22,15.61,15.71,15.54,15.62,11.47,46787500
2010-02-23,15.57,15.69,15.25,15.34,11.26,65905900
2010-02-24,15.37,15.52,15.27,15.5,11.38,58916600
2010-02-25,15.15,15.34,15.11,15.31,11.31,65899000
2010-02-26,15.38,15.53,15.34,15.44,11.41,62986900
2010-03-01,15.48,15.53,15.22,15.29,11.29,65310200
2010-03-02,15.31,15.34,15.22,15.29,11.29,54691100
2010-03-03,15.37,15.66,15.34,15.41,11.39,87170000
2010-03-04,15.45,15.54,15.36,15.49,11.44,49017400
2010-03-05,15.57,15.74,15.53,15.72,11.61,67791200
2010-03-08,15.74,15.84,15.62,15.64,11.56,55823900
2010-03-09,15.67,15.98,15.62,15.86,11.71,87033000
2010-03-10,15.86,15.97,15.79,15.88,11.73,70557100
2010-03-11,15.86,15.91,15.69,15.85,11.71,67501700
2010-03-12,15.95,16.4,15.87,16.38,12.1,117390400
2010-03-15,16.37,16.68,16.29,16.62,12.28,122669100
2010-03-16,16.82,17.46,16.78,17.38,12.84,237713900
2010-03-17,17.62,17.69,17.28,17.35,12.81,166919700
2010-03-18,17.39,17.56,17.22,17.49,12.92,92056000
2010-03-19,17.38,17.63,17.24,17.38,12.84,119388400
2010-03-22,17.17,17.43,17.12,17.38,12.84,67538300
2010-03-23,17.46,17.74,17.45,17.62,13.02,111883300
2010-03-24,17.65,18.21,17.57,17.74,13.11,129210700
2010-03-25,17.99,18.04,17.56,17.6,13.0,101575100
2010-03-26,17.62,17.91,17.48,17.63,13.03,87755700
2010-03-29,17.81,17.85,17.55,17.69,13.07,87273400
2010-03-30,17.76,17.77,17.55,17.6,13.0,55295400
2010-03-31,17.51,17.65,17.43,17.5,12.93,61585100
2010-04-01,17.57,17.69,17.48,17.62,13.02,47297100
2010-04-05,17.71,17.93,17.62,17.82,13.16,58114500
2010-04-06,17.74,17.93,17.7,17.88,13.21,56270700
2010-04-07,17.86,18.03,17.68,17.79,13.14,62882700
2010-04-08,17.68,17.93,17.55,17.85,13.18,63016600
2010-04-09,17.88,17.95,17.69,17.81,13.16,56797200
2010-04-12,17.85,18.25,17.83,17.99,13.29,74568500
2010-04-13,18.03,18.39,18.0,18.22,13.46,96288500
2010-04-14,18.47,18.65,18.28,18.61,13.75,85237300
2010-04-15,18.7,18.93,18.62,18.75,13.85,107246700
2010-04-16,18.69,18.7,17.93,18.24,13.48,179269800
2010-04-19,17.92,18.24,17.92,18.21,13.45,81282400
2010-04-20,18.31,18.46,18.25,18.27,13.5,59973100
2010-04-21,18.37,18.44,18.16,18.3,13.52,60743200
2010-04-22,18.18,18.28,17.89,18.22,13.46,75966300
2010-04-23,18.13,18.37,18.08,18.34,13.55,60088600
2010-04-26,18.45,18.62,18.37,18.56,13.71,68341400
2010-04-27,18.5,18.74,17.88,17.98,13.28,114014200
2010-04-28,17.95,18.36,17.93,18.22,13.46,88406600
2010-04-29,18.31,18.74,18.3,18.74,13.84,72869000
2010-04-30,18.71,18.94,18.07,18.13,13.4,116618400
2010-05-03,18.24,18.6,18.23,18.52,13.68,62564000
2010-05-04,18.33,18.34,17.64,17.87,13.2,97888600
2010-05-05,17.52,17.78,17.24,17.4,12.86,111279500
2010-05-06,17.31,17.45,14.57,16.64,12.3,189407700
2010-05-07,16.84,17.01,15.88,16.23,11.99,172084500
2010-05-10,17.35,17.66,17.19,17.35,12.81,143698100
2010-05-11,17.16,17.63,17.13,17.31,12.79,86843900
2010-05-12,17.39,17.79,17.38,17.73,13.1,70623800
2010-05-13,17.7,17.72,17.27,17.36,12.82,66885100
2010-05-14,17.28,17.35,16.74,16.96,12.53,87064300
2010-05-17,16.93,17.04,16.43,16.88,12.47,81904600
2010-05-18,17.04,17.18,16.39,16.57,12.24,82672200
2010-05-19,16.41,16.71,16.11,16.6,12.26,140340700
2010-05-20,16.16,16.18,15.62,15.63,11.55,160613700
2010-05-21,15.1,15.8,15.05,15.79,11.66,152230300
2010-05-24,15.69,15.76,15.36,15.39,11.37,77094800
2010-05-25,14.9,15.36,14.66,15.34,11.33,127122200
2010-05-26,15.72,15.86,15.36,15.39,11.37,86610600
2010-05-27,15.79,16.04,15.52,16.02,11.83,72923000
2010-05-28,16.02,16.05,15.54,15.72,11.61,73198600
2010-06-01,15.62,15.88,15.32,15.37,11.35,76053100
2010-06-02,15.54,15.76,15.34,15.72,11.61,65362800
2010-06-03,15.78,15.85,15.61,15.82,11.69,53910400
2010-06-04,15.46,15.46,14.96,15.11,11.16,118996900
2010-06-07,15.12,15.14,14.78,14.82,10.95,76144700
2010-06-08,14.87,14.95,14.47,14.88,11.0,92951600
2010-06-09,14.98,15.1,14.63,14.73,10.88,69527700
2010-06-10,14.99,15.26,14.92,15.08,11.14,81760500
2010-06-11,14.93,15.01,14.78,14.96,11.05,73685700
2010-06-14,15.16,15.27,14.76,14.8,10.93,78763700
2010-06-15,14.92,15.24,14.77,15.18,11.22,82251900
2010-06-16,15.11,15.47,15.02,15.24,11.26,90113700
2010-06-17,15.26,15.32,15.05,15.3,11.37,59322700
2010-06-18,15.38,15.43,15.25,15.34,11.4,61701900
2010-06-21,15.59,15.82,15.41,15.48,11.51,74070300
2010-06-22,15.47,15.55,15.16,15.18,11.29,67582000
2010-06-23,15.15,15.28,14.78,14.8,11.0,101477000
2010-06-24,14.79,14.86,14.42,14.5,10.78,100150900
2010-06-25,14.54,14.57,14.25,14.34,10.66,139598700
2010-06-28,14.38,14.62,14.34,14.42,10.72,62863700
2010-06-29,14.18,14.22,13.72,13.92,10.35,119501000
2010-06-30,13.91,14.12,13.8,13.87,10.31,84830900
2010-07-01,13.78,13.88,13.34,13.58,10.09,111360800
2010-07-02,13.62,13.71,13.22,13.35,9.92,81686300
2010-07-06,13.57,13.76,13.28,13.43,9.99,80240800
2010-07-07,13.45,14.1,13.42,14.06,10.45,95379800
2010-07-08,14.3,14.59,14.01,14.26,10.6,91964100
2010-07-09,14.38,14.41,14.18,14.38,10.69,47937900
2010-07-12,14.33,14.41,14.21,14.36,10.67,39926400
2010-07-13,14.63,14.76,14.58,14.62,10.87,60175200
2010-07-14,14.67,14.71,14.48,14.62,10.87,47554200
2010-07-15,14.58,14.69,14.31,14.66,10.9,82502100
2010-07-16,14.42,14.48,13.94,13.99,10.4,130431600
2010-07-19,14.08,14.17,13.91,14.06,10.45,51035900
2010-07-20,13.81,14.43,13.81,14.37,10.68,69970500
2010-07-21,14.53,14.62,14.08,14.27,10.61,67622700
2010-07-22,14.5,14.7,14.39,14.62,10.87,66872700
2010-07-23,14.62,15.24,14.45,15.11,11.23,117244700
2010-07-26,15.3,15.54,15.1,15.52,11.54,84188300
2010-07-27,15.67,15.93,15.48,15.56,11.57,72739700
2010-07-28,15.48,15.56,15.34,15.43,11.47,54578200
2010-07-29,15.53,15.62,15.33,15.53,11.55,72575000
2010-07-30,15.31,15.62,15.3,15.5,11.52,62535600
2010-08-02,15.69,15.84,15.68,15.78,11.73,70108400
2010-08-03,15.76,15.88,15.73,15.77,11.72,57296600
2010-08-04,15.78,15.88,15.74,15.85,11.78,47968900
2010-08-05,15.72,15.9,15.64,15.88,11.81,48460700
2010-08-06,15.69,15.82,15.47,15.82,11.76,61312300
2010-08-09,15.79,15.83,15.67,15.75,11.71,41515500
2010-08-10,15.57,15.71,15.35,15.62,11.62,55365800
2010-08-11,15.37,15.41,14.94,15.1,11.22,80250500
2010-08-12,14.83,15.08,14.75,14.9,11.08,60573000
2010-08-13,14.75,14.92,14.75,14.79,10.99,43316800
2010-08-16,14.7,14.89,14.57,14.87,11.05,58686700
2010-08-17,15.06,15.13,14.9,14.98,11.14,63344500
2010-08-18,14.98,15.13,14.91,15.1,11.22,43994900
2010-08-19,14.96,15.04,14.47,14.66,10.9,85630200
2010-08-20,14.6,14.6,14.32,14.45,10.74,68019000
2010-08-23,14.63,14.68,14.28,14.32,10.64,57804200
2010-08-24,14.17,14.18,13.86,14.01,10.42,93252700
2010-08-25,13.9,14.12,13.7,14.01,10.42,79854400
2010-08-26,14.1,14.24,13.88,13.94,10.37,60616700
2010-08-27,14.05,14.19,13.82,14.14,10.52,48331900
2010-08-30,14.11,14.15,13.95,13.96,10.38,38046600
2010-08-31,13.81,14.02,13.76,13.92,10.35,61593600
2010-09-01,14.16,14.52,14.04,14.43,10.73,81164400
2010-09-02,14.52,14.62,14.37,14.57,10.83,56610900
2010-09-03,14.8,14.96,14.62,14.8,11.0,66914700
2010-09-07,14.69,14.9,14.62,14.85,11.04,57580400
2010-09-08,14.8,15.18,14.73,15.1,11.22,78072600
2010-09-09,15.3,15.38,15.21,15.3,11.37,62926400
2010-09-10,15.35,15.46,15.2,15.37,11.42,48503300
2010-09-13,15.57,15.68,15.43,15.62,11.62,58562900
2010-09-14,15.56,15.65,15.49,15.54,11.55,50085900
2010-09-15,15.45,15.84,15.36,15.71,11.68,71298200
2010-09-16,15.56,15.68,15.49,15.61,11.69,48954800
2010-09-17,15.68,15.79,15.46,15.66,11.73,75400600
2010-09-20,15.64,15.96,15.61,15.91,11.92,47934900
2010-09-21,15.88,16.06,15.79,15.88,11.9,56321700
2010-09-22,15.88,16.03,15.77,15.87,11.88,49337400
2010-09-23,15.64,15.76,15.43,15.52,11.62,55306900
2010-09-24,15.7,16.02,15.67,16.02,12.0,88431000
2010-09-27,16.01,16.01,15.77,15.8,11.83,42190700
2010-09-28,15.8,15.88,15.52,15.81,11.84,56031900
2010-09-29,15.71,15.83,15.62,15.73,11.78,45888800
2010-09-30,15.83,16.05,15.53,15.62,11.7,61362600
2010-10-01,15.77,15.89,15.63,15.73,11.78,50370700
2010-10-04,15.68,15.74,15.38,15.48,11.59,47667900
2010-10-05,15.62,15.94,15.57,15.88,11.89,65116300
2010-10-06,15.86,16.35,15.83,16.25,12.17,76960100
2010-10-07,16.35,16.46,16.2,16.39,12.28,60942300
2010-10-08,16.47,16.62,16.38,16.46,12.33,53610300
2010-10-11,16.58,16.6,16.27,16.31,12.21,54366300
2010-10-12,16.32,16.63,16.29,16.53,12.38,67364400
2010-10-13,16.63,16.82,16.52,16.62,12.44,63239100
2010-10-14,16.72,16.72,16.32,16.5,12.36,60201400
2010-10-15,16.13,16.14,15.53,15.67,11.74,213367300
2010-10-18,15.68,15.71,15.48,15.62,11.7,70188600
2010-10-19,15.48,15.63,15.37,15.45,11.57,77129100
2010-10-20,15.57,15.58,15.27,15.43,11.56,72440700
2010-10-21,15.47,15.74,15.4,15.48,11.59,61791200
2010-10-22,15.49,15.58,15.39,15.44,11.57,32571500
2010-10-25,15.63,15.69,15.44,15.44,11.57,55745800
2010-10-26,15.44,15.69,15.41,15.54,11.64,51368400
2010-10-27,15.44,15.52,15.38,15.49,11.6,52647900
2010-10-28,15.6,15.67,15.41,15.46,11.58,46033900
2010-10-29,15.45,15.51,15.37,15.4,11.54,39701300
2010-11-01,15.47,15.56,15.27,15.34,11.49,54969600
2010-11-02,15.38,15.45,15.27,15.33,11.48,52567200
2010-11-03,15.35,15.48,15.27,15.44,11.57,68390800
2010-11-04,15.58,15.95,15.56,15.88,11.89,90689200
