Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,20.73,20.73,20.45,20.54,15.86,9185600.0
2010-01-05,20.6,21.06,20.47,20.79,16.05,18297100.0
2010-01-06,20.7,21.08,20.58,21.04,16.25,15155100.0
2010-01-07,21.39,21.39,19.96,20.27,15.65,24846500.0
2010-01-08,20.3,20.45,20.08,20.4,15.75,10904100.0
2010-01-11,20.51,20.66,20.27,20.62,15.92,8764900.0
2010-01-12,20.09,20.33,19.75,19.96,15.41,14531200.0
2010-01-13,20.06,20.06,19.87,19.98,15.43,10162700.0
2010-01-14,20.08,20.1,19.62,19.74,15.24,10180300.0
2010-01-15,19.79,19.89,19.56,19.56,15.1,8116600.0
2010-01-19,19.51,19.99,19.47,19.99,15.43,8029700.0
2010-01-20,19.8,19.83,19.6,19.78,15.27,7147900.0
2010-01-21,19.76,19.86,19.1,19.19,14.82,13461700.0
2010-01-22,19.09,19.35,18.8,18.86,14.56,10456100.0
2010-01-25,19.0,19.11,18.64,19.0,14.67,7780400.0
2010-01-26,18.92,19.26,18.91,18.95,14.63,5973100.0
2010-01-27,19.01,19.26,18.81,19.2,14.82,8656600.0
2010-01-28,19.35,19.37,18.96,19.03,14.69,8408600.0
2010-01-29,19.16,19.35,19.02,19.08,14.73,8947700.0
2010-02-01,19.21,19.34,19.1,19.16,14.79,7812400.0
2010-02-02,19.22,19.55,19.21,19.47,15.03,9946100.0
2010-02-03,19.33,19.49,19.02,19.02,14.69,12702900.0
2010-02-04,19.57,20.0,19.25,19.48,15.04,29565900.0
2010-02-05,19.73,19.95,19.6,19.88,15.35,16252200.0
2010-02-08,19.85,19.93,19.66,19.67,15.19,9554100.0
2010-02-09,19.86,20.0,19.74,19.93,15.39,8327600.0
2010-02-10,19.84,19.99,19.6,19.89,15.36,9266900.0
2010-02-11,19.82,20.2,19.76,20.13,15.54,8439900.0
2010-02-12,19.95,20.02,19.68,19.95,15.4,8484000.0
2010-02-16,19.74,19.78,19.52,19.77,15.26,7447000.0
2010-02-17,19.84,19.97,19.74,19.9,15.37,6604200.0
2010-02-18,19.9,20.05,19.82,19.99,15.43,6115800.0
2010-02-19,19.91,20.11,19.78,19.85,15.33,5248600.0
2010-02-22,19.92,20.01,19.71,19.77,15.26,6428700.0
2010-02-23,19.74,19.94,19.56,19.88,15.35,7761000.0
2010-02-24,19.93,20.3,19.89,20.29,15.67,6154900.0
2010-02-25,20.02,20.51,19.88,20.39,15.74,12366800.0
2010-02-26,21.06,21.76,20.85,21.5,16.6,19742500.0
2010-03-01,21.52,21.7,21.41,21.6,16.68,9567300.0
2010-03-02,21.64,21.74,21.36,21.55,16.64,8351200.0
2010-03-03,21.58,21.86,21.45,21.76,16.8,10210000.0
2010-03-04,22.04,22.24,21.86,22.05,17.03,10667000.0
2010-03-05,21.96,22.35,21.9,22.32,17.23,6818000.0
2010-03-08,22.16,22.38,22.07,22.33,17.24,4148900.0
2010-03-09,22.14,22.32,22.09,22.24,17.17,6730800.0
2010-03-10,22.33,22.39,22.12,22.37,17.27,7308300.0
2010-03-11,22.19,22.71,22.09,22.68,17.51,9095600.0
2010-03-12,22.75,22.87,22.67,22.8,17.6,5175100.0
2010-03-15,22.44,23.07,22.44,23.07,17.81,6822100.0
2010-03-16,23.04,23.3,23.01,23.3,17.99,7209600.0
2010-03-17,23.21,23.26,23.03,23.15,17.87,6918000.0
2010-03-18,23.03,23.34,22.95,23.31,18.0,5961000.0
2010-03-19,23.22,23.42,23.07,23.22,17.93,7238000.0
2010-03-22,23.04,23.51,22.98,23.4,18.07,4420200.0
2010-03-23,23.36,23.45,23.12,23.21,17.92,8374000.0
2010-03-24,23.08,23.21,22.95,23.06,17.8,5751000.0
2010-03-25,23.15,23.63,23.07,23.4,18.07,5340600.0
2010-03-26,23.43,23.55,23.17,23.42,18.08,6185600.0
2010-03-29,23.43,23.58,23.04,23.23,17.94,4371800.0
2010-03-30,23.28,23.49,23.16,23.25,17.95,5657900.0
2010-03-31,23.15,23.29,23.05,23.11,17.84,6889700.0
2010-04-01,23.33,23.66,23.3,23.63,18.25,6055300.0
2010-04-05,23.62,23.79,23.41,23.78,18.44,4540500.0
2010-04-06,23.76,23.85,23.46,23.84,18.49,6092500.0
2010-04-07,23.73,23.96,23.62,23.86,18.5,7836600.0
2010-04-08,25.0,25.02,24.33,24.59,19.07,16715300.0
2010-04-09,24.62,24.86,24.5,24.85,19.27,6917900.0
2010-04-12,25.06,25.19,24.82,24.93,19.33,8657600.0
2010-04-13,24.92,25.27,24.88,25.02,19.4,6894500.0
2010-04-14,25.03,25.24,24.82,25.24,19.57,6963000.0
2010-04-15,25.25,25.4,25.09,25.34,19.65,4974300.0
2010-04-16,25.25,25.31,24.82,25.0,19.38,6072100.0
2010-04-19,24.78,25.13,24.59,25.04,19.42,6484400.0
2010-04-20,25.21,25.44,24.99,25.02,19.4,4960300.0
2010-04-21,24.97,25.72,24.97,25.62,19.87,6584400.0
2010-04-22,25.49,26.18,25.28,26.07,20.21,8675300.0
2010-04-23,26.14,26.29,25.82,26.06,20.21,4819500.0
2010-04-26,26.17,26.34,26.0,26.21,20.32,5762800.0
2010-04-27,26.17,26.17,25.14,25.14,19.49,9781200.0
2010-04-28,25.15,25.69,25.05,25.21,19.55,7899900.0
2010-04-29,25.34,25.83,25.26,25.63,19.87,5768600.0
2010-04-30,25.57,25.75,24.65,24.73,19.18,9891200.0
2010-05-03,24.86,26.04,24.73,25.7,19.93,8730500.0
2010-05-04,25.47,25.7,24.69,24.71,19.16,12620500.0
2010-05-05,24.53,25.15,24.29,24.68,19.14,14043700.0
2010-05-06,23.89,24.0,21.67,22.91,17.76,20075600.0
2010-05-07,22.87,23.5,21.83,22.27,17.27,20289100.0
2010-05-10,23.39,23.86,23.2,23.75,18.42,8708000.0
2010-05-11,23.39,24.14,23.24,23.83,18.48,6722900.0
2010-05-12,23.84,24.19,23.61,24.17,18.74,6849800.0
2010-05-13,24.05,24.06,23.05,23.11,17.92,7116600.0
2010-05-14,23.01,23.25,22.72,22.96,17.8,6624500.0
2010-05-17,23.04,23.35,22.52,23.22,18.0,6700400.0
2010-05-18,23.26,23.46,22.45,22.58,17.51,8640600.0
2010-05-19,22.47,22.83,22.04,22.34,17.32,8319100.0
2010-05-20,21.7,22.3,21.57,21.74,16.86,10301700.0
2010-05-21,21.15,22.48,20.99,22.15,17.18,16225900.0
2010-05-24,22.09,22.15,21.63,21.67,16.8,8169700.0
2010-05-25,20.94,21.98,20.94,21.93,17.0,11079400.0
2010-05-26,21.99,22.16,21.16,21.22,16.45,18758900.0
2010-05-27,21.55,22.0,21.36,21.99,17.05,9854100.0
