Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,97.24,97.97,96.2,97.24,81.39,535200
2010-01-05,96.96,97.49,96.14,97.28,81.43,594500
2010-01-06,97.27,98.25,97.27,97.65,81.74,486800
2010-01-07,97.27,98.7,96.71,98.57,82.51,650100
2010-01-08,98.0,99.85,97.77,99.73,83.48,705600
2010-01-11,99.46,100.38,99.22,100.15,83.83,561000
2010-01-12,99.46,100.22,99.25,100.11,83.8,559900
2010-01-13,100.16,100.6,99.6,100.55,84.16,330000
2010-01-14,100.57,100.68,99.75,100.39,84.03,413800
2010-01-15,100.02,100.47,99.13,100.04,83.74,771500
2010-01-19,100.08,102.0,99.57,101.34,84.83,768000
2010-01-20,101.03,101.09,99.78,100.87,84.43,618600
2010-01-21,101.0,101.24,99.04,99.57,83.34,827500
2010-01-22,98.95,99.61,98.63,98.89,82.78,1060300
2010-01-25,99.45,101.38,99.12,100.94,84.49,1901600
2010-01-26,100.16,101.49,98.15,99.42,83.22,2164200
2010-01-27,99.55,100.34,99.0,100.12,83.8,1209600
2010-01-28,100.24,101.31,99.24,100.76,84.34,1004100
2010-01-29,100.86,102.13,99.28,99.28,83.1,892300
2010-02-01,99.67,100.36,98.26,99.94,83.65,795000
2010-02-02,100.4,102.45,99.94,102.39,85.71,895100
2010-02-03,102.02,103.0,101.97,102.26,85.6,696700
2010-02-04,101.5,101.5,99.12,99.18,83.39,931200
2010-02-05,98.9,100.11,97.88,99.33,83.52,729700
2010-02-08,98.98,100.0,97.99,98.57,82.88,681200
2010-02-09,99.36,101.08,98.73,100.26,84.3,780100
2010-02-10,100.26,100.92,99.09,99.65,83.79,484600
2010-02-11,99.81,100.87,98.73,100.81,84.76,949500
2010-02-12,99.9,101.11,99.34,100.85,84.8,662300
2010-02-16,101.0,102.04,100.7,102.04,85.8,540200
2010-02-17,102.17,102.86,101.61,102.64,86.3,640300
2010-02-18,102.69,104.32,102.32,104.27,87.67,613700
2010-02-19,103.9,104.91,103.55,104.14,87.56,816900
2010-02-22,104.68,104.81,103.52,103.64,87.14,392800
2010-02-23,103.32,104.43,102.75,102.84,86.47,685500
2010-02-24,103.4,104.0,102.91,103.51,87.03,544400
2010-02-25,102.21,102.76,100.98,102.49,86.18,1059300
2010-02-26,102.43,102.92,101.1,101.65,85.47,1140800
2010-03-01,101.8,104.4,101.8,104.21,87.62,835700
2010-03-02,104.38,104.84,103.32,103.58,87.09,612100
2010-03-03,103.94,104.77,103.75,104.54,87.9,726700
2010-03-04,104.54,105.17,103.86,104.7,88.03,495000
2010-03-05,104.9,106.97,104.79,106.89,89.88,622000
2010-03-08,107.0,107.61,106.54,106.65,89.67,563700
2010-03-09,106.28,107.73,106.28,107.56,90.44,449900
2010-03-10,107.37,108.33,107.09,108.08,90.88,610900
2010-03-11,107.55,108.81,107.14,108.67,91.37,561500
2010-03-12,108.48,108.67,106.53,107.83,90.67,896700
2010-03-15,107.52,107.99,106.41,107.13,90.08,590900
2010-03-16,107.65,107.89,107.06,107.75,90.6,437400
2010-03-17,108.26,108.86,107.97,108.35,91.1,448200
2010-03-18,108.05,109.1,107.96,108.37,91.12,490900
2010-03-19,107.56,109.07,106.94,107.56,90.44,778100
2010-03-22,107.1,108.67,107.1,108.4,91.15,466500
2010-03-23,108.37,109.42,107.98,109.34,91.94,420700
2010-03-24,109.19,109.19,108.28,108.88,91.55,538000
2010-03-25,109.37,109.98,108.69,108.75,91.44,513100
2010-03-26,108.98,109.76,108.67,109.05,91.69,303800
2010-03-29,109.17,109.73,109.09,109.47,92.05,229300
2010-03-30,109.62,109.96,108.93,109.26,91.87,583800
2010-03-31,108.97,109.35,107.96,108.12,90.91,582300
2010-04-01,108.79,109.88,108.75,109.53,92.1,413200
2010-04-05,109.97,112.87,109.61,112.19,94.33,599800
2010-04-06,111.81,112.97,111.51,112.7,94.76,348700
2010-04-07,112.86,115.56,112.1,113.92,95.79,909000
2010-04-08,113.46,114.67,113.02,114.17,96.0,689700
2010-04-09,114.64,114.91,113.42,114.77,96.5,610600
2010-04-12,114.55,115.37,113.96,114.23,96.05,440800
2010-04-13,115.14,116.07,114.08,115.64,97.23,1009400
2010-04-14,110.94,113.59,110.35,111.15,93.46,2882900
2010-04-15,109.5,109.5,106.91,107.78,90.62,2309300
2010-04-16,107.84,107.96,104.15,104.93,88.23,1514200
2010-04-19,104.8,106.51,104.37,105.75,88.92,1121800
2010-04-20,106.83,107.66,106.2,107.51,90.4,1047800
2010-04-21,107.8,108.15,107.11,107.59,90.46,816300
2010-04-22,106.73,110.77,106.72,110.65,93.04,892800
2010-04-23,110.02,111.46,109.73,110.92,93.26,753900
2010-04-26,110.91,111.25,110.09,110.2,92.66,504700
2010-04-27,110.2,110.83,107.77,108.15,90.94,715700
2010-04-28,108.41,108.86,107.88,108.43,91.17,679000
2010-04-29,108.44,111.38,108.44,111.38,93.65,527500
2010-04-30,111.32,111.99,110.46,110.54,92.95,921600
2010-05-03,110.79,112.92,110.32,112.27,94.4,875500
2010-05-04,111.05,111.05,108.42,109.11,91.74,1053700
2010-05-05,108.12,109.58,107.36,108.6,91.31,927200
2010-05-06,107.92,109.04,101.17,106.5,90.0,1133000
2010-05-07,106.55,107.47,104.21,104.94,88.68,1351700
2010-05-10,108.7,111.05,108.55,110.71,93.55,937600
2010-05-11,109.6,111.4,109.27,110.33,93.23,683300
2010-05-12,108.92,110.5,107.6,110.37,93.27,1104000
2010-05-13,109.88,110.32,108.52,108.9,92.02,663500
2010-05-14,108.78,108.78,106.26,107.67,90.98,687100
2010-05-17,108.09,108.58,106.39,108.31,91.53,905000
2010-05-18,108.87,109.78,107.0,107.05,90.46,745400
2010-05-19,106.4,106.99,103.86,104.91,88.65,1147200
2010-05-20,103.4,103.4,100.14,100.14,84.62,1160200
2010-05-21,98.78,103.14,98.46,102.77,86.84,1167100
2010-05-24,102.5,102.5,100.79,100.86,85.23,505100
2010-05-25,98.28,101.46,97.92,101.24,85.55,618100
2010-05-26,101.78,102.52,99.82,100.14,84.62,759000
2010-05-27,102.01,103.34,101.19,103.34,87.33,661700
2010-05-28,103.18,103.3,101.24,101.75,85.98,756100
2010-06-01,101.27,102.78,100.22,100.22,84.69,622600
2010-06-02,100.29,103.1,99.76,103.1,87.12,709400
2010-06-03,102.83,104.47,102.32,103.55,87.5,663000
2010-06-04,100.78,101.88,98.72,99.19,83.82,685200
2010-06-07,99.22,99.53,97.26,97.29,82.21,742000
2010-06-08,97.63,99.12,96.5,98.91,83.58,783900
2010-06-09,99.48,101.2,99.03,99.38,83.98,770900
2010-06-10,101.23,103.95,101.03,103.8,87.71,610300
2010-06-11,102.07,104.64,102.07,104.26,88.1,626300
2010-06-14,104.32,105.78,104.32,104.64,88.42,628400
2010-06-15,104.95,107.56,104.75,107.48,90.82,370700
2010-06-16,107.17,107.99,106.78,107.7,91.01,270900
2010-06-17,107.65,107.99,106.32,107.82,91.11,375400
2010-06-18,108.07,108.27,107.09,108.26,91.48,730400
2010-06-21,109.57,109.57,107.17,107.86,91.14,651100
2010-06-22,107.74,108.14,104.62,104.89,88.64,634900
2010-06-23,104.35,105.61,103.15,105.24,88.93,489900
2010-06-24,104.87,105.09,102.65,102.91,86.96,464100
2010-06-25,103.41,104.05,102.41,103.38,87.36,514200
2010-06-28,103.6,104.88,102.89,103.91,87.81,293900
