Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.72,31.34,30.66,31.25,27.08,11571600.0
2010-01-05,31.28,31.83,30.99,31.65,27.43,18989700.0
2010-01-06,31.74,32.59,31.64,32.4,28.08,15720800.0
2010-01-07,32.31,32.52,31.92,32.48,28.15,8993100.0
2010-01-08,32.95,34.14,32.49,34.12,29.57,23014600.0
2010-01-11,34.71,34.87,33.38,33.78,29.27,15943400.0
2010-01-12,33.17,33.73,32.86,33.29,28.85,15739600.0
2010-01-13,33.35,34.21,33.17,34.05,29.51,13885400.0
2010-01-14,34.08,34.64,33.7,34.31,29.73,12008000.0
2010-01-15,34.19,34.29,33.47,34.03,29.49,11967100.0
2010-01-19,33.85,34.72,33.85,34.6,29.98,12018100.0
2010-01-20,34.1,34.24,33.01,33.27,28.83,17463600.0
2010-01-21,33.25,33.52,32.5,32.53,28.19,20825600.0
2010-01-22,32.27,32.47,31.05,31.15,26.99,21577600.0
2010-01-25,29.69,31.5,29.52,31.07,26.92,29815000.0
2010-01-26,30.83,31.5,30.31,30.88,26.76,18930800.0
2010-01-27,30.73,30.87,29.4,30.41,26.35,19410700.0
2010-01-28,30.83,30.83,29.36,29.65,25.69,16881400.0
2010-01-29,29.98,30.66,29.01,29.21,25.31,18196500.0
2010-02-01,29.57,30.7,29.53,30.65,26.56,13821700.0
2010-02-02,30.8,31.5,30.43,30.76,26.66,16414100.0
2010-02-03,30.71,31.21,30.16,30.36,26.31,11090200.0
2010-02-04,29.97,29.97,28.71,28.86,25.01,17959900.0
2010-02-05,28.81,29.26,27.71,28.29,24.51,22097000.0
2010-02-08,28.33,29.02,28.05,28.1,24.35,16336400.0
2010-02-09,28.56,29.68,28.56,29.08,25.2,20175400.0
2010-02-10,29.01,29.51,28.5,29.23,25.33,12150700.0
2010-02-11,29.25,30.23,28.87,30.16,26.14,14493200.0
2010-02-12,29.59,30.08,29.42,30.02,26.01,14981300.0
2010-02-16,30.68,31.14,30.43,31.05,26.91,15028400.0
2010-02-17,31.15,31.24,30.73,31.08,26.93,11394000.0
2010-02-18,30.93,31.66,30.93,31.54,27.33,11485800.0
2010-02-19,31.42,32.08,31.19,31.79,27.55,12130100.0
2010-02-22,31.91,32.15,30.87,31.02,26.88,14988500.0
2010-02-23,30.82,30.99,30.06,30.2,26.17,14472400.0
2010-02-24,30.3,30.54,29.69,30.01,26.01,18173300.0
2010-02-25,29.38,30.09,29.0,30.0,26.0,13093300.0
2010-02-26,30.02,30.25,29.56,30.15,26.21,12722900.0
2010-03-01,30.46,30.95,30.36,30.75,26.73,11698800.0
2010-03-02,30.96,31.67,30.84,31.21,27.13,12519400.0
2010-03-03,31.53,32.22,31.41,31.7,27.55,10792800.0
2010-03-04,31.78,31.89,31.17,31.45,27.34,7605700.0
2010-03-05,31.79,32.11,31.65,31.88,27.71,8737400.0
2010-03-08,31.9,32.39,31.26,31.41,27.3,10685000.0
2010-03-09,31.15,31.25,30.59,30.91,26.87,14949900.0
2010-03-10,30.85,31.13,30.15,30.64,26.63,20693100.0
2010-03-11,30.51,30.79,30.17,30.74,26.72,13677900.0
2010-03-12,31.16,31.55,30.78,31.5,27.38,15641400.0
2010-03-15,31.27,31.52,30.66,31.03,26.97,10154400.0
2010-03-16,31.27,31.93,31.17,31.71,27.56,11203600.0
2010-03-17,31.91,32.83,31.81,32.52,28.27,16965200.0
2010-03-18,32.47,32.55,31.39,31.58,27.45,12179500.0
2010-03-19,30.5,31.9,30.21,30.5,26.51,18790400.0
2010-03-22,30.15,30.9,29.89,30.64,26.63,11853300.0
2010-03-23,30.72,31.18,30.53,30.71,26.69,10179100.0
2010-03-24,30.39,30.82,30.15,30.21,26.26,9982800.0
2010-03-25,30.5,30.65,29.54,29.57,25.7,14175800.0
2010-03-26,29.8,29.87,29.25,29.36,25.52,12483100.0
2010-03-29,29.65,30.09,29.48,29.87,25.96,12255000.0
2010-03-30,29.96,30.26,29.85,30.0,26.07,11792700.0
2010-03-31,30.25,30.33,29.94,30.13,26.19,10508700.0
2010-04-01,30.53,31.07,30.46,30.74,26.72,13189700.0
2010-04-05,31.15,31.98,30.79,31.85,27.68,16571600.0
2010-04-06,31.96,32.43,31.87,32.2,27.99,9753700.0
2010-04-07,32.26,32.31,31.4,31.63,27.49,12860100.0
2010-04-08,31.34,31.69,30.88,31.66,27.52,11112500.0
2010-04-09,31.83,32.0,31.19,31.57,27.44,8299300.0
2010-04-12,31.49,31.95,31.42,31.5,27.38,6770700.0
2010-04-13,31.48,31.58,31.07,31.42,27.31,9046100.0
2010-04-14,31.72,32.5,31.55,32.43,28.19,11950200.0
2010-04-15,32.36,32.68,32.14,32.52,28.27,10454400.0
2010-04-16,32.29,32.45,31.04,31.64,27.5,16701400.0
2010-04-19,31.46,32.47,31.17,31.57,27.44,21178300.0
2010-04-20,31.94,33.6,31.9,33.31,28.95,18422800.0
2010-04-21,33.38,33.97,32.94,33.29,28.93,15546600.0
2010-04-22,32.92,33.88,32.69,33.73,29.32,11774900.0
2010-04-23,34.04,35.22,33.93,34.96,30.39,18852700.0
2010-04-26,34.98,35.02,34.29,34.47,29.96,11508600.0
2010-04-27,34.15,34.2,32.66,32.81,28.52,17140400.0
2010-04-28,32.95,33.43,32.44,33.35,28.99,12947000.0
2010-04-29,33.58,34.11,29.24,31.6,27.47,73582700.0
2010-04-30,29.7,31.43,29.06,30.65,26.64,60712200.0
2010-05-03,29.93,32.37,29.71,31.39,27.28,42907200.0
2010-05-04,30.75,31.0,29.77,30.31,26.34,24148000.0
