Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.07,6.22,6.07,6.18,5.41,3658400
2010-01-05,6.18,6.27,6.13,6.2,5.43,2300400
2010-01-06,6.22,6.23,6.15,6.22,5.45,1973200
2010-01-07,6.2,6.28,6.09,6.11,5.35,3284000
2010-01-08,6.11,6.2,6.05,6.18,5.42,2953600
2010-01-11,6.24,6.36,6.15,6.16,5.4,2662800
2010-01-12,6.09,6.11,5.9,5.97,5.23,3633600
2010-01-13,6.01,6.05,5.88,6.03,5.28,4270000
2010-01-14,5.99,6.11,5.98,6.09,5.34,1902800
2010-01-15,6.1,6.14,5.95,5.99,5.24,1762000
2010-01-19,6.01,6.03,5.94,5.98,5.24,3280800
2010-01-20,5.91,5.94,5.59,5.86,5.13,9663600
2010-01-21,5.86,5.95,5.77,5.77,5.06,4024800
2010-01-22,5.77,5.89,5.7,5.72,5.01,2408000
2010-01-25,5.8,5.8,5.68,5.72,5.01,2163600
2010-01-26,5.7,5.82,5.69,5.75,5.04,2957200
2010-01-27,5.74,5.84,5.7,5.79,5.07,3150000
2010-01-28,5.62,6.05,5.61,5.95,5.21,7434400
2010-01-29,5.97,6.02,5.73,5.74,5.03,3995200
2010-02-01,5.76,5.83,5.67,5.79,5.07,3008400
2010-02-02,5.79,5.82,5.71,5.8,5.08,3220800
2010-02-03,5.78,5.78,5.61,5.66,4.95,3061200
2010-02-04,5.61,5.61,5.4,5.42,4.75,3843600
2010-02-05,5.4,5.45,5.24,5.44,4.76,4368400
2010-02-08,5.46,5.57,5.4,5.45,4.77,2963200
2010-02-09,5.54,5.65,5.51,5.59,4.9,2731600
2010-02-10,5.6,5.72,5.58,5.67,4.96,3033200
2010-02-11,5.64,5.78,5.61,5.76,5.04,1676800
2010-02-12,5.7,5.88,5.64,5.88,5.15,3217200
2010-02-16,5.91,5.98,5.86,5.93,5.2,2158000
2010-02-17,5.94,6.06,5.91,6.0,5.26,2915600
2010-02-18,6.01,6.06,5.99,6.02,5.27,2444000
2010-02-19,6.02,6.13,6.0,6.07,5.31,2002400
2010-02-22,6.07,6.17,6.07,6.14,5.38,2502800
2010-02-23,6.16,6.27,6.05,6.08,5.32,4073200
2010-02-24,6.12,6.22,6.08,6.21,5.44,3300000
2010-02-25,6.12,6.28,6.09,6.26,5.48,3001200
2010-02-26,6.25,6.55,6.25,6.48,5.68,5360800
2010-03-01,6.51,6.58,6.46,6.55,5.74,4155200
2010-03-02,6.57,6.63,6.53,6.62,5.8,3745600
2010-03-03,6.65,6.66,6.47,6.53,5.72,2436400
2010-03-04,6.56,6.67,6.53,6.58,5.76,1379200
2010-03-05,6.61,6.68,6.58,6.66,5.84,2158000
2010-03-08,6.64,6.77,6.61,6.74,5.9,2644000
2010-03-09,6.72,6.8,6.72,6.76,5.92,1665600
2010-03-10,6.74,6.84,6.7,6.84,5.99,2190800
2010-03-11,6.76,6.82,6.73,6.78,5.94,2520000
2010-03-12,6.8,6.81,6.7,6.77,5.93,2686400
2010-03-15,6.78,6.78,6.66,6.73,5.9,1644400
2010-03-16,6.74,6.79,6.69,6.75,5.91,1630400
2010-03-17,6.78,6.85,6.76,6.84,5.99,1506000
2010-03-18,6.82,6.88,6.8,6.82,5.97,1400000
2010-03-19,6.71,6.83,6.69,6.71,5.88,2748800
2010-03-22,6.64,7.02,6.64,6.96,6.1,2503200
2010-03-23,6.95,7.01,6.89,7.0,6.13,1592400
2010-03-24,6.94,6.99,6.84,6.93,6.07,1878000
2010-03-25,7.02,7.09,6.88,6.89,6.03,1461200
2010-03-26,6.89,7.08,6.89,7.01,6.14,1483200
2010-03-29,7.03,7.1,6.93,7.03,6.16,2206800
2010-03-30,7.03,7.08,6.92,7.01,6.14,1400800
2010-03-31,6.99,7.05,6.93,6.95,6.09,2121600
