Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,29.15,29.15,28.55,28.67,22.91,13120900
2010-01-05,28.73,28.99,28.29,28.88,23.08,15594300
2010-01-06,28.88,29.0,28.7,28.78,23.0,8833200
2010-01-07,28.86,29.22,28.73,29.12,23.27,12058200
2010-01-08,29.0,29.24,28.69,28.98,23.16,15609800
2010-01-11,29.0,29.02,28.08,28.16,22.5,23670500
2010-01-12,28.15,28.35,27.89,27.98,22.36,23075800
2010-01-13,28.0,28.25,28.0,28.13,22.48,15639100
2010-01-14,28.12,28.44,28.12,28.3,22.62,13208200
2010-01-15,28.31,28.69,28.0,28.57,22.83,23013500
2010-01-19,28.46,28.95,28.35,28.88,23.08,14170100
2010-01-20,28.7,28.84,28.35,28.66,22.9,13256400
2010-01-21,28.63,29.06,28.32,28.48,22.76,18900600
2010-01-22,28.24,28.55,27.68,27.72,22.15,16696600
2010-01-25,27.95,27.95,27.51,27.62,22.07,11098400
2010-01-26,27.5,27.95,27.5,27.73,22.16,13275800
2010-01-27,27.62,27.92,27.49,27.84,22.25,12821800
2010-01-28,27.93,27.95,27.19,27.34,21.85,19430400
2010-01-29,27.57,28.09,27.38,28.01,22.38,22453800
2010-02-01,28.01,28.45,27.91,28.39,22.69,17172100
2010-02-02,28.39,29.05,28.3,29.03,23.2,19640800
2010-02-03,28.94,28.94,28.26,28.47,22.75,19437300
2010-02-04,28.24,28.53,27.84,27.93,22.32,19813600
2010-02-05,27.85,28.07,27.53,27.98,22.36,20229400
2010-02-08,28.53,28.94,28.47,28.59,22.85,26005400
2010-02-09,28.87,29.09,28.57,28.87,23.07,18057700
2010-02-10,28.84,28.96,28.4,28.65,22.9,14481500
2010-02-11,28.71,29.07,28.54,28.99,23.17,14614200
2010-02-12,28.75,29.0,28.55,29.0,23.18,15027700
2010-02-16,29.12,29.5,28.93,29.44,23.53,13317200
2010-02-17,29.76,30.06,29.75,30.02,23.99,21524600
2010-02-18,30.02,30.38,29.87,30.3,24.21,16564800
2010-02-19,30.21,30.45,30.0,30.15,24.09,18576300
2010-02-22,30.4,30.55,30.2,30.32,24.23,16101000
2010-02-23,30.56,31.03,30.35,30.75,24.57,35770100
2010-02-24,30.78,31.42,30.74,31.36,25.06,22937500
2010-02-25,31.07,31.45,30.99,31.36,25.06,15049200
2010-02-26,31.36,31.36,30.95,31.2,24.93,13879200
2010-03-01,31.24,31.55,31.09,31.43,25.12,14182000
2010-03-02,31.39,31.58,31.27,31.36,25.06,15189500
2010-03-03,31.43,31.81,31.32,31.47,25.15,13900900
2010-03-04,31.54,31.58,31.3,31.44,25.13,13777600
2010-03-05,31.55,31.91,31.49,31.8,25.41,18768700
2010-03-08,31.68,32.04,31.68,31.96,25.54,11048000
2010-03-09,31.7,31.95,31.67,31.68,25.51,15127700
2010-03-10,31.59,31.88,31.45,31.71,25.53,10532400
2010-03-11,31.58,32.22,31.52,32.13,25.87,15316800
2010-03-12,32.23,32.6,32.12,32.45,26.13,14953600
2010-03-15,32.49,32.71,32.28,32.69,26.32,12049100
2010-03-16,32.61,32.81,32.35,32.55,26.21,13690400
2010-03-17,32.49,32.64,32.34,32.52,26.18,14730700
2010-03-18,32.45,32.56,32.23,32.4,26.09,17763500
2010-03-19,32.36,32.57,32.1,32.36,26.05,22430600
2010-03-22,32.14,32.79,32.14,32.67,26.3,11737300
2010-03-23,32.59,32.63,32.27,32.59,26.24,11511400
2010-03-24,32.44,32.6,32.24,32.32,26.02,11804400
2010-03-25,32.5,32.92,32.46,32.62,26.26,12956600
2010-03-26,32.67,32.98,32.63,32.75,26.37,12346300
2010-03-29,32.78,32.89,32.5,32.6,26.25,8929400
2010-03-30,32.56,32.88,32.5,32.69,26.32,8666400
2010-03-31,32.54,32.64,32.2,32.35,26.05,10342100
2010-04-01,32.41,32.63,32.16,32.38,26.07,9432500
2010-04-05,32.35,32.74,32.16,32.66,26.29,11381200
2010-04-06,32.62,32.73,32.42,32.55,26.21,9399600
2010-04-07,32.5,32.72,32.38,32.61,26.25,11070100
2010-04-08,32.46,33.08,32.4,32.97,26.54,13825000
2010-04-09,33.03,33.4,32.84,33.25,26.77,13060700
2010-04-12,33.22,33.57,33.14,33.48,26.96,12251500
2010-04-13,33.41,34.62,33.41,34.34,27.65,30322500
2010-04-14,34.32,35.07,34.3,34.98,28.16,24720700
2010-04-15,34.94,35.15,34.74,35.14,28.29,17975700
2010-04-16,34.99,35.08,34.71,35.01,28.19,28512200
2010-04-19,34.92,35.27,34.74,35.17,28.32,17571800
2010-04-20,35.32,35.49,35.01,35.18,28.32,14848400
2010-04-21,35.15,35.44,35.09,35.27,28.4,19597400
2010-04-22,35.15,35.89,35.03,35.72,28.76,21648900
2010-04-23,35.76,36.44,35.7,36.39,29.3,21336400
2010-04-26,36.52,37.03,36.46,36.49,29.38,22057300
2010-04-27,36.38,36.38,35.21,35.29,28.41,20588400
2010-04-28,35.43,35.65,35.03,35.19,28.33,19371600
2010-04-29,35.45,35.96,35.4,35.56,28.63,16263800
2010-04-30,35.7,35.99,35.23,35.23,28.36,15800700
2010-05-03,35.39,36.06,35.17,35.87,28.88,12644500
2010-05-04,35.56,35.59,34.79,35.42,28.52,25531100
2010-05-05,35.23,35.67,35.03,35.24,28.37,24373800
2010-05-06,34.92,35.38,32.07,33.96,27.34,31183100
2010-05-07,33.74,34.32,32.63,33.43,26.91,28620700
2010-05-10,34.64,35.4,34.58,35.29,28.41,21683400
2010-05-11,35.13,35.96,35.07,35.63,28.69,26625400
2010-05-12,35.67,35.94,35.38,35.89,28.9,19130600
2010-05-13,35.85,36.0,35.12,35.27,28.4,20229800
2010-05-14,35.26,35.47,34.76,35.2,28.34,22621300
2010-05-17,34.97,35.69,34.08,35.59,28.65,33494400
2010-05-18,35.81,36.3,34.23,34.73,27.96,49088700
2010-05-19,34.38,34.57,33.65,34.38,27.68,27200100
2010-05-20,33.66,33.89,32.79,32.89,26.48,29536800
2010-05-21,32.26,33.48,32.25,33.02,26.58,36007500
2010-05-24,32.85,33.57,32.76,33.22,26.75,24263400
2010-05-25,32.54,34.04,32.42,33.98,27.36,30507700
2010-05-26,34.55,34.95,33.93,34.04,27.41,25393100
2010-05-27,34.51,34.68,34.18,34.55,27.82,16379300
2010-05-28,34.57,34.64,33.82,33.86,27.26,17549000
2010-06-01,33.42,34.17,33.22,33.54,27.19,17273700
2010-06-02,33.62,33.88,33.39,33.87,27.46,14262300
2010-06-03,33.9,34.06,33.17,33.43,27.1,15651600
2010-06-04,32.88,32.9,31.94,32.15,26.07,20061800
2010-06-07,32.26,32.42,31.5,31.55,25.58,20853000
2010-06-08,31.53,31.86,31.25,31.81,25.79,16153400
2010-06-09,31.87,32.4,31.62,31.76,25.75,15788600
2010-06-10,32.24,32.76,32.09,32.72,26.53,15343000
2010-06-11,32.31,32.5,31.78,32.22,26.12,13693000
2010-06-14,32.48,32.64,31.99,32.06,25.99,20280100
2010-06-15,32.09,32.38,31.55,32.26,26.16,19748300
2010-06-16,31.96,32.26,31.68,32.14,26.06,16321600
2010-06-17,32.19,32.3,31.45,31.91,25.87,23934100
2010-06-18,31.95,32.29,31.79,31.94,25.9,19785600
2010-06-21,32.17,32.2,31.24,31.43,25.48,16599700
2010-06-22,31.46,31.6,30.53,30.61,24.82,22902300
2010-06-23,30.58,30.79,30.27,30.5,24.73,24796400
2010-06-24,30.14,30.19,29.57,29.67,24.06,28837400
2010-06-25,29.58,30.25,29.58,30.2,24.49,43592400
2010-06-28,30.15,30.23,29.58,29.59,23.99,15451400
2010-06-29,29.15,29.15,28.42,28.63,23.21,22817400
2010-06-30,28.53,28.86,27.99,28.07,22.76,20940900
2010-07-01,28.41,28.5,27.49,27.92,22.64,27119600
2010-07-02,28.01,28.01,27.58,27.76,22.51,15404500
2010-07-06,27.99,28.13,27.1,27.34,22.17,18300200
2010-07-07,27.49,28.09,27.31,28.01,22.71,21796200
2010-07-08,28.35,28.38,27.72,28.15,22.82,15975800
2010-07-09,28.1,28.32,27.93,28.26,22.91,13507400
2010-07-12,28.23,28.76,28.23,28.31,22.95,14259400
2010-07-13,28.49,28.94,28.29,28.64,23.22,22058600
2010-07-14,28.55,28.55,28.09,28.28,22.93,13638600
2010-07-15,28.22,28.41,27.92,28.34,22.98,13535300
2010-07-16,28.15,28.28,27.05,27.11,21.98,21870900
2010-07-19,27.16,27.26,26.85,27.07,21.95,17061600
2010-07-20,26.75,28.03,26.62,27.93,22.64,23279400
2010-07-21,27.78,28.01,27.35,27.47,22.27,17161300
2010-07-22,27.71,28.47,27.71,28.22,22.88,26142700
2010-07-23,28.14,28.36,27.9,28.25,22.9,18979200
2010-07-26,28.24,29.07,28.23,28.99,23.5,16149800
2010-07-27,29.23,29.37,28.54,28.58,23.17,14851100
2010-07-28,28.58,28.95,28.0,28.08,22.77,13917900
2010-07-29,28.27,28.52,27.77,28.05,22.74,15504300
2010-07-30,27.75,28.56,27.63,28.51,23.11,14837700
2010-08-02,28.82,29.24,28.68,29.12,23.61,17882200
2010-08-03,29.09,29.18,28.41,28.45,23.07,11724700
2010-08-04,28.61,28.93,28.51,28.72,23.29,10987700
2010-08-05,28.52,28.93,28.33,28.71,23.28,9101200
2010-08-06,28.53,28.68,28.21,28.68,23.25,11372800
2010-08-09,28.77,28.97,28.68,28.7,23.27,8354900
2010-08-10,28.4,28.52,28.02,28.24,22.9,13866400
2010-08-11,27.93,28.06,27.6,27.71,22.47,11672600
2010-08-12,27.53,27.75,27.31,27.61,22.39,9886800
