Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.49,25.7,25.28,25.46,20.69,2904000
2010-01-05,25.37,25.91,25.24,25.65,20.84,2805400
2010-01-06,25.74,25.99,25.45,25.59,20.79,3283200
2010-01-07,25.46,25.89,25.32,25.8,20.96,2522200
2010-01-08,25.78,25.85,25.32,25.53,20.74,3523100
2010-01-11,25.73,25.76,25.1,25.17,20.45,2664400
2010-01-12,25.09,25.09,24.5,24.81,20.16,3491800
2010-01-13,24.81,25.99,24.63,25.88,21.03,4288400
2010-01-14,25.92,25.92,25.58,25.73,20.91,2537200
2010-01-15,25.65,26.0,24.83,25.08,20.38,4748000
2010-01-19,25.08,25.73,24.41,25.71,20.89,4374500
2010-01-20,25.45,26.18,25.34,25.84,21.0,5478400
2010-01-21,25.94,26.09,25.1,25.58,20.79,5328500
2010-01-22,24.96,24.99,23.16,23.59,19.17,14178200
2010-01-25,23.83,24.22,23.22,23.42,19.03,5006800
2010-01-26,23.27,23.69,23.08,23.18,18.84,3957800
2010-01-27,23.15,23.6,22.84,23.52,19.11,3875200
2010-01-28,23.74,23.82,22.78,23.35,18.97,4247700
2010-01-29,23.48,23.73,22.59,22.74,18.48,4514000
2010-02-01,22.95,23.31,22.71,23.27,18.91,2646800
2010-02-02,23.41,23.7,23.06,23.5,19.1,3439100
2010-02-03,23.35,23.55,23.12,23.26,18.9,2032300
2010-02-04,22.89,23.26,22.55,22.69,18.44,4723700
2010-02-05,22.51,22.83,21.81,22.57,18.34,6446300
2010-02-08,22.51,22.82,22.21,22.23,18.06,2528000
2010-02-09,22.61,23.02,22.33,22.73,18.47,2634000
2010-02-10,22.73,22.84,22.07,22.63,18.39,2848600
2010-02-11,22.51,23.25,22.22,23.23,18.88,2842600
2010-02-12,22.94,23.62,22.92,23.49,19.09,3997300
2010-02-16,23.69,24.08,23.41,24.08,19.57,2807800
2010-02-17,24.27,24.49,24.01,24.45,19.87,3504100
2010-02-18,24.4,24.69,24.25,24.67,20.05,3112800
2010-02-19,24.57,24.75,24.26,24.43,19.93,2811100
2010-02-22,24.61,24.69,24.08,24.15,19.7,2000700
2010-02-23,24.09,24.25,23.7,24.05,19.62,2375800
2010-02-24,24.13,24.58,24.02,24.53,20.01,2179400
2010-02-25,24.17,24.65,24.04,24.61,20.08,2017500
2010-02-26,24.7,24.85,24.44,24.61,20.08,1545800
2010-03-01,24.69,25.06,24.48,24.85,20.27,2557600
2010-03-02,24.97,25.12,24.71,24.92,20.33,1798400
2010-03-03,25.05,25.33,24.86,25.11,20.49,2154200
2010-03-04,25.2,25.51,25.04,25.43,20.75,1870600
2010-03-05,25.66,26.9,25.51,26.82,21.88,4126000
2010-03-08,26.71,27.42,26.47,26.63,21.73,2529400
2010-03-09,26.53,26.94,26.27,26.68,21.77,2005800
2010-03-10,26.65,27.64,26.59,26.96,22.0,3288700
2010-03-11,26.81,27.07,26.55,26.77,21.84,2905300
2010-03-12,26.9,26.93,26.55,26.85,21.91,2011000
2010-03-15,26.72,26.82,26.17,26.5,21.62,2496800
2010-03-16,26.5,28.98,26.4,28.35,23.13,18410500
2010-03-17,28.41,28.5,27.93,28.18,22.99,4558600
2010-03-18,28.1,28.48,27.99,28.24,23.04,3487900
2010-03-19,28.31,28.65,28.0,28.31,23.1,3920500
2010-03-22,28.0,28.84,27.85,28.77,23.47,2899600
2010-03-23,28.77,28.9,28.31,28.48,23.24,3234500
2010-03-24,28.39,28.42,27.63,27.8,22.68,3653100
2010-03-25,28.07,28.39,27.64,27.73,22.62,3604600
2010-03-26,27.76,28.34,27.6,27.92,22.78,2108100
2010-03-29,28.11,28.35,27.87,28.32,23.11,3030700
2010-03-30,28.35,28.6,27.86,28.53,23.28,2853400
2010-03-31,28.31,28.5,27.93,28.07,22.9,2525800
2010-04-01,28.24,28.53,27.95,28.38,23.15,3273100
2010-04-05,28.82,31.66,28.64,31.37,25.59,10394600
2010-04-06,31.0,31.62,30.81,31.31,25.54,5589200
2010-04-07,31.24,31.42,30.85,31.23,25.48,3444400
2010-04-08,31.03,31.85,30.7,31.83,25.97,3663600
2010-04-09,31.84,33.02,31.78,32.92,26.86,6994600
2010-04-12,32.99,32.99,32.49,32.75,26.72,3221100
2010-04-13,31.83,32.77,31.76,32.68,26.66,4629700
2010-04-14,32.65,32.86,32.29,32.85,26.8,3537900
2010-04-15,32.61,33.99,32.53,33.27,27.14,4827300
2010-04-16,33.02,33.26,32.15,33.08,26.99,5008200
2010-04-19,32.9,33.32,32.21,32.77,26.74,4795100
2010-04-20,34.5,36.13,34.47,35.17,28.69,14242600
2010-04-21,35.3,35.47,33.96,34.23,27.93,7664700
2010-04-22,33.76,35.3,33.69,35.22,28.73,4395900
2010-04-23,35.41,35.86,35.06,35.49,28.96,4495200
2010-04-26,35.75,35.9,35.2,35.27,28.78,2663700
2010-04-27,34.89,35.11,33.93,33.98,27.72,4101700
2010-04-28,34.2,34.61,33.61,34.17,27.88,2674200
2010-04-29,34.45,35.05,34.4,35.0,28.56,2128400
2010-04-30,34.94,35.46,33.68,33.83,27.6,2988700
2010-05-03,34.24,35.07,33.93,34.91,28.48,2995400
2010-05-04,34.39,34.46,32.72,32.92,26.86,6048800
2010-05-05,32.45,32.63,30.79,31.54,25.73,6665700
2010-05-06,31.24,32.25,28.1,31.0,25.29,7614400
2010-05-07,31.1,31.7,29.69,30.18,24.62,5342300
2010-05-10,31.6,33.22,31.6,32.98,26.91,6693500
2010-05-11,32.51,34.11,32.51,33.38,27.23,4913400
2010-05-12,33.75,34.3,33.48,34.22,27.92,2476100
2010-05-13,33.99,34.05,32.74,32.91,26.85,2799700
2010-05-14,32.4,32.58,31.84,32.34,26.39,2829300
2010-05-17,32.56,33.15,31.96,32.98,26.91,4623100
2010-05-18,33.12,33.79,32.54,32.6,26.6,4711900
2010-05-19,32.29,32.87,31.19,32.19,26.26,3522400
