Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,40.71,42.02,40.71,41.98,32.04,920000
2010-01-05,41.99,44.46,41.87,44.43,33.91,3039400
2010-01-06,44.48,46.09,44.15,46.05,35.14,2481200
2010-01-07,45.88,46.49,45.12,46.34,35.36,1674100
2010-01-08,46.9,48.58,46.68,48.0,36.63,2795600
2010-01-11,48.6,48.6,45.73,46.46,35.46,2983600
2010-01-12,45.5,46.12,44.96,45.51,34.73,2289800
2010-01-13,45.48,47.32,45.35,47.24,36.05,1962700
2010-01-14,46.74,48.99,46.74,48.58,37.07,2325800
2010-01-15,48.14,49.13,47.32,47.49,36.24,1675600
2010-01-19,47.35,47.95,47.16,47.87,36.53,1550200
2010-01-20,47.25,47.54,46.45,47.28,36.08,1327500
2010-01-21,47.47,48.54,46.75,47.12,35.96,1883800
2010-01-22,46.97,46.97,44.2,44.46,33.93,2159600
2010-01-25,44.88,45.79,44.59,44.71,34.12,1411800
2010-01-26,44.46,45.9,43.84,45.08,34.4,1617100
2010-01-27,44.91,45.49,44.01,45.19,34.49,1956300
2010-01-28,46.39,46.5,43.76,44.09,33.65,1973200
2010-01-29,45.26,45.26,41.51,41.83,31.92,2640900
2010-02-01,42.21,42.9,41.68,42.85,32.7,2539900
2010-02-02,43.04,43.77,42.81,43.27,33.02,1460700
2010-02-03,43.09,43.45,42.65,42.95,32.78,1405500
2010-02-04,42.61,42.77,40.29,40.31,30.76,1698300
2010-02-05,40.34,40.74,38.85,40.34,30.78,1694300
2010-02-08,40.44,40.93,39.56,40.01,30.53,1337800
2010-02-09,40.7,41.66,40.32,40.68,31.04,1453200
2010-02-10,40.41,41.35,40.06,41.0,31.33,881600
2010-02-11,41.05,42.42,40.82,41.75,31.9,1473100
2010-02-12,41.17,41.66,40.66,41.64,31.82,1228000
2010-02-16,42.55,43.0,42.0,42.92,32.79,1448800
2010-02-17,43.23,44.22,43.1,44.1,33.7,1983400
2010-02-18,44.02,44.71,43.73,44.3,33.85,1551500
2010-02-19,44.32,44.56,43.66,43.91,33.55,1698300
2010-02-22,44.22,44.33,41.53,41.74,31.89,3575300
2010-02-23,42.73,42.78,41.07,41.59,31.78,4073600
2010-02-24,41.61,42.21,41.04,41.23,31.5,2888700
2010-02-25,40.63,41.47,39.83,41.39,31.63,1683500
2010-02-26,41.66,41.7,40.4,40.52,30.96,28021300
2010-03-01,40.41,40.59,39.84,40.58,31.01,3896000
2010-03-02,40.7,41.14,40.55,40.78,31.16,2809900
2010-03-03,41.0,41.56,40.79,41.22,31.5,1954100
2010-03-04,41.39,41.5,39.88,40.13,30.66,2695200
2010-03-05,40.56,40.72,40.0,40.24,30.75,2121600
2010-03-08,40.25,40.38,39.09,39.6,30.26,3293000
2010-03-09,39.08,40.18,38.97,39.9,30.49,2209500
2010-03-10,39.72,40.89,39.72,40.66,31.07,1725700
2010-03-11,40.54,40.76,40.06,40.76,31.14,904400
2010-03-12,41.08,41.29,40.71,40.88,31.24,2072900
2010-03-15,40.72,40.73,39.59,40.4,30.87,1777200
2010-03-16,41.06,41.25,40.51,40.88,31.24,2610400
2010-03-17,41.05,41.53,40.93,41.07,31.38,1787000
2010-03-18,40.81,41.1,38.55,38.88,29.71,4767800
2010-03-19,38.03,39.16,37.5,38.03,29.06,2863200
2010-03-22,37.57,38.85,37.25,38.82,29.66,2355400
2010-03-23,38.96,39.03,38.29,38.79,29.64,2070800
2010-03-24,38.37,38.89,37.83,38.09,29.1,2136200
2010-03-25,38.41,38.64,36.27,36.4,27.81,2883400
2010-03-26,36.53,36.72,36.23,36.5,27.89,1924500
2010-03-29,37.12,37.89,37.02,37.77,28.86,2047900
2010-03-30,37.84,38.03,36.81,37.48,28.64,2818800
2010-03-31,37.58,38.39,37.55,38.08,29.1,1812300
2010-04-01,38.6,38.92,38.31,38.78,29.63,1548100
2010-04-05,39.31,39.96,38.99,39.9,30.49,1501400
2010-04-06,39.81,39.88,39.44,39.65,30.3,1233600
2010-04-07,39.45,39.63,38.75,39.07,29.85,1898700
2010-04-08,38.71,38.85,38.11,38.81,29.65,1335200
2010-04-09,38.91,39.05,38.34,39.0,29.8,1287200
2010-04-12,38.96,39.26,38.61,38.81,29.65,1282400
2010-04-13,38.69,39.1,38.27,38.95,29.76,1684900
2010-04-14,39.3,40.16,39.16,39.95,30.52,1857400
2010-04-15,40.05,41.2,39.71,40.74,31.13,3073900
2010-04-16,40.35,40.65,39.3,39.75,30.37,1698900
2010-04-19,39.24,39.74,38.75,39.45,30.14,1503300
2010-04-20,39.86,41.06,39.77,40.62,31.04,1988200
2010-04-21,40.84,42.48,40.61,42.04,32.12,3015900
2010-04-22,41.64,43.19,41.35,42.76,32.67,2999900
2010-04-23,42.73,43.34,42.67,43.21,33.02,2561600
2010-04-26,43.25,43.58,43.1,43.3,33.08,1918800
2010-04-27,42.94,43.27,41.51,41.7,31.86,2254200
2010-04-28,42.17,42.76,41.71,42.62,32.56,2218300
2010-04-29,43.37,43.41,40.03,41.5,31.71,4089500
2010-04-30,41.66,41.88,40.5,40.62,31.04,2465600
2010-05-03,40.9,41.41,39.52,40.45,30.91,2236800
2010-05-04,39.91,40.05,39.03,39.74,30.36,2412500
2010-05-05,39.0,40.38,38.63,39.41,30.11,2103800
2010-05-06,39.28,39.66,34.83,37.34,28.53,3510000
2010-05-07,37.33,37.68,35.39,35.67,27.25,3275600
2010-05-10,37.32,37.81,36.16,36.97,28.25,2222200
2010-05-11,36.46,37.43,36.46,36.63,27.99,1757700
2010-05-12,36.88,37.88,36.88,37.78,28.91,1960900
2010-05-13,37.92,38.92,37.78,37.87,28.98,2105500
2010-05-14,37.88,37.91,36.45,37.56,28.74,2074400
2010-05-17,37.68,37.79,35.67,36.57,27.98,2633800
2010-05-18,37.31,37.5,36.19,36.4,27.85,2482900
2010-05-19,36.32,36.74,34.83,35.63,27.26,2299700
2010-05-20,34.71,34.71,33.09,33.42,25.57,3847500
2010-05-21,32.88,34.72,32.49,34.53,26.42,2022600
2010-05-24,34.45,34.6,33.52,33.54,25.66,1842700
2010-05-25,32.43,33.95,32.34,33.85,25.9,2018200
2010-05-26,34.47,34.66,33.77,33.85,25.9,2563400
2010-05-27,34.8,36.75,34.8,36.72,28.1,4228600
2010-05-28,36.54,38.74,36.13,37.68,28.83,4810600
2010-06-01,37.17,37.7,35.8,35.86,27.44,3295200
2010-06-02,36.32,38.17,35.85,38.09,29.14,2669400
2010-06-03,38.23,41.15,38.23,40.87,31.27,5066100
2010-06-04,40.22,41.17,38.2,38.74,29.64,4704800
2010-06-07,38.99,40.24,38.64,38.73,29.63,3002300
2010-06-08,39.07,39.35,37.54,39.01,29.85,2079900
2010-06-09,39.56,41.45,38.93,39.2,29.99,2873200
2010-06-10,40.35,42.22,40.35,42.16,32.26,2018700
2010-06-11,41.45,42.41,41.19,41.97,32.11,2109400
2010-06-14,42.49,42.87,41.3,41.39,31.67,1701800
2010-06-15,41.59,42.71,41.59,42.35,32.4,2467000
2010-06-16,41.94,42.66,41.39,42.37,32.42,2132700
2010-06-17,42.77,43.16,42.27,42.66,32.64,1685500
2010-06-18,42.56,42.84,41.89,42.51,32.53,2123300
2010-06-21,43.19,43.72,41.42,41.81,31.99,1939200
2010-06-22,41.81,42.0,40.13,40.31,30.84,1873500
2010-06-23,40.3,40.71,39.59,40.41,30.92,1477600
2010-06-24,40.08,40.08,38.91,39.03,29.86,1758100
2010-06-25,39.15,39.62,38.32,39.07,29.89,2151600
2010-06-28,39.08,39.08,37.94,37.99,29.07,1439100
2010-06-29,37.2,38.01,37.0,37.45,28.65,2818500
2010-06-30,37.48,38.28,36.44,36.52,27.94,2416300
2010-07-01,36.58,37.12,35.63,36.47,27.9,2585900
2010-07-02,36.77,37.34,36.23,36.53,27.95,1437200
2010-07-06,37.11,37.84,36.57,36.99,28.3,1341000
2010-07-07,37.85,39.89,37.8,39.77,30.43,2916300
2010-07-08,40.0,40.39,39.12,40.03,30.63,1565400
2010-07-09,40.06,40.75,39.69,40.45,30.95,1352100
2010-07-12,40.38,40.48,39.1,39.74,30.41,1346700
2010-07-13,40.4,40.6,39.95,40.17,30.73,1503000
2010-07-14,39.86,40.39,39.32,40.1,30.68,938200
2010-07-15,40.04,40.21,38.82,40.04,30.64,1233200
2010-07-16,39.68,39.8,38.27,38.36,29.35,1484500
2010-07-19,38.64,38.97,37.95,38.63,29.56,1042200
2010-07-20,37.97,40.32,37.71,40.23,30.78,1559400
2010-07-21,40.28,40.57,39.62,40.06,30.65,1452300
2010-07-22,40.52,41.47,40.35,41.14,31.48,1185900
2010-07-23,40.89,41.09,40.07,41.0,31.37,1502600
2010-07-26,41.06,41.63,40.77,41.62,31.84,1502200
2010-07-27,41.79,41.95,40.22,40.93,31.32,1709000
2010-07-28,40.77,41.11,40.2,40.61,31.07,1515100
2010-07-29,40.63,41.9,40.11,40.44,30.94,1659800
2010-07-30,39.21,40.79,39.21,40.53,31.01,1390100
2010-08-02,41.45,41.71,40.82,41.37,31.65,1264500
2010-08-03,40.93,41.5,40.55,41.25,31.56,1146700
2010-08-04,41.4,42.03,40.73,41.4,31.68,1214300
2010-08-05,41.2,41.57,40.82,40.96,31.34,686300
2010-08-06,40.44,41.06,40.1,40.62,31.08,973400
2010-08-09,41.38,41.4,40.38,40.7,31.14,1602700
2010-08-10,40.48,40.48,39.71,40.18,30.74,1461500
2010-08-11,39.11,39.49,38.12,38.16,29.24,1417300
2010-08-12,37.27,38.31,37.25,38.0,29.12,1270000
2010-08-13,37.96,38.52,37.39,37.42,28.67,1099100
2010-08-16,37.17,37.5,36.94,37.3,28.58,824500
2010-08-17,37.74,38.31,37.48,38.13,29.22,1135900
2010-08-18,38.07,38.24,37.32,37.94,29.07,685700
2010-08-19,37.6,37.89,37.15,37.42,28.67,1262600
2010-08-20,36.99,36.99,35.56,36.33,27.84,1660800
2010-08-23,37.52,37.53,36.8,36.96,28.32,2756300
2010-08-24,36.5,37.73,36.5,37.37,28.64,1885000
2010-08-25,37.23,37.23,36.27,36.93,28.3,1717500
2010-08-26,37.27,37.6,36.38,36.52,27.98,1278100
2010-08-27,36.73,37.85,35.98,37.8,28.96,1729300
2010-08-30,37.85,38.09,37.57,37.85,29.0,1247300
2010-08-31,37.54,37.6,36.7,37.04,28.38,1813900
2010-09-01,37.64,38.91,37.59,38.8,29.73,1047900
2010-09-02,38.7,39.07,37.91,39.04,29.91,1040600
2010-09-03,39.54,39.64,39.1,39.39,30.18,738700
2010-09-07,39.01,39.17,38.47,38.58,29.56,537000
2010-09-08,38.61,39.58,38.5,39.22,30.05,896400
2010-09-09,39.9,39.9,38.86,39.11,29.97,613700
2010-09-10,39.42,40.61,39.22,40.27,30.86,1084200
2010-09-13,40.81,41.2,40.52,41.17,31.55,1295600
2010-09-14,41.23,41.44,40.51,40.73,31.21,1049700
2010-09-15,40.15,40.61,39.8,40.33,30.9,1736700
2010-09-16,39.98,40.02,38.34,38.52,29.52,2638800
2010-09-17,38.71,39.07,38.15,38.56,29.55,1263100
2010-09-20,38.64,39.39,38.38,39.26,30.08,1270000
2010-09-21,39.36,39.56,38.5,38.94,29.84,1926700
2010-09-22,38.85,39.52,38.78,39.03,29.91,1139200
2010-09-23,38.61,39.49,38.31,39.01,29.89,1313200
2010-09-24,39.73,40.44,39.51,39.9,30.57,1069200
2010-09-27,40.1,40.1,39.41,39.49,30.26,786000
2010-09-28,39.75,39.76,39.02,39.68,30.41,965500
2010-09-29,39.43,40.42,39.43,40.13,30.75,1137200
2010-09-30,40.56,40.75,39.44,40.46,31.0,1747100
2010-10-01,40.88,41.04,40.19,40.26,30.85,1644200
2010-10-04,40.31,40.43,39.65,40.33,30.9,1351600
2010-10-05,40.8,41.46,40.36,41.13,31.52,1570500
2010-10-06,41.22,42.33,40.99,42.25,32.37,2172100
2010-10-07,42.43,42.44,40.68,41.15,31.53,1657400
2010-10-08,40.96,42.09,40.88,41.88,32.09,893800
2010-10-11,41.88,42.6,41.84,42.37,32.47,1145000
2010-10-12,42.13,42.82,41.69,42.44,32.52,946100
2010-10-13,42.82,44.48,42.68,43.86,33.61,1501500
2010-10-14,44.01,45.04,43.75,44.14,33.82,2208600
2010-10-15,44.5,44.54,43.4,44.14,33.82,2390900
2010-10-18,44.06,44.17,43.53,43.76,33.53,1095800
2010-10-19,43.0,43.08,41.43,41.94,32.14,2100700
2010-10-20,42.11,42.39,41.59,42.17,32.31,1383900
2010-10-21,42.33,42.88,41.21,41.76,32.0,1150400
2010-10-22,41.99,42.14,41.24,41.57,31.85,1405100
2010-10-25,41.91,42.41,41.26,41.31,31.65,886800
2010-10-26,41.21,41.61,40.65,41.49,31.79,2032400
2010-10-27,41.06,42.72,41.02,42.67,32.7,1705100
2010-10-28,42.95,43.08,42.32,42.92,32.89,1760000
2010-10-29,42.87,43.13,42.59,42.78,32.78,1249400
2010-11-01,43.15,43.31,42.39,42.7,32.72,602400
2010-11-02,42.59,42.92,41.92,42.78,32.78,1072500
2010-11-03,42.94,42.99,41.84,42.78,32.78,975400
2010-11-04,43.27,44.18,43.18,43.99,33.71,1094800
2010-11-05,43.98,44.09,43.51,43.7,33.49,782400
2010-11-08,43.29,43.97,43.29,43.74,33.52,1044400
2010-11-09,44.03,45.12,43.58,43.99,33.71,2153200
2010-11-10,44.03,45.08,43.77,45.0,34.53,1096300
2010-11-11,44.69,46.8,44.52,46.47,35.66,2790900
2010-11-12,46.02,46.26,45.15,45.69,35.06,1931500
2010-11-15,45.96,46.08,45.43,45.43,34.86,1003700
2010-11-16,44.9,45.22,44.4,44.97,34.51,1652900
2010-11-17,44.91,45.77,44.9,45.33,34.78,994900
2010-11-18,46.56,47.55,45.53,47.38,36.36,2418300
2010-11-19,47.26,47.37,46.29,46.56,35.73,1631700
2010-11-22,46.32,46.63,45.71,46.0,35.3,2320900
2010-11-23,45.55,45.62,44.57,44.87,34.43,2032100
2010-11-24,45.23,45.92,45.11,45.7,35.07,1273100
2010-11-26,45.24,45.87,45.19,45.39,34.83,385900
2010-11-29,45.21,45.72,44.27,45.47,34.89,1040300
2010-11-30,44.82,45.67,44.6,45.36,34.81,1245400
2010-12-01,46.29,46.94,45.79,46.86,35.96,913200
2010-12-02,46.94,48.47,46.76,48.33,37.08,1327800
2010-12-03,48.14,48.74,47.91,48.29,37.05,788900
2010-12-06,48.17,48.2,47.61,47.89,36.75,754000
2010-12-07,48.47,48.71,47.16,47.37,36.35,1016100
2010-12-08,47.42,47.64,46.68,47.22,36.23,1208200
2010-12-09,47.39,47.62,46.72,47.4,36.37,694900
2010-12-10,47.49,47.78,47.22,47.74,36.63,839800
2010-12-13,48.15,48.6,47.93,48.1,36.91,929000
2010-12-14,48.22,48.39,47.73,47.89,36.75,747300
2010-12-15,47.63,48.75,47.63,47.95,36.79,1077300
2010-12-16,48.0,48.78,47.75,48.68,37.35,1022000
2010-12-17,48.69,49.0,48.23,48.74,37.4,1145800
2010-12-20,48.51,48.87,48.21,48.59,37.28,1181900
2010-12-21,48.78,48.78,48.45,48.56,37.26,1288500
2010-12-22,48.7,48.9,48.61,48.74,37.4,605700
2010-12-23,48.56,48.74,48.38,48.72,37.38,568500
2010-12-27,48.6,48.6,48.02,48.41,37.15,293000
2010-12-28,48.49,48.77,48.28,48.49,37.21,346000
2010-12-29,48.62,49.27,48.57,49.06,37.64,476300
2010-12-30,49.02,49.46,48.87,48.88,37.51,393200
2010-12-31,48.91,48.99,48.45,48.48,37.2,584500
2011-01-03,49.1,49.46,48.85,49.04,37.63,1024000
2011-01-04,49.29,49.49,47.76,48.11,36.92,822900
2011-01-05,47.78,49.57,47.53,49.22,37.77,1265400
2011-01-06,49.26,49.33,47.7,48.41,37.15,1535500
2011-01-07,48.42,49.0,48.18,48.89,37.51,1165400
2011-01-10,48.67,48.67,47.78,48.56,37.26,785200
2011-01-11,48.76,49.72,48.68,48.85,37.48,947900
2011-01-12,49.34,50.31,49.14,50.09,38.43,917900
2011-01-13,50.0,50.55,49.38,49.72,38.15,1031700
2011-01-14,49.55,50.86,49.34,50.76,38.95,811200
2011-01-18,50.62,52.0,50.62,51.95,39.86,1050200
2011-01-19,51.89,51.95,50.93,51.04,39.16,678700
2011-01-20,50.63,50.65,49.27,50.62,38.84,1211300
