Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,20.89,21.18,20.75,20.95,20.95,2026700
2010-01-05,20.96,21.07,20.87,20.89,20.89,1299200
2010-01-06,20.84,21.1,20.84,20.96,20.96,1685200
2010-01-07,20.96,21.15,20.86,21.04,21.04,1089300
2010-01-08,20.98,21.3,20.97,21.16,21.16,1841600
2010-01-11,21.12,21.91,21.09,21.86,21.86,2591500
2010-01-12,21.82,21.89,21.47,21.55,21.55,1902000
2010-01-13,21.58,22.17,21.58,22.12,22.12,2184300
2010-01-14,21.99,22.05,21.57,22.02,22.02,1001600
2010-01-15,22.09,22.22,21.61,21.8,21.8,1467000
2010-01-19,21.87,22.22,21.75,22.01,22.01,1444500
2010-01-20,21.91,22.05,21.6,21.85,21.85,1493700
2010-01-21,21.82,22.02,21.52,21.8,21.8,3079600
2010-01-22,21.85,21.94,21.39,21.4,21.4,1876200
2010-01-25,21.42,21.63,21.25,21.53,21.53,1191800
2010-01-26,21.45,21.57,21.32,21.38,21.38,1070700
2010-01-27,21.31,21.35,21.04,21.15,21.15,2613700
2010-01-28,21.14,21.27,20.78,20.91,20.91,2090700
2010-01-29,21.08,21.4,21.08,21.2,21.2,2423200
2010-02-01,21.32,21.52,21.02,21.51,21.51,2369200
2010-02-02,21.49,21.95,21.41,21.91,21.91,2142000
2010-02-03,21.76,21.96,21.6,21.66,21.66,1395300
2010-02-04,21.57,21.61,21.09,21.09,21.09,1559000
2010-02-05,21.13,21.3,20.9,21.2,21.2,1750500
2010-02-08,21.3,21.35,21.06,21.12,21.12,1679400
2010-02-09,21.34,21.65,21.05,21.53,21.53,2624900
2010-02-10,21.18,21.6,21.18,21.57,21.57,1588600
2010-02-11,21.46,21.93,21.43,21.91,21.91,2017000
2010-02-12,21.8,22.03,21.62,22.03,22.03,2064400
2010-02-16,22.06,22.25,21.95,22.25,22.25,1028100
2010-02-17,22.25,22.37,22.18,22.37,22.37,1221100
2010-02-18,22.39,22.45,22.24,22.39,22.39,2546400
2010-02-19,22.35,22.47,22.3,22.44,22.44,2861600
2010-02-22,22.45,22.53,22.33,22.42,22.42,3874900
2010-02-23,22.44,22.68,22.38,22.39,22.39,3519500
2010-02-24,22.4,22.55,22.29,22.39,22.39,1603100
2010-02-25,22.13,22.35,22.03,22.3,22.3,1562600
2010-02-26,22.32,22.41,22.18,22.29,22.29,1529200
2010-03-01,22.4,22.4,22.04,22.31,22.31,4292600
2010-03-02,22.21,22.45,22.13,22.34,22.34,4567300
2010-03-03,22.25,22.34,22.16,22.18,22.18,2182200
2010-03-04,22.18,22.18,22.03,22.1,22.1,1989000
2010-03-05,22.13,22.32,22.11,22.31,22.31,2183300
2010-03-08,22.2,22.29,22.12,22.2,22.2,1692400
2010-03-09,22.06,22.09,21.93,21.96,21.96,2308700
2010-03-10,21.85,22.06,21.84,21.97,21.97,1969600
2010-03-11,21.96,22.11,21.83,22.11,22.11,1812000
2010-03-12,22.11,22.21,22.0,22.21,22.21,1138000
2010-03-15,22.2,22.31,22.11,22.3,22.3,1214300
2010-03-16,22.32,22.42,22.25,22.4,22.4,959300
2010-03-17,22.34,22.55,22.27,22.49,22.49,881700
2010-03-18,22.5,22.62,22.5,22.58,22.58,1109200
2010-03-19,22.7,22.78,22.45,22.6,22.6,2093800
2010-03-22,22.58,22.84,22.27,22.83,22.83,1219100
2010-03-23,22.81,22.91,22.62,22.88,22.88,1521800
2010-03-24,22.9,22.92,22.79,22.88,22.88,1173700
2010-03-25,22.94,22.94,22.65,22.67,22.67,1703900
2010-03-26,22.7,22.88,22.57,22.67,22.67,1612100
2010-03-29,22.78,22.9,22.75,22.82,22.82,1318600
2010-03-30,22.84,23.24,22.68,23.22,23.22,1619500
2010-03-31,23.1,23.24,23.08,23.1,23.1,1123700
2010-04-01,23.25,23.28,22.93,23.09,23.09,893700
2010-04-05,23.09,23.39,23.0,23.36,23.36,2043800
2010-04-06,23.19,23.36,23.19,23.24,23.24,1598800
2010-04-07,23.18,23.27,23.1,23.22,23.22,903900
