Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,44.43,45.77,44.43,45.68,42.41,2008500
2010-01-05,45.79,46.16,45.27,45.66,42.39,1860700
2010-01-06,45.66,46.34,45.35,45.98,42.68,1686800
2010-01-07,46.25,48.69,46.25,48.12,44.67,3706600
2010-01-08,47.81,48.02,47.2,47.51,44.1,2412300
2010-01-11,47.48,47.73,46.71,46.95,43.58,2000900
2010-01-12,46.48,46.78,45.62,46.18,42.87,2392100
2010-01-13,46.24,47.14,45.32,47.03,43.66,2455800
2010-01-14,46.76,48.6,46.75,48.02,44.58,3433400
2010-01-15,48.14,48.99,47.59,48.51,45.03,2646200
2010-01-19,49.3,52.26,49.3,51.94,48.22,9567400
2010-01-20,52.65,52.66,50.3,51.27,47.59,10926100
2010-01-21,51.13,52.18,51.01,51.77,48.06,9071700
2010-01-22,51.7,52.58,50.82,51.0,47.34,3878400
2010-01-25,50.89,51.41,49.4,49.56,46.01,4585300
2010-01-26,49.6,49.69,48.1,48.27,44.81,3760600
2010-01-27,48.25,50.11,47.81,49.02,45.51,3232200
2010-01-28,49.26,50.21,48.43,48.79,45.29,3317800
2010-01-29,49.11,49.71,48.54,48.62,45.13,2670600
2010-02-01,48.0,50.37,46.18,48.71,45.22,8798300
2010-02-02,48.93,50.34,48.53,50.3,46.69,2596200
2010-02-03,50.22,50.33,48.53,48.98,45.47,2257000
2010-02-04,48.9,48.9,47.16,47.17,43.79,2165800
2010-02-05,46.66,47.2,45.65,47.02,43.65,3150300
2010-02-08,46.99,47.71,46.5,46.75,43.4,1383800
2010-02-09,47.35,48.34,46.26,47.92,44.48,3131200
2010-02-10,48.01,48.01,45.89,47.1,43.72,2733200
2010-02-11,47.29,47.33,46.3,46.82,43.46,2081800
2010-02-12,46.3,46.3,45.43,45.95,42.66,2216900
2010-02-16,46.34,46.45,45.24,46.01,42.71,1499600
2010-02-17,46.32,47.3,46.18,46.64,43.3,1701300
2010-02-18,46.39,46.91,45.89,46.2,42.89,2470300
2010-02-19,45.82,46.11,45.07,45.35,42.1,3960000
2010-02-22,45.81,47.98,45.7,47.87,44.44,5733100
2010-02-23,47.5,47.73,46.64,46.82,43.46,2429600
2010-02-24,46.87,46.95,46.0,46.91,43.55,2186000
2010-02-25,46.53,47.59,45.9,47.13,43.75,2072700
2010-02-26,47.18,48.0,47.0,47.33,43.94,1911300
2010-03-01,47.64,48.47,46.95,47.48,44.08,2229600
2010-03-02,47.39,47.95,46.98,47.49,44.09,1430800
2010-03-03,47.75,48.13,47.39,47.49,44.09,1551300
2010-03-04,47.41,47.49,46.18,47.12,43.74,2038100
2010-03-05,47.4,48.14,47.21,48.14,44.69,1685700
2010-03-08,48.25,48.25,47.54,47.95,44.51,1422200
2010-03-09,47.65,48.19,47.55,47.94,44.5,1278100
2010-03-10,47.84,48.65,47.84,48.32,44.86,1348800
2010-03-11,48.35,49.17,47.79,49.0,45.49,1453000
2010-03-12,49.18,49.18,47.82,47.97,44.53,2195900
2010-03-15,48.03,48.05,46.87,47.5,44.09,1632300
2010-03-16,47.46,47.75,46.83,47.7,44.28,1188000
2010-03-17,47.81,48.35,47.26,48.23,44.77,2080100
2010-03-18,48.22,50.25,47.43,50.09,46.5,4850700
2010-03-19,50.0,50.84,49.26,50.0,46.42,3678700
2010-03-22,49.56,50.63,48.45,49.32,45.78,3930900
2010-03-23,49.21,49.5,48.44,49.02,45.51,1329900
2010-03-24,48.97,48.98,47.79,47.9,44.47,2109200
2010-03-25,48.38,48.42,47.55,47.87,44.44,1740500
2010-03-26,48.09,48.09,47.02,47.2,43.82,1612400
2010-03-29,47.35,47.71,47.22,47.43,44.03,1925600
2010-03-30,47.13,47.41,46.86,47.34,43.95,1994600
2010-03-31,47.16,47.32,46.54,46.77,43.42,1819600
2010-04-01,47.11,47.25,46.52,46.92,43.56,1256400
2010-04-05,47.03,47.27,46.72,47.11,43.73,1168900
2010-04-06,47.44,48.44,47.21,47.83,44.4,3804800
2010-04-07,47.75,47.75,46.28,46.49,43.16,2360600
2010-04-08,46.47,46.48,45.67,46.31,42.99,1796000
2010-04-09,46.32,46.36,44.58,45.13,41.89,3478200
2010-04-12,44.99,45.15,44.14,44.51,41.32,3069000
2010-04-13,44.43,44.62,43.33,44.08,40.92,3796100
2010-04-14,44.1,44.42,43.05,44.0,40.85,2750900
2010-04-15,43.97,44.31,43.38,44.0,40.85,2593000
2010-04-16,43.94,44.6,43.31,43.93,40.78,2999800
2010-04-19,43.67,45.45,43.66,44.66,41.46,2825800
2010-04-20,45.48,45.64,44.27,45.17,41.93,2795900
2010-04-21,45.04,45.47,44.19,44.45,41.26,2066000
2010-04-22,44.38,44.5,43.65,44.48,41.29,2266800
2010-04-23,44.38,45.83,44.07,45.53,42.27,4383000
2010-04-26,46.92,46.92,43.42,43.56,40.44,5647800
2010-04-27,43.31,44.84,43.21,43.57,40.45,4194400
2010-04-28,43.58,46.08,43.41,45.69,42.41,4260600
2010-04-29,46.17,47.61,46.08,47.19,43.81,3218800
2010-04-30,47.17,47.32,45.64,45.72,42.44,3576700
2010-05-03,45.81,46.42,45.15,46.36,43.04,2596400
2010-05-04,45.57,46.12,45.34,45.85,42.56,3180900
2010-05-05,45.4,46.62,45.39,46.57,43.23,2976300
2010-05-06,46.49,47.12,43.27,45.59,42.32,3711400
2010-05-07,45.35,45.35,43.66,44.35,41.17,2637900
2010-05-10,45.56,46.33,45.26,45.95,42.66,2247100
2010-05-11,45.56,46.24,45.37,45.6,42.33,2293200
2010-05-12,45.65,46.27,45.64,45.99,42.69,3892800
2010-05-13,45.56,46.69,45.5,45.8,42.52,2239100
2010-05-14,45.58,45.83,44.79,45.75,42.47,1689300
2010-05-17,45.71,46.27,44.98,45.89,42.6,2400100
2010-05-18,46.09,47.21,45.98,46.2,42.89,2626700
2010-05-19,46.09,46.65,45.66,46.24,42.92,1911100
2010-05-20,45.39,45.72,44.26,44.34,41.16,1935900
2010-05-21,43.58,44.88,43.17,44.71,41.5,2425600
2010-05-24,44.44,45.42,44.0,44.81,41.6,1671200
2010-05-25,43.77,44.22,43.3,44.21,41.04,1974300
2010-05-26,44.4,45.53,44.29,44.54,41.35,1866900
2010-05-27,45.57,45.74,44.98,45.71,42.43,1105200
2010-05-28,45.62,46.39,45.24,46.05,42.75,1845600
2010-06-01,45.65,46.72,45.36,45.52,42.26,1248300
2010-06-02,45.65,47.43,45.53,47.43,44.03,1731900
2010-06-03,47.52,48.4,47.32,48.23,44.77,1387700
2010-06-04,47.38,49.27,47.22,47.39,43.99,3443200
