Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,23.4,23.86,23.24,23.85,20.98,493100
2010-01-05,23.8,23.88,23.34,23.47,20.64,344300
2010-01-06,23.52,23.54,23.33,23.43,20.61,288000
2010-01-07,23.37,23.43,23.15,23.41,20.59,279300
2010-01-08,23.41,23.41,23.05,23.2,20.4,245500
2010-01-11,23.18,23.22,22.88,23.02,20.25,222200
2010-01-12,22.89,23.05,22.69,22.92,20.16,325500
2010-01-13,23.05,23.35,22.93,23.25,20.45,316200
2010-01-14,23.12,23.47,23.12,23.43,20.61,173000
2010-01-15,23.54,23.54,23.01,23.2,20.4,517800
2010-01-19,23.15,23.55,23.12,23.52,20.69,335000
2010-01-20,23.32,23.35,22.81,23.17,20.38,306000
2010-01-21,23.25,23.36,22.65,22.89,20.13,402300
2010-01-22,22.92,23.05,22.39,22.44,19.74,376500
2010-01-25,22.57,22.61,22.25,22.38,19.68,273300
2010-01-26,22.32,22.43,22.14,22.17,19.5,424800
2010-01-27,22.03,22.37,22.03,22.26,19.58,569100
2010-01-28,22.23,22.23,21.65,21.85,19.22,525400
2010-01-29,21.91,22.14,21.88,21.96,19.31,749600
2010-02-01,22.02,22.54,21.95,22.5,19.79,733100
2010-02-02,22.47,23.06,22.28,22.76,20.02,853100
2010-02-03,22.77,23.74,22.32,22.61,19.89,833200
2010-02-04,22.51,22.51,21.96,22.05,19.39,652000
2010-02-05,22.01,22.08,21.36,21.75,19.13,675500
2010-02-08,21.73,21.73,21.4,21.44,18.86,495500
2010-02-09,21.71,21.82,21.4,21.48,18.89,606200
2010-02-10,21.37,21.52,21.03,21.31,18.74,534200
2010-02-11,21.21,21.63,21.01,21.59,18.99,380000
2010-02-12,21.38,21.59,21.32,21.58,18.98,398000
2010-02-16,22.98,22.98,21.95,22.19,19.52,765200
2010-02-17,22.18,22.52,22.13,22.52,19.81,483900
2010-02-18,22.58,22.71,22.41,22.71,19.97,356700
2010-02-19,22.74,22.86,22.49,22.67,19.94,551600
2010-02-22,22.67,22.77,22.39,22.6,19.96,991500
2010-02-23,22.47,22.64,22.26,22.45,19.83,623400
2010-02-24,22.58,22.68,22.37,22.67,20.02,447700
2010-02-25,22.33,22.6,22.19,22.58,19.94,469200
2010-02-26,22.65,22.71,22.37,22.58,19.94,561100
2010-03-01,22.7,23.15,22.69,23.04,20.35,640200
2010-03-02,22.99,23.25,22.99,23.2,20.49,521000
2010-03-03,23.25,23.35,23.05,23.13,20.43,394600
2010-03-04,23.23,23.47,23.02,23.42,20.68,502100
2010-03-05,23.46,23.7,23.42,23.7,20.93,525300
2010-03-08,23.61,23.7,23.5,23.59,20.83,483900
2010-03-09,23.55,23.75,23.46,23.55,20.8,419000
2010-03-10,23.47,23.73,23.39,23.57,20.82,432800
2010-03-11,23.37,23.67,23.35,23.67,20.91,570700
2010-03-12,23.66,23.83,23.49,23.83,21.05,655300
