Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,26.92,27.32,26.82,27.18,24.72,3332500
2010-01-05,27.16,27.3,26.39,26.75,24.33,9555900
2010-01-06,26.67,26.69,25.75,26.03,23.68,11830100
2010-01-07,26.08,26.18,25.7,26.16,23.79,5326000
2010-01-08,26.16,26.25,25.82,26.25,23.88,4158100
2010-01-11,26.29,26.39,25.76,26.2,23.83,4846600
2010-01-12,26.02,26.07,25.76,25.86,23.52,6637600
2010-01-13,25.96,26.6,25.76,26.48,24.09,6871800
2010-01-14,26.53,26.67,26.11,26.34,23.96,4447800
2010-01-15,26.36,26.76,26.0,26.58,24.18,7235400
2010-01-19,26.5,26.9,26.42,26.87,24.44,3904000
2010-01-20,26.6,26.66,25.77,26.05,23.69,8020600
2010-01-21,26.49,26.83,25.95,26.12,23.76,9142600
2010-01-22,25.98,26.07,24.91,24.95,22.69,6204900
2010-01-25,25.19,25.57,25.02,25.37,23.08,5214000
2010-01-26,25.26,25.4,24.78,24.86,22.61,6511600
2010-01-27,24.81,25.23,24.69,25.02,22.76,5899300
2010-01-28,25.05,25.17,24.35,24.49,22.28,10374600
2010-01-29,25.96,26.2,24.53,24.83,22.58,17334500
2010-02-01,24.38,25.12,24.06,25.06,22.79,8197400
2010-02-02,25.12,25.21,24.84,25.17,22.89,8456200
2010-02-03,25.03,25.5,24.76,25.33,23.04,5596700
2010-02-04,25.06,25.26,24.68,24.89,22.64,9317500
2010-02-05,24.88,25.09,24.51,25.0,22.74,9158200
2010-02-08,24.96,25.29,24.81,24.91,22.66,3989800
2010-02-09,24.94,25.38,24.85,25.12,22.85,4250400
2010-02-10,25.02,25.33,24.83,25.02,22.76,3080100
2010-02-11,25.01,25.35,24.88,25.26,22.98,3776600
2010-02-12,25.01,25.05,24.62,24.76,22.52,8038200
2010-02-16,24.99,25.53,24.8,25.45,23.15,8110700
2010-02-17,25.51,25.73,25.39,25.62,23.3,5909900
2010-02-18,25.61,25.98,25.47,25.94,23.59,3253000
2010-02-19,25.8,27.48,25.75,27.44,24.96,14781900
2010-02-22,27.39,27.72,27.02,27.21,24.75,7529600
2010-02-23,27.19,27.31,26.66,26.9,24.47,6072800
2010-02-24,27.15,28.02,27.0,27.95,25.42,10625800
2010-02-25,27.59,28.01,27.27,28.0,25.47,10211600
2010-02-26,27.92,28.05,27.54,27.98,25.45,7779300
2010-03-01,27.98,28.65,27.91,28.53,25.95,5336700
2010-03-02,28.57,28.74,28.42,28.57,25.99,4067200
2010-03-03,28.62,29.0,28.51,28.76,26.16,5056000
2010-03-04,28.77,28.77,28.04,28.67,26.08,5829000
2010-03-05,28.64,29.12,28.6,29.1,26.47,5438100
2010-03-08,28.94,29.73,28.94,29.6,26.92,5678300
2010-03-09,29.49,29.91,29.04,29.89,27.19,9326200
2010-03-10,29.88,30.48,29.7,30.39,27.64,7852700
2010-03-11,30.27,30.9,30.08,30.46,27.71,7679700
2010-03-12,30.55,30.66,29.85,29.94,27.23,5037100
2010-03-15,29.87,30.47,29.58,30.07,27.35,6716500
2010-03-16,30.03,30.4,29.86,30.4,27.65,4478800
2010-03-17,30.39,30.79,30.26,30.69,27.92,4991600
2010-03-18,30.73,30.87,30.05,30.25,27.51,4846200
2010-03-19,30.3,30.47,29.77,29.89,27.19,5793400
2010-03-22,29.4,30.33,29.27,30.14,27.41,4380800
2010-03-23,30.21,30.93,30.08,30.88,28.09,4665700
2010-03-24,30.66,31.05,30.32,30.46,27.71,7158100
2010-03-25,30.76,31.24,30.6,30.73,27.95,7436300
2010-03-26,30.78,31.14,30.36,30.49,27.73,4620900
2010-03-29,30.64,30.87,30.39,30.65,27.88,3220800
2010-03-30,30.92,31.32,30.68,30.87,28.08,4272600
2010-03-31,30.7,30.94,30.53,30.68,27.91,3680600
2010-04-01,30.81,31.08,30.21,30.45,27.7,3832100
2010-04-05,30.78,30.93,30.43,30.86,28.07,7685900
2010-04-06,30.61,31.77,30.43,31.64,28.78,8171100
2010-04-07,31.52,31.87,31.32,31.49,28.64,6328300
2010-04-08,31.42,31.49,30.67,31.27,28.44,6908900
2010-04-09,31.3,31.74,31.25,31.65,28.79,3581300
2010-04-12,31.64,31.84,31.35,31.6,28.74,5774700
2010-04-13,31.45,31.55,30.96,31.25,28.42,4261500
2010-04-14,31.25,31.91,31.24,31.81,28.93,4673600
2010-04-15,31.85,32.16,31.67,31.98,29.09,3985900
2010-04-16,31.87,31.9,31.01,31.21,28.39,5812900
2010-04-19,30.97,31.2,30.24,31.18,28.36,7164500
2010-04-20,31.38,31.81,30.69,31.56,28.71,11415500
2010-04-21,29.3,30.2,29.23,29.82,27.12,28929200
2010-04-22,29.57,29.78,29.39,29.7,27.01,7361500
2010-04-23,29.75,30.08,29.45,30.07,27.35,7245200
2010-04-26,30.14,30.33,29.64,29.75,27.06,6321700
2010-04-27,29.56,29.75,28.96,29.27,26.62,8963800
2010-04-28,29.37,29.37,28.37,29.01,26.39,8402100
2010-04-29,29.08,29.5,28.91,29.36,26.71,4617700
2010-04-30,29.41,29.59,28.39,28.41,25.84,6554500
2010-05-03,28.55,29.07,28.55,28.99,26.37,5086000
2010-05-04,28.75,28.75,27.8,28.14,25.6,8378300
2010-05-05,27.83,28.78,27.64,28.38,25.81,6679000
2010-05-06,28.14,28.66,25.35,27.59,25.1,10404100
2010-05-07,27.39,27.59,25.98,26.73,24.31,13686100
2010-05-10,27.86,28.75,27.78,28.18,25.63,8179400
2010-05-11,27.88,28.47,27.68,27.94,25.41,5141800
2010-05-12,28.12,29.0,28.02,28.92,26.31,5726900
2010-05-13,28.71,28.8,27.94,28.03,25.5,7100300
2010-05-14,27.66,27.92,27.05,27.5,25.01,6514800
2010-05-17,27.51,28.08,27.23,27.99,25.46,7944300
2010-05-18,28.23,28.36,26.96,27.2,24.74,6741300
2010-05-19,27.19,27.3,26.0,26.87,24.44,7915800
2010-05-20,26.37,26.37,25.55,25.58,23.27,10066700
2010-05-21,25.14,26.48,25.05,26.39,24.0,10357700
2010-05-24,26.22,26.59,26.04,26.13,23.77,5429000
2010-05-25,25.39,26.35,25.1,26.26,23.89,8212000
2010-05-26,26.47,26.87,25.92,26.05,23.69,7056400
2010-05-27,26.58,27.28,26.54,27.26,24.8,6739300
2010-05-28,27.21,27.21,26.38,26.62,24.21,8650700
2010-06-01,26.0,26.27,24.79,24.83,22.58,18239900
2010-06-02,24.99,25.33,24.21,25.29,23.0,11148900
2010-06-03,25.26,25.87,25.03,25.81,23.48,8650600
2010-06-04,25.25,25.47,24.55,24.67,22.44,8414900
2010-06-07,24.84,25.07,24.27,24.3,22.1,8705300
2010-06-08,24.36,24.44,23.9,24.34,22.14,8851100
2010-06-09,24.43,24.91,23.86,23.98,21.81,10016500
2010-06-10,24.26,24.58,24.16,24.56,22.34,6027200
2010-06-11,24.23,25.15,24.11,24.99,22.73,6123800
2010-06-14,25.22,25.54,24.86,24.87,22.62,6278800
2010-06-15,25.21,25.64,25.05,25.53,23.22,5031200
2010-06-16,25.25,25.35,24.85,25.16,22.89,10571500
2010-06-17,25.42,25.45,25.06,25.29,23.0,6399600
2010-06-18,25.27,25.63,25.2,25.5,23.19,5629500
2010-06-21,25.81,26.09,24.83,24.95,22.69,21225200
2010-06-22,25.02,25.18,24.43,24.43,22.22,6429400
2010-06-23,24.57,24.65,24.17,24.43,22.22,5442000
2010-06-24,24.3,24.32,23.58,23.71,21.57,8717500
2010-06-25,23.73,23.89,23.2,23.72,21.58,9204900
2010-06-28,23.66,24.4,23.62,24.19,22.0,7168900
2010-06-29,23.91,24.04,23.03,23.22,21.12,7819600
2010-06-30,23.06,23.52,22.74,22.82,20.76,5946000
2010-07-01,22.85,23.07,22.25,23.0,20.92,8653600
2010-07-02,23.14,24.36,23.05,24.08,21.9,14727000
2010-07-06,24.59,25.09,23.88,24.09,21.91,9795500
2010-07-07,24.66,25.51,24.44,25.49,23.19,8092000
2010-07-08,25.69,25.89,24.81,25.43,23.13,8184500
2010-07-09,25.39,25.88,25.25,25.77,23.44,5952400
2010-07-12,25.76,26.06,25.4,26.0,23.65,6349500
2010-07-13,26.08,26.88,26.08,26.73,24.31,6182500
2010-07-14,26.7,27.22,26.59,27.1,24.65,9352000
2010-07-15,26.76,26.96,26.19,26.86,24.43,12270500
2010-07-16,26.67,26.73,25.75,25.9,23.56,10002500
2010-07-19,26.34,26.84,26.2,26.6,24.19,8506700
2010-07-20,26.09,26.87,26.09,26.69,24.28,10230300
2010-07-21,26.18,26.51,25.64,26.51,24.11,15676700
2010-07-22,26.69,27.79,26.69,27.41,24.93,10825300
2010-07-23,27.36,28.34,27.31,28.09,25.55,12109800
2010-07-26,27.86,28.93,27.86,28.85,26.24,10391800
2010-07-27,28.88,29.0,27.95,28.08,25.54,8748900
2010-07-28,28.01,28.24,27.59,27.8,25.29,5305600
