Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.37,19.76,19.27,19.31,9.99,3959400
2010-01-05,19.24,19.43,18.53,18.68,9.67,9097500
2010-01-06,18.56,19.12,18.34,19.07,9.87,6889000
2010-01-07,19.42,19.59,18.45,18.76,9.71,7511700
2010-01-08,18.86,19.62,18.78,19.59,10.14,5684200
2010-01-11,20.1,20.61,19.93,20.46,10.59,6663400
2010-01-12,20.23,20.9,20.15,20.43,10.57,4553600
2010-01-13,20.47,20.54,19.96,20.23,10.47,3190400
2010-01-14,20.2,20.32,19.73,19.92,10.31,3322000
2010-01-15,19.82,20.02,19.36,19.39,10.03,3155400
2010-01-19,19.39,19.54,19.17,19.34,10.01,4890700
2010-01-20,19.11,19.24,18.89,18.9,9.78,5126600
2010-01-21,18.95,19.09,18.52,18.68,9.67,6916600
2010-01-22,18.81,18.92,18.36,18.38,9.51,5490400
2010-01-25,18.6,18.75,18.39,18.6,9.63,3461100
2010-01-26,18.96,19.82,18.65,19.4,10.04,8012900
2010-01-27,19.35,19.81,19.21,19.71,10.2,5122100
2010-01-28,19.75,19.75,19.14,19.21,9.94,4520700
2010-01-29,19.37,19.46,18.94,19.02,9.84,3554700
2010-02-01,19.23,19.67,19.12,19.65,10.17,3070800
2010-02-02,19.68,20.33,19.66,20.32,10.52,5572500
2010-02-03,20.23,20.32,20.0,20.26,10.49,6301000
2010-02-04,20.17,20.3,19.96,20.03,10.37,8675400
2010-02-05,19.98,20.51,19.84,20.47,10.59,7955500
2010-02-08,20.49,20.49,20.01,20.01,10.36,6362800
2010-02-09,20.23,20.45,19.98,20.34,10.53,5263600
2010-02-10,20.25,20.36,19.9,20.09,10.4,3786800
2010-02-11,20.0,20.37,19.88,20.34,10.53,2641500
2010-02-12,20.05,20.55,19.84,20.48,10.6,5100100
2010-02-16,20.74,20.84,20.48,20.83,10.78,3053000
2010-02-17,20.91,21.17,20.77,21.05,10.89,3577700
2010-02-18,20.96,21.37,20.9,21.34,11.04,2260400
2010-02-19,21.2,21.48,21.17,21.4,11.08,2877100
2010-02-22,21.6,21.73,21.32,21.5,11.13,5583600
2010-02-23,21.45,21.52,20.97,21.03,10.88,7453500
2010-02-24,20.87,21.56,20.87,21.54,11.23,7085800
2010-02-25,22.03,22.53,21.9,22.15,11.55,17572600
2010-02-26,22.15,22.26,21.99,22.11,11.52,6981300
2010-03-01,22.25,22.72,22.16,22.53,11.74,4907500
2010-03-02,22.66,22.76,22.4,22.43,11.69,4186100
2010-03-03,22.5,22.75,22.35,22.65,11.81,3272200
2010-03-04,22.73,23.02,22.51,22.98,11.98,4048700
2010-03-05,23.17,23.38,22.92,23.28,12.13,2860700
2010-03-08,23.32,23.63,23.21,23.47,12.23,3407800
2010-03-09,23.48,23.62,23.31,23.59,12.3,4247100
2010-03-10,23.6,23.77,23.44,23.49,12.24,4881700
2010-03-11,23.35,23.66,23.24,23.61,12.31,2738300
2010-03-12,23.7,23.74,23.42,23.74,12.37,3086200
2010-03-15,23.73,23.79,23.46,23.71,12.36,2439400
2010-03-16,24.05,24.85,23.99,24.71,12.88,8786800
2010-03-17,24.91,24.94,24.44,24.68,12.86,6765600
2010-03-18,24.78,24.84,24.5,24.75,12.9,3452500
2010-03-19,24.67,24.91,24.43,24.67,12.86,3481000
2010-03-22,24.54,25.4,24.45,25.29,13.18,4867700
2010-03-23,25.38,25.49,24.96,25.46,13.27,3588400
2010-03-24,25.31,25.37,24.89,24.98,13.02,3696500
2010-03-25,25.25,25.68,25.15,25.34,13.21,4862000
2010-03-26,25.46,25.7,25.32,25.54,13.31,3729400
2010-03-29,25.6,25.82,25.2,25.78,13.44,3935300
2010-03-30,25.71,26.37,25.71,25.88,13.49,6886800
2010-03-31,24.88,24.97,24.56,24.62,13.35,6207600
2010-04-01,24.86,25.0,24.66,24.8,13.45,4944500
2010-04-05,24.81,25.77,24.81,25.73,13.95,4619300
2010-04-06,25.62,25.75,25.45,25.72,13.95,4392300
2010-04-07,25.71,25.8,25.33,25.68,13.92,6790500
2010-04-08,25.67,26.38,25.37,26.28,14.25,7797900
2010-04-09,26.36,26.67,25.96,26.62,14.43,5191400
2010-04-12,26.61,27.09,26.56,26.89,14.58,5508700
2010-04-13,26.69,27.22,26.6,27.19,14.74,5826800
2010-04-14,27.2,27.4,26.77,27.03,14.66,8089600
2010-04-15,26.94,27.84,26.75,27.56,14.94,6169800
