Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,75.87,76.95,75.52,76.85,55.28,2408300
2010-01-05,76.62,77.79,76.55,77.65,55.86,2356500
2010-01-06,76.1,77.19,75.85,76.51,55.04,5208100
2010-01-07,76.17,76.2,73.61,74.41,53.52,7038300
2010-01-08,74.35,75.94,74.32,75.61,54.39,3629400
2010-01-11,75.76,76.19,75.19,75.97,54.65,1973500
2010-01-12,75.75,76.47,75.31,75.96,54.64,2119000
2010-01-13,76.16,77.02,75.71,76.88,55.3,2245100
2010-01-14,76.79,77.03,76.15,76.84,55.27,1954500
2010-01-15,76.96,77.19,76.33,76.76,55.22,2041900
2010-01-19,76.8,78.7,76.55,78.31,56.33,3765500
2010-01-20,77.81,78.3,76.82,78.11,56.19,3128200
2010-01-21,78.05,78.58,76.47,76.98,55.37,2304400
2010-01-22,76.75,77.31,75.5,75.58,54.37,2072100
2010-01-25,76.25,77.48,75.82,76.76,55.22,2559200
2010-01-26,76.42,77.35,75.85,76.78,55.23,2835100
2010-01-27,76.69,77.34,76.0,77.13,55.48,3054500
2010-01-28,78.43,78.47,75.25,76.15,54.78,3542400
2010-01-29,76.16,76.45,74.37,74.52,53.6,3249800
2010-02-01,75.34,75.34,74.28,74.89,53.87,2781100
2010-02-02,75.0,76.76,74.89,76.55,55.06,2995600
2010-02-03,76.18,76.95,75.84,76.69,55.17,2647600
2010-02-04,76.25,77.12,75.95,76.0,54.67,4992800
2010-02-05,75.85,76.62,74.04,75.72,54.47,5029700
2010-02-08,75.68,75.86,74.47,74.53,53.61,4308100
2010-02-09,75.17,75.99,74.7,75.45,54.27,3697800
2010-02-10,75.35,75.59,74.7,75.11,54.03,2798600
2010-02-11,74.9,76.42,74.51,76.35,54.92,3432500
2010-02-12,75.73,75.96,75.02,75.58,54.37,2478500
2010-02-16,75.92,76.33,75.48,76.03,54.69,2531400
2010-02-17,76.15,76.77,75.52,76.37,54.93,2060100
2010-02-18,76.17,77.44,76.15,77.33,55.63,2687400
2010-02-19,77.19,77.46,76.64,77.21,55.54,2801000
2010-02-22,77.19,77.73,76.55,76.94,55.34,3029100
2010-02-23,76.84,78.05,76.74,76.9,55.32,2900000
2010-02-24,77.17,77.69,76.93,77.56,55.79,2379300
2010-02-25,76.0,77.04,75.62,76.99,55.83,2047900
2010-02-26,76.89,77.94,76.7,77.76,56.39,2636000
2010-03-01,77.75,79.42,77.69,78.86,57.19,2436600
2010-03-02,79.22,80.09,78.97,79.21,57.44,2727900
2010-03-03,79.73,80.05,78.72,78.85,57.18,1958900
2010-03-04,79.19,79.83,78.61,79.27,57.49,1850000
2010-03-05,79.42,81.33,79.42,81.27,58.94,3194500
2010-03-08,81.19,81.97,81.07,81.09,58.81,2440100
2010-03-09,81.01,82.45,80.84,82.22,59.63,2553800
2010-03-10,82.49,82.96,82.23,82.58,59.89,2308000
2010-03-11,82.2,83.24,80.32,83.03,60.21,3114300
2010-03-12,83.09,83.35,82.58,83.09,60.26,2008600
2010-03-15,83.14,84.26,83.06,84.12,61.01,2630900
2010-03-16,84.3,84.99,84.14,84.62,61.37,4087500
2010-03-17,84.77,85.2,84.5,84.86,61.54,2587500
2010-03-18,84.74,86.13,84.34,85.94,62.33,2923100
2010-03-19,86.9,87.18,86.1,86.9,63.02,4031700
2010-03-22,85.39,86.35,85.12,85.71,62.16,3012700
2010-03-23,85.5,85.75,84.42,84.78,61.48,3327800
2010-03-24,84.68,84.71,83.46,83.88,60.83,2092500
2010-03-25,83.93,84.58,83.49,83.53,60.58,1531900
2010-03-26,83.94,84.58,83.53,84.24,61.09,1674200
2010-03-29,84.54,85.23,84.53,84.82,61.51,1343400
2010-03-30,84.7,85.03,83.61,84.09,60.98,1546900
2010-03-31,83.88,83.88,82.89,83.22,60.35,2260600
2010-04-01,83.61,84.25,83.2,83.88,60.83,1856400
2010-04-05,84.0,84.49,83.57,83.84,60.8,1151700
2010-04-06,83.62,83.62,82.28,82.52,59.84,2228900
2010-04-07,82.22,82.81,81.97,82.19,59.61,1615300
2010-04-08,82.23,82.59,81.99,82.19,59.61,1323100
2010-04-09,82.44,82.82,81.88,82.79,60.04,1077100
2010-04-12,82.72,83.2,82.53,82.92,60.13,1137800
2010-04-13,82.84,82.92,82.14,82.6,59.9,1273300
2010-04-14,82.63,82.69,81.49,82.61,59.91,1855800
2010-04-15,82.68,83.58,82.61,83.22,60.35,1451200
2010-04-16,83.31,83.54,82.03,82.99,60.19,2595500
2010-04-19,82.95,84.28,82.87,84.2,61.06,2264400
2010-04-20,84.52,85.42,84.26,84.97,61.62,2275800
2010-04-21,84.84,86.85,84.29,86.25,62.55,2372300
2010-04-22,85.89,86.78,85.41,86.67,62.85,2704400
2010-04-23,86.73,86.92,85.94,86.92,63.04,1332900
2010-04-26,87.03,87.06,85.92,86.09,62.43,1550200
2010-04-27,85.99,86.27,84.19,84.5,61.28,2892600
2010-04-28,84.88,85.23,83.89,84.96,61.61,1758900
2010-04-29,85.44,86.65,85.44,86.37,62.64,1534300
2010-04-30,86.24,86.87,84.89,84.89,61.56,1555400
2010-05-03,85.29,86.98,85.03,86.75,62.91,1485200
2010-05-04,86.28,86.31,85.0,85.4,61.93,2416100
2010-05-05,84.44,85.94,84.44,84.84,61.53,2062500
2010-05-06,84.5,85.73,78.74,82.85,60.08,3665700
2010-05-07,82.33,83.26,80.55,81.27,58.94,4108400
2010-05-10,83.98,84.89,82.64,83.62,60.64,2659400
2010-05-11,83.01,83.95,82.64,83.1,60.27,2421000
2010-05-12,83.49,84.02,82.96,83.41,60.49,2433900
2010-05-13,83.45,83.92,82.06,82.35,59.72,2181700
2010-05-14,81.78,82.16,80.1,80.79,58.59,2417100
2010-05-17,80.97,81.7,80.18,81.31,58.97,2599600
2010-05-18,81.61,82.71,80.63,81.0,58.74,3007200
2010-05-19,80.77,81.01,78.98,80.5,58.38,2572500
2010-05-20,79.32,79.6,77.55,77.55,56.24,3519400
2010-05-21,76.27,81.19,76.06,81.16,58.86,5904300
2010-05-24,80.76,81.11,79.67,79.8,57.87,2511900
2010-05-25,78.56,80.76,78.19,80.4,58.31,4258200
2010-05-26,80.94,81.37,79.71,79.73,57.82,3549200
2010-05-27,80.6,80.6,79.62,80.56,58.89,2488700
2010-05-28,80.42,80.75,79.72,79.92,58.42,1907900
2010-06-01,79.85,80.9,78.97,79.17,57.87,1806500
2010-06-02,79.3,79.84,78.46,79.8,58.33,2551100
2010-06-03,79.81,80.32,79.34,79.71,58.27,1797900
2010-06-04,78.76,78.76,77.17,77.39,56.57,2274200
2010-06-07,77.99,77.99,76.22,76.32,55.79,2469900
2010-06-08,76.3,77.28,75.74,77.0,56.29,2301600
2010-06-09,77.04,78.54,77.0,77.34,56.53,2256100
2010-06-10,77.97,78.83,77.52,78.47,57.36,2099500
2010-06-11,77.81,78.86,77.42,78.75,57.57,1455800
2010-06-14,79.25,80.67,79.25,79.67,58.24,2311200
2010-06-15,80.19,80.89,79.95,80.84,59.09,2167000
2010-06-16,80.46,81.6,80.42,81.2,59.36,1208800
2010-06-17,80.96,81.45,79.99,80.95,59.17,1826400
2010-06-18,81.09,81.09,80.01,80.69,58.98,2606000
2010-06-21,81.45,81.7,79.61,80.07,58.53,2147700
2010-06-22,79.96,81.14,79.77,79.86,58.38,1894200
2010-06-23,80.07,80.57,79.24,79.69,58.25,2231200
2010-06-24,79.44,80.02,78.0,78.12,57.11,1728200
2010-06-25,78.12,78.5,77.58,78.05,57.05,3091600
2010-06-28,78.35,78.64,77.58,77.58,56.71,1602600
2010-06-29,77.08,77.34,74.62,75.15,54.93,3106900
2010-06-30,75.0,75.52,74.36,74.5,54.46,2659600
2010-07-01,74.5,74.96,73.78,74.46,54.43,2332400
2010-07-02,74.74,75.02,73.89,74.44,54.42,1499900
2010-07-06,75.03,75.32,73.65,74.33,54.33,1810400
2010-07-07,74.28,75.48,73.8,75.41,55.12,2167600
2010-07-08,75.58,76.21,75.22,76.15,55.67,2065400
2010-07-09,75.93,76.01,74.61,75.24,55.0,1996800
2010-07-12,74.94,75.2,74.24,74.74,54.63,1551300
2010-07-13,75.1,75.98,75.1,75.53,55.21,1958800
2010-07-14,75.22,76.23,75.04,75.5,55.19,2442300
2010-07-15,75.58,76.15,75.01,75.95,55.52,2153300
2010-07-16,75.61,76.09,73.83,73.93,54.04,1960300
2010-07-19,74.34,74.74,73.73,74.05,54.13,1370100
2010-07-20,73.15,73.98,72.35,73.9,54.02,2911300
2010-07-21,74.28,74.59,73.14,73.66,53.84,3112900
2010-07-22,74.41,74.81,73.78,74.25,54.28,3105000
2010-07-23,74.38,74.83,73.9,73.95,54.06,2886600
2010-07-26,73.85,75.27,73.85,74.88,54.74,3181300
2010-07-27,75.3,76.34,74.78,74.87,54.73,3358000
2010-07-28,75.07,75.67,74.25,75.24,55.0,1762700
2010-07-29,75.71,75.71,74.13,74.95,54.79,1919000
2010-07-30,74.26,75.44,74.26,75.15,54.93,2686900
2010-08-02,75.84,76.0,74.98,75.9,55.48,1776000
2010-08-03,75.81,75.81,75.27,75.43,55.14,1829100
2010-08-04,75.59,75.59,74.91,75.02,54.84,2626700
2010-08-05,74.5,75.68,74.25,75.03,54.85,2706200
2010-08-06,74.4,75.07,74.2,75.07,54.88,1323600
2010-08-09,75.18,75.74,75.14,75.6,55.26,979400
2010-08-10,75.24,75.25,73.62,75.05,54.86,2133800
2010-08-11,74.1,74.2,72.75,73.12,53.45,2661100
2010-08-12,72.37,72.93,72.0,72.48,52.98,2164700
2010-08-13,72.24,73.52,72.22,72.72,53.16,2095300
2010-08-16,72.42,72.42,71.51,71.94,52.59,3378200
2010-08-17,72.4,73.37,71.96,72.42,52.94,3620000
2010-08-18,72.5,73.91,72.29,73.66,53.84,2956300
2010-08-19,73.33,73.72,72.66,73.08,53.42,3112800
2010-08-20,72.48,73.35,72.48,73.2,53.51,2467900
2010-08-23,73.68,73.72,72.41,72.48,52.98,2499400
2010-08-24,71.94,72.09,71.13,71.25,52.08,2416100
2010-08-25,70.79,72.08,70.0,71.67,52.39,2501000
2010-08-26,71.74,72.32,71.33,71.54,52.3,1332900
2010-08-27,71.93,72.3,71.18,72.27,52.83,1738900
2010-08-30,70.65,71.14,70.14,70.22,51.78,1867000
