Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,48.92,49.06,47.94,48.19,32.65,385800
2010-01-05,48.1,48.37,47.7,48.15,32.62,369900
2010-01-06,48.2,48.48,47.95,48.31,32.73,369100
2010-01-07,48.09,48.72,47.6,48.54,32.88,647600
2010-01-08,48.3,48.74,48.05,48.22,32.67,366400
2010-01-11,48.48,48.82,48.23,48.47,32.83,461400
2010-01-12,48.16,48.55,47.83,48.09,32.58,501100
2010-01-13,47.56,48.4,47.47,48.23,33.1,301900
2010-01-14,47.94,48.36,47.77,48.12,33.02,222400
2010-01-15,48.04,48.33,47.36,47.48,32.58,400500
2010-01-19,47.46,48.13,47.43,48.1,33.01,413700
2010-01-20,47.75,48.0,47.4,47.85,32.83,314400
2010-01-21,47.9,48.2,46.56,46.56,31.95,289700
2010-01-22,46.56,47.15,45.41,45.58,31.28,300900
2010-01-25,46.22,46.3,45.39,45.74,31.39,312500
2010-01-26,45.43,46.65,45.4,46.17,31.68,276000
2010-01-27,46.01,46.72,45.48,46.52,31.92,402600
2010-01-28,46.76,46.82,45.58,46.52,31.92,340500
2010-01-29,46.82,47.26,46.32,46.92,32.2,500500
2010-02-01,47.16,47.51,46.93,47.39,32.52,375900
2010-02-02,47.3,48.07,46.97,47.91,32.88,352200
2010-02-03,47.8,47.95,47.15,47.36,32.5,249100
2010-02-04,47.13,47.45,46.19,46.75,32.08,481300
2010-02-05,45.3,47.27,45.3,46.76,32.09,534700
2010-02-08,46.93,47.06,46.15,46.2,31.7,300400
2010-02-09,46.74,47.02,45.76,45.98,31.55,297100
2010-02-10,45.85,46.41,45.14,45.97,31.54,151900
2010-02-11,45.82,46.48,45.46,46.35,31.81,169500
2010-02-12,45.91,46.56,45.47,46.48,31.89,290000
2010-02-16,46.87,47.76,46.58,47.75,32.77,206700
2010-02-17,48.07,49.09,48.01,48.74,33.45,271900
2010-02-18,48.61,49.97,48.34,49.79,34.17,281100
2010-02-19,49.71,50.0,49.36,49.53,33.99,423300
2010-02-22,49.55,50.49,49.45,50.33,34.54,214100
2010-02-23,50.29,51.13,50.08,51.05,35.03,647900
2010-02-24,51.12,51.77,50.85,51.7,35.48,372400
2010-02-25,51.09,52.66,50.95,52.61,36.1,573700
2010-02-26,52.72,52.92,51.86,51.94,35.64,619900
2010-03-01,52.37,52.63,51.85,52.21,35.83,246700
2010-03-02,52.02,52.38,51.51,52.01,35.69,333300
2010-03-03,52.27,52.35,50.83,50.98,34.98,457400
2010-03-04,51.28,51.5,50.84,51.42,35.28,222100
2010-03-05,51.89,53.17,51.61,53.07,36.42,409600
2010-03-08,52.91,53.6,52.78,53.38,36.63,243900
2010-03-09,53.08,54.41,52.83,53.78,36.9,273400
2010-03-10,53.86,54.41,53.22,53.42,36.66,230400
2010-03-11,53.16,53.54,53.1,53.37,36.62,233400
2010-03-12,53.37,53.83,53.0,53.66,36.82,177600
2010-03-15,53.66,53.94,53.09,53.52,36.73,225600
2010-03-16,53.84,54.51,53.45,54.44,37.36,230500
2010-03-17,54.74,54.99,54.12,54.85,37.64,318200
2010-03-18,54.58,55.0,54.53,54.62,37.48,172900
2010-03-19,54.41,54.93,53.9,54.41,37.34,453700
2010-03-22,54.03,55.0,53.9,54.9,37.67,167400
2010-03-23,55.03,55.03,54.1,54.38,37.32,414900
2010-03-24,54.24,54.5,53.82,54.12,37.14,531300
2010-03-25,54.4,54.48,53.73,53.82,36.93,624100
2010-03-26,54.04,54.22,53.26,53.64,36.81,212400
2010-03-29,53.65,54.27,53.65,54.04,37.08,270600
2010-03-30,53.97,54.21,52.95,53.25,36.54,537100
2010-03-31,53.22,53.22,51.75,51.79,35.54,546200
2010-04-01,52.13,52.18,51.01,51.24,35.16,806400
2010-04-05,51.23,51.6,51.04,51.47,35.32,757200
2010-04-06,50.88,52.1,50.39,51.99,35.68,954700
2010-04-07,52.02,52.1,51.17,51.41,35.28,345200
2010-04-08,51.17,51.52,50.78,51.15,35.1,690500
2010-04-09,51.28,52.25,50.89,52.22,35.83,331500
2010-04-12,52.45,52.52,51.91,52.03,35.7,319100
2010-04-13,51.16,52.48,50.69,52.23,36.27,670100
2010-04-14,52.48,52.61,51.84,52.23,36.27,301800
2010-04-15,52.15,52.17,51.13,51.21,35.56,347000
2010-04-16,51.19,51.45,50.46,50.52,35.08,429500
2010-04-19,50.34,51.22,50.3,51.19,35.55,245700
2010-04-20,51.57,51.69,50.64,51.68,35.89,155400
2010-04-21,51.71,53.17,51.71,53.02,36.82,596100
2010-04-22,52.56,53.64,52.56,53.42,37.1,388200
2010-04-23,53.45,54.18,53.14,53.83,37.38,397000
2010-04-26,54.35,54.98,53.82,54.43,37.8,548100
2010-04-27,54.23,54.9,53.55,53.7,37.29,394300
2010-04-28,53.98,54.89,53.86,54.03,37.52,293400
2010-04-29,54.67,56.18,54.63,56.13,38.98,344500
2010-04-30,55.86,56.52,54.96,55.27,38.38,486200
2010-05-03,55.58,57.34,55.54,57.22,39.73,443200
2010-05-04,56.24,57.0,55.85,56.3,39.1,443100
2010-05-05,55.93,57.01,55.6,55.84,38.78,407600
2010-05-06,55.29,55.99,51.55,54.0,37.5,593400
2010-05-07,53.95,54.89,52.24,52.52,36.47,446400
2010-05-10,54.51,55.27,53.98,55.24,38.36,501600
2010-05-11,54.54,57.08,54.15,55.97,38.87,724100
2010-05-12,55.81,57.17,55.71,56.77,39.42,371900
2010-05-13,56.77,56.89,55.77,56.59,39.3,771200
2010-05-14,55.98,56.58,55.32,55.86,38.79,391100
2010-05-17,56.11,56.96,54.75,56.12,38.97,416400
2010-05-18,56.77,57.04,54.53,54.71,37.99,310000
2010-05-19,54.35,55.25,53.28,54.71,37.99,563400
2010-05-20,53.67,54.59,51.98,52.05,36.14,538000
2010-05-21,51.6,53.94,50.87,53.47,37.13,595700
2010-05-24,53.47,53.5,52.12,52.17,36.23,336900
2010-05-25,51.08,53.84,50.5,53.61,37.23,541900
