Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,29.46,29.48,29.1,29.18,21.68,1518700
2010-01-05,29.22,29.31,28.63,28.72,21.34,7795500
2010-01-06,28.7,28.92,28.43,28.48,21.16,2783800
2010-01-07,28.69,28.69,28.12,28.33,21.05,1788500
2010-01-08,28.3,28.61,28.08,28.5,21.17,2050100
2010-01-11,28.49,28.57,28.18,28.46,21.14,2244800
2010-01-12,28.35,28.54,27.74,27.99,20.79,2334500
2010-01-13,28.12,28.28,27.62,28.23,20.97,2016800
2010-01-14,28.11,28.16,27.71,28.03,20.82,2258700
2010-01-15,27.79,28.11,27.27,27.39,20.35,2334700
2010-01-19,27.43,27.85,27.43,27.76,20.62,1519700
2010-01-20,27.49,27.76,27.07,27.5,20.43,4018300
2010-01-21,27.53,27.94,27.09,27.23,20.23,3660800
2010-01-22,27.23,27.23,26.17,26.21,19.47,4439300
2010-01-25,26.29,26.62,26.27,26.44,19.64,3903200
2010-01-26,26.35,26.74,26.18,26.43,19.63,3405400
2010-01-27,26.3,26.72,26.16,26.64,19.79,3045200
2010-01-28,26.6,26.7,25.79,26.39,19.6,5168400
2010-01-29,26.4,26.95,25.77,25.81,19.17,3841700
2010-02-01,26.0,26.58,25.8,26.51,19.69,3192400
2010-02-02,26.6,26.69,26.23,26.56,19.73,3464700
2010-02-03,26.45,26.98,26.07,26.92,20.0,4436600
2010-02-04,26.6,26.61,25.54,25.95,19.28,5575400
2010-02-05,25.92,26.37,25.7,26.28,19.52,3763400
2010-02-08,26.43,26.72,26.0,26.28,19.52,2366100
2010-02-09,26.63,26.68,26.01,26.41,19.62,3501900
2010-02-10,26.4,26.76,26.21,26.66,19.81,2453100
2010-02-11,26.59,27.25,26.37,27.19,20.2,3088200
2010-02-12,26.94,27.48,26.62,27.23,20.23,2693100
2010-02-16,27.11,27.25,26.97,27.2,20.46,2811700
2010-02-17,27.34,27.36,26.67,27.06,20.36,3858100
2010-02-18,27.07,27.31,26.88,27.27,20.52,2677000
2010-02-19,27.37,27.54,27.08,27.41,20.62,1697200
2010-02-22,27.59,27.59,27.04,27.08,20.37,2296900
2010-02-23,27.02,27.18,26.7,26.88,20.22,3270700
2010-02-24,27.09,27.52,27.09,27.29,20.53,1743000
2010-02-25,26.98,27.16,26.57,27.12,20.4,2271600
2010-02-26,27.05,27.27,26.75,27.06,20.36,1847800
2010-03-01,27.28,27.53,27.09,27.49,20.68,1702800
2010-03-02,27.27,27.61,27.17,27.29,20.53,2904700
2010-03-03,27.45,27.5,26.92,27.01,20.32,1826200
2010-03-04,27.15,27.2,26.68,27.0,20.31,3051500
2010-03-05,27.14,27.43,26.86,27.26,20.51,2023900
2010-03-08,27.21,27.25,27.02,27.09,20.38,1065800
2010-03-09,26.97,27.05,26.77,26.92,20.25,1778900
2010-03-10,26.9,27.33,26.87,27.28,20.52,2512500
2010-03-11,27.2,27.59,26.84,27.51,20.7,4054200
2010-03-12,27.5,28.26,27.4,28.23,21.24,5353000
2010-03-15,28.0,28.25,27.73,27.84,20.94,3585700
2010-03-16,28.35,28.63,27.81,28.35,21.33,4567100
2010-03-17,28.33,28.75,28.33,28.61,21.52,3174100
2010-03-18,28.55,28.58,28.19,28.47,21.42,2156700
2010-03-19,28.53,28.69,28.1,28.25,21.25,3595500
2010-03-22,28.21,28.89,28.2,28.79,21.66,2569300
2010-03-23,28.9,29.12,28.76,29.07,21.87,2561600
2010-03-24,28.8,28.92,28.5,28.56,21.49,2218000
2010-03-25,28.77,28.93,28.5,28.5,21.44,2118900
2010-03-26,28.63,28.82,28.25,28.43,21.39,1697700
2010-03-29,28.5,28.76,28.47,28.56,21.49,1372400
2010-03-30,28.5,28.74,28.27,28.43,21.39,2656700
2010-03-31,28.21,28.51,28.08,28.16,21.18,4635100
2010-04-01,28.36,28.71,28.12,28.39,21.36,1889400
2010-04-05,28.49,28.85,28.47,28.67,21.57,2151800
2010-04-06,28.65,28.73,28.45,28.69,21.58,2179600
2010-04-07,28.56,28.97,28.42,28.71,21.6,1878500
2010-04-08,28.51,28.52,28.18,28.46,21.41,3080700
2010-04-09,28.53,28.68,28.36,28.64,21.55,2405300
2010-04-12,28.76,28.91,28.62,28.73,21.61,1967700
2010-04-13,28.76,29.15,28.69,29.1,21.89,1841200
2010-04-14,29.26,30.43,29.17,30.4,22.87,5311600
2010-04-15,30.31,30.62,30.01,30.27,22.77,4048900
2010-04-16,30.24,30.24,29.78,30.14,22.67,4432400
2010-04-19,30.18,30.25,29.35,29.88,22.48,3529100
2010-04-20,30.79,30.99,30.5,30.55,22.98,4983400
2010-04-21,30.6,30.67,29.76,30.14,22.67,3665600
2010-04-22,29.73,30.51,29.38,30.48,22.93,3585900
2010-04-23,30.57,30.63,29.99,30.6,23.02,2511100
2010-04-26,30.67,30.9,30.48,30.62,23.04,2786700
2010-04-27,30.53,30.62,29.66,29.71,22.35,2773200
2010-04-28,30.04,30.25,29.62,29.99,22.56,4026300
2010-04-29,30.26,30.37,29.9,30.34,22.82,2379500
2010-04-30,30.43,30.43,29.17,29.21,21.97,2875800
2010-05-03,29.27,29.7,29.18,29.67,22.32,2459000
2010-05-04,29.43,29.53,28.59,28.83,21.69,5799500
2010-05-05,28.86,29.24,28.5,28.99,21.81,3692700
2010-05-06,29.55,29.55,26.13,27.91,21.0,7999800
2010-05-07,27.73,28.31,26.86,27.8,20.91,6228600
2010-05-10,28.8,28.89,28.4,28.87,21.72,3200700
2010-05-11,28.7,29.11,28.49,28.71,21.6,3046200
2010-05-12,28.71,29.24,28.6,29.21,21.97,2888400
2010-05-13,29.06,29.32,28.61,28.69,21.58,3213800
2010-05-14,28.56,28.69,27.75,28.08,21.12,2783800
2010-05-17,27.62,28.29,27.57,28.27,21.53,3090200
2010-05-18,28.41,28.49,27.32,27.55,20.98,3384100
2010-05-19,27.44,27.88,27.05,27.69,21.09,2922700
2010-05-20,27.07,27.41,26.6,26.84,20.44,3602900
2010-05-21,26.37,27.71,26.35,27.36,20.84,3978200
2010-05-24,27.25,27.38,26.79,26.79,20.4,2409200
2010-05-25,26.19,26.88,25.68,26.85,20.45,4477100
2010-05-26,26.95,27.38,26.61,26.7,20.33,3169100
2010-05-27,27.3,28.13,27.08,28.08,21.39,4128800
2010-05-28,28.01,28.1,27.55,27.85,21.21,4765600
2010-06-01,27.57,28.05,27.32,27.35,20.83,2811500
2010-06-02,27.58,27.96,27.3,27.96,21.29,2298700
2010-06-03,28.0,28.27,27.77,28.23,21.5,2019400
2010-06-04,27.64,28.16,27.18,27.31,20.8,3104000
2010-06-07,27.52,27.68,26.54,26.61,20.27,2475900
2010-06-08,26.72,27.02,26.22,26.92,20.5,4264900
2010-06-09,27.2,27.75,26.76,27.0,20.56,3373300
2010-06-10,27.49,28.03,27.26,27.73,21.12,3521600
2010-06-11,27.28,28.32,27.28,28.26,21.52,2680800
2010-06-14,28.25,28.76,28.25,28.36,21.6,3286800
2010-06-15,28.5,29.54,28.44,29.5,22.47,3852900
2010-06-16,29.45,29.72,29.13,29.65,22.58,2913200
2010-06-17,29.83,29.83,29.35,29.7,22.62,1849700
2010-06-18,29.64,29.95,29.44,29.7,22.62,2455900
2010-06-21,29.95,30.0,29.09,29.33,22.34,2130100
2010-06-22,29.46,29.82,28.9,28.96,22.06,1856500
2010-06-23,28.92,29.44,28.7,29.19,22.23,2104300
2010-06-24,29.07,29.29,28.47,28.74,21.89,2293100
2010-06-25,28.71,28.93,28.42,28.86,21.98,3101300
2010-06-28,29.0,29.34,28.66,29.15,22.2,2130300
2010-06-29,28.68,28.68,27.73,27.91,21.26,3513600
2010-06-30,28.02,28.29,27.63,27.74,21.13,3672400
2010-07-01,27.72,28.11,27.21,27.94,21.28,3410100
2010-07-02,28.11,28.34,27.19,27.6,21.02,2240800
2010-07-06,27.93,28.36,27.51,27.88,21.23,3369800
2010-07-07,27.95,29.2,27.76,29.16,22.21,3000800
2010-07-08,29.34,29.45,28.74,29.11,22.17,2670900
2010-07-09,29.12,29.28,28.92,29.23,22.26,1586300
2010-07-12,29.27,29.66,29.19,29.52,22.48,3087700
2010-07-13,29.62,30.04,29.56,29.91,22.78,2366900
2010-07-14,29.95,30.49,29.77,29.98,22.83,2920000
2010-07-15,29.8,30.14,29.49,30.11,22.93,2149600
2010-07-16,30.01,30.13,29.34,29.37,22.37,2757500
2010-07-19,29.41,30.3,29.3,30.23,23.02,2602600
2010-07-20,29.74,30.19,29.22,30.17,22.98,2615600
2010-07-21,30.28,30.28,29.46,29.55,22.5,2879800
2010-07-22,29.92,30.59,29.84,30.57,23.28,2609000
2010-07-23,30.42,30.79,30.23,30.78,23.44,2301500
2010-07-26,30.7,31.55,30.53,31.52,24.0,4683400
2010-07-27,31.71,31.71,31.21,31.29,23.83,2376000
2010-07-28,31.29,31.48,30.81,31.0,23.61,1858500
2010-07-29,31.07,31.16,29.99,30.38,23.14,2854000
2010-07-30,30.03,30.57,29.83,30.45,23.19,2783600
2010-08-02,30.78,30.82,30.33,30.65,23.34,2670200
2010-08-03,30.59,30.73,30.32,30.6,23.3,1813300
2010-08-04,30.56,30.61,29.89,30.42,23.17,3774100
2010-08-05,30.11,30.76,30.09,30.76,23.43,3939800
2010-08-06,30.88,31.37,30.18,30.51,23.24,3867500
2010-08-09,30.51,30.84,30.1,30.81,23.46,2274500
2010-08-10,30.6,30.6,30.03,30.4,23.15,2556700
2010-08-11,29.7,29.74,29.03,29.28,22.3,3187900
2010-08-12,28.85,29.1,28.66,28.93,22.03,2584700
