Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.7,31.97,30.63,30.91,26.74,20371000.0
2010-01-05,31.01,32.13,30.93,32.04,27.72,22523400.0
2010-01-06,31.97,32.59,31.79,32.45,28.08,17028500.0
2010-01-07,32.46,33.27,32.27,32.92,28.48,18693000.0
2010-01-08,32.6,32.82,31.98,32.25,27.9,15993400.0
2010-01-11,32.39,32.46,31.76,32.04,27.72,10088500.0
2010-01-12,31.63,31.86,30.99,31.13,26.93,14813400.0
2010-01-13,31.09,32.0,30.71,31.26,27.05,18715500.0
2010-01-14,31.1,31.3,30.35,31.2,27.0,24690000.0
2010-01-15,30.97,31.09,29.98,30.38,26.29,27908700.0
2010-01-19,30.48,31.26,30.33,31.16,26.96,16979500.0
2010-01-20,30.76,31.24,30.35,30.63,26.5,21198800.0
2010-01-21,30.29,30.55,28.24,29.34,25.39,56774400.0
2010-01-22,28.65,29.18,27.42,27.8,24.05,46713700.0
2010-01-25,28.22,28.52,27.36,27.74,24.0,21100900.0
2010-01-26,27.68,28.29,27.21,27.33,23.65,24376400.0
2010-01-27,27.34,28.11,26.91,27.95,24.23,31041900.0
2010-01-28,28.2,28.25,27.12,27.49,23.83,25480700.0
2010-01-29,27.83,27.85,26.65,26.78,23.21,21166100.0
2010-02-01,26.95,28.0,26.92,27.56,23.89,19559900.0
2010-02-02,27.6,28.21,27.51,28.06,24.32,20992500.0
2010-02-03,28.16,28.43,27.69,27.89,24.18,18498800.0
2010-02-04,27.61,27.65,26.5,26.63,23.08,29785300.0
2010-02-05,26.58,27.29,26.15,27.26,23.63,25551300.0
2010-02-08,27.09,27.54,26.39,26.6,23.06,14517500.0
2010-02-09,26.86,27.3,26.59,27.13,23.52,19517300.0
2010-02-10,27.08,27.75,27.03,27.51,23.85,13858300.0
2010-02-11,27.4,27.53,26.88,27.12,23.51,18823500.0
2010-02-12,26.61,27.3,26.45,27.16,23.54,16628700.0
2010-02-16,27.45,27.93,27.36,27.82,24.11,15765300.0
2010-02-17,27.87,27.96,27.23,27.39,23.74,16590200.0
2010-02-18,27.23,27.49,27.0,27.26,23.63,12147400.0
2010-02-19,27.1,27.5,26.92,27.41,23.76,12358500.0
2010-02-22,27.52,27.87,27.31,27.71,24.02,14503100.0
2010-02-23,27.64,28.42,27.1,27.15,23.53,20896400.0
2010-02-24,27.27,27.98,27.09,27.83,24.12,17933600.0
2010-02-25,27.31,27.83,27.1,27.74,24.05,15301300.0
2010-02-26,27.73,28.41,27.6,28.18,24.43,18672100.0
2010-03-01,28.3,28.64,28.11,28.19,24.44,9220800.0
2010-03-02,28.38,28.92,28.33,28.7,24.88,13052300.0
2010-03-03,28.64,28.85,28.29,28.32,24.55,17662800.0
2010-03-04,28.39,29.28,28.39,29.2,25.31,20645400.0
2010-03-05,29.53,29.75,29.27,29.41,25.49,18016100.0
2010-03-08,29.52,29.74,29.33,29.58,25.64,11056900.0
2010-03-09,29.45,29.51,28.96,29.05,25.18,20072800.0
2010-03-10,29.22,30.3,28.83,29.97,25.98,29179500.0
2010-03-11,29.93,30.12,29.63,30.02,26.02,14993600.0
2010-03-12,30.15,30.79,29.83,29.91,25.93,19440400.0
2010-03-15,29.77,30.0,29.28,29.64,25.69,17780600.0
2010-03-16,29.74,30.42,29.54,30.31,26.27,16673100.0
2010-03-17,30.53,30.67,30.06,30.28,26.25,18425700.0
2010-03-18,30.2,30.36,29.7,30.08,26.07,16285100.0
2010-03-19,29.63,30.21,29.5,29.63,25.68,24666000.0
2010-03-22,29.3,29.74,29.08,29.6,25.66,12571400.0
2010-03-23,29.63,29.74,29.35,29.53,25.6,12139800.0
2010-03-24,29.42,29.68,29.26,29.37,25.46,12954600.0
2010-03-25,29.54,29.79,28.87,28.91,25.06,21705900.0
2010-03-26,29.08,29.22,28.58,28.85,25.01,18225900.0
2010-03-29,29.28,29.6,29.0,29.43,25.51,15036000.0
2010-03-30,29.31,29.46,28.82,29.21,25.32,14466600.0
2010-03-31,28.95,29.51,28.8,29.29,25.39,12761400.0
2010-04-01,29.46,29.87,29.09,29.2,25.31,17770400.0
2010-04-05,29.28,29.49,29.13,29.29,25.39,11429600.0
2010-04-06,29.25,29.62,28.96,29.36,25.45,13642100.0
2010-04-07,29.31,30.37,29.25,30.02,26.02,21879400.0
2010-04-08,29.9,30.95,29.73,30.88,26.77,20867700.0
2010-04-09,31.1,31.45,30.75,30.98,26.85,18779900.0
2010-04-12,31.14,31.31,30.75,30.93,26.81,13093600.0
2010-04-13,30.83,30.99,30.4,30.48,26.42,13988600.0
