Date,Open,High,Low,Close,Adj Close,Volume
2013-01-18,25.1,25.49,24.16,24.79,24.79,17761800
2013-01-22,25.0,27.36,24.85,26.95,26.95,2072000
2013-01-23,28.0,28.86,26.49,27.49,27.49,1572200
2013-01-24,27.17,27.9,26.64,27.35,27.35,508700
2013-01-25,27.5,27.9,26.28,27.35,27.35,870700
2013-01-28,27.88,27.88,26.94,27.76,27.76,172200
2013-01-29,27.9,27.96,27.0,27.11,27.11,437400
2013-01-30,26.69,27.23,26.17,26.29,26.29,816400
2013-01-31,26.02,26.92,25.75,26.37,26.37,970400
2013-02-01,26.47,27.8,26.18,27.65,27.65,1099300
2013-02-04,27.71,29.08,27.6,28.41,28.41,952100
2013-02-05,28.96,28.96,27.97,28.54,28.54,447200
2013-02-06,28.1,28.74,27.8,27.98,27.98,377200
2013-02-07,27.93,28.09,27.43,27.55,27.55,276300
2013-02-08,27.6,28.31,27.32,27.91,27.91,380200
2013-02-11,27.78,27.84,27.43,27.68,27.68,576900
2013-02-12,28.91,29.5,28.24,28.32,28.32,1876800
2013-02-13,28.81,29.54,28.29,28.92,28.92,772500
2013-02-14,28.82,29.4,28.6,29.25,29.25,431900
2013-02-15,29.48,30.41,29.48,30.27,30.27,1418700
2013-02-19,30.47,31.33,30.45,31.19,31.19,497800
2013-02-20,31.19,31.91,30.56,30.8,30.8,612700
2013-02-21,30.54,31.0,29.76,30.47,30.47,481400
2013-02-22,30.95,31.31,29.46,29.99,29.99,571200
2013-02-25,31.34,31.41,30.18,30.78,30.78,471700
2013-02-26,30.81,31.08,29.79,30.21,30.21,418300
2013-02-27,30.56,30.7,29.83,30.26,30.26,294400
2013-02-28,30.55,31.08,30.03,30.98,30.98,234900
2013-03-01,30.5,31.68,30.26,30.99,30.99,688200
2013-03-04,30.55,31.25,30.26,30.45,30.45,274400
2013-03-05,30.12,30.74,29.85,30.03,30.03,366000
2013-03-06,30.19,30.4,29.85,30.02,30.02,153100
