Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,53.04,53.74,52.87,53.25,38.55,2602200
2010-01-05,53.3,53.42,52.26,52.73,38.18,2796600
2010-01-06,52.64,53.34,52.63,53.25,38.55,3373300
2010-01-07,53.19,53.2,52.65,53.1,38.44,2442200
2010-01-08,52.98,53.18,52.45,52.64,38.11,2268600
2010-01-11,52.77,53.75,51.9,52.6,38.08,6142900
2010-01-12,52.2,52.2,51.02,51.32,37.15,5625100
2010-01-13,51.19,51.75,50.58,51.5,37.28,5857800
2010-01-14,50.5,50.64,49.65,50.01,36.21,8078600
2010-01-15,49.71,50.63,49.41,50.55,36.6,6041900
2010-01-19,50.24,50.9,50.13,50.89,36.84,3545300
2010-01-20,50.58,50.58,49.38,49.98,36.18,3963700
2010-01-21,49.93,50.31,48.9,49.03,35.5,4666100
2010-01-22,49.02,49.11,48.12,48.14,34.85,3557500
2010-01-25,48.41,48.54,47.68,47.75,34.57,5432900
2010-01-26,48.5,49.57,48.11,49.22,35.63,6315000
2010-01-27,49.15,49.77,48.78,49.76,36.02,4373600
2010-01-28,49.82,49.82,48.87,49.01,35.48,3314100
2010-01-29,48.99,49.2,48.69,48.76,35.3,5815700
2010-02-01,48.65,49.29,48.54,49.23,35.64,2774100
2010-02-02,49.21,49.59,48.7,49.58,35.89,2613400
2010-02-03,49.3,49.48,49.09,49.4,35.76,3764200
2010-02-04,49.03,49.13,47.97,48.02,34.77,4624900
2010-02-05,47.93,48.0,46.74,47.4,34.32,6330000
2010-02-08,47.39,49.3,46.87,46.89,33.95,2303100
2010-02-09,47.18,47.33,46.32,46.46,33.64,7402200
2010-02-10,46.48,46.48,45.79,45.92,33.24,4655300
2010-02-11,45.99,46.09,45.47,45.96,33.27,4351900
2010-02-12,45.61,45.83,45.29,45.57,32.99,3253700
2010-02-16,45.82,46.39,45.82,46.38,33.58,2915600
2010-02-17,46.48,46.6,45.7,45.77,33.14,2862800
2010-02-18,45.85,45.9,45.57,45.74,33.11,2949000
2010-02-19,45.83,47.08,45.7,46.88,33.94,4188600
2010-02-22,47.16,47.24,46.75,46.82,33.9,3395300
2010-02-23,46.81,47.02,46.64,46.8,33.88,3712500
2010-02-24,47.04,47.29,46.8,47.06,34.44,5837100
2010-02-25,46.7,46.96,46.25,46.88,34.31,3019000
2010-02-26,46.99,47.07,46.37,46.37,33.93,3332500
2010-03-01,46.96,47.71,46.8,47.38,34.67,3510200
2010-03-02,47.44,48.0,47.18,47.19,34.53,3018300
2010-03-03,47.17,47.46,46.75,46.93,34.34,3047400
2010-03-04,46.94,47.33,46.78,47.25,34.58,2326600
2010-03-05,47.46,47.7,47.26,47.65,34.87,2341200
2010-03-08,47.75,47.85,47.55,47.75,34.94,1893400
2010-03-09,47.6,47.66,46.93,47.02,34.41,2996900
2010-03-10,46.98,47.19,46.74,46.97,34.37,1984100
2010-03-11,46.89,47.44,46.7,47.37,34.67,2990400
2010-03-12,47.58,47.6,46.95,47.07,34.45,2513000
2010-03-15,47.14,47.31,46.82,47.31,34.62,1521800
2010-03-16,47.34,47.92,47.1,47.85,35.02,1726500
2010-03-17,48.09,48.09,47.84,48.02,35.14,2367200
2010-03-18,48.07,48.18,47.79,47.97,35.1,2880300
2010-03-19,48.16,48.56,47.81,48.16,35.24,3301800
2010-03-22,48.09,48.17,47.65,47.84,35.01,2175000
2010-03-23,47.87,48.13,47.65,47.82,34.99,2260300
2010-03-24,47.79,47.89,47.1,47.27,34.59,2739300
2010-03-25,47.49,47.6,47.11,47.45,34.72,2693700
2010-03-26,47.61,47.92,47.41,47.81,34.99,2710000
2010-03-29,47.85,48.59,47.75,48.58,35.55,2789600
2010-03-30,48.72,48.72,47.53,47.66,34.88,4356100
2010-03-31,47.6,48.7,47.42,48.33,35.37,3788800
2010-04-01,48.55,48.94,48.5,48.84,35.74,2503400
2010-04-05,48.9,49.01,48.58,48.97,35.84,2383000
2010-04-06,48.7,49.31,48.57,49.19,36.0,2108800
2010-04-07,49.19,49.21,48.6,49.1,35.93,2807200
2010-04-08,49.04,49.18,48.58,49.04,35.89,3409600
2010-04-09,49.1,49.72,48.66,49.71,36.38,3473300
2010-04-12,49.72,49.9,49.5,49.74,36.4,2607700
2010-04-13,49.61,49.61,48.95,49.49,36.22,3208300
2010-04-14,49.34,49.52,48.4,48.6,35.57,4300700
2010-04-15,48.63,48.9,48.44,48.83,35.73,2733100
2010-04-16,48.78,49.24,48.14,48.43,35.44,2662900
2010-04-19,48.32,48.61,48.27,48.41,35.43,1987600
2010-04-20,48.92,50.05,48.84,50.05,36.63,3994100
2010-04-21,50.0,50.5,49.9,50.37,36.86,3604400
2010-04-22,50.2,50.97,49.9,50.9,37.25,4389300
2010-04-23,50.84,51.32,50.47,51.3,37.54,2992100
2010-04-26,51.4,51.42,50.62,51.06,37.37,3046700
2010-04-27,50.79,51.22,49.99,50.02,36.6,3663800
2010-04-28,50.18,51.06,49.97,50.75,37.14,3589000
2010-04-29,50.88,51.1,50.5,50.69,37.09,1914100
2010-04-30,50.88,52.22,50.84,52.05,38.09,4741800
2010-05-03,52.28,53.09,51.89,52.66,38.54,4232800
2010-05-04,52.3,52.3,51.19,51.45,37.65,3895700
2010-05-05,50.96,51.99,50.7,50.94,37.28,4614600
2010-05-06,50.77,52.0,49.0,51.07,37.37,8468000
2010-05-07,51.0,51.97,50.26,51.22,37.48,5434500
2010-05-10,52.07,53.0,52.04,52.62,38.51,3341500
2010-05-11,52.24,53.27,51.99,52.66,38.54,3050700
2010-05-12,52.75,52.9,52.19,52.87,38.69,2295100
2010-05-13,52.87,53.5,52.43,52.85,38.68,1794800
2010-05-14,52.76,53.43,52.41,52.71,38.57,2657300
2010-05-17,52.78,52.87,51.63,52.62,38.51,2331000
2010-05-18,52.59,53.1,52.27,52.33,38.29,2019600
2010-05-19,52.22,52.45,51.5,52.02,38.07,2005600
2010-05-20,51.42,51.42,50.15,50.15,36.7,3258700
2010-05-21,49.55,50.59,49.26,50.59,37.02,4122300
2010-05-24,50.49,51.16,50.13,50.3,36.81,2056100
2010-05-25,49.59,49.62,48.52,49.53,36.25,4649800
2010-05-26,49.42,49.7,48.45,48.45,35.46,5577300
2010-05-27,49.08,49.84,49.0,49.78,36.43,3752100
2010-05-28,49.72,50.48,49.71,49.93,36.54,2406400
2010-06-01,49.46,50.01,48.91,48.94,35.81,2779300
2010-06-02,49.01,49.93,48.63,49.66,36.72,2427600
2010-06-03,50.04,50.32,49.67,50.19,37.11,1502500
2010-06-04,49.82,49.82,48.47,48.63,35.95,2104000
2010-06-07,48.77,49.56,48.57,49.03,36.25,2029300
2010-06-08,48.99,49.17,48.59,48.93,36.18,4544300
2010-06-09,49.08,49.26,48.31,48.4,35.78,2455900
2010-06-10,49.14,50.3,48.88,50.3,37.19,2454200
2010-06-11,49.86,50.09,49.49,50.0,36.97,1956400
2010-06-14,50.51,50.96,50.15,50.5,37.34,1868400
2010-06-15,50.9,51.31,50.71,51.31,37.94,2030200
2010-06-16,50.98,51.99,50.98,51.68,38.21,2026600
2010-06-17,51.85,52.45,51.25,52.37,38.72,2026300
2010-06-18,52.35,52.74,52.1,52.51,38.82,2254100
2010-06-21,52.99,52.99,51.61,51.93,38.39,1663200
2010-06-22,51.86,51.89,50.54,50.71,37.49,1980600
2010-06-23,48.0,51.08,48.0,50.2,37.12,1419800
2010-06-24,49.99,50.72,49.48,49.58,36.66,1643700
