Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.99,37.0,36.32,36.61,26.92,2631700
2010-01-05,36.58,37.29,36.48,37.27,27.41,2299300
2010-01-06,37.07,38.13,37.05,37.76,27.77,3565000
2010-01-07,37.65,38.31,37.48,38.26,28.14,2455700
2010-01-08,38.19,38.61,37.93,38.31,28.17,2404300
2010-01-11,38.25,39.13,37.99,38.94,28.64,2623600
2010-01-12,38.64,39.0,38.2,38.83,28.56,2259700
2010-01-13,38.98,39.13,38.36,39.0,28.68,2716500
2010-01-14,38.76,39.12,38.63,38.93,28.63,2043500
2010-01-15,38.92,39.13,37.9,38.0,27.95,4074700
2010-01-19,37.86,38.69,37.57,38.41,28.25,1868500
2010-01-20,37.94,38.0,36.73,37.7,27.73,2157300
2010-01-21,37.65,38.12,36.7,37.09,27.28,2984600
2010-01-22,37.13,37.26,36.09,36.16,26.59,3116300
2010-01-25,36.7,36.86,36.01,36.11,26.56,3457200
2010-01-26,36.12,36.3,35.57,35.68,26.24,2453000
2010-01-27,35.4,35.98,35.01,35.91,26.41,2871600
2010-01-28,36.0,36.4,34.91,35.23,25.91,4466400
2010-01-29,36.02,37.07,35.82,36.03,26.5,5301300
2010-02-01,36.16,36.3,35.63,36.11,26.56,3485000
2010-02-02,36.51,36.65,35.48,36.12,26.56,3708300
2010-02-03,35.85,36.7,35.75,35.87,26.38,2443000
2010-02-04,35.63,35.65,34.5,34.58,25.43,3303600
2010-02-05,34.76,34.77,33.45,34.16,25.12,5544800
2010-02-08,33.74,34.62,33.66,33.97,24.98,3114300
2010-02-09,34.45,35.49,34.33,34.95,25.7,2949100
2010-02-10,34.98,35.15,34.52,34.88,25.65,2405600
2010-02-11,34.7,35.77,34.62,35.69,26.25,2894200
2010-02-12,35.17,35.81,34.82,35.55,26.14,3004100
2010-02-16,35.96,36.21,35.45,36.17,26.6,2021500
2010-02-17,36.51,36.6,35.67,36.06,26.59,1645500
2010-02-18,36.12,36.34,35.82,35.93,26.49,2082900
2010-02-19,35.75,36.2,35.69,35.95,26.5,3030000
2010-02-22,36.05,36.23,35.13,35.36,26.07,2563000
2010-02-23,35.43,35.76,34.78,34.9,25.73,2630200
2010-02-24,35.18,35.89,35.15,35.71,26.33,2658900
2010-02-25,35.01,35.79,34.7,35.7,26.32,2751700
2010-02-26,35.7,35.88,35.17,35.35,26.06,2807900
2010-03-01,35.43,36.25,35.39,36.03,26.56,2145700
2010-03-02,36.1,37.65,36.1,37.11,27.36,5291700
2010-03-03,37.1,38.41,36.93,38.25,28.2,5350300
2010-03-04,38.3,38.61,38.14,38.44,28.34,3577500
2010-03-05,38.54,39.23,38.39,39.21,28.91,3147700
2010-03-08,39.12,39.41,38.84,38.99,28.75,2294500
2010-03-09,38.82,39.75,38.7,39.61,29.2,3788200
2010-03-10,39.48,39.96,39.14,39.76,29.31,2958500
2010-03-11,39.48,39.84,39.17,39.81,29.35,2562100
2010-03-12,40.0,41.84,39.83,41.35,30.49,6948100
2010-03-15,41.11,41.4,40.65,41.4,30.52,2590800
2010-03-16,41.8,41.93,41.48,41.75,30.78,2547800
2010-03-17,41.67,42.52,41.31,42.42,31.27,3477200
2010-03-18,42.22,42.42,41.83,42.04,30.99,3197400
2010-03-19,42.39,42.49,41.69,42.25,31.15,3969200
2010-03-22,42.03,43.37,41.81,43.23,31.87,2991800
2010-03-23,43.23,43.25,42.65,43.24,31.88,3118200
2010-03-24,43.23,43.6,42.97,43.06,31.75,2686700
2010-03-25,43.42,44.54,43.05,43.44,32.03,4161900
2010-03-26,43.57,44.01,43.28,43.67,32.2,2481800
2010-03-29,43.77,44.11,43.54,43.87,32.34,1773900
2010-03-30,43.87,44.08,43.47,43.83,32.31,1965100
2010-03-31,43.61,43.82,43.14,43.34,31.95,2733400
2010-04-01,43.51,44.25,43.35,43.83,32.31,2009200
2010-04-05,44.02,44.98,43.83,44.76,33.0,3137700
2010-04-06,44.7,44.99,44.48,44.69,32.95,2261700
2010-04-07,44.64,44.77,44.1,44.43,32.76,1930300
2010-04-08,44.38,44.67,43.76,44.55,32.84,2192300
2010-04-09,44.48,45.5,44.48,45.44,33.5,2208500
2010-04-12,45.5,45.61,45.13,45.39,33.46,1377600
2010-04-13,45.43,45.79,45.15,45.77,33.74,2001600
2010-04-14,45.55,46.45,45.44,46.42,34.22,1652600
2010-04-15,46.31,46.87,46.2,46.71,34.44,2458000
2010-04-16,46.64,46.97,45.66,45.89,33.83,3368000
2010-04-19,45.82,46.85,45.67,46.64,34.39,3692400
2010-04-20,47.09,47.21,44.81,45.31,33.4,6253300
2010-04-21,45.11,46.03,45.01,45.75,33.73,3247700
2010-04-22,45.3,46.58,45.01,46.43,34.23,2824200
2010-04-23,46.47,48.12,46.47,48.04,35.42,3565800
2010-04-26,48.0,48.64,47.76,48.04,35.42,2181600
2010-04-27,47.98,48.59,46.34,46.47,34.26,3823800
2010-04-28,46.79,47.2,46.24,46.44,34.24,2428300
2010-04-29,46.71,47.95,46.39,47.76,35.21,2311200
2010-04-30,47.95,48.31,46.51,46.52,34.3,2028300
2010-05-03,46.77,48.15,46.64,48.06,35.43,1925200
2010-05-04,47.19,47.37,45.0,46.1,33.99,4926700
2010-05-05,45.84,46.46,44.94,45.15,33.29,3767900
2010-05-06,44.62,45.35,39.75,42.85,31.59,6345600
2010-05-07,42.12,43.86,41.45,41.58,30.65,6321200
2010-05-10,44.2,45.24,44.01,44.77,33.01,4056700
2010-05-11,44.54,45.28,43.95,44.54,32.84,2660300
2010-05-12,44.73,45.35,44.04,45.32,33.41,5399700
2010-05-13,45.21,46.79,45.03,45.14,33.28,3470200
2010-05-14,44.82,44.86,43.14,44.1,32.51,3619600
2010-05-17,44.22,44.48,42.44,43.51,32.14,3522700
2010-05-18,43.79,44.58,42.76,42.92,31.71,2099100
2010-05-19,42.65,43.35,41.3,42.0,31.03,3480800
2010-05-20,40.97,40.99,39.13,39.17,28.94,5970600
2010-05-21,38.53,40.11,38.28,40.1,29.62,6020100
2010-05-24,39.55,40.21,39.0,39.48,29.17,3354100
