Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,61.11,61.31,60.63,61.12,45.19,9190800
2010-01-05,61.13,61.28,60.6,61.14,45.2,8649400
2010-01-06,60.94,60.96,60.5,60.85,44.99,9908400
2010-01-07,60.58,60.7,60.24,60.52,44.74,8972800
2010-01-08,60.36,60.53,60.06,60.44,44.68,8464600
2010-01-11,60.08,60.27,59.01,60.2,44.51,14774600
2010-01-12,60.7,61.36,60.5,60.89,45.02,13460700
2010-01-13,61.04,61.79,60.91,61.52,45.48,16968100
2010-01-14,61.42,61.74,61.38,61.58,45.53,9139500
2010-01-15,61.6,61.86,60.44,60.82,44.97,15768300
2010-01-19,60.8,61.83,60.8,61.72,45.63,11577700
2010-01-20,60.97,61.04,60.1,60.45,45.01,11557800
2010-01-21,60.56,60.93,59.45,59.84,44.56,14298400
2010-01-22,59.75,60.69,59.22,60.31,44.91,17703200
2010-01-25,60.83,60.98,60.15,60.63,45.15,11630800
2010-01-26,60.17,60.95,60.0,60.69,45.19,13079000
2010-01-27,60.46,60.98,59.95,60.81,45.28,15228400
2010-01-28,61.67,63.31,61.58,61.68,45.93,26930000
2010-01-29,61.91,62.24,61.47,61.55,45.83,17067100
2010-02-01,61.85,62.24,61.51,61.99,46.16,12908100
2010-02-02,61.93,63.04,61.66,62.9,46.84,17680700
2010-02-03,62.74,62.86,62.36,62.65,46.65,11083500
2010-02-04,62.2,62.34,61.31,61.4,45.72,14306600
2010-02-05,61.09,61.44,60.43,61.3,45.65,14844400
2010-02-08,61.06,61.51,60.81,61.01,45.43,11431800
2010-02-09,61.38,62.0,61.01,61.76,45.99,11427100
2010-02-10,61.74,61.85,61.22,61.67,45.92,9854600
2010-02-11,61.42,62.16,61.27,61.96,46.14,10383400
2010-02-12,61.76,62.13,61.29,61.76,45.99,16188300
2010-02-16,62.6,62.87,62.35,62.83,46.79,13273100
2010-02-17,62.8,62.97,62.51,62.85,46.8,14384400
2010-02-18,62.73,63.5,62.35,63.39,47.2,17709000
2010-02-19,63.27,63.74,63.02,63.45,47.25,10897800
2010-02-22,63.69,63.88,63.3,63.42,47.22,9675300
2010-02-23,63.23,63.82,62.92,63.21,47.07,11948500
2010-02-24,63.22,63.96,63.13,63.89,47.57,12808800
2010-02-25,63.23,63.86,63.01,63.7,47.43,10085600
2010-02-26,63.75,63.88,63.14,63.28,47.12,10640900
2010-03-01,63.46,63.8,63.15,63.51,47.29,7748600
2010-03-02,63.72,63.87,63.34,63.71,47.44,8004000
2010-03-03,63.66,63.9,63.43,63.55,47.32,8608300
2010-03-04,63.65,64.15,63.41,63.67,47.41,8600300
2010-03-05,63.69,63.78,63.05,63.69,47.43,10101100
2010-03-08,63.55,63.67,63.03,63.19,47.05,11293300
2010-03-09,63.08,63.5,63.05,63.3,47.14,7100900
2010-03-10,63.23,63.29,62.86,63.01,46.92,9813200
2010-03-11,62.76,63.18,62.51,63.17,47.04,10047900
2010-03-12,63.33,63.55,63.06,63.32,47.15,8099000
2010-03-15,63.19,63.7,63.19,63.7,47.43,7674900
2010-03-16,63.72,63.9,63.42,63.53,47.31,8939300
2010-03-17,63.78,64.03,63.37,64.01,47.66,10135400
2010-03-18,63.9,64.13,63.65,63.73,47.46,8867400
2010-03-19,63.84,64.0,63.52,63.84,47.54,17458100
2010-03-22,63.52,64.1,63.52,63.88,47.57,9648000
2010-03-23,63.93,64.58,63.66,64.53,48.05,11807900
2010-03-24,64.33,64.4,63.48,63.61,47.37,11732100
2010-03-25,63.94,64.12,63.58,63.62,47.37,8203200
2010-03-26,63.68,63.93,63.4,63.69,47.43,10630300
2010-03-29,63.73,64.04,63.59,63.73,47.46,8176700
2010-03-30,63.73,63.97,63.51,63.66,47.4,6113600
2010-03-31,63.53,63.67,63.18,63.27,47.11,8193800
2010-04-01,63.47,63.7,63.2,63.36,47.18,10554900
2010-04-05,63.39,63.89,63.3,63.76,47.48,8579800
2010-04-06,63.58,63.59,63.01,63.11,46.99,11052300
2010-04-07,62.91,63.0,62.21,62.5,46.54,14043500
2010-04-08,62.45,62.85,62.12,62.56,46.58,8458800
2010-04-09,62.57,63.0,62.51,62.73,46.71,9146700
