Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,48.33,49.59,48.25,49.35,32.31,7844500
2010-01-05,49.37,49.57,48.76,48.92,32.03,7168600
2010-01-06,48.66,49.0,48.29,48.92,32.03,11777200
2010-01-07,48.77,49.6,48.56,49.53,32.42,8905400
2010-01-08,49.32,49.52,48.78,49.26,32.25,6580800
2010-01-11,49.78,49.8,49.25,49.44,32.37,6090900
2010-01-12,49.37,49.37,48.85,49.17,32.19,6752900
2010-01-13,49.17,49.89,49.17,49.67,32.52,5926400
2010-01-14,49.48,49.98,49.48,49.6,32.47,4602200
2010-01-15,49.66,49.97,49.46,49.62,32.48,8269200
2010-01-19,49.6,50.2,49.51,50.09,32.79,8804100
2010-01-20,49.9,49.91,48.7,49.24,32.24,6461400
2010-01-21,49.22,49.31,47.59,47.73,31.25,10276000
2010-01-22,47.6,47.77,46.71,46.81,30.64,8717000
2010-01-25,47.09,47.63,47.02,47.05,30.8,5880900
2010-01-26,46.69,47.4,46.69,47.0,30.77,5858200
2010-01-27,46.85,47.1,46.22,46.64,30.53,5177700
2010-01-28,46.66,47.1,46.02,46.21,30.25,5594200
2010-01-29,46.53,47.09,45.43,45.51,29.79,7064100
2010-02-01,45.74,46.23,45.63,46.11,30.19,8066200
2010-02-02,46.21,47.72,46.07,47.6,31.16,8715600
2010-02-03,47.33,47.44,46.81,46.97,30.75,5001800
2010-02-04,46.6,46.81,45.9,45.94,30.07,6728400
2010-02-05,46.22,46.22,45.01,45.66,29.89,8451200
2010-02-08,45.31,46.28,45.31,45.53,29.81,5242500
2010-02-09,45.93,47.0,45.7,46.85,30.67,8742400
2010-02-10,46.81,47.09,46.39,46.81,30.64,6480000
2010-02-11,46.65,48.93,46.05,48.67,31.86,16677800
2010-02-12,48.35,49.93,48.2,49.29,32.27,13040700
2010-02-16,49.6,49.92,49.06,49.42,32.35,11304100
2010-02-17,49.51,49.89,49.35,49.83,32.62,7402400
2010-02-18,49.59,50.35,49.59,50.28,32.92,7533300
2010-02-19,50.2,50.41,49.8,49.98,32.72,8931900
2010-02-22,50.0,50.07,49.68,49.75,32.57,8233500
2010-02-23,49.75,50.0,49.18,49.3,32.27,10514700
2010-02-24,49.32,49.97,48.97,49.83,32.62,8305900
2010-02-25,49.43,49.88,49.0,49.61,32.48,9596000
2010-02-26,49.62,49.63,48.95,48.98,32.06,8502800
2010-03-01,49.05,49.25,48.79,48.93,32.03,8198300
2010-03-02,49.39,50.09,49.11,49.81,32.61,7126700
2010-03-03,49.82,50.17,49.72,49.98,32.72,7166800
2010-03-04,50.16,50.8,50.06,50.66,33.16,7350200
2010-03-05,50.75,51.38,50.52,51.25,33.55,7140400
2010-03-08,51.13,51.28,50.69,50.79,33.25,6970700
2010-03-09,50.61,50.78,50.2,50.38,32.98,6203800
2010-03-10,50.25,50.41,49.85,50.3,32.93,5967300
2010-03-11,50.29,50.51,49.68,50.24,32.89,8066600
2010-03-12,50.25,50.5,49.95,50.14,32.82,6118200
2010-03-15,50.05,51.12,49.81,50.92,33.33,9131000
2010-03-16,50.98,51.43,50.82,51.24,33.54,5970200
2010-03-17,51.45,51.92,51.27,51.83,33.93,6784300
2010-03-18,51.94,51.99,51.65,51.82,33.92,6092500
2010-03-19,52.68,52.85,51.83,52.68,34.49,15243800
2010-03-22,52.39,53.07,52.23,52.89,34.62,6994400
2010-03-23,52.2,52.44,51.69,52.44,34.71,7052200
2010-03-24,52.43,52.7,51.84,51.89,34.35,8034100
2010-03-25,52.12,52.53,51.66,51.72,34.23,6076200
2010-03-26,51.78,52.45,51.68,52.12,34.5,5112400
2010-03-29,52.27,52.74,52.25,52.53,34.77,7271600
2010-03-30,52.62,52.92,52.16,52.49,34.74,4820600
2010-03-31,52.5,52.5,51.95,52.16,34.53,6486100
2010-04-01,52.24,52.68,52.16,52.47,34.73,5846800
2010-04-05,52.6,52.99,52.36,52.85,34.98,4390900
2010-04-06,52.64,52.95,52.55,52.65,34.85,4451200
2010-04-07,52.57,52.8,52.29,52.52,34.76,5572600
2010-04-08,52.29,52.72,52.21,52.37,34.66,4755700
2010-04-09,52.76,52.81,52.03,52.75,34.92,4844300
2010-04-12,52.86,53.2,52.74,52.95,35.05,5055600
2010-04-13,52.78,52.82,52.08,52.46,34.72,4531800
2010-04-14,52.09,52.09,50.8,51.3,33.96,12739900
2010-04-15,50.65,51.62,50.65,51.59,34.15,6596800
2010-04-16,51.45,51.68,50.56,50.74,33.59,8822900
