Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,29.65,30.32,29.5,30.3,25.34,2413400
2010-01-05,30.2,30.57,30.2,30.32,25.36,2258600
2010-01-06,30.21,31.0,30.21,30.8,25.76,3028800
2010-01-07,30.67,30.94,30.44,30.93,25.88,2439600
2010-01-08,30.86,31.0,30.64,30.88,25.83,2696400
2010-01-11,30.94,31.0,30.65,30.84,25.8,1988800
2010-01-12,30.5,30.66,30.08,30.42,25.44,2229400
2010-01-13,30.59,30.76,30.21,30.74,25.71,1718400
2010-01-14,31.41,31.84,31.22,31.4,26.26,4485400
2010-01-15,31.37,31.49,30.83,31.02,25.95,3006000
2010-01-19,31.1,32.13,31.01,32.12,26.86,3332800
2010-01-20,31.92,32.06,31.14,31.57,26.4,4235200
2010-01-21,30.63,31.24,29.5,29.55,24.72,10949000
2010-01-22,29.65,30.47,29.45,29.96,25.06,5955000
2010-01-25,30.38,30.72,30.27,30.54,25.55,3568400
2010-01-26,30.34,30.65,29.92,29.99,25.08,2647600
2010-01-27,29.91,29.91,29.19,29.75,24.89,3261600
2010-01-28,29.91,29.91,28.89,29.5,24.68,2994400
2010-01-29,29.68,30.08,29.32,29.34,24.54,4006800
2010-02-01,29.64,29.77,29.43,29.76,24.89,2728800
2010-02-02,29.73,30.25,29.44,29.97,25.07,2168400
2010-02-03,29.8,30.17,29.42,29.6,24.76,2963600
2010-02-04,29.35,29.48,28.77,28.86,24.14,2892800
2010-02-05,28.82,29.25,28.48,29.17,24.4,4340000
2010-02-08,29.18,29.42,28.7,28.84,24.12,3074000
2010-02-09,29.18,29.76,28.97,29.58,24.74,3064400
2010-02-10,29.55,30.03,29.18,29.88,24.99,3580800
2010-02-11,29.79,30.2,29.51,30.11,25.19,2874600
2010-02-12,29.72,30.37,29.54,30.18,25.24,2951400
2010-02-16,30.5,30.71,30.26,30.71,25.69,1913000
2010-02-17,30.65,30.98,30.53,30.91,26.08,2847600
2010-02-18,30.88,31.13,30.73,31.06,26.21,1992200
2010-02-19,30.89,31.44,30.75,31.24,26.36,2013400
2010-02-22,31.27,31.36,30.86,31.03,26.19,1686800
2010-02-23,30.95,31.03,30.53,30.73,25.93,1978600
2010-02-24,30.86,31.24,30.66,31.05,26.2,2376800
2010-02-25,30.57,30.62,30.26,30.53,25.76,3766400
2010-02-26,30.5,30.88,30.43,30.77,25.97,2025800
2010-03-01,30.84,31.22,30.62,31.19,26.32,2029600
2010-03-02,31.33,31.43,31.06,31.3,26.41,2483000
2010-03-03,31.39,31.89,31.27,31.47,26.56,2448000
2010-03-04,31.4,31.7,31.25,31.45,26.54,2313000
2010-03-05,31.69,31.75,31.56,31.65,26.7,2309200
2010-03-08,31.72,31.87,31.59,31.77,26.81,1868000
2010-03-09,31.64,31.78,31.34,31.47,26.55,1586000
2010-03-10,31.49,32.0,31.16,31.85,26.88,2715000
2010-03-11,31.67,31.67,31.38,31.65,26.7,1913000
2010-03-12,31.93,32.33,31.82,32.08,27.07,2505400
2010-03-15,32.17,32.31,32.02,32.24,27.21,1725600
2010-03-16,32.28,32.38,32.04,32.32,27.27,1753800
2010-03-17,32.29,33.04,32.26,32.95,27.81,2411400
2010-03-18,32.87,32.87,32.25,32.37,27.32,2941200
2010-03-19,32.47,32.69,32.34,32.47,27.4,3130000
2010-03-22,32.19,32.79,32.04,32.74,27.63,1978600
2010-03-23,32.79,33.04,32.56,33.03,27.87,1203800
2010-03-24,32.81,32.96,32.5,32.72,27.61,1808800
2010-03-25,32.9,33.03,32.33,32.35,27.3,2106600
2010-03-26,32.47,33.17,32.43,33.03,27.88,2666800
2010-03-29,33.15,33.31,32.74,32.88,27.75,1808000
2010-03-30,32.94,33.2,32.65,33.03,27.87,1194600
2010-03-31,32.91,33.08,32.62,32.7,27.59,2279200
