Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,40.26,40.63,40.26,40.35,38.15,546500
2010-01-05,40.2,40.2,38.54,38.79,36.67,1387400
2010-01-06,38.98,39.2,37.88,38.3,36.21,1742200
2010-01-07,38.14,38.24,37.74,37.99,35.92,601300
2010-01-08,38.02,38.15,37.46,37.78,35.72,631700
2010-01-11,38.59,39.51,38.23,39.44,37.29,1289800
2010-01-12,39.86,41.53,39.86,41.11,38.87,1353800
2010-01-13,41.29,42.2,41.22,41.91,39.62,885400
2010-01-14,41.7,42.15,41.65,42.13,39.83,550800
2010-01-15,42.16,42.32,41.82,42.15,39.85,762500
2010-01-19,42.14,43.11,42.02,43.01,40.66,1044200
2010-01-20,42.74,42.88,42.15,42.78,40.44,581100
2010-01-21,42.87,43.1,42.17,42.55,40.23,725900
2010-01-22,42.48,43.06,42.26,42.56,40.24,959300
2010-01-25,42.65,42.69,41.54,41.58,39.31,847100
2010-01-26,41.37,42.8,41.25,42.5,40.18,1191600
2010-01-27,42.44,43.17,42.44,43.05,40.7,838500
2010-01-28,43.06,43.82,42.82,43.53,41.15,764200
2010-01-29,43.7,44.59,43.48,44.28,41.86,1116100
2010-02-01,44.46,44.83,43.71,44.2,41.79,1243000
2010-02-02,43.28,46.1,43.1,45.92,43.41,3031500
2010-02-03,45.29,46.9,45.05,46.27,43.74,1630200
2010-02-04,46.1,46.48,45.77,45.78,43.28,1229800
2010-02-05,45.88,45.91,44.7,45.29,42.82,1243000
2010-02-08,45.41,46.18,45.2,45.74,43.24,1015800
2010-02-09,46.25,46.67,46.04,46.32,43.79,1032700
2010-02-10,46.27,46.27,45.7,45.81,43.31,439300
2010-02-11,45.68,47.26,45.01,47.06,44.49,1323100
2010-02-12,46.91,48.63,46.36,48.55,45.9,2082100
2010-02-16,48.98,48.98,48.35,48.47,45.82,991400
2010-02-17,48.42,48.71,47.88,48.12,45.49,1103300
2010-02-18,48.12,49.23,47.97,49.2,46.51,1217800
2010-02-19,49.31,50.16,49.15,49.88,47.16,1218400
2010-02-22,49.65,49.65,48.61,49.2,46.51,971400
2010-02-23,49.15,49.31,48.76,48.97,46.3,929600
2010-02-24,48.63,49.04,48.43,48.71,46.11,857700
2010-02-25,48.49,50.02,48.44,49.65,47.0,1510500
2010-02-26,49.79,49.96,49.32,49.57,46.92,571600
2010-03-01,50.36,51.33,50.35,51.16,48.43,1218800
2010-03-02,51.39,52.72,51.26,52.68,49.87,1314100
2010-03-03,52.62,52.73,51.86,52.24,49.45,905000
2010-03-04,52.4,52.48,51.15,51.28,48.54,1109600
2010-03-05,51.63,51.85,49.85,50.73,48.02,2312900
2010-03-08,50.74,50.99,49.51,50.14,47.46,1747600
2010-03-09,49.96,49.98,49.2,49.33,46.7,1432100
2010-03-10,49.17,50.14,49.12,50.1,47.43,903500
2010-03-11,50.1,50.9,50.0,50.77,48.06,844700
2010-03-12,50.77,50.94,50.28,50.68,47.98,514300
2010-03-15,50.55,50.98,50.31,50.94,48.22,830000
2010-03-16,51.11,51.58,50.97,51.52,48.77,498000
2010-03-17,51.83,51.85,49.76,50.06,47.39,1698900
2010-03-18,50.25,50.3,49.82,50.19,47.51,648800
2010-03-19,50.28,50.48,49.84,50.38,47.69,910900
2010-03-22,50.32,51.41,50.3,51.13,48.4,425700
2010-03-23,54.21,57.49,53.64,57.2,54.15,5727700
2010-03-24,57.27,57.96,56.46,57.8,54.72,2279500
2010-03-25,57.95,58.67,56.41,56.53,53.51,2023100
2010-03-26,56.67,56.84,55.91,56.79,53.76,981300
2010-03-29,57.01,58.22,57.0,58.22,55.11,798300
2010-03-30,58.2,59.25,58.0,58.68,55.55,1049700
2010-03-31,58.75,59.74,58.65,58.72,55.59,899900
2010-04-01,59.38,59.64,58.88,59.08,55.93,705400
